GCCSA_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
9OTER,0,0,0,3,4,20,3,0,28,29,51,1015,899,69,53,175,140,44,138,719,470,2013,1702,3714
99799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,6
99499,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,7,3,0,0,3,10,21,30,46
8ACTE,26,12,110,232,737,2784,78,109,2316,3839,6155,77380,77146,3669,4443,9750,15517,2631,9900,63494,58476,156932,165485,322415
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,3,0,0,0,3,3,35,27,27,12,42,39,3,10,180,131,297,209,506
7RNTE,3,0,5,16,38,130,22,18,116,192,310,15010,14553,1183,1298,2040,2174,662,2034,15092,13669,33985,33722,67701
7GDAR,5,6,32,37,94,235,24,10,273,356,626,25045,22883,1762,1715,4366,4631,668,2210,25987,20045,57821,51481,109301
79799,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,4,0,0,24,7,61,9,72
79499,0,0,0,0,0,0,0,0,0,0,0,406,402,61,31,143,85,26,28,605,491,1240,1043,2281
6RTAS,45,22,126,168,867,3046,133,149,2440,4046,6490,56327,56396,4132,4380,11077,13503,3777,12166,40082,34755,115389,121201,236592
6GHOB,25,15,81,155,695,2536,62,137,1906,3368,5275,40228,40212,2742,3352,7568,11000,2419,8588,34376,31775,87329,94929,182260
69799,0,0,0,0,0,0,0,0,0,0,0,27,8,0,0,3,0,0,0,20,6,49,18,73
69499,0,0,0,0,0,0,0,0,0,0,3,87,81,37,32,62,60,6,12,298,174,481,350,835
5RWAU,66,24,149,204,1014,3419,131,105,3157,4595,7752,105377,97608,7877,7367,18333,18830,4593,14357,80366,63483,216557,201648,418207
5GPER,203,129,634,1223,4004,16277,455,635,12680,21972,34652,385296,385063,21614,25952,52780,76618,14113,55428,299581,257084,773386,800146,1573536
59799,0,0,0,0,0,0,0,0,3,0,3,199,5,10,0,29,3,0,0,169,14,408,26,434
59499,0,0,0,0,3,12,3,0,12,11,23,782,732,268,109,499,263,43,71,1740,1058,3336,2220,5559
4RSAU,71,25,169,215,1326,4799,174,138,3954,6336,10292,78998,77666,5512,5368,14330,14949,4915,16259,52191,41040,155949,155286,311230
4GADE,180,125,556,1101,4309,16247,398,670,12371,21797,34170,251008,251344,14933,18150,40036,58283,12933,49106,199090,174892,517997,551769,1069769
49799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3
49499,0,0,0,0,5,7,3,0,13,7,22,311,311,141,86,220,110,40,27,920,487,1627,1016,2648
3RQLD,311,182,1092,1513,5810,21478,901,845,18069,29061,47131,460766,460161,33855,38827,86388,108804,23205,80186,353190,306871,957411,994854,1952257
3GBRI,240,142,730,1307,4625,18307,656,1070,13676,24673,38357,424795,426328,27845,33655,65242,92354,17032,63919,354467,320762,889380,937019,1826402
39799,0,0,0,0,0,0,0,0,0,0,4,30,33,0,3,11,17,0,18,21,17,65,81,144
39499,0,0,3,0,5,18,0,0,19,18,44,1793,2015,546,218,932,626,134,174,3106,2148,6509,5179,11693
2RVIC,194,133,582,905,5023,18368,681,822,14351,24446,38801,285658,284440,19725,22265,48243,61512,17739,60219,199012,174534,570369,602974,1173346
2GMEL,516,306,1331,2517,11035,41447,1459,2173,33202,55950,89151,885646,887078,46266,57699,108055,163985,35269,138297,703938,639292,1779168,1886350,3665515
29799,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,9,0,27,4,25
29499,0,0,0,3,4,17,3,3,9,28,38,653,623,351,196,422,328,46,91,2462,1647,3942,2883,6825
1RNSW,403,251,1313,2025,9324,33763,1072,1343,26562,44829,71398,515192,513403,36839,40954,94198,118072,33275,112364,373118,320846,1052624,1105649,2158275
1GSYD,587,363,1600,3414,11531,44530,1762,2785,35147,60875,96022,968114,966018,49716,61779,119103,179333,36590,149056,740789,653198,1914314,2009383,3923700
19799,0,0,0,0,3,3,0,0,3,7,10,102,119,3,8,10,29,7,21,26,35,157,220,374
19499,6,0,9,9,8,26,7,3,32,48,78,1157,1181,635,257,980,569,143,185,4049,2395,6958,4590,11545
