GCCSA_CODE_2016,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85_ov,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85_ov,C16_F_CL_CL_nfd_Tot,C16_F_CL_T_15_19,C16_F_CL_T_20_24,C16_F_CL_T_25_34,C16_F_CL_T_35_44,C16_F_CL_T_45_54,C16_F_CL_T_55_64,C16_F_CL_T_65_74,C16_F_CL_T_75_84,C16_F_CL_T_85_ov,C16_F_CL_T_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85o,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85_ov,C16_F_LE_NS_T,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85o,C16_F_T_T,C06_P_Post_Deg_15_19_yrs,C06_P_Post_Deg_20_24_yrs,C06_P_Post_Deg_25_34_yrs,C06_P_Post_Deg_35_44_yrs,C06_P_Post_Deg_45_54_yrs,C06_P_Post_Deg_55_64_yrs,C06_P_Post_Deg_65_74_yrs,C06_P_Post_Deg_75_84_yrs,C06_P_Post_Deg_85o,C06_P_Post_Deg_Tot,C06_P_GrDip_GrCe_15_19,C06_P_GrDip_GrCe_20_24,C06_P_GrDip_GrCe_25_34,C06_P_GrDip_GrCe_35_44,C06_P_GrDip_GrCe_45_54,C06_P_GrDip_GrCe_55_64,C06_P_GrDip_GrCe_65_74,C06_P_GrDip_GrCe_75_84,C06_P_GrDip_GrCe_85ov,C06_P_GrDip_GrCe_Tot,C06_P_BD_15_19,C06_P_BD_20_24,C06_P_BD_25_34,C06_P_BD_35_44,C06_P_BD_45_54,C06_P_BD_55_64,C06_P_BD_65_74,C06_P_BD_75_84,C06_P_BD_85o,C06_P_BD_Tot,C06_P_AdD_DL_15_19,C06_P_AdD_DL_20_24,C06_P_AdD_DL_25_34,C06_P_AdD_DL_35_44,C06_P_AdD_DL_45_54,C06_P_AdD_DL_55_64,C06_P_AdD_DL_65_74,C06_P_AdD_DL_75_84,C06_P_AdD_DL_85o,C06_P_AdD_DL_Tot,C06_P_CL_C_III_IV_15_19,C06_P_CL_C_III_IV_20_24,C06_P_CL_C_III_IV_25_34,C06_P_CL_C_III_IV_35_44,C06_P_CL_C_III_IV_45_54,C06_P_CL_C_III_IV_55_64,C06_P_CL_C_III_IV_65_74,C06_P_CL_C_III_IV_75_84,C06_P_CL_C_III_IV_85_ov,C06_P_CL_C_III_IV_Tot,C06_P_CL_C_I_II_15_19,C06_P_CL_C_I_II_20_24,C06_P_CL_C_I_II_25_34,C06_P_CL_C_I_II_35_44,C06_P_CL_C_I_II_45_54,C06_P_CL_C_I_II_55_64,C06_P_CL_C_I_II_65_74,C06_P_CL_C_I_II_75_84,C06_P_CL_C_I_II_85_ov,C06_P_CL_C_I_II_Tot,C06_P_CL_CL_nfd_15_19,C06_P_CL_CL_nfd_20_24,C06_P_CL_CL_nfd_25_34,C06_P_CL_CL_nfd_35_44,C06_P_CL_CL_nfd_45_54,C06_P_CL_CL_nfd_55_64,C06_P_CL_CL_nfd_65_74,C06_P_CL_CL_nfd_75_84,C06_P_CL_CL_nfd_85_ov,C06_P_CL_CL_nfd_Tot,C06_P_CL_T_15_19,C06_P_CL_T_20_24,C06_P_CL_T_25_34,C06_P_CL_T_35_44,C06_P_CL_T_45_54,C06_P_CL_T_55_64,C06_P_CL_T_65_74,C06_P_CL_T_75_84,C06_P_CL_T_85_ov,C06_P_CL_T_Tot,C06_P_LE_ID_15_19,C06_P_LE_ID_20_24,C06_P_LE_ID_25_34,C06_P_LE_ID_35_44,C06_P_LE_ID_45_54,C06_P_LE_ID_55_64,C06_P_LE_ID_65_74,C06_P_LE_ID_75_84,C06_P_LE_ID_85o,C06_P_LE_ID_Tot,C06_P_LE_NS_15_19,C06_P_LE_NS_20_24,C06_P_LE_NS_25_34,C06_P_LE_NS_35_44,C06_P_LE_NS_45_54,C06_P_LE_NS_55_64,C06_P_LE_NS_65_74,C06_P_LE_NS_75_84,C06_P_LE_NS_85_ov,C06_P_LE_NS_T,C06_P_Tot_15_19_yrs,C06_P_Tot_20_24_yrs,C06_P_Tot_25_34_yrs,C06_P_Tot_35_44_yrs,C06_P_Tot_45_54_yrs,C06_P_Tot_55_64_yrs,C06_P_Tot_65_74_yrs,C06_P_Tot_75_84_yrs,C06_P_Tot_85o,C06_P_T_T,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85o,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85ov,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85o,C11_P_BD_Tot
9OTER,3,7,6,8,3,7,0,0,0,30,0,3,5,9,13,13,12,0,0,60,10,18,51,53,53,37,14,3,0,234,0,0,0,3,4,0,0,0,0,16,31,9,31,33,64,58,38,23,6,286,37,43,170,201,190,179,88,44,9,965,0,4,3,8,5,3,0,0,0,22,0,0,3,12,8,0,0,0,0,24,0,16,37,47,28,10,0,0,0,135,0,3,19,28,19,16,0,0,0,88,3,16,50,74,69,27,6,0,0,248,3,4,8,9,4,0,0,0,0,29,0,3,10,12,10,3,0,0,0,32,4,28,67,88,83,31,6,0,0,308,3,3,8,3,9,3,0,0,0,29,20,30,42,49,46,38,22,3,0,254,30,76,177,234,195,100,32,7,0,852,0,0,6,11,7,3,0,0,0,33,0,0,10,13,7,3,0,0,0,32,0,17,37,59,27,14,0,0,0,157
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,5,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11,0,8,8,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,5,0,0,0,0,13
8ACTE,195,262,334,314,260,221,140,51,27,1804,53,169,293,512,734,793,695,281,115,3641,612,2027,3808,3508,3249,2547,1450,533,223,17952,26,46,184,176,214,227,257,116,58,1303,700,969,2088,1611,1486,1540,1391,1207,1061,12066,1443,7951,27797,24365,19403,14981,9320,4048,1923,111238,0,182,3542,4815,4695,3056,1019,438,80,17823,0,131,1798,2335,2739,1697,366,99,15,9176,27,5146,15065,11208,9988,6335,2388,1108,277,51544,116,1808,4371,4913,4827,3428,1526,786,241,22011,522,2643,6322,5752,4971,3473,1878,994,191,26753,334,630,773,429,348,224,88,29,5,2854,114,358,955,1016,1036,838,318,205,45,4882,969,3628,8047,7198,6351,4533,2283,1222,252,34489,67,215,596,783,902,688,381,259,72,3963,2305,1992,3382,3099,3033,2619,2034,1942,836,21236,3485,13099,36806,34348,32535,22354,9993,5853,1769,160243,4,344,6156,6658,5870,4191,1738,588,134,25686,0,178,2213,2707,2856,2313,725,128,16,11142,30,5559,19026,13364,10482,7812,3731,1409,426,61827
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,3,7,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,8,3,7,5,3,0,0,0,32,12,21,36,30,18,25,8,0,0,151,0,3,13,7,4,6,0,0,0,32,0,0,3,0,3,0,0,0,0,9,0,24,45,26,5,3,0,0,0,113,0,8,8,11,5,5,0,0,0,34,3,6,21,12,12,10,0,0,0,63,3,5,0,0,0,0,0,0,0,7,0,3,7,0,3,0,0,0,0,15,10,17,22,13,15,11,0,0,0,82,0,0,0,4,3,3,0,0,0,14,7,11,17,14,6,3,3,9,0,69,15,61,111,69,39,34,11,9,0,350,0,0,15,14,12,8,3,0,0,47,0,0,6,0,5,8,0,0,0,18,0,19,52,28,12,7,3,0,0,124
7RNTE,61,110,205,142,130,66,19,0,3,742,21,40,150,139,126,99,41,10,3,617,169,424,1061,809,800,522,150,20,9,3966,3,16,32,31,36,26,15,8,0,163,725,718,1549,1173,1118,785,388,129,50,6630,911,1397,4627,3686,3487,2535,898,256,74,17874,0,7,117,272,239,155,29,8,0,830,3,11,156,195,232,97,21,3,0,714,4,242,1233,1054,871,453,102,25,7,3997,7,143,585,755,735,387,98,24,0,2724,186,680,1724,1807,1478,838,233,67,9,7011,116,209,270,198,134,46,15,0,0,984,26,73,182,178,143,77,17,3,5,705,328,956,2175,2180,1755,960,260,69,18,8696,12,51,112,155,160,67,32,3,0,600,1260,1188,2252,2138,1744,1042,483,198,68,10374,1608,2594,6639,6762,5733,3167,1017,326,88,27939,0,15,284,321,316,251,68,5,0,1265,0,16,207,266,269,197,17,4,4,981,3,316,1698,1280,1039,744,155,23,7,5260
7GDAR,112,135,215,133,119,84,27,0,0,831,17,84,224,231,248,173,87,27,5,1093,321,968,2342,1756,1430,827,280,57,13,7994,3,26,85,72,57,48,31,21,4,346,493,588,1637,1191,1064,918,544,245,101,6769,832,2455,9753,7696,5894,4092,1743,530,150,33137,0,16,300,571,621,403,90,17,0,2021,0,15,311,430,439,211,45,6,3,1450,3,642,2853,2124,1794,981,255,72,17,8744,19,293,1270,1636,1342,828,222,59,7,5669,258,1341,3473,3469,2495,1607,555,145,14,13359,163,302,369,203,180,78,9,3,3,1316,33,117,302,319,269,153,42,9,0,1239,454,1758,4151,3986,2946,1838,604,160,22,15908,23,91,241,276,237,158,54,22,3,1109,1398,1139,2416,2462,2277,1488,753,406,90,12424,1894,3950,11550,11488,9648,5905,2013,743,139,47330,0,34,716,741,743,545,192,25,7,2997,0,21,398,519,539,336,81,8,0,1909,11,771,3923,2863,1976,1368,446,105,23,11486
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,11,4,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,7,8,3,0,0,0,0,26,0,4,0,0,0,0,0,0,0,4,0,9,3,7,0,0,0,0,0,20,0,26,14,13,4,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8
79499,3,0,0,3,0,5,0,0,0,11,0,4,9,3,6,3,4,0,0,32,4,14,26,17,18,33,4,0,0,112,0,0,3,0,4,3,3,0,0,13,0,35,97,73,88,44,32,6,0,373,7,70,192,144,141,123,62,8,0,740,0,0,7,9,0,0,0,0,0,22,0,3,9,11,9,5,0,0,0,33,0,23,65,25,26,18,4,0,0,163,0,3,23,10,11,22,8,0,0,77,0,27,63,42,52,105,38,0,0,329,3,3,8,4,8,3,3,0,0,23,0,0,4,6,8,13,3,0,0,34,4,37,70,51,62,121,43,0,0,383,0,0,5,3,5,9,3,0,0,27,17,36,86,39,64,77,18,3,0,343,21,95,264,138,183,255,84,4,0,1049,0,3,12,8,4,6,0,0,0,41,0,0,6,3,3,12,3,0,0,30,0,26,79,34,21,34,12,0,0,206
