GCCSA_CODE_2016,C06_M_15_19_Em_FT,C06_M_15_19_Em_PT,C06_M_15_19_Em_AFW,C06_M_15_19_Em_Hrs_NS,C06_M_15_19_Em_Tot,C06_M_15_19_Unem_Look_FT,C06_M_15_19_Unem_Look_PT,C06_M_15_19_Unem_Tot,C06_M_15_19_Tot_LF,C06_M_15_19_Notin_LF,C06_M_15_19_LF_NS,C06_M_15_19_Tot,C06_M_20_24_Em_FT,C06_M_20_24_Em_PT,C06_M_20_24_Em_AFW,C06_M_20_24_Em_Hrs_NS,C06_M_20_24_Em_Tot,C06_M_20_24_Unem_Look_FT,C06_M_20_24_Unem_Look_PT,C06_M_20_24_Unem_Tot,C06_M_20_24_Tot_LF,C06_M_20_24_Notin_LF,C06_M_20_24_LF_NS,C06_M_20_24_Tot,C06_M_25_29_Em_FT,C06_M_25_29_Em_PT,C06_M_25_29_Em_AFW,C06_M_25_29_Em_Hrs_NS,C06_M_25_29_Em_Tot,C06_M_25_29_Unem_Look_FT,C06_M_25_29_Unem_Look_PT,C06_M_25_29_Unem_Tot,C06_M_25_29_Tot_LF,C06_M_25_29_Notin_LF,C06_M_25_29_LF_NS,C06_M_25_29_Tot,C06_M_30_34_Em_FT,C06_M_30_34_Em_PT,C06_M_30_34_Em_AFW,C06_M_30_34_Em_Hrs_NS,C06_M_30_34_Em_Tot,C06_M_30_34_Unem_Look_FT,C06_M_30_34_Unem_Look_PT,C06_M_30_34_Unem_Tot,C06_M_30_34_Tot_LF,C06_M_30_34_Notin_LF,C06_M_30_34_LF_NS,C06_M_30_34_Tot,C06_M_35_39_Em_FT,C06_M_35_39_Em_PT,C06_M_35_39_Em_AFW,C06_M_35_39_Em_Hrs_NS,C06_M_35_39_Em_Tot,C06_M_35_39_Unem_Look_FT,C06_M_35_39_Unem_Look_PT,C06_M_35_39_Unem_Tot,C06_M_35_39_Tot_LF,C06_M_35_39_Notin_LF,C06_M_35_39_LF_NS,C06_M_35_39_Tot,C06_M_40_44_Em_FT,C06_M_40_44_Em_PT,C06_M_40_44_Em_AFW,C06_M_40_44_Em_Hrs_NS,C06_M_40_44_Em_Tot,C06_M_40_44_Unem_Look_FT,C06_M_40_44_Unem_Look_PT,C06_M_40_44_Unem_Tot,C06_M_40_44_Tot_LF,C06_M_40_44_Notin_LF,C06_M_40_44_LF_NS,C06_M_40_44_Tot,C06_M_45_49_Em_FT,C06_M_45_49_Em_PT,C06_M_45_49_Em_AFW,C06_M_45_49_Em_Hrs_NS,C06_M_45_49_Em_Tot,C06_M_45_49_Unem_Look_FT,C06_M_45_49_Unem_Look_PT,C06_M_45_49_Unem_Tot,C06_M_45_49_Tot_LF,C06_M_45_49_Notin_LF,C06_M_45_49_LF_NS,C06_M_45_49_Tot,C06_M_50_54_Em_FT,C06_M_50_54_Em_PT,C06_M_50_54_Em_AFW,C06_M_50_54_Em_Hrs_NS,C06_M_50_54_Em_Tot,C06_M_50_54_Unem_Look_FT,C06_M_50_54_Unem_Look_PT,C06_M_50_54_Unem_Tot,C06_M_50_54_Tot_LF,C06_M_50_54_Notin_LF,C06_M_50_54_LF_NS,C06_M_50_54_Tot,C06_M_55_59_Em_FT,C06_M_55_59_Em_PT,C06_M_55_59_Em_AFW,C06_M_55_59_Em_Hrs_NS,C06_M_55_59_Em_Tot,C06_M_55_59_Unem_Look_FT,C06_M_55_59_Unem_Look_PT,C06_M_55_59_Unem_Tot,C06_M_55_59_Tot_LF,C06_M_55_59_Notin_LF,C06_M_55_59_LF_NS,C06_M_55_59_Tot,C06_M_60_64_Em_FT,C06_M_60_64_Em_PT,C06_M_60_64_Em_AFW,C06_M_60_64_Em_Hrs_NS,C06_M_60_64_Em_Tot,C06_M_60_64_Unem_Look_FT,C06_M_60_64_Unem_Look_PT,C06_M_60_64_Unem_Tot,C06_M_60_64_Tot_LF,C06_M_60_64_Notin_LF,C06_M_60_64_LF_NS,C06_M_60_64_Tot,C06_M_65_69_Em_FT,C06_M_65_69_Em_PT,C06_M_65_69_Em_AFW,C06_M_65_69_Em_Hrs_NS,C06_M_65_69_Em_Tot,C06_M_65_69_Unem_Look_FT,C06_M_65_69_Unem_Look_PT,C06_M_65_69_Unem_Tot,C06_M_65_69_Tot_LF,C06_M_65_69_Notin_LF,C06_M_65_69_LF_NS,C06_M_65_69_Tot,C06_M_70_74_Em_FT,C06_M_70_74_Em_PT,C06_M_70_74_Em_AFW,C06_M_70_74_Em_Hrs_NS,C06_M_70_74_Em_Tot,C06_M_70_74_Unem_Look_FT,C06_M_70_74_Unem_Look_PT,C06_M_70_74_Unem_Tot,C06_M_70_74_Tot_LF,C06_M_70_74_Notin_LF,C06_M_70_74_LF_NS,C06_M_70_74_Tot,C06_M_75over_Em_FT,C06_M_75over_Em_PT,C06_M_75ov_Em_AFW,C06_M_75ov_Em_Hrs_NS,C06_M_75ov_Em_Tot,C06_M_75ov_Unem_Look_FT,C06_M_75ov_Unem_Look_PT,C06_M_75ov_Unem_Tot,C06_M_75over_Tot_LF,C06_M_75ove_Notin_LF,C06_M_75over_LF_NS,C06_M_75over_Tot,C06_M_Tot_Em_FT,C06_M_Tot_Em_PT,C06_M_Tot_Em_AFW,C06_M_Tot_Em_Hrs_NS,C06_M_Tot_Em_Tot,C06_M_Tot_Unem_Look_FT,C06_M_Tot_Unem_Look_PT,C06_M_Tot_Unem_Tot,C06_M_T_T_labo_for,C06_M_Tot_Notin_LF,C06_M_Tot_LF_NS,C06_M_T_T,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Notin_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Notin_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot
9OTER,13,3,0,0,20,3,3,5,23,33,5,66,39,8,0,5,54,7,5,5,57,6,10,74,46,4,0,0,51,3,0,0,55,9,10,71,41,11,0,3,52,4,0,5,57,7,8,77,75,11,0,3,82,0,0,0,82,9,3,97,86,10,3,4,101,3,0,3,103,3,12,120,63,13,3,0,82,0,0,3,90,10,8,100,69,7,5,7,84,0,0,0,88,12,7,103,64,10,9,6,83,3,0,7,91,17,8,113,28,10,0,0,42,4,0,4,43,20,3,69,10,0,0,0,11,0,0,0,17,27,6,46,0,3,0,0,3,0,0,0,3,16,4,20,0,0,0,0,3,0,0,0,3,10,0,12,539,86,21,32,675,22,13,38,715,178,82,969,22,10,0,0,30,3,0,4,32,72,3,107,47,5,0,3,51,0,0,0,52,144,4,195,51,6,3,4,63,8,0,8
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,4,0,3,13,3,0,0,0,3,0,0,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,12,0,11,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
8ACTE,1838,3452,209,238,5735,274,559,834,6565,5083,529,12175,6948,3196,241,300,10682,404,298,701,11387,1831,849,14068,8432,1398,274,235,10341,254,107,361,10703,957,793,12450,8870,1108,351,263,10591,232,65,295,10889,738,660,12286,9032,1092,310,206,10636,195,55,249,10883,696,559,12139,8704,916,366,213,10197,186,58,243,10437,672,576,11689,8673,876,337,178,10073,167,39,208,10284,692,509,11485,7811,836,337,156,9137,163,33,194,9331,813,451,10593,5583,1244,298,102,7226,140,58,195,7426,2035,454,9909,2570,1017,219,61,3877,78,75,153,4026,2580,310,6917,666,597,73,26,1354,8,17,23,1378,3091,249,4721,162,248,26,8,449,3,4,12,463,2807,240,3513,99,125,10,16,247,0,3,4,253,5118,482,5858,69387,16105,3050,2008,90552,2104,1369,3479,94026,27110,6662,127797,1700,3403,260,162,5530,260,640,902,6432,5378,518,12327,7010,3546,381,262,11200,399,486,887,12086,2497,1021,15600,10550,1598,374,223,12748,314,140,455
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,8,9,3,0,14,4,0,3,20,10,4,32,24,16,3,3,39,3,3,3,45,19,3,68,14,10,0,0,22,6,3,7,33,10,5,47,16,6,0,0,29,3,0,3,29,3,3,39,16,0,0,0,23,3,0,3,26,8,6,43,8,7,3,0,12,6,0,6,18,4,0,29,7,0,0,0,11,0,0,0,9,5,0,19,7,3,0,0,11,0,0,0,9,3,0,13,4,3,0,0,5,0,0,0,7,4,0,12,3,0,0,0,7,0,0,0,6,4,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,109,40,13,6,175,20,8,33,202,91,28,319,3,3,0,0,12,3,4,9,18,16,3,30,9,8,0,0,17,3,0,7,26,13,5,38,16,3,3,0,27,3,0,3
7RNTE,451,601,44,90,1186,87,59,148,1336,1758,475,3565,1084,571,56,117,1827,160,34,192,2019,936,456,3404,1318,492,69,77,1956,112,36,146,2100,788,443,3336,1440,491,74,88,2094,111,26,132,2227,762,434,3418,1645,471,87,75,2280,78,35,107,2384,672,435,3491,1567,376,79,57,2080,68,14,84,2163,565,446,3171,1566,307,70,59,2007,53,15,71,2073,498,397,2973,1344,262,84,55,1747,41,7,49,1793,404,322,2517,1020,196,72,37,1321,34,12,41,1364,426,259,2049,497,144,35,29,706,24,10,27,736,446,193,1378,177,68,21,15,286,3,0,3,286,443,110,848,29,17,5,7,59,0,0,0,59,252,66,377,25,22,3,5,55,4,0,3,54,353,83,493,12161,4031,696,701,17593,767,241,1010,18598,8297,4119,31022,453,388,54,66,956,180,82,260,1217,1928,361,3503,1258,357,74,103,1798,253,54,310,2102,1110,393,3601,1728,385,99,82,2293,196,56,256
7GDAR,786,798,66,86,1737,94,72,165,1901,1487,477,3865,2457,454,119,138,3172,116,36,154,3321,380,515,4214,2840,339,140,100,3422,108,26,133,3557,303,464,4325,3021,329,174,118,3638,88,17,109,3745,327,533,4600,3078,342,149,102,3674,86,23,108,3788,323,472,4582,2981,317,171,95,3558,73,9,89,3642,380,513,4540,2724,312,138,82,3252,85,11,102,3350,367,488,4205,2425,228,145,63,2861,66,10,79,2940,355,467,3756,1828,315,137,50,2329,69,34,100,2426,641,363,3434,896,225,71,26,1215,30,20,47,1268,720,266,2253,236,120,36,19,399,5,4,12,411,789,171,1374,44,48,3,0,93,0,0,0,93,572,123,794,31,11,3,4,52,0,0,3,56,675,149,883,23333,3835,1345,882,29401,829,268,1096,30497,7320,4996,42816,853,803,60,72,1783,134,131,264,2048,1772,515,4331,2943,495,287,135,3857,161,57,214,4070,599,627,5296,3484,445,264,111,4315,120,29,152
79799,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,19,0,0,0,20,0,8,32,8,0,0,0,15,0,0,0,15,0,0,12,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,7,0,0,0,7,0,0,9,5,0,0,0,5,0,0,0,5,0,3,11,4,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,3,65,0,0,0,63,3,13,78,0,0,0,0,0,0,0,0,3,0,0,4,10,0,0,0,11,0,0,0,11,3,0,17,9,0,0,0,13,0,0,0
79499,5,0,0,0,3,3,0,3,10,7,10,29,35,9,0,0,38,3,0,4,46,10,20,76,42,7,3,4,57,3,0,5,62,12,6,78,41,4,4,0,51,3,0,6,54,21,30,109,20,9,0,3,34,4,0,4,38,13,9,63,23,0,3,0,26,7,0,8,35,18,7,65,25,6,4,0,42,3,0,3,40,14,15,75,27,4,0,0,28,0,0,0,35,35,14,84,24,11,3,3,44,4,3,9,48,81,17,149,9,7,3,0,15,0,0,0,17,77,13,109,0,3,0,0,3,0,0,0,3,66,7,76,0,0,0,0,0,0,0,0,0,17,0,21,0,0,0,0,0,0,0,0,0,8,0,6,253,54,20,10,345,41,6,46,392,393,154,938,0,0,0,0,3,0,0,0,3,0,3,9,27,8,7,0,46,0,0,3,43,11,10,65,39,15,3,0,54,10,3,17
