GCCSA_CODE_2016,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_T_M,C16_15_19_T_F,C16_15_19_T_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_T_M,C16_20_24_T_F,C16_20_24_T_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_T_M,C16_25_29_T_F,C16_25_29_T_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_T_M,C16_30_34_T_F,C16_30_34_T_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_T_M,C16_35_39_T_F,C16_35_39_T_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_T_M,C16_40_44_T_F,C16_40_44_T_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Sep_M,C16_45_49_Sep_F,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_T_M,C16_45_49_T_F,C16_45_49_T_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_T_M,C16_50_54_T_F,C16_50_54_T_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_T_M,C16_55_59_T_F,C16_55_59_T_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_T_M,C16_60_64_T_F,C16_60_64_T_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_T_M,C16_65_69_T_F,C16_65_69_T_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_T_M,C16_70_74_T_F,C16_70_74_T_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Married_M,C16_85o_Married_F
9OTER,5,0,3,834,498,39,14,64,25,16,43,744,222,1708,803,2507,0,0,0,0,0,0,0,0,101,107,101,107,205,6,12,0,0,0,0,0,0,132,52,134,63,199,25,51,0,0,0,0,3,0,130,48,163,95,257,73,80,5,5,4,0,0,4,81,61,164,144,312,105,86,10,3,6,9,0,0,58,40,176,137,317,92,90,10,7,15,8,0,0,48,44,167,148,317,81,90,7,12,22,19,0,4,58,41,170,162,331,133,116,4,9,28,16,0,7,39,28,206,174,374,110,113,12,7,33,24,0,16,33,24,195,184,377,109,101,6,4,29,23,4,15,19,20,169,157,328,133,71,3,6,13,21,7,19,13,8,165,120,286,68,54,0,0,11,7,7,15,5,5,91,86,178,48,26,0,0,12,6,8,20,0,3,66,54,122,19,13,0,0,5,3,4,18,0,3,26,38,68,19,7
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,3,3,0,0,0,3,0,0,3,7,5,19,24,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,6,4,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,3,6,7,0,4,0,0,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,1658,3174,4831,68772,68631,3385,4113,8986,14033,2284,9053,58809,52230,142233,148069,290306,28,32,8,8,7,6,10,3,12299,12075,12350,12124,24468,403,860,25,49,17,20,0,13,15384,14589,15829,15525,31354,3242,5160,116,241,118,182,12,18,12425,10919,15913,16512,32426,8457,9978,296,420,370,552,20,25,7320,6159,16461,17122,33587,9527,9734,379,500,605,888,28,53,4444,3972,14985,15147,30131,9197,9103,469,573,879,1390,27,100,3318,3107,13891,14281,28167,8529,8278,569,621,1254,1886,68,150,2721,2450,13149,13377,26524,7753,7617,481,592,1455,2247,97,268,2024,1847,11813,12573,24387,7206,7010,462,477,1485,2210,123,467,1500,1372,10781,11541,22320,6430,6110,322,377,1230,2040,172,661,933,838,9086,10024,19110,6052,5468,249,303,1090,1772,259,1019,548,507,8198,9073,17265,4372,3564,144,150,590,1142,323,1280,300,293,5728,6428,12157,2955,2292,86,87,373,634,351,1473,134,137,3895,4623,8520,1847,1226,44,45,177,330,396,1580,70,110,2540,3294,5834,1366,706
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,4,7,53,51,16,21,36,37,3,6,194,161,301,272,572,0,0,0,0,0,0,0,0,16,20,16,20,35,0,0,0,0,0,0,0,0,35,40,36,42,79,3,0,0,0,0,0,0,0,34,19,36,21,60,3,0,3,0,0,3,0,0,20,16,32,20,47,6,8,3,4,0,0,0,0,19,17,31,25,59,3,0,6,0,5,3,0,0,20,9,37,9,45,0,0,0,3,4,0,0,0,13,7,14,11,26,7,3,10,3,8,3,0,0,7,3,32,15,43,3,4,5,0,7,9,0,0,3,3,20,22,41,3,0,3,0,12,6,0,0,8,3,26,15,36,5,0,0,0,3,3,0,0,0,0,13,5,18,0,0,0,0,0,0,0,0,3,0,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,4,7,0,0
7RNTE,84,179,267,14848,14478,1140,1126,2269,2199,613,1976,14431,12675,33299,32456,65759,187,365,11,11,0,5,5,3,3212,2643,3420,3023,6446,823,1006,37,57,22,16,6,13,2657,2262,3544,3357,6905,1439,1601,59,107,40,50,11,30,2378,2268,3921,4053,7973,1883,1991,90,156,71,107,8,37,1728,1647,3778,3934,7710,1735,1760,89,144,111,164,15,50,1192,1136,3135,3255,6392,1712,1643,133,142,167,146,28,78,970,1022,3010,3029,6039,1669,1627,160,173,232,283,41,122,939,917,3035,3120,6159,1585,1466,160,147,328,326,62,245,713,699,2849,2887,5728,1384,1234,149,143,315,380,58,221,527,478,2439,2455,4895,1119,905,116,108,300,307,101,305,361,291,2002,1911,3913,748,483,82,68,240,200,90,285,184,129,1344,1160,2504,380,267,61,34,126,100,92,210,111,92,774,698,1470,230,109,24,8,73,52,66,160,56,45,443,375,820,70,54,5,7,24,19,46,148,38,28,181,262,444,48,23
7GDAR,165,258,423,20320,19697,1595,1570,4153,4437,612,1958,23265,17600,49945,45262,95209,23,19,4,3,3,3,5,4,4009,3531,4039,3560,7600,301,513,22,27,8,8,3,3,4870,3797,5198,4355,9555,1567,2088,74,98,47,80,4,5,5392,4111,7081,6389,13470,3144,3381,129,155,154,227,9,7,3529,2659,6963,6425,13388,3434,3236,156,169,259,313,11,28,2177,1650,6038,5401,11436,3214,2823,194,213,374,443,15,40,1641,1398,5438,4911,10347,3037,2720,254,253,583,597,35,85,1453,1042,5367,4694,10063,2675,2273,250,237,685,696,39,162,1072,797,4721,4163,8886,2337,2064,182,216,698,749,44,182,779,511,4048,3728,7777,2002,1565,202,160,620,585,61,267,501,296,3388,2879,6266,1512,1134,141,100,484,445,108,300,285,150,2539,2136,4674,928,613,92,45,227,237,69,306,162,53,1482,1253,2740,507,282,49,21,134,140,98,335,71,27,860,803,1660,230,102,5,3,57,58,65,242,29,7,387,418,805,119,66
79799,0,0,0,26,7,6,3,13,0,0,0,49,8,90,19,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,3,0,0,0,0,0,0,0,7,4,8,4,11,3,0,0,0,0,0,0,0,10,3,14,3,17,9,0,0,0,0,0,0,0,0,0,10,0,7,11,0,0,0,0,0,0,0,0,0,11,0,11,4,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,3,0,0,412,362,57,32,104,97,24,18,362,263,954,775,1727,0,0,0,0,0,0,0,0,16,17,16,17,32,0,3,0,0,0,0,0,0,97,84,98,85,183,12,12,0,0,5,0,0,0,103,118,122,129,251,19,31,0,3,3,0,0,0,81,71,98,106,206,34,27,0,3,3,6,0,0,48,51,97,83,179,38,28,6,3,11,4,0,3,63,51,122,95,213,38,34,5,0,16,12,4,4,73,45,131,99,225,51,41,4,6,8,11,3,7,54,40,126,104,233,45,61,7,3,27,15,0,3,38,22,110,100,215,61,87,11,4,27,8,8,3,10,7,118,107,223,61,47,10,7,27,9,10,6,10,3,119,67,189,35,19,10,0,9,10,4,0,4,0,56,30,86,12,5,0,0,5,3,5,0,0,0,24,8,30,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
