GCCSA_CODE_2016,C16_F_Health_15_19,C16_F_Health_20_24,C16_F_Health_25_34,C16_F_Health_35_44,C16_F_Health_45_54,C16_F_Health_55_64,C16_F_Health_65_74,C16_F_Health_75_84,C16_F_Health_85o,C16_F_Healt_T,C16_F_Educ_15_19,C16_F_Educ_20_24,C16_F_Educ_25_34,C16_F_Educ_35_44,C16_F_Educ_45_54,C16_F_Educ_55_64,C16_F_Educ_65_74,C16_F_Educ_75_84,C16_F_Educ_85o,C16_F_Educ_Tot,C16_F_MngtCom_15_19,C16_F_MngtCom_20_24,C16_F_MngtCom_25_34,C16_F_MngtCom_35_44,C16_F_MngtCom_45_54,C16_F_MngtCom_55_64,C16_F_MngtCom_65_74,C16_F_MngtCom_75_84,C16_F_MngtCom_85o,C16_F_MngtCom_T,C16_F_Soc_cult_15_19,C16_F_Soc_cult_20_24,C16_F_Soc_cult_25_34,C16_F_Soc_cult_35_44,C16_F_Soc_cult_45_54,C16_F_Soc_cult_55_64,C16_F_Soc_cult_65_74,C16_F_Soc_cult_75_84,C16_F_Soc_cult_85o,C16_F_Society_cultur_Tot,C16_F_Creative_art_15_19,C16_F_Creative_art_20_24,C16_F_Creative_art_25_34,C16_F_Creative_art_35_44,C16_F_Creative_art_45_54,C16_F_Creative_art_55_64,C16_F_Creative_art_65_74,C16_F_Creative_art_75_84,C16_F_Creativ_art_85o,C16_F_Creative_arts_Tot,C16_F_FoodHos_PS_15_19,C16_F_FoodHos_PS_20_24,C16_F_FoodHos_PS_25_34,C16_F_FoodHos_PS_35_44,C16_F_FoodHos_PS_45_54,C16_F_FoodHos_PS_55_64,C16_F_FoodHos_PS_65_74,C16_F_FoodHos_PS_75_84,C16_F_FoodHos_PS_85o,C16_F_FoodHos_PS_T,C16_F_MixFld_pr_15_19,C16_F_MixFld_pr_20_24,C16_F_MixFld_pr_25_34,C16_F_MixFld_pr_35_44,C16_F_MixFld_pr_45_54,C16_F_MixFld_pr_55_64,C16_F_MixFld_pr_65_74,C16_F_MixFld_pr_75_84,C16_F_MixFld_pr_85_ov,C16_F_MixFld_pr_Tot,C16_F_FldStu_ID_15_19,C16_F_FldStu_ID_20_24,C16_F_FldStu_ID_25_34,C16_F_FldStu_ID_35_44,C16_F_FldStu_ID_45_54,C16_F_FldStu_ID_55_64,C16_F_FldStu_ID_65_74,C16_F_FldStu_ID_75_84,C16_F_FldStu_ID_85o,C16_F_FldStu_ID_Tot,C16_F_FldStu_NS_15_19,C16_F_FldStu_NS_20_24,C16_F_FldStu_NS_25_34,C16_F_FldStu_NS_35_44,C16_F_FldStu_NS_45_54,C16_F_FldStu_NS_55_64,C16_F_FldStu_NS_65_74,C16_F_FldStu_NS_75_84,C16_F_FldStu_NS_85o,C16_F_FldStu_NS_T,C16_F_Tot_15_19,C16_F_Tot_20_24,C16_F_Tot_25_34,C16_F_Tot_35_44,C16_F_Tot_45_54,C16_F_Tot_55_64,C16_F_Tot_65_74,C16_F_Tot_75_84,C16_F_Tot_85o,C16_F_T_T,C06_P_NatPhy_sci_15_19,C06_P_NatPhy_sci_20_24,C06_P_NatPhy_sci_25_34,C06_P_NatPhy_sci_35_44,C06_P_NatPhy_sci_45_54,C06_P_NatPhy_sci_55_64,C06_P_NatPhy_sci_65_74,C06_P_NatPhy_sci_75_84,C06_P_NatPhy_sci_85_ov,C06_P_NatPhy_sci_Tot,C06_P_InfTec_15_19,C06_P_InfTec_20_24,C06_P_InfTec_25_34,C06_P_InfTec_35_44,C06_P_InfTec_45_54,C06_P_InfTec_55_64,C06_P_InfTec_65_74,C06_P_InfTec_75_84,C06_P_InfTec_85_ov,C06_P_InfTec_Tot,C06_P_EngRT_15_19,C06_P_EngRT_20_24,C06_P_EngRT_25_34,C06_P_EngRT_35_44,C06_P_EngRT_45_54,C06_P_EngRT_55_64,C06_P_EngRT_65_74,C06_P_EngRT_75_84,C06_P_EngRT_85_ov,C06_P_EngRT_Tot,C06_P_ArchBuild_15_19,C06_P_ArchBuild_20_24,C06_P_ArchBuild_25_34,C06_P_ArchBuild_35_44,C06_P_ArchBuild_45_54,C06_P_ArchBuild_55_64,C06_P_ArchBuild_65_74,C06_P_ArchBuild_75_84,C06_P_ArchBuild_85o,C06_P_Arch_building_Tot,C06_P_AgEnv_RS_15_19,C06_P_AgEnv_RS_20_24,C06_P_AgEnv_RS_25_34,C06_P_AgEnv_RS_35_44,C06_P_AgEnv_RS_45_54,C06_P_AgEnv_RS_55_64,C06_P_AgEnv_RS_65_74,C06_P_AgEnv_RS_75_84,C06_P_AgEnv_RS_85o,C06_P_AgEnv_RS_Tot,C06_P_Health_15_19,C06_P_Health_20_24,C06_P_Health_25_34,C06_P_Health_35_44,C06_P_Health_45_54,C06_P_Health_55_64,C06_P_Health_65_74,C06_P_Health_75_84,C06_P_Health_85o,C06_P_Healt_To,C06_P_Educ_15_19,C06_P_Educ_20_24,C06_P_Educ_25_34,C06_P_Educ_35_44,C06_P_Educ_45_54,C06_P_Educ_55_64,C06_P_Educ_65_74,C06_P_Educ_75_84,C06_P_Educ_85o,C06_P_Educ_Tot,C06_P_MngtCom_15_19,C06_P_MngtCom_20_24,C06_P_MngtCom_25_34,C06_P_MngtCom_35_44,C06_P_MngtCom_45_54,C06_P_MngtCom_55_64,C06_P_MngtCom_65_74,C06_P_MngtCom_75_84,C06_P_MngtCom_85o,C06_P_MngtCom_Tot,C06_P_Soc_cult_15_19,C06_P_Soc_cult_20_24,C06_P_Soc_cult_25_34,C06_P_Soc_cult_35_44,C06_P_Soc_cult_45_54,C06_P_Soc_cult_55_64,C06_P_Soc_cult_65_74,C06_P_Soc_cult_75_84,C06_P_Soc_cult_85o,C06_P_Society_cultur_Tot,C06_P_Creative_art_15_19,C06_P_Creative_art_20_24,C06_P_Creative_art_25_34,C06_P_Creative_art_35_44,C06_P_Creative_art_45_54,C06_P_Creative_art_55_64,C06_P_Creative_art_65_74,C06_P_Creative_art_75_84,C06_P_Creative_arts_85o,C06_P_Creative_arts_Tot
9OTER,0,4,12,18,13,27,16,3,3,90,0,4,23,23,22,20,12,5,0,113,3,9,40,59,48,42,22,4,0,235,4,0,26,23,19,13,7,0,0,95,0,0,4,6,3,3,0,0,0,27,0,11,15,14,13,11,0,0,0,60,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,4,0,0,0,15,28,8,27,34,57,51,33,21,6,267,37,43,170,201,190,179,88,44,9,965,0,3,9,13,4,0,0,0,0,27,0,0,7,0,0,0,0,0,0,4,0,4,31,51,41,16,7,0,0,156,0,4,10,16,20,13,0,0,0,60,0,0,3,3,8,0,0,0,0,20,0,0,3,13,17,6,0,0,0,44,0,8,14,26,30,9,0,0,0,86,6,15,26,27,17,7,0,0,0,100,0,8,22,12,8,7,0,0,0,58,0,0,0,0,0,0,0,0,0,7
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,5,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,37,709,3290,2675,2287,2133,1210,647,212,13206,30,408,2160,2260,1947,2080,1673,712,162,11426,161,1799,6337,6013,4718,3128,1786,562,222,24736,188,1838,6857,5753,4511,3521,2047,603,147,25467,59,484,1634,1297,908,498,274,115,49,5322,155,564,1271,944,638,387,225,82,24,4296,26,25,14,15,16,19,28,22,11,178,17,71,433,490,393,249,154,64,29,1903,677,975,2136,1651,1466,1353,1123,974,931,11276,1443,7951,27797,24365,19403,14981,9320,4048,1923,111238,9,672,2260,2245,2135,1513,534,320,68,9756,129,1140,2969,2581,1853,640,75,12,8,9406,79,841,3224,3652,3432,2697,1452,771,173,16326,57,452,1397,1325,1316,1028,665,336,54,6622,16,263,822,702,561,321,163,76,18,2938,32,526,1932,2578,3023,1750,880,470,144,11342,12,324,2041,2101,2962,2516,1099,394,128,11572,330,2638,7076,6564,5682,3627,1161,689,207,27967,156,2191,7419,6327,6420,4597,1597,742,151,29595,68,1043,2030,1412,980,500,217,110,32,6397
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,4,0,0,3,0,0,0,13,0,0,0,0,0,6,4,0,0,12,3,5,5,7,3,3,0,0,0,30,0,7,11,9,7,7,0,0,0,37,0,0,3,7,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,3,9,5,3,0,0,0,31,12,21,36,30,18,25,8,0,0,151,0,3,5,3,3,0,0,0,0,20,0,4,4,5,0,0,0,0,0,11,0,3,8,8,3,0,3,0,0,25,0,0,4,4,3,4,0,0,0,17,0,3,3,0,0,3,0,0,0,8,0,3,12,10,4,6,3,0,0,28,0,0,8,0,0,0,0,0,0,13,5,14,20,15,7,6,0,0,0,60,0,18,19,17,7,6,0,0,0,64,0,4,9,8,0,0,0,0,0,24
7RNTE,8,105,613,530,503,436,137,48,12,2403,4,47,444,420,469,432,152,37,5,2008,26,145,653,533,520,339,94,20,7,2333,30,125,635,482,484,350,78,20,3,2216,10,25,110,84,60,50,20,4,0,371,54,103,237,154,129,64,28,4,3,785,3,3,12,8,11,8,6,4,0,48,4,11,41,39,46,19,3,0,0,165,733,735,1557,1163,1098,751,364,115,42,6565,911,1397,4627,3686,3487,2535,898,256,74,17874,0,17,110,117,102,44,12,4,0,413,11,34,80,75,54,17,5,0,0,276,49,279,882,1070,855,506,164,36,5,3847,18,72,228,288,281,176,57,18,3,1136,63,94,296,219,132,53,18,5,0,882,6,99,485,644,575,288,78,21,0,2208,5,65,441,538,636,380,94,16,9,2182,49,288,739,648,572,246,45,12,0,2598,32,122,499,581,485,261,45,8,7,2040,9,50,144,115,99,48,11,4,3,481
7GDAR,8,297,1566,1059,781,625,267,94,22,4709,11,113,827,866,776,614,296,73,12,3587,113,541,2295,1845,1335,731,268,56,13,7200,61,340,1454,1193,962,710,226,55,7,5002,14,76,336,222,128,81,34,7,3,895,74,269,694,429,297,127,54,22,6,1976,8,11,22,11,11,7,8,3,0,80,10,13,87,95,95,40,23,3,0,368,492,588,1633,1177,1024,874,470,201,89,6544,832,2455,9753,7696,5894,4092,1743,530,150,33137,0,80,352,306,269,150,43,11,0,1208,45,163,372,265,178,61,6,0,3,1093,84,565,1867,2144,1701,1115,402,104,12,8002,21,121,447,512,482,390,149,51,3,2184,15,110,322,305,202,104,18,11,0,1098,10,214,911,908,878,436,144,48,7,3568,3,75,607,779,977,638,149,35,16,3273,121,670,1844,1627,1233,676,131,37,6,6352,34,321,1198,1174,945,529,154,29,4,4389,25,110,331,258,156,97,28,7,5,1019
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
79499,0,0,22,11,18,26,6,0,0,82,0,0,12,6,4,13,9,0,0,43,0,6,12,15,12,18,3,0,0,73,0,10,15,15,9,9,4,0,0,62,0,5,4,0,3,3,3,0,0,20,0,3,10,8,4,5,0,0,0,34,4,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,5,0,35,93,73,87,44,32,5,0,368,7,70,192,144,141,123,62,8,0,740,0,3,11,0,3,4,0,0,0,22,0,0,0,3,6,0,0,0,0,10,0,12,41,25,36,69,25,0,0,201,0,4,12,10,9,20,13,0,0,64,0,3,11,6,3,6,3,0,0,27,0,9,26,17,20,23,13,0,0,104,0,3,5,4,7,17,3,0,0,39,0,10,25,11,14,18,5,0,0,86,0,3,24,11,16,6,3,0,0,70,0,4,7,0,3,0,0,0,0,22
