GCCSA_CODE_2016,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Notin_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Notin_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Notin_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Notin_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Notin_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Notin_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Notin_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75ov_Em_FT,C16_M_75ov_Em_PT,C16_M_75ov_Em_AFW,C16_M_75ov_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75ov_Unem_Lo_pt_wor,C16_M_75ov_Unempl_Tot,C16_M_75ov_Tot_LF,C16_M_75over_N_lab_forc,C16_M_75ov_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_T_T_labo_for,C16_M_Tot_Notin_LF,C16_M_Tot_LF_NS,C16_M_T_T,C06_F_15_19_Em_FT,C06_F_15_19_Em_PT,C06_F_15_19_Em_AFW,C06_F_15_19_Em_Hrs_NS,C06_F_15_19_Em_Tot,C06_F_15_19_Unem_Look_FT,C06_F_15_19_Unem_Look_PT,C06_F_15_19_Unem_Tot,C06_F_15_19_Tot_LF,C06_F_15_19_Notin_LF,C06_F_15_19_LF_NS,C06_F_15_19_Tot,C06_F_20_24_Em_FT,C06_F_20_24_Em_PT,C06_F_20_24_Em_AFW,C06_F_20_24_Em_Hrs_NS,C06_F_20_24_Em_Tot,C06_F_20_24_Unem_Look_FT,C06_F_20_24_Unem_Look_PT,C06_F_20_24_Unem_Tot,C06_F_20_24_Tot_LF,C06_F_20_24_Notin_LF,C06_F_20_24_LF_NS,C06_F_20_24_Tot,C06_F_25_29_Em_FT,C06_F_25_29_Em_PT,C06_F_25_29_Em_AFW,C06_F_25_29_Em_Hrs_NS,C06_F_25_29_Em_Tot,C06_F_25_29_Unem_Look_FT,C06_F_25_29_Unem_Look_PT,C06_F_25_29_Unem_Tot,C06_F_25_29_Tot_LF,C06_F_25_29_Notin_LF,C06_F_25_29_LF_NS,C06_F_25_29_Tot,C06_F_30_34_Em_FT,C06_F_30_34_Em_PT,C06_F_30_34_Em_AFW,C06_F_30_34_Em_Hrs_NS,C06_F_30_34_Em_Tot,C06_F_30_34_Unem_Look_FT,C06_F_30_34_Unem_Look_PT,C06_F_30_34_Unem_Tot,C06_F_30_34_Tot_LF,C06_F_30_34_Notin_LF,C06_F_30_34_LF_NS,C06_F_30_34_Tot,C06_F_35_39_Em_FT,C06_F_35_39_Em_PT,C06_F_35_39_Em_AFW,C06_F_35_39_Em_Hrs_NS,C06_F_35_39_Em_Tot,C06_F_35_39_Unem_Look_FT,C06_F_35_39_Unem_Look_PT,C06_F_35_39_Unem_Tot,C06_F_35_39_Tot_LF,C06_F_35_39_Notin_LF,C06_F_35_39_LF_NS,C06_F_35_39_Tot,C06_F_40_44_Em_FT,C06_F_40_44_Em_PT,C06_F_40_44_Em_AFW,C06_F_40_44_Em_Hrs_NS,C06_F_40_44_Em_Tot,C06_F_40_44_Unem_Look_FT,C06_F_40_44_Unem_Look_PT,C06_F_40_44_Unem_Tot,C06_F_40_44_Tot_LF,C06_F_40_44_Notin_LF,C06_F_40_44_LF_NS,C06_F_40_44_Tot,C06_F_45_49_Em_FT,C06_F_45_49_Em_PT,C06_F_45_49_Em_AFW,C06_F_45_49_Em_Hrs_NS,C06_F_45_49_Em_Tot,C06_F_45_49_Unem_Look_FT,C06_F_45_49_Unem_Look_PT,C06_F_45_49_Unem_Tot,C06_F_45_49_Tot_LF,C06_F_45_49_Notin_LF,C06_F_45_49_LF_NS,C06_F_45_49_Tot,C06_F_50_54_Em_FT,C06_F_50_54_Em_PT,C06_F_50_54_Em_AFW,C06_F_50_54_Em_Hrs_NS,C06_F_50_54_Em_Tot,C06_F_50_54_Unem_Look_FT,C06_F_50_54_Unem_Look_PT,C06_F_50_54_Unem_Tot,C06_F_50_54_Tot_LF,C06_F_50_54_Notin_LF,C06_F_50_54_LF_NS,C06_F_50_54_Tot
9OTER,111,0,0,7,115,36,12,167,103,14,4,4,124,0,0,0,126,27,18,170,113,30,0,3,150,0,0,0,152,32,21,206,97,22,6,0,134,3,4,5,137,32,17,195,92,18,9,0,113,0,0,3,121,24,25,169,64,22,3,0,97,0,0,0,98,45,23,165,14,5,0,0,25,0,0,0,25,56,9,91,13,10,0,3,21,0,0,0,21,81,18,116,880,203,58,37,1175,17,9,26,1201,584,227,2013,3,9,0,3,13,4,6,8,17,37,3,56,32,8,6,0,40,3,0,3,44,21,0,67,30,10,0,0,39,4,0,5,45,13,0,60,21,15,0,0,41,3,0,3,47,25,3,71,33,22,3,8,56,0,4,3,63,37,3,105,27,29,0,3,59,0,0,5,62,27,8,94,26,23,3,0,58,0,0,0,61,32,0,90,29,11,0,3,35,3,3,4,42,43,4,87
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,4,7,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,11890,287,81,367,12259,861,767,13891,9694,1154,246,140,11225,216,60,273,11503,929,718,13149,8293,1071,328,108,9799,239,62,305,10104,1087,624,11813,6259,1174,287,79,7800,219,94,317,8119,2111,555,10781,3425,1249,207,56,4935,150,105,256,5191,3416,477,9086,1366,1020,138,38,2558,36,72,109,2671,5061,468,8198,320,484,43,21,867,18,24,45,908,4444,378,5728,123,267,23,22,436,8,16,24,457,7405,901,8758,79559,20409,2982,1666,104617,2933,2441,5370,109984,37825,9123,156932,1255,4317,222,222,6015,149,517,668,6680,4257,409,11346,5596,4113,309,210,10229,214,285,497,10727,2003,650,13383,7062,2214,590,145,10003,144,115,262,10266,1840,597,12701,5705,2904,858,156,9623,118,134,253,9874,2320,514,12710,5121,3668,692,144,9619,96,128,228,9848,2265,447,12562,5775,3621,425,170,9989,105,126,233,10222,1733,461,12417,6518,3198,420,174,10307,106,105,205,10516,1511,433,12460,5894,2591,444,152,9076,83,58,140,9218,1776,413,11410
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,12,3,0,4,15,13,11,37,0,0,0,0,0,0,0,0,4,7,6,14,8,0,0,0,11,3,0,3,13,8,6,32,9,4,0,0,10,0,0,0,12,7,7,20,0,0,0,0,3,0,0,0,3,8,14,26,0,0,0,0,0,0,0,0,0,9,4,13,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,5,63,24,4,7,102,22,4,29,133,89,80,297,5,5,3,0,15,3,3,3,14,12,0,31,13,11,0,0,24,3,11,12,35,20,7,58,18,6,0,0,30,0,0,4,30,6,0,44,8,7,0,0,14,0,0,3,12,12,0,27,10,4,0,0,20,0,0,0,19,5,3,28,8,0,0,0,15,0,0,0,15,8,0,20,3,7,0,0,4,0,0,3,12,7,0,13,9,0,0,0,7,0,0,0,7,4,0,14
7RNTE,1638,177,51,224,1863,768,378,3010,1355,217,60,42,1670,161,42,202,1876,709,455,3035,1341,205,69,43,1658,129,24,153,1805,617,425,2849,1198,181,71,37,1490,64,21,86,1574,499,359,2439,796,182,61,30,1072,53,23,75,1143,559,296,2002,326,122,26,14,489,9,4,17,499,644,199,1344,98,57,7,11,167,3,0,10,176,479,119,774,44,25,3,3,76,3,0,3,75,540,129,740,12175,2554,631,522,15882,1857,460,2314,18202,10828,4950,33985,336,570,39,73,1017,93,64,158,1175,1771,426,3372,972,487,47,74,1578,99,40,138,1718,1371,486,3578,1004,549,77,67,1701,98,54,145,1850,1255,448,3556,1003,631,89,70,1793,95,37,136,1934,1275,415,3626,1005,725,105,55,1889,88,34,125,2015,1018,389,3421,1055,589,92,68,1800,65,30,97,1892,755,336,2987,1102,515,93,72,1776,38,26,65,1839,634,302,2774,1009,383,71,38,1499,28,6,40,1538,619,285,2439
7GDAR,4209,129,16,142,4354,409,671,5438,3503,351,149,76,4079,129,30,159,4239,440,689,5367,2983,350,148,81,3559,129,26,156,3714,437,573,4721,2351,357,152,54,2918,105,21,125,3038,504,504,4048,1571,322,104,38,2030,88,32,122,2149,786,452,3388,627,251,37,17,937,27,15,36,975,1254,313,2539,155,96,18,11,281,9,4,16,292,1008,182,1482,58,48,12,7,124,0,0,0,125,1201,181,1511,31136,5324,1496,927,38883,1402,479,1876,40764,9750,7307,57821,477,978,55,78,1593,82,95,173,1765,1273,396,3433,1754,652,92,82,2579,75,61,133,2714,624,365,3709,2072,647,160,74,2950,57,45,106,3054,807,423,4285,1959,863,216,57,3095,62,57,114,3213,893,432,4534,1896,994,186,77,3149,35,46,81,3227,889,429,4548,1999,886,132,62,3083,44,42,91,3170,586,427,4184,2112,780,119,60,3070,28,27,47,3123,487,384,3997,1794,550,151,54,2539,24,23,55,2596,600,299,3497
79799,0,0,0,0,0,6,4,11,0,0,0,0,5,0,0,0,5,0,0,3,0,0,0,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,10,22,0,0,0,22,28,12,61,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,32,8,0,7,36,42,46,122,33,3,4,0,36,6,0,5,50,34,49,131,22,8,0,0,29,3,0,3,35,41,50,126,18,0,0,0,19,3,3,7,26,55,29,110,16,3,3,0,21,3,0,3,26,63,24,118,11,0,0,0,10,0,0,0,10,85,26,119,0,0,0,0,0,0,0,0,0,46,14,56,0,0,0,0,0,0,0,0,0,15,9,24,254,36,23,9,320,32,10,48,369,465,405,1240,8,3,0,0,6,0,3,3,10,7,6,19,29,7,0,0,40,4,0,4,46,7,9,62,24,10,3,3,37,3,0,3,40,29,19,95,11,8,4,0,26,5,3,4,27,25,24,79,11,0,3,0,22,0,0,0,21,16,9,46,9,6,3,0,17,3,0,3,21,13,7,39,13,6,3,0,23,0,0,0,30,26,6,63,19,11,4,0,31,0,3,7,36,45,7,92
