GCCSA_CODE_2016,Age_0_C06_M,Age_0_C06_F,Age_0_C06_P,Age_0_C11_M,Age_0_C11_F,Age_0_C11_P,Age_0_C16_M,Age_0_C16_F,Age_0_C16_P,Age_1_C06_M,Age_1_C06_F,Age_1_C06_P,Age_1_C11_M,Age_1_C11_F,Age_1_C11_P,Age_1_C16_M,Age_1_C16_F,Age_1_C16_P,Age_2_C06_M,Age_2_C06_F,Age_2_C06_P,Age_2_C11_M,Age_2_C11_F,Age_2_C11_P,Age_2_C16_M,Age_2_C16_F,Age_2_C16_P,Age_3_C06_M,Age_3_C06_F,Age_3_C06_P,Age_3_C11_M,Age_3_C11_F,Age_3_C11_P,Age_3_C16_M,Age_3_C16_F,Age_3_C16_P,Age_4_C06_M,Age_4_C06_F,Age_4_C06_P,Age_4_C11_M,Age_4_C11_F,Age_4_C11_P,Age_4_C16_M,Age_4_C16_F,Age_4_C16_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_5_C06_M,Age_5_C06_F,Age_5_C06_P,Age_5_C11_M,Age_5_C11_F,Age_5_C11_P,Age_5_C16_M,Age_5_C16_F,Age_5_C16_P,Age_6_C06_M,Age_6_C06_F,Age_6_C06_P,Age_6_C11_M,Age_6_C11_F,Age_6_C11_P,Age_6_C16_M,Age_6_C16_F,Age_6_C16_P,Age_7_C06_M,Age_7_C06_F,Age_7_C06_P,Age_7_C11_M,Age_7_C11_F,Age_7_C11_P,Age_7_C16_M,Age_7_C16_F,Age_7_C16_P,Age_8_C06_M,Age_8_C06_F,Age_8_C06_P,Age_8_C11_M,Age_8_C11_F,Age_8_C11_P,Age_8_C16_M,Age_8_C16_F,Age_8_C16_P,Age_9_C06_M,Age_9_C06_F,Age_9_C06_P,Age_9_C11_M,Age_9_C11_F,Age_9_C11_P,Age_9_C16_M,Age_9_C16_F,Age_9_C16_P,Age_5_9_C06_M,Age_5_9_C06_F,Age_5_9_C06_P,Age_5_9_C11_M,Age_5_9_C11_F,Age_5_9_C11_P,Age_5_9_C16_M,Age_5_9_C16_F,Age_5_9_C16_P,Age_10_C06_M,Age_10_C06_F,Age_10_C06_P,Age_10_C11_M,Age_10_C11_F,Age_10_C11_P,Age_10_C16_M,Age_10_C16_F,Age_10_C16_P,Age_11_C06_M,Age_11_C06_F,Age_11_C06_P,Age_11_C11_M,Age_11_C11_F,Age_11_C11_P,Age_11_C16_M,Age_11_C16_F,Age_11_C16_P,Age_12_C06_M,Age_12_C06_F,Age_12_C06_P,Age_12_C11_M,Age_12_C11_F,Age_12_C11_P,Age_12_C16_M,Age_12_C16_F,Age_12_C16_P,Age_13_C06_M,Age_13_C06_F,Age_13_C06_P,Age_13_C11_M,Age_13_C11_F,Age_13_C11_P,Age_13_C16_M,Age_13_C16_F,Age_13_C16_P,Age_14_C06_M,Age_14_C06_F,Age_14_C06_P,Age_14_C11_M,Age_14_C11_F,Age_14_C11_P,Age_14_C16_M,Age_14_C16_F,Age_14_C16_P,Age_10_14_C06_M,Age_10_14_C06_F,Age_10_14_C06_P,Age_10_14_C11_M,Age_10_14_C11_F,Age_10_14_C11_P,Age_10_14_C16_M,Age_10_14_C16_F,Age_10_14_C16_P,Age_15_C06_M,Age_15_C06_F,Age_15_C06_P,Age_15_C11_M,Age_15_C11_F,Age_15_C11_P,Age_15_C16_M,Age_15_C16_F,Age_15_C16_P,Age_16_C06_M,Age_16_C06_F,Age_16_C06_P,Age_16_C11_M,Age_16_C11_F,Age_16_C11_P,Age_16_C16_M,Age_16_C16_F,Age_16_C16_P,Age_17_C06_M,Age_17_C06_F,Age_17_C06_P,Age_17_C11_M,Age_17_C11_F,Age_17_C11_P,Age_17_C16_M,Age_17_C16_F,Age_17_C16_P,Age_18_C06_M,Age_18_C06_F,Age_18_C06_P,Age_18_C11_M,Age_18_C11_F,Age_18_C11_P,Age_18_C16_M,Age_18_C16_F,Age_18_C16_P,Age_19_C06_M,Age_19_C06_F
9OTER,17,17,33,15,8,22,13,27,46,11,21,31,19,14,34,26,24,47,7,16,28,10,12,28,35,25,63,15,14,31,19,16,35,28,21,51,15,23,35,14,7,25,35,24,60,72,86,154,79,66,142,141,126,261,17,12,30,16,10,30,32,23,52,20,26,40,18,16,40,30,28,62,25,15,41,12,18,30,30,28,54,19,21,43,24,20,42,29,27,59,24,29,54,20,24,40,32,22,58,100,102,206,84,90,174,156,130,284,28,12,33,19,20,38,33,31,68,24,17,37,15,26,40,19,24,43,16,18,36,23,14,35,17,23,43,18,29,47,17,17,33,22,26,47,14,18,35,20,19,44,28,26,60,98,90,190,94,93,185,126,135,262,17,17,32,25,13,33,14,22,40,11,10,19,29,8,36,25,17,45,0,12,12,19,8,29,23,22,44,23,17,37,18,11,28,26,13,42,12,5
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0
8ACTE,2209,2121,4333,2481,2243,4729,2663,2459,5125,2017,1948,3970,2572,2476,5045,2843,2641,5478,2091,1944,4034,2513,2274,4784,2822,2563,5379,2030,1857,3890,2414,2214,4630,2757,2670,5422,1926,1920,3853,2391,2227,4621,2813,2558,5375,10282,9794,20077,12373,11439,23815,13892,12889,26782,2031,1985,4018,2406,2255,4662,2747,2505,5249,2033,2012,4043,2249,2107,4355,2786,2575,5367,2037,2057,4092,2176,2038,4215,2647,2433,5077,2075,1993,4067,2198,1980,4175,2558,2384,4944,2104,2058,4162,2028,1959,3981,2476,2309,4785,10286,10099,20388,11055,10332,21392,13221,12209,25428,2068,2023,4090,2069,2049,4118,2518,2336,4853,2210,2089,4302,2161,2064,4221,2263,2217,4484,2211,2105,4321,2187,2108,4291,2254,2121,4374,2206,2070,4277,2145,2047,4195,2246,2063,4309,2231,2138,4375,2188,2062,4247,2112,2096,4207,10922,10435,21360,10751,10328,21076,11387,10841,22234,2309,2135,4443,2125,2111,4234,2208,2099,4307,2344,2183,4530,2341,2103,4443,2203,2156,4360,2282,2280,4560,2310,2302,4608,2339,2287,4628,2500,2242,4741,2628,2352,4980,2635,2625,5260,2741,2504
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,6,3,8,0,6,4,0,0,0,8,6,9,3,0,4,0,3,3,7,3,9,3,4,8,0,0,3,5,3,6,3,9,8,0,0,3,7,4,7,0,3,3,3,0,3,27,22,45,11,21,28,5,6,12,3,3,7,4,4,6,0,0,4,6,4,11,0,3,5,5,3,8,3,3,9,4,0,4,3,3,6,0,7,7,0,0,3,4,3,7,3,0,3,0,3,8,0,0,0,12,22,33,8,9,20,7,7,22,0,5,5,0,0,0,0,0,3,3,4,3,0,0,0,0,0,0,4,3,7,0,3,3,0,0,0,0,3,3,0,0,3,4,0,4,0,3,3,3,0,3,0,0,0,7,15,27,3,3,8,0,0,3,0,0,0,3,3,9,0,4,4,3,3,6,5,4,14,0,0,3,3,8,12,9,3,12,3,4,8,6,9,19,7,6,10,3,3,10,14,8
7RNTE,712,688,1398,753,704,1459,672,619,1293,795,736,1533,913,860,1777,852,721,1572,787,710,1499,845,808,1657,760,718,1481,857,826,1690,827,789,1613,771,728,1501,865,819,1686,846,804,1655,769,781,1550,4018,3786,7808,4180,3972,8150,3829,3572,7398,966,920,1889,898,840,1732,833,760,1588,881,782,1663,874,780,1653,830,763,1595,811,709,1518,831,772,1601,819,721,1544,806,783,1585,846,797,1638,731,693,1422,781,681,1459,755,762,1518,667,688,1357,4248,3871,8115,4199,3945,8146,3886,3621,7505,818,763,1578,861,808,1670,755,681,1439,795,753,1549,774,693,1465,694,632,1327,736,778,1512,732,689,1426,711,606,1316,763,722,1483,747,672,1420,721,682,1404,762,698,1465,698,626,1331,715,641,1357,3880,3715,7596,3824,3496,7319,3595,3242,6840,732,675,1409,705,635,1346,729,655,1391,769,750,1519,743,714,1457,714,615,1327,718,669,1384,709,635,1347,657,572,1226,687,621,1313,675,652,1324,676,616,1298,662,651
7GDAR,864,832,1697,975,867,1835,1030,1027,2057,830,781,1606,901,836,1739,1091,1039,2123,790,826,1610,894,839,1734,1050,981,2026,821,754,1572,917,892,1811,941,1008,1955,761,746,1509,934,847,1780,1028,966,1997,4062,3940,8000,4618,4285,8904,5137,5018,10155,818,827,1637,880,855,1738,998,913,1907,775,770,1548,833,833,1667,971,880,1842,772,779,1556,754,786,1541,924,873,1793,897,771,1665,814,833,1645,947,923,1875,816,764,1576,817,799,1622,937,865,1800,4079,3909,7988,4107,4103,8213,4774,4455,9223,817,744,1559,841,850,1686,876,853,1728,866,753,1625,804,803,1613,826,782,1609,814,717,1536,821,787,1611,788,769,1559,828,817,1642,900,780,1684,848,779,1629,803,771,1576,858,817,1678,816,810,1627,4131,3808,7932,4221,4037,8263,4162,3991,8148,862,795,1655,876,753,1635,856,752,1614,835,752,1585,945,753,1694,821,777,1595,735,630,1363,843,760,1606,770,733,1502,734,642,1380,819,741,1567,806,628,1430,697,615
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,4,5,16,0,6,6,5,4,13,9,3,10,8,8,18,3,9,12,6,4,13,5,7,15,8,4,16,11,3,13,3,6,12,10,14,27,10,4,16,13,4,16,9,9,16,42,23,57,28,31,66,45,34,81,6,11,17,8,5,14,3,4,9,8,3,6,3,9,15,7,16,25,15,4,18,7,3,12,3,15,18,9,9,17,6,13,16,11,15,21,13,0,12,9,3,7,10,13,22,38,36,76,25,29,55,31,56,93,3,8,4,9,6,11,6,6,13,8,3,5,3,4,9,0,0,3,3,3,9,0,3,8,3,4,8,0,3,5,0,0,0,0,3,3,6,0,6,0,0,3,3,4,3,25,14,35,8,17,25,19,14,30,7,6,7,0,3,3,0,4,5,0,0,0,0,3,3,0,0,0,3,6,10,0,0,0,3,5,4,6,5,14,4,6,17,9,6,9,9,3
