GCCSA_CODE_2016,C16_SH_Tot_NPFH_6_mor,C16_SH_T_T,C16_SDRTHT_0b_NPFH_2,C16_SDRTHT_0b_NPFH_3,C16_SDRTHT_0b_NPFH_4,C16_SDRTHT_0b_NPFH_5,C16_SDRTHT_0b_NPFH_6_mor,C16_SDRTHT_0bTotal,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_T,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_T_T,C16_FUA_0b_NPFH_2,C16_FUA_0b_NPFH_3,C16_FUA_0b_NPFH_4,C16_FUA_0b_NPFH_5,C16_FUA_0b_NPFH_6_mor,C16_FUA_0bTotal,C16_FUA_1b_NPFH_2,C16_FUA_1b_NPFH_3,C16_FUA_1b_NPFH_4,C16_FUA_1b_NPFH_5,C16_FUA_1b_NPFH_6_mor,C16_FUA_1b_Tot,C16_FUA_2b_NPFH_2,C16_FUA_2b_NPFH_3,C16_FUA_2b_NPFH_4,C16_FUA_2b_NPFH_5,C16_FUA_2b_NPFH_6_mor,C16_FUA_2b_Tot,C16_FUA_3b_NPFH_2,C16_FUA_3b_NPFH_3,C16_FUA_3b_NPFH_4,C16_FUA_3b_NPFH_5,C16_FUA_3b_NPFH_6_mor,C16_FUA_3b_Tot,C16_FUA_4mb_NPFH_2,C16_FUA_4mb_NPFH_3,C16_FUA_4mb_NPFH_4,C16_FUA_4mb_NPFH_5,C16_FUA_4mb_NPFH_6_mor,C16_FUA_4mb_Tot,C16_FUA_NB_NS_NPFH_2,C16_FUA_NB_NS_NPFH_3,C16_FUA_NB_NS_NPFH_4,C16_FUA_NB_NS_NPFH_5,C16_FUA_NB_NS_NPFH_6_mor,C16_FUA_NB_NS_T,C16_FUA_Tot_NPFH_2,C16_FUA_Tot_NPFH_3,C16_FUA_Tot_NPFH_4,C16_FUA_Tot_NPFH_5,C16_FUA_Tot_NPFH_6_mor,C16_FUA_T_T,C16_OD_0b_NPFH_2,C16_OD_0b_NPFH_3,C16_OD_0b_NPFH_4,C16_OD_0b_NPFH_5,C16_OD_0b_NPFH_6_mor,C16_OD_0bTotal,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_T,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_T_T,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_T,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_T_T
9OTER,59,835,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,0,0,23,14,9,7,4,3,34,0,0,0,0,0,3,0,0,0,0,0,0,28,9,12,5,3,62,0,0,0,0,0,0,4,0,0,0,0,4,5,9,9,0,0,24,16,7,0,8,8,29,3,0,0,0,0,5,0,0,0,0,0,3,32,17,5,8,8,65,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,5,0,0,0,0,6,463,201,160,93,66,980
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,3182,76644,10,7,0,0,0,12,258,58,16,0,0,327,2216,697,300,71,20,3309,4156,2293,1589,402,130,8578,593,411,499,191,126,1814,83,50,34,11,4,179,7316,3511,2438,674,283,14222,14,4,0,0,0,24,2236,262,53,3,0,2554,3391,1111,476,65,17,5064,705,351,229,64,20,1373,30,25,30,18,16,129,91,10,7,0,8,113,6470,1770,794,161,65,9259,0,0,0,0,0,0,10,0,0,0,0,10,10,4,0,0,0,13,4,7,3,3,3,21,3,6,11,3,3,23,0,0,0,0,0,3,28,18,16,3,3,67,69,25,17,10,3,116,42545,22490,23201,8539,3537,100308
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,2973,12825,4,0,0,0,0,3,91,20,6,4,3,137,501,239,131,80,149,1104,180,103,84,35,33,441,4,19,15,7,7,57,15,7,12,0,6,51,801,392,249,138,201,1786,9,0,0,0,0,9,100,19,3,4,3,133,110,51,28,23,15,224,27,19,8,3,3,60,8,0,0,0,3,12,16,7,0,0,0,30,264,105,41,31,20,458,63,12,10,3,8,92,147,10,8,0,5,165,54,16,5,3,5,89,65,43,29,11,7,149,32,19,26,12,14,100,26,7,9,0,7,46,377,106,85,31,37,633,72,28,27,16,22,172,5218,2849,2860,1702,3249,15881
7GDAR,1639,22485,3,7,0,0,0,13,65,19,3,3,0,90,821,355,198,56,19,1447,472,265,198,81,25,1045,31,37,46,14,7,138,30,7,8,0,0,50,1423,686,448,160,62,2773,21,7,4,0,0,24,301,56,7,3,0,376,1880,762,410,109,28,3193,878,436,370,108,50,1849,34,18,23,14,8,99,67,33,6,3,3,109,3185,1310,830,238,84,5651,70,6,10,6,3,95,157,7,0,3,3,171,42,18,7,4,4,82,29,13,9,3,8,66,10,4,12,11,4,34,17,0,3,3,0,22,324,49,46,27,23,465,75,28,27,11,10,143,12411,7209,6960,3122,1817,31515
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
