GCCSA_CODE_2016,Age_74_C16_P,Age_70_74_C06_M,Age_70_74_C06_F,Age_70_74_C06_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_75_C06_M,Age_75_C06_F,Age_75_C06_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_76_C06_M,Age_76_C06_F,Age_76_C06_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_77_C06_M,Age_77_C06_F,Age_77_C06_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_78_C06_M,Age_78_C06_F,Age_78_C06_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_79_C06_M,Age_79_C06_F,Age_79_C06_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_75_79_C06_M,Age_75_79_C06_F,Age_75_79_C06_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_80_84_C06_M,Age_80_84_C06_F,Age_80_84_C06_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_85ov_C06_M,Age_85ov_C06_F,Age_85ov_C06_P,Age_85ov_C11_M,Age_85ov_C11_F,Age_85ov_C11_P,Age_85ov_C16_M,Age_85ov_C16_F,Age_85ov_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
9OTER,23,20,15,36,37,14,49,91,86,178,0,0,3,3,4,7,20,14,30,3,0,3,0,0,3,10,9,23,0,3,3,0,0,3,22,15,31,0,0,0,3,0,4,10,14,18,0,0,0,3,0,7,3,6,12,6,7,11,10,10,22,66,54,122,3,3,4,7,5,13,26,38,68,10,4,11,5,0,3,28,29,51,1237,1053,2290,1958,1043,3004,2432,2090,4523
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,25,7,19,26,21,28,55
8ACTE,2158,3513,3933,7444,4234,4750,8986,5728,6428,12157,649,664,1318,714,772,1487,859,1064,1921,586,666,1254,685,733,1422,858,948,1801,540,659,1194,566,742,1314,793,896,1694,534,680,1212,542,655,1198,744,869,1619,485,621,1106,510,665,1168,644,848,1493,2793,3290,6081,3012,3572,6587,3895,4623,8520,1908,2864,4767,2179,2895,5069,2540,3294,5834,1159,2286,3447,1658,3174,4831,2316,3839,6155,159282,164043,323325,176414,180170,356586,195432,201425,396857
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,6,5,3,5,9,4,7,9,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,3,5,3,8,0,0,0,3,4,7,0,3,3,3,4,7,0,3,3,371,337,709,328,305,630,312,228,538
7RNTE,250,377,471,843,612,528,1143,774,698,1470,57,70,123,75,80,158,123,97,217,77,72,153,58,67,123,124,111,232,56,48,100,49,70,119,66,52,122,46,47,95,46,63,108,69,61,132,42,39,82,43,43,90,57,57,115,279,277,557,264,319,586,443,375,820,122,169,292,189,208,393,181,262,444,96,178,267,84,179,267,116,192,310,43170,41743,84910,45506,43870,89374,45287,44157,89443
7GDAR,472,794,601,1394,1141,928,2076,1482,1253,2740,128,114,244,159,118,272,260,218,473,114,81,203,151,115,269,209,180,382,103,99,204,100,112,211,135,136,273,86,88,179,96,90,186,147,147,297,86,75,159,87,94,182,110,129,236,522,462,984,589,528,1119,860,803,1660,240,286,524,353,364,719,387,418,805,122,199,323,165,258,423,273,356,626,55086,50909,105992,62895,57687,120586,71889,64939,136828
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,17,94,90,19,107,61,14,70
79499,17,21,14,36,48,17,63,56,30,86,0,0,3,0,0,3,6,9,8,0,0,0,4,0,5,5,0,5,0,0,0,0,0,3,4,3,8,3,0,3,3,3,7,8,0,8,0,0,0,3,0,3,0,0,5,8,3,6,12,6,16,24,8,30,0,4,5,0,0,3,3,0,3,0,0,3,3,0,0,0,0,0,1043,863,1901,1017,850,1870,1332,1157,2489
6RTAS,2687,4907,5079,9979,5854,5922,11772,7505,7517,15015,844,973,1818,910,1040,1946,1158,1238,2391,851,931,1782,876,921,1795,1112,1158,2274,745,900,1641,843,916,1756,1011,1068,2075,720,838,1560,739,866,1605,948,1037,1989,635,751,1392,721,798,1512,840,930,1768,3796,4398,8194,4080,4538,8620,5065,5422,10489,2466,3615,6082,2801,3515,6322,3212,3795,7012,1532,3203,4736,1996,3697,5691,2440,4046,6490,135147,138808,273961,139094,143412,282509,140977,145646,286627
6GHOB,1622,3074,3574,6651,3615,4034,7646,4378,5006,9384,604,731,1332,575,676,1250,757,875,1633,563,697,1257,529,644,1170,708,778,1491,544,653,1201,528,677,1203,654,746,1399,493,669,1164,502,662,1158,596,730,1328,489,654,1137,465,640,1103,545,714,1263,2694,3401,6098,2596,3295,5891,3263,3846,7113,1889,2875,4764,2047,2801,4847,2128,2849,4976,1150,2639,3786,1516,3037,4551,1906,3368,5275,97699,103858,201557,102881,108776,211655,107930,114422,222356
69799,0,0,0,0,3,0,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,10,89,82,36,113,49,21,68
69499,3,7,7,11,17,15,28,12,13,22,4,0,4,0,0,0,0,0,0,0,3,3,0,3,3,4,3,6,0,0,4,0,0,0,0,3,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,8,6,10,4,3,7,3,4,8,4,4,11,3,0,7,3,10,16,0,0,0,0,0,3,460,413,872,613,460,1072,524,393,912
5RWAU,3546,6011,5703,11716,7536,7045,14579,9883,9230,19120,1108,1033,2142,1243,1174,2414,1543,1445,2991,977,1031,2005,1111,1090,2201,1442,1507,2949,917,944,1858,924,1007,1934,1341,1348,2692,856,908,1765,923,1025,1950,1263,1233,2493,772,833,1599,835,927,1765,1103,1162,2263,4633,4745,9377,5037,5226,10260,6692,6701,13398,2727,3402,6132,3509,3960,7463,4001,4596,8599,1653,3084,4743,2222,3727,5949,3157,4595,7752,225528,215130,440658,263212,239385,502593,270936,253230,524167
5GPER,11551,20777,23278,44059,24606,26846,51452,30857,32742,63597,3904,4365,8269,4092,4759,8846,4926,5683,10611,3680,4358,8031,3878,4526,8399,4772,5339,10113,3378,4061,7439,3502,4191,7694,4534,5160,9692,3206,4060,7261,3368,4068,7437,4211,4968,9181,3050,3882,6928,3140,3971,7113,3865,4579,8446,17214,20722,37935,17980,21512,39491,22310,25731,48038,11310,16317,27635,13118,17682,30799,14794,19170,33960,7168,15552,22727,9692,18560,28253,12680,21972,34652,746839,765266,1512105,858307,870562,1728865,963536,980326,1943858
59799,0,0,0,0,3,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,314,26,339,381,33,417,408,26,434
59499,18,93,47,139,120,59,180,108,83,191,8,0,5,16,5,24,19,6,23,7,5,13,7,3,9,12,5,17,7,3,15,10,7,18,9,6,14,3,4,9,8,3,8,3,3,9,8,0,12,10,3,8,6,3,5,29,16,51,50,24,77,43,24,72,9,6,10,15,8,18,9,15,22,4,12,12,9,6,19,12,11,23,3442,2541,5986,4285,3010,7299,3532,2415,5950
4RSAU,3720,6855,6840,13695,8180,8126,16308,10553,10384,20935,1273,1333,2603,1347,1335,2684,1690,1658,3351,1230,1268,2500,1204,1304,2508,1567,1564,3125,1174,1288,2460,1207,1232,2439,1473,1556,3029,1128,1189,2316,1152,1151,2306,1326,1391,2712,987,1193,2185,982,1157,2134,1223,1325,2547,5792,6268,12066,5892,6184,12072,7270,7494,14768,3568,4948,8520,4307,5270,9578,4670,5259,9931,2226,4519,6748,2932,5484,8415,3954,6336,10292,178579,176179,354758,185427,182834,368260,190368,187706,378074
4GADE,9051,18099,20799,38896,19558,22582,42134,24055,27481,51538,3351,4256,7601,3464,4090,7552,3824,4558,8377,3477,4193,7672,3192,3846,7040,3619,4501,8119,3306,4126,7437,3158,3736,6902,3610,4337,7947,3219,4097,7315,2936,3687,6624,3384,4124,7513,3059,4106,7160,2848,3549,6395,3274,3859,7130,16412,20777,37192,15601,18914,34514,17705,21370,39078,11683,17933,29615,12599,17340,29943,12752,16674,29423,7626,16208,23829,10040,19621,29664,12371,21797,34170,565131,591827,1156957,600011,625224,1225235,633888,661823,1295714
