GCCSA_CODE_2016,C06_AP_15_19_NCB_0,C06_AP_15_19_NCB_1,C06_AP_15_19_NCB_2,C06_AP_15_19_NCB_3,C06_AP_15_19_NCB_4,C06_AP_15_19_NCB_5,C06_AP_15_19_NCB_6m,C06_AP_15_19_NCB_NS,C06_AP_15_19_Tot,C06_AP_20_24_NCB_0,C06_AP_20_24_NCB_1,C06_AP_20_24_NCB_2,C06_AP_20_24_NCB_3,C06_AP_20_24_NCB_4,C06_AP_20_24_NCB_5,C06_AP_20_24_NCB_6m,C06_AP_20_24_NCB_NS,C06_AP_20_24_Tot,C06_AP_25_29_NCB_0,C06_AP_25_29_NCB_1,C06_AP_25_29_NCB_2,C06_AP_25_29_NCB_3,C06_AP_25_29_NCB_4,C06_AP_25_29_NCB_5,C06_AP_25_29_NCB_6m,C06_AP_25_29_NCB_NS,C06_AP_25_29_Tot,C06_AP_30_34_NCB_0,C06_AP_30_34_NCB_1,C06_AP_30_34_NCB_2,C06_AP_30_34_NCB_3,C06_AP_30_34_NCB_4,C06_AP_30_34_NCB_5,C06_AP_30_34_NCB_6m,C06_AP_30_34_NCB_NS,C06_AP_30_34_Tot,C06_AP_35_39_NCB_0,C06_AP_35_39_NCB_1,C06_AP_35_39_NCB_2,C06_AP_35_39_NCB_3,C06_AP_35_39_NCB_4,C06_AP_35_39_NCB_5,C06_AP_35_39_NCB_6m,C06_AP_35_39_NCB_NS,C06_AP_35_39_Tot,C06_AP_40_44_NCB_0,C06_AP_40_44_NCB_1,C06_AP_40_44_NCB_2,C06_AP_40_44_NCB_3,C06_AP_40_44_NCB_4,C06_AP_40_44_NCB_5,C06_AP_40_44_NCB_6m,C06_AP_40_44_NCB_NS,C06_AP_40_44_Tot,C06_AP_45_49_NCB_0,C06_AP_45_49_NCB_1,C06_AP_45_49_NCB_2,C06_AP_45_49_NCB_3,C06_AP_45_49_NCB_4,C06_AP_45_49_NCB_5,C06_AP_45_49_NCB_6m,C06_AP_45_49_NCB_NS,C06_AP_45_49_Tot,C06_AP_50_54_NCB_0,C06_AP_50_54_NCB_1,C06_AP_50_54_NCB_2,C06_AP_50_54_NCB_3,C06_AP_50_54_NCB_4,C06_AP_50_54_NCB_5,C06_AP_50_54_NCB_6m,C06_AP_50_54_NCB_NS,C06_AP_50_54_Tot,C06_AP_55_59_NCB_0,C06_AP_55_59_NCB_1,C06_AP_55_59_NCB_2,C06_AP_55_59_NCB_3,C06_AP_55_59_NCB_4,C06_AP_55_59_NCB_5,C06_AP_55_59_NCB_6m,C06_AP_55_59_NCB_NS,C06_AP_55_59_Tot,C06_AP_60_64_NCB_0,C06_AP_60_64_NCB_1,C06_AP_60_64_NCB_2,C06_AP_60_64_NCB_3,C06_AP_60_64_NCB_4,C06_AP_60_64_NCB_5,C06_AP_60_64_NCB_6m,C06_AP_60_64_NCB_NS,C06_AP_60_64_Tot,C06_AP_65_69_NCB_0,C06_AP_65_69_NCB_1,C06_AP_65_69_NCB_2,C06_AP_65_69_NCB_3,C06_AP_65_69_NCB_4,C06_AP_65_69_NCB_5,C06_AP_65_69_NCB_6m,C06_AP_65_69_NCB_NS,C06_AP_65_69_Tot,C06_AP_70_74_NCB_0,C06_AP_70_74_NCB_1,C06_AP_70_74_NCB_2,C06_AP_70_74_NCB_3,C06_AP_70_74_NCB_4,C06_AP_70_74_NCB_5,C06_AP_70_74_NCB_6m,C06_AP_70_74_NCB_NS,C06_AP_70_74_Tot,C06_AP_75_79_NCB_0,C06_AP_75_79_NCB_1,C06_AP_75_79_NCB_2,C06_AP_75_79_NCB_3,C06_AP_75_79_NCB_4,C06_AP_75_79_NCB_5,C06_AP_75_79_NCB_6m,C06_AP_75_79_NCB_NS,C06_AP_75_79_Tot,C06_AP_80_84_NCB_0,C06_AP_80_84_NCB_1,C06_AP_80_84_NCB_2,C06_AP_80_84_NCB_3,C06_AP_80_84_NCB_4,C06_AP_80_84_NCB_5,C06_AP_80_84_NCB_6m,C06_AP_80_84_NCB_NS,C06_AP_80_84_Tot,C06_AP_85andover_N_c_b_0,C06_AP_85andover_N_c_b_1,C06_AP_85andover_N_c_b_2,C06_AP_85andover_N_c_b_3,C06_AP_85andover_N_c_b_4,C06_AP_85andover_N_c_b_5,C06_AP_85ov_N_c_b_6mor,C06_AP_85andover_N_c_b_NS,C06_AP_85_andover_Tot,C06_AP_Tot_NCB_0,C06_AP_Tot_NCB_1,C06_AP_Tot_NCB_2,C06_AP_Tot_NCB_3,C06_AP_Tot_NCB_4,C06_AP_Tot_NCB_5,C06_AP_Tot_N_c_b_6mor,C06_AP_Tot_NCB_NS,C06_AP_T_T,C11_AP_15_19_NCB_0,C11_AP_15_19_NCB_1,C11_AP_15_19_NCB_2,C11_AP_15_19_NCB_3,C11_AP_15_19_NCB_4,C11_AP_15_19_NCB_5,C11_AP_15_19_NCB_6m,C11_AP_15_19_NCB_NS,C11_AP_15_19_Tot,C11_AP_20_24_NCB_0,C11_AP_20_24_NCB_1,C11_AP_20_24_NCB_2,C11_AP_20_24_NCB_3,C11_AP_20_24_NCB_4,C11_AP_20_24_NCB_5,C11_AP_20_24_NCB_6m,C11_AP_20_24_NCB_NS,C11_AP_20_24_Tot,C11_AP_25_29_NCB_0,C11_AP_25_29_NCB_1,C11_AP_25_29_NCB_2,C11_AP_25_29_NCB_3,C11_AP_25_29_NCB_4,C11_AP_25_29_NCB_5,C11_AP_25_29_NCB_6m,C11_AP_25_29_NCB_NS,C11_AP_25_29_Tot,C11_AP_30_34_NCB_0,C11_AP_30_34_NCB_1,C11_AP_30_34_NCB_2,C11_AP_30_34_NCB_3,C11_AP_30_34_NCB_4,C11_AP_30_34_NCB_5,C11_AP_30_34_NCB_6m,C11_AP_30_34_NCB_NS,C11_AP_30_34_Tot,C11_AP_35_39_NCB_0,C11_AP_35_39_NCB_1,C11_AP_35_39_NCB_2,C11_AP_35_39_NCB_3,C11_AP_35_39_NCB_4,C11_AP_35_39_NCB_5,C11_AP_35_39_NCB_6m,C11_AP_35_39_NCB_NS,C11_AP_35_39_Tot,C11_AP_40_44_NCB_0,C11_AP_40_44_NCB_1,C11_AP_40_44_NCB_2,C11_AP_40_44_NCB_3,C11_AP_40_44_NCB_4,C11_AP_40_44_NCB_5,C11_AP_40_44_NCB_6m,C11_AP_40_44_NCB_NS,C11_AP_40_44_Tot,C11_AP_45_49_NCB_0,C11_AP_45_49_NCB_1
9OTER,49,6,0,0,0,0,0,7,56,46,8,3,0,0,0,0,9,67,30,7,13,3,3,0,0,0,60,24,13,16,12,0,0,0,0,71,18,6,40,23,4,4,0,3,105,16,6,27,19,10,7,0,4,94,18,9,33,19,6,3,0,0,90,10,4,35,22,9,3,3,3,87,8,3,8,15,6,3,4,3,53,6,4,7,10,4,4,5,0,38,3,0,4,4,5,0,4,0,21,0,0,0,4,3,0,5,0,15,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,225,87,184,128,55,26,27,34,770,46,0,0,0,0,0,0,7,51,39,12,12,0,0,0,0,8,64,32,12,11,0,0,0,0,7,67,28,12,13,17,0,0,4,9,72,19,13,18,17,3,3,0,4,76,17,18,25,22,4,4,4,9,96,14,10
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,10274,131,19,4,0,4,3,910,11346,11463,736,270,61,8,3,4,844,13383,8765,1726,1097,312,84,13,9,701,12701,5162,2584,3017,1028,284,58,29,559,12710,3040,2007,4398,1884,559,125,75,468,12562,2242,1627,4630,2367,770,196,74,509,12417,1990,1562,4607,2622,869,207,114,485,12460,1498,1260,4285,2641,930,231,91,474,11410,1184,1077,3877,2515,866,217,130,407,10271,694,624,2481,1796,766,231,115,293,7011,429,428,1472,1303,693,270,186,284,5067,358,296,965,1007,594,256,238,219,3933,276,281,759,742,506,247,232,246,3290,205,297,679,617,397,201,201,277,2864,204,324,571,448,240,95,114,297,2286,47793,14966,33112,19328,7557,2364,1616,6971,133709,10607,110,21,4,0,0,0,867,11606,13002,755,288,57,8,0,3,952,15066,10932,1984,1133,320,81,32,21,726,15221,5966,3033,3006,1013,252,77,30,573,13955,3290,2329,4817,1924,551,127,77,468,13580,2500,1936,5072,2239,686,163,102,455,13158,2221,1644
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,20,0,3,0,0,0,0,0,31,47,7,0,0,0,0,0,7,58,31,3,3,0,0,0,0,0,44,17,3,3,3,0,0,0,0,27,11,3,7,4,0,0,0,3,28,9,0,8,3,0,0,0,3,20,3,3,3,0,0,0,0,0,13,5,0,3,3,0,0,0,3,14,0,5,5,3,0,0,0,0,17,3,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,155,24,44,21,11,3,3,23,280,21,4,0,0,0,0,0,4,29,39,3,0,0,0,0,0,3,46,32,4,4,0,0,0,0,0,39,16,3,8,3,0,0,0,0,30,18,0,3,0,0,0,0,0,22,7,0,3,3,3,0,0,3,26,10,3
7RNTE,2146,364,76,17,5,4,3,759,3372,1604,683,464,136,53,9,6,625,3578,1227,585,592,373,159,71,27,532,3556,969,524,683,468,283,119,71,506,3626,638,403,760,565,318,166,117,454,3421,522,321,712,562,260,118,129,365,2987,418,288,659,515,273,143,120,350,2774,317,235,574,460,266,131,113,332,2439,195,126,420,320,185,105,113,232,1705,129,96,229,222,146,88,110,140,1158,81,44,105,90,89,64,104,100,670,66,31,56,60,47,45,82,85,471,37,18,28,36,37,17,67,41,277,21,14,32,18,23,12,28,29,169,18,13,20,25,17,19,25,36,178,8377,3735,5410,3874,2166,1107,1113,4586,30370,2295,319,46,14,0,0,3,581,3256,1756,766,457,138,37,4,3,451,3616,1532,679,653,415,182,56,26,442,3986,948,569,690,516,301,126,72,364,3582,651,486,754,507,338,178,115,393,3416,566,399,736,560,352,186,137,380,3312,494,303
7GDAR,2745,94,17,0,0,0,3,567,3433,2630,426,164,51,12,0,0,414,3709,2253,686,585,233,64,16,10,433,4285,1578,825,970,475,153,52,33,448,4534,919,690,1352,742,251,86,50,455,4548,741,519,1301,764,286,79,58,435,4184,578,478,1242,801,334,101,61,404,3997,447,374,1178,720,304,92,49,330,3497,277,283,883,645,285,104,62,243,2785,190,150,507,378,188,55,67,169,1708,101,78,245,217,142,68,81,99,1023,53,37,101,107,103,45,89,69,601,41,44,67,73,65,40,55,69,462,21,30,50,39,40,23,44,54,286,13,41,38,27,18,5,20,22,199,12587,4767,8712,5283,2235,771,691,4223,39260,3037,85,6,0,3,0,4,562,3691,2972,484,186,56,4,3,0,462,4167,2995,854,565,188,53,27,12,601,5294,1788,909,1115,423,156,44,27,502,4959,1110,733,1382,682,267,87,63,507,4835,791,595,1515,863,297,110,74,506,4750,740,522
79799,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,12,0,0,0,0,0,0,3,19,48,3,0,0,0,0,0,10,62,61,5,3,0,0,0,0,23,95,37,11,5,0,0,0,0,30,79,19,4,14,3,3,0,0,11,46,17,3,11,4,3,0,0,12,39,14,8,22,13,4,0,0,8,63,12,7,30,12,15,3,0,7,92,10,11,48,37,9,3,0,20,140,6,3,35,18,12,3,0,4,83,0,3,9,13,17,3,0,5,52,0,0,0,3,0,3,0,3,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,233,56,178,104,64,11,12,131,793,22,3,0,0,0,0,0,0,24,63,0,0,0,0,0,0,9,69,82,0,0,0,0,0,0,11,93,45,9,7,6,0,0,0,8,67,16,3,6,9,0,0,0,6,41,15,6,6,3,3,0,0,7,39,10,3
