GCCSA_CODE_2016,C06_Tot_Div_F,C06_Tot_Wid_M,C06_Tot_Wid_F,C06_Tot_nver_marrie_M,C06_Tot_nver_marrie_F,C06_Tot_T_M,C06_Tot_T_F,C06_Tot_T_P,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_T_M,C11_25_29_T_F,C11_25_29_T_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_T_M,C11_30_34_T_F,C11_30_34_T_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_T_M,C11_35_39_T_F,C11_35_39_T_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_T_M,C11_40_44_T_F,C11_40_44_T_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_T_M,C11_45_49_T_F,C11_45_49_T_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_T_M,C11_50_54_T_F,C11_50_54_T_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_T_M,C11_55_59_T_F,C11_55_59_T_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_T_M,C11_60_64_T_F,C11_60_64_T_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_T_M,C11_65_69_T_F,C11_65_69_T_P,C11_70_74_Married_M,C11_70_74_Married_F,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_T_M,C11_70_74_T_F,C11_70_74_T_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F
9OTER,28,21,34,324,211,969,770,1741,0,0,0,0,0,0,0,0,107,51,107,51,164,9,15,0,0,0,0,0,0,186,51,195,64,265,122,35,7,0,3,0,0,0,231,29,360,67,421,124,46,8,0,0,0,0,0,93,29,224,72,294,94,56,3,3,3,3,0,0,44,16,147,76,227,81,62,5,3,6,4,0,3,33,19,123,96,217,104,71,6,3,9,3,0,0,14,8,133,95,227,72,68,3,0,14,8,0,5,19,8,103,87,193,81,68,4,0,14,7,0,3,11,7,106,83,194,83,28,3,0,6,0,3,12,8,4,107,47,146,26,26,5,0,6,0,3,4,3,0,41,26,67,30,11,0,0,0,0,7,4,0,0,37,14,49,4,4,0,0,0,0,3,3,5,0,10,10,22,4,0,0,0,0,0,0,7,0,0,7,5,13,3,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,19,0,22,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,12922,2162,8652,51658,45482,127797,133709,261507,28,35,0,3,4,4,4,5,12297,11561,12327,11606,23936,439,1004,28,72,7,23,13,8,15112,13955,15600,15066,30664,3448,5101,108,199,108,178,11,10,11558,9728,15232,15221,30451,6815,7789,237,338,329,543,9,23,6292,5263,13684,13955,27639,8089,8489,383,505,667,1027,27,76,4162,3480,13322,13580,26904,8143,8254,496,577,1010,1605,32,99,3079,2624,12762,13158,25918,7838,7886,493,652,1324,1997,53,164,2217,1942,11933,12641,24575,7598,7486,511,556,1412,2188,81,312,1702,1515,11311,12051,23353,6890,6678,397,459,1386,2058,129,448,1051,864,9858,10518,20369,6621,5980,297,360,1207,1817,202,705,622,538,8951,9400,18348,4747,3946,190,188,692,1139,223,898,325,311,6179,6484,12658,3270,2714,120,98,432,696,267,1098,145,146,4234,4750,8986,2265,1704,74,66,238,381,326,1300,114,125,3012,3572,6587,1576,1008,33,23,122,227,370,1547,72,76,2179,2895,5069,990,555,22,20,53,146,542,2359,47,91
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,35,4,12,199,163,319,280,602,0,0,0,0,0,0,0,0,30,29,30,29,59,4,0,0,0,0,0,0,0,36,46,38,46,86,7,3,0,0,0,0,0,0,36,31,46,39,85,6,13,3,0,0,3,0,0,29,17,36,30,70,8,3,0,3,3,3,0,0,20,15,34,22,54,4,5,3,8,4,9,0,0,16,6,32,26,56,0,4,0,3,3,0,0,0,5,13,11,13,31,5,5,0,4,10,4,0,0,6,9,28,23,50,5,7,4,0,6,11,0,0,5,0,21,17,35,5,4,0,3,0,3,0,0,3,0,11,7,26,3,0,0,0,3,3,0,0,0,0,8,3,7,0,3,0,0,0,3,0,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7RNTE,1891,585,1953,13595,11980,31022,30370,61386,262,454,12,19,3,3,3,5,3224,2775,3503,3256,6761,930,1174,47,62,16,43,11,14,2601,2323,3601,3616,7222,1510,1737,66,125,49,66,17,33,2307,2034,3951,3986,7938,1754,1869,81,113,76,87,16,48,1642,1470,3572,3582,7159,1890,1899,121,129,154,168,14,66,1234,1158,3412,3416,6826,1777,1830,155,172,223,242,29,100,1035,966,3219,3312,6537,1683,1582,146,137,312,306,20,127,822,683,2989,2842,5827,1546,1430,133,130,372,398,52,206,660,533,2755,2698,5460,1318,1135,132,100,395,396,83,249,407,308,2337,2191,4526,1091,713,98,76,335,251,70,265,205,178,1803,1485,3294,547,337,65,38,178,126,83,222,126,103,1006,824,1835,321,184,40,16,92,71,76,200,84,56,612,528,1143,117,81,19,15,35,13,57,168,36,45,264,319,586,80,30,4,6,15,13,51,143,33,13,189,208,393,31,23,5,0,7,7,37,130,7,19
7GDAR,3974,562,1727,19458,14935,42816,39260,82075,26,34,3,5,10,3,0,0,4300,3643,4331,3691,8028,316,492,15,35,7,15,3,8,4952,3607,5296,4167,9458,1290,1728,58,82,57,83,12,12,4325,3393,5741,5294,11038,2121,2480,102,146,141,219,4,18,2695,2103,5064,4959,10026,2623,2645,158,184,258,376,18,27,1966,1596,5029,4835,9863,2627,2742,210,232,502,559,16,68,1583,1148,4938,4750,9682,2511,2398,246,235,533,681,36,93,1234,887,4551,4291,8844,2346,2274,212,218,695,741,36,139,902,589,4198,3960,8156,2134,1913,226,159,685,659,73,185,512,324,3627,3250,6877,1892,1428,151,153,615,525,77,244,357,167,3090,2519,5607,1123,802,104,59,336,283,67,252,200,74,1827,1472,3293,688,426,63,32,187,151,82,283,114,37,1141,928,2076,361,206,31,13,79,63,57,224,63,22,589,528,1119,182,90,12,8,50,36,65,209,43,19,353,364,719,81,30,6,5,9,28,60,190,13,3
79799,0,0,0,50,17,78,17,94,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,11,0,17,0,18,6,0,0,0,0,0,0,0,10,4,17,4,18,3,0,0,0,0,0,0,0,16,0,19,0,17,8,0,0,0,0,0,0,0,0,0,10,0,8,0,0,3,0,3,0,0,0,3,0,12,0,12,3,0,0,0,3,0,0,0,3,0,9,0,7,0,0,0,0,0,0,0,0,3,0,8,0,4,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,4,0,9,5,0,0,0,0,0,0,0,0,0,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,88,23,24,371,253,938,793,1732,0,0,0,0,0,0,0,0,9,24,9,24,34,3,5,0,0,0,0,0,0,67,68,65,69,141,15,11,0,4,0,3,0,0,107,81,124,93,222,24,27,3,0,5,3,0,0,45,41,73,67,146,38,27,4,0,3,3,0,0,30,13,78,41,128,23,27,0,0,3,3,0,0,35,8,62,39,107,22,27,5,3,13,16,0,0,23,10,61,57,115,35,50,6,10,12,14,3,0,11,11,67,84,152,69,64,13,5,18,23,0,8,11,12,114,109,226,82,62,10,5,16,18,6,0,11,0,122,87,214,64,54,10,3,14,4,3,4,3,0,95,65,155,27,13,0,0,7,3,5,0,0,0,48,17,63,6,6,0,0,0,0,0,0,0,0,12,6,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
6RTAS,10754,3211,12029,34782,29262,106676,111953,218630,14,23,7,11,6,14,4,5,9751,8967,9779,9025,18800,277,609,24,55,14,24,5,10,7213,6683,7535,7379,14918,1659,2466,92,194,68,128,5,24,5137,4672,6966,7480,14450,3093,3856,191,323,201,355,11,27,3432,3117,6928,7671,14601,4284,4962,326,450,528,804,16,64,3049,2654,8202,8941,17147,5391,5963,464,573,881,1357,40,108,2580,2111,9355,10116,19470,5792,6265,521,598,1399,1751,81,227,2144,1493,9931,10328,20256,6543,6782,539,565,1635,1998,116,341,1563,1049,10389,10746,21136,6556,6705,457,431,1652,1813,167,524,1036,596,9865,10064,19935,6972,6595,374,331,1519,1667,266,870,718,408,9855,9870,19724,5775,4973,260,184,1067,1102,404,1199,443,268,7944,7725,15668,4290,3418,165,105,613,622,457,1613,326,158,5854,5922,11772,2888,2134,94,61,331,361,553,1848,214,131,4080,4538,8620,1846,1127,67,19,169,171,597,2087,124,114,2801,3515,6322,1080,538,26,24,63,111,751,2888,84,139
