SA2_NAME16	Year	EduInstitutionType	students
Braidwood	2006		163
Braidwood	2006	Infants/Primary	168
Braidwood	2006	Pre-school	40
Braidwood	2006	Secondary	135
Braidwood	2006	Technical or Further Educational Institution	32
Braidwood	2006	University or other tertiary	40
Braidwood	2011		297
Braidwood	2011	Infants/Primary	253
Braidwood	2011	Pre-school	52
Braidwood	2011	Secondary	202
Braidwood	2011	Technical or Further Educational Institution	45
Braidwood	2011	University or other tertiary	61
Braidwood	2016		507
Braidwood	2016	Infants/Primary	279
Braidwood	2016	Pre-school	63
Braidwood	2016	Secondary	186
Braidwood	2016	Technical or Further Educational Institution	58
Braidwood	2016	University or other tertiary	69
Karabar	2006		758
Karabar	2006	Infants/Primary	884
Karabar	2006	Pre-school	124
Karabar	2006	Secondary	651
Karabar	2006	Technical or Further Educational Institution	264
Karabar	2006	University or other tertiary	231
Karabar	2011		618
Karabar	2011	Infants/Primary	768
Karabar	2011	Pre-school	123
Karabar	2011	Secondary	648
Karabar	2011	Technical or Further Educational Institution	220
Karabar	2011	University or other tertiary	254
Karabar	2016		638
Karabar	2016	Infants/Primary	692
Karabar	2016	Pre-school	94
Karabar	2016	Secondary	569
Karabar	2016	Technical or Further Educational Institution	196
Karabar	2016	University or other tertiary	251
Queanbeyan	2006		1046
Queanbeyan	2006	Infants/Primary	525
Queanbeyan	2006	Pre-school	110
Queanbeyan	2006	Secondary	413
Queanbeyan	2006	Technical or Further Educational Institution	265
Queanbeyan	2006	University or other tertiary	308
Queanbeyan	2011		929
Queanbeyan	2011	Infants/Primary	542
Queanbeyan	2011	Pre-school	127
Queanbeyan	2011	Secondary	413
Queanbeyan	2011	Technical or Further Educational Institution	325
Queanbeyan	2011	University or other tertiary	426
Queanbeyan	2016		926
Queanbeyan	2016	Infants/Primary	629
Queanbeyan	2016	Pre-school	147
Queanbeyan	2016	Secondary	419
Queanbeyan	2016	Technical or Further Educational Institution	269
Queanbeyan	2016	University or other tertiary	474
Queanbeyan - East	2006		424
Queanbeyan - East	2006	Infants/Primary	253
Queanbeyan - East	2006	Pre-school	43
Queanbeyan - East	2006	Secondary	217
Queanbeyan - East	2006	Technical or Further Educational Institution	133
Queanbeyan - East	2006	University or other tertiary	164
