SA2_NAME16	Year	SameAddress5YearsAgo	Sex	persons
Braidwood	2006		F	122
Braidwood	2006		M	157
Braidwood	2006	0	F	414
Braidwood	2006	0	M	388
Braidwood	2006	1	F	618
Braidwood	2006	1	M	643
Braidwood	2011		F	215
Braidwood	2011		M	202
Braidwood	2011	0	F	550
Braidwood	2011	0	M	548
Braidwood	2011	1	F	903
Braidwood	2011	1	M	940
Braidwood	2016		F	321
Braidwood	2016		M	334
Braidwood	2016	0	F	622
Braidwood	2016	0	M	587
Braidwood	2016	1	F	973
Braidwood	2016	1	M	1034
Karabar	2006		F	550
Karabar	2006		M	624
Karabar	2006	0	F	1551
Karabar	2006	0	M	1463
Karabar	2006	1	F	2568
Karabar	2006	1	M	2492
Karabar	2011		F	503
Karabar	2011		M	529
Karabar	2011	0	F	1354
Karabar	2011	0	M	1218
Karabar	2011	1	F	2505
Karabar	2011	1	M	2490
Karabar	2016		F	520
Karabar	2016		M	522
Karabar	2016	0	F	1214
Karabar	2016	0	M	1194
Karabar	2016	1	F	2438
Karabar	2016	1	M	2357
Queanbeyan	2006		F	597
Queanbeyan	2006		M	685
Queanbeyan	2006	0	F	1888
Queanbeyan	2006	0	M	1910
Queanbeyan	2006	1	F	2017
Queanbeyan	2006	1	M	2032
Queanbeyan	2011		F	651
Queanbeyan	2011		M	764
Queanbeyan	2011	0	F	2144
Queanbeyan	2011	0	M	2194
Queanbeyan	2011	1	F	2230
Queanbeyan	2011	1	M	2252
Queanbeyan	2016		F	758
Queanbeyan	2016		M	838
Queanbeyan	2016	0	F	2383
Queanbeyan	2016	0	M	2306
Queanbeyan	2016	1	F	2262
Queanbeyan	2016	1	M	2286
Queanbeyan - East	2006		F	247
Queanbeyan - East	2006		M	320
Queanbeyan - East	2006	0	F	952
Queanbeyan - East	2006	0	M	988
Queanbeyan - East	2006	1	F	736
Queanbeyan - East	2006	1	M	763
Queanbeyan - East	2011		F	251
Queanbeyan - East	2011		M	347
Queanbeyan - East	2011	0	F	1044
Queanbeyan - East	2011	0	M	1130
Queanbeyan - East	2011	1	F	935
Queanbeyan - East	2011	1	M	937
Queanbeyan - East	2016		F	297
Queanbeyan - East	2016		M	359
Queanbeyan - East	2016	0	F	1039
Queanbeyan - East	2016	0	M	1113
Queanbeyan - East	2016	1	F	989
Queanbeyan - East	2016	1	M	987
Queanbeyan Region	2006		F	708
Queanbeyan Region	2006		M	783
Queanbeyan Region	2006	0	F	2426
Queanbeyan Region	2006	0	M	2377
Queanbeyan Region	2006	1	F	3103
Queanbeyan Region	2006	1	M	3252
Queanbeyan Region	2011		F	786
Queanbeyan Region	2011		M	882
Queanbeyan Region	2011	0	F	2428
Queanbeyan Region	2011	0	M	2332
Queanbeyan Region	2011	1	F	3779
Queanbeyan Region	2011	1	M	3902
Queanbeyan Region	2016		F	1239
Queanbeyan Region	2016		M	1370
Queanbeyan Region	2016	0	F	2915
Queanbeyan Region	2016	0	M	2863
Queanbeyan Region	2016	1	F	4177
Queanbeyan Region	2016	1	M	4386
Queanbeyan West - Jerrabomberra	2006		F	827
Queanbeyan West - Jerrabomberra	2006		M	848
Queanbeyan West - Jerrabomberra	2006	0	F	2932
Queanbeyan West - Jerrabomberra	2006	0	M	2732
Queanbeyan West - Jerrabomberra	2006	1	F	2235
Queanbeyan West - Jerrabomberra	2006	1	M	2127
Queanbeyan West - Jerrabomberra	2011		F	661
Queanbeyan West - Jerrabomberra	2011		M	712
Queanbeyan West - Jerrabomberra	2011	0	F	2527
Queanbeyan West - Jerrabomberra	2011	0	M	2375
Queanbeyan West - Jerrabomberra	2011	1	F	3197
Queanbeyan West - Jerrabomberra	2011	1	M	3098
