SA2_NAME16	Year	BornAust	Sex	persons
Braidwood	2006	0	F	139
Braidwood	2006	0	M	139
Braidwood	2006	1	F	961
Braidwood	2006	1	M	969
Braidwood	2011	0	F	210
Braidwood	2011	0	M	190
Braidwood	2011	1	F	1331
Braidwood	2011	1	M	1384
Braidwood	2016	0	F	243
Braidwood	2016	0	M	219
Braidwood	2016	1	F	1446
Braidwood	2016	1	M	1504
Karabar	2006	0	F	717
Karabar	2006	0	M	704
Karabar	2006	1	F	3643
Karabar	2006	1	M	3571
Karabar	2011	0	F	727
Karabar	2011	0	M	686
Karabar	2011	1	F	3412
Karabar	2011	1	M	3324
Karabar	2016	0	F	689
Karabar	2016	0	M	638
Karabar	2016	1	F	3175
Karabar	2016	1	M	3182
Queanbeyan	2006	0	F	948
Queanbeyan	2006	0	M	922
Queanbeyan	2006	1	F	3109
Queanbeyan	2006	1	M	3262
Queanbeyan	2011	0	F	1187
Queanbeyan	2011	0	M	1205
Queanbeyan	2011	1	F	3526
Queanbeyan	2011	1	M	3577
Queanbeyan	2016	0	F	1348
Queanbeyan	2016	0	M	1333
Queanbeyan	2016	1	F	3645
Queanbeyan	2016	1	M	3628
Queanbeyan - East	2006	0	F	357
Queanbeyan - East	2006	0	M	401
Queanbeyan - East	2006	1	F	1422
Queanbeyan - East	2006	1	M	1454
Queanbeyan - East	2011	0	F	516
Queanbeyan - East	2011	0	M	575
Queanbeyan - East	2011	1	F	1578
Queanbeyan - East	2011	1	M	1662
Queanbeyan - East	2016	0	F	581
Queanbeyan - East	2016	0	M	612
Queanbeyan - East	2016	1	F	1597
Queanbeyan - East	2016	1	M	1692
Queanbeyan Region	2006	0	F	913
Queanbeyan Region	2006	0	M	920
Queanbeyan Region	2006	1	F	4953
Queanbeyan Region	2006	1	M	5059
Queanbeyan Region	2011	0	F	994
Queanbeyan Region	2011	0	M	953
Queanbeyan Region	2011	1	F	5620
Queanbeyan Region	2011	1	M	5724
Queanbeyan Region	2016	0	F	1101
Queanbeyan Region	2016	0	M	1102
Queanbeyan Region	2016	1	F	6423
Queanbeyan Region	2016	1	M	6620
Queanbeyan West - Jerrabomberra	2006	0	F	906
Queanbeyan West - Jerrabomberra	2006	0	M	916
Queanbeyan West - Jerrabomberra	2006	1	F	4777
Queanbeyan West - Jerrabomberra	2006	1	M	4461
Queanbeyan West - Jerrabomberra	2011	0	F	996
Queanbeyan West - Jerrabomberra	2011	0	M	996
Queanbeyan West - Jerrabomberra	2011	1	F	5191
Queanbeyan West - Jerrabomberra	2011	1	M	4982
Queanbeyan West - Jerrabomberra	2016	0	F	982
Queanbeyan West - Jerrabomberra	2016	0	M	1003
Queanbeyan West - Jerrabomberra	2016	1	F	5108
Queanbeyan West - Jerrabomberra	2016	1	M	5005
Bombala	2006	0	F	100
Bombala	2006	0	M	86
Bombala	2006	1	F	1090
Bombala	2006	1	M	1073
Bombala	2011	0	F	101
Bombala	2011	0	M	91
Bombala	2011	1	F	1045
Bombala	2011	1	M	1079
Bombala	2016	0	F	104
Bombala	2016	0	M	84
Bombala	2016	1	F	966
Bombala	2016	1	M	1015
Cooma	2006	0	F	491
Cooma	2006	0	M	440
Cooma	2006	1	F	2687
Cooma	2006	1	M	2730
Cooma	2011	0	F	503
Cooma	2011	0	M	440
Cooma	2011	1	F	2661
Cooma	2011	1	M	2706
Cooma	2016	0	F	493
Cooma	2016	0	M	484
Cooma	2016	1	F	2541
Cooma	2016	1	M	2584
Cooma Region	2006	0	F	206
Cooma Region	2006	0	M	195
Cooma Region	2006	1	F	1085
Cooma Region	2006	1	M	1122
Cooma Region	2011	0	F	216
Cooma Region	2011	0	M	221
Cooma Region	2011	1	F	1279
Cooma Region	2011	1	M	1345
Cooma Region	2016	0	F	199
Cooma Region	2016	0	M	205
Cooma Region	2016	1	F	1213
Cooma Region	2016	1	M	1294
Jindabyne - Berridale	2006	0	F	332
Jindabyne - Berridale	2006	0	M	390
Jindabyne - Berridale	2006	1	F	2048
Jindabyne - Berridale	2006	1	M	2304
Jindabyne - Berridale	2011	0	F	389
Jindabyne - Berridale	2011	0	M	398
Jindabyne - Berridale	2011	1	F	2305
Jindabyne - Berridale	2011	1	M	2631
Jindabyne - Berridale	2016	0	F	449
Jindabyne - Berridale	2016	0	M	471
Jindabyne - Berridale	2016	1	F	2475
Jindabyne - Berridale	2016	1	M	2875
Batemans Bay	2006	0	F	518
Batemans Bay	2006	0	M	475
Batemans Bay	2006	1	F	3099
Batemans Bay	2006	1	M	2961
Batemans Bay	2011	0	F	554
Batemans Bay	2011	0	M	491
Batemans Bay	2011	1	F	3043
Batemans Bay	2011	1	M	2903
Batemans Bay	2016	0	F	591
Batemans Bay	2016	0	M	499
Batemans Bay	2016	1	F	3000
Batemans Bay	2016	1	M	2955
Batemans Bay - South	2006	0	F	598
Batemans Bay - South	2006	0	M	589
Batemans Bay - South	2006	1	F	3327
Batemans Bay - South	2006	1	M	3000
Batemans Bay - South	2011	0	F	597
Batemans Bay - South	2011	0	M	585
Batemans Bay - South	2011	1	F	3353
Batemans Bay - South	2011	1	M	3032
Batemans Bay - South	2016	0	F	650
Batemans Bay - South	2016	0	M	599
Batemans Bay - South	2016	1	F	3340
Batemans Bay - South	2016	1	M	3015
Bega - Tathra	2006	0	F	324
Bega - Tathra	2006	0	M	281
Bega - Tathra	2006	1	F	3429
Bega - Tathra	2006	1	M	3147
Bega - Tathra	2011	0	F	359
Bega - Tathra	2011	0	M	317
Bega - Tathra	2011	1	F	3561
Bega - Tathra	2011	1	M	3382
Bega - Tathra	2016	0	F	395
Bega - Tathra	2016	0	M	349
Bega - Tathra	2016	1	F	3539
Bega - Tathra	2016	1	M	3365
Bega-Eden Hinterland	2006	0	F	517
Bega-Eden Hinterland	2006	0	M	472
Bega-Eden Hinterland	2006	1	F	3607
Bega-Eden Hinterland	2006	1	M	3719
Bega-Eden Hinterland	2011	0	F	524
Bega-Eden Hinterland	2011	0	M	531
Bega-Eden Hinterland	2011	1	F	3586
Bega-Eden Hinterland	2011	1	M	3642
Bega-Eden Hinterland	2016	0	F	499
Bega-Eden Hinterland	2016	0	M	518
Bega-Eden Hinterland	2016	1	F	3496
Bega-Eden Hinterland	2016	1	M	3505
Broulee - Tomakin	2006	0	F	155
Broulee - Tomakin	2006	0	M	163
Broulee - Tomakin	2006	1	F	1022
Broulee - Tomakin	2006	1	M	1000
Broulee - Tomakin	2011	0	F	195
Broulee - Tomakin	2011	0	M	193
Broulee - Tomakin	2011	1	F	1150
Broulee - Tomakin	2011	1	M	1101
Broulee - Tomakin	2016	0	F	208
Broulee - Tomakin	2016	0	M	187
Broulee - Tomakin	2016	1	F	1332
Broulee - Tomakin	2016	1	M	1269
Deua - Wadbilliga	2006	0	F	0
Deua - Wadbilliga	2006	0	M	0
Deua - Wadbilliga	2006	1	F	0
Deua - Wadbilliga	2006	1	M	0
Deua - Wadbilliga	2011	0	F	3
Deua - Wadbilliga	2011	0	M	5
