SA2_NAME16	Year	IndigenousStatus	persons
Braidwood	2006	Aboriginal	30
Braidwood	2006	Both Aboriginal & Torres Strait Islander	0
Braidwood	2006	Non-indigenous	2309
Braidwood	2006	Torres Strait Islander	3
Braidwood	2011	Aboriginal	43
Braidwood	2011	Both Aboriginal & Torres Strait Islander	0
Braidwood	2011	Non-indigenous	3313
Braidwood	2011	Torres Strait Islander	0
Braidwood	2016	Aboriginal	70
Braidwood	2016	Both Aboriginal & Torres Strait Islander	0
Braidwood	2016	Non-indigenous	3802
Braidwood	2016	Torres Strait Islander	0
Karabar	2006	Aboriginal	423
Karabar	2006	Both Aboriginal & Torres Strait Islander	9
Karabar	2006	Non-indigenous	8800
Karabar	2006	Torres Strait Islander	13
Karabar	2011	Aboriginal	426
Karabar	2011	Both Aboriginal & Torres Strait Islander	14
Karabar	2011	Non-indigenous	8150
Karabar	2011	Torres Strait Islander	12
Karabar	2016	Aboriginal	493
Karabar	2016	Both Aboriginal & Torres Strait Islander	0
Karabar	2016	Non-indigenous	7742
Karabar	2016	Torres Strait Islander	12
Queanbeyan	2006	Aboriginal	194
Queanbeyan	2006	Both Aboriginal & Torres Strait Islander	7
Queanbeyan	2006	Non-indigenous	8922
Queanbeyan	2006	Torres Strait Islander	4
Queanbeyan	2011	Aboriginal	253
Queanbeyan	2011	Both Aboriginal & Torres Strait Islander	5
Queanbeyan	2011	Non-indigenous	9975
Queanbeyan	2011	Torres Strait Islander	0
Queanbeyan	2016	Aboriginal	310
Queanbeyan	2016	Both Aboriginal & Torres Strait Islander	4
Queanbeyan	2016	Non-indigenous	10522
Queanbeyan	2016	Torres Strait Islander	6
Queanbeyan - East	2006	Aboriginal	94
Queanbeyan - East	2006	Both Aboriginal & Torres Strait Islander	0
Queanbeyan - East	2006	Non-indigenous	3895
Queanbeyan - East	2006	Torres Strait Islander	13
Queanbeyan - East	2011	Aboriginal	119
Queanbeyan - East	2011	Both Aboriginal & Torres Strait Islander	5
Queanbeyan - East	2011	Non-indigenous	4512
Queanbeyan - East	2011	Torres Strait Islander	3
Queanbeyan - East	2016	Aboriginal	167
Queanbeyan - East	2016	Both Aboriginal & Torres Strait Islander	3
Queanbeyan - East	2016	Non-indigenous	4616
Queanbeyan - East	2016	Torres Strait Islander	0
Queanbeyan Region	2006	Aboriginal	93
Queanbeyan Region	2006	Both Aboriginal & Torres Strait Islander	0
Queanbeyan Region	2006	Non-indigenous	12557
Queanbeyan Region	2006	Torres Strait Islander	0
Queanbeyan Region	2011	Aboriginal	219
Queanbeyan Region	2011	Both Aboriginal & Torres Strait Islander	0
Queanbeyan Region	2011	Non-indigenous	13889
Queanbeyan Region	2011	Torres Strait Islander	3
Queanbeyan Region	2016	Aboriginal	322
Queanbeyan Region	2016	Both Aboriginal & Torres Strait Islander	11
Queanbeyan Region	2016	Non-indigenous	16610
