SA2_NAME16	Year	Sex	overseas_visitors
Braidwood	2006	F	0
Braidwood	2006	M	3
Braidwood	2011	F	5
Braidwood	2011	M	3
Braidwood	2016	F	8
Braidwood	2016	M	6
Karabar	2006	F	15
Karabar	2006	M	12
Karabar	2011	F	6
Karabar	2011	M	8
Karabar	2016	F	8
Karabar	2016	M	9
Queanbeyan	2006	F	28
Queanbeyan	2006	M	24
Queanbeyan	2011	F	30
Queanbeyan	2011	M	21
Queanbeyan	2016	F	37
Queanbeyan	2016	M	27
Queanbeyan - East	2006	F	8
Queanbeyan - East	2006	M	12
Queanbeyan - East	2011	F	13
Queanbeyan - East	2011	M	8
Queanbeyan - East	2016	F	20
Queanbeyan - East	2016	M	8
Queanbeyan Region	2006	F	12
Queanbeyan Region	2006	M	16
Queanbeyan Region	2011	F	31
Queanbeyan Region	2011	M	22
Queanbeyan Region	2016	F	54
Queanbeyan Region	2016	M	53
Queanbeyan West - Jerrabomberra	2006	F	20
Queanbeyan West - Jerrabomberra	2006	M	15
Queanbeyan West - Jerrabomberra	2011	F	34
Queanbeyan West - Jerrabomberra	2011	M	24
Queanbeyan West - Jerrabomberra	2016	F	23
Queanbeyan West - Jerrabomberra	2016	M	16
Bombala	2006	F	6
Bombala	2006	M	0
Bombala	2011	F	4
Bombala	2011	M	5
Bombala	2016	F	3
Bombala	2016	M	7
Cooma	2006	F	26
Cooma	2006	M	14
Cooma	2011	F	9
Cooma	2011	M	7
Cooma	2016	F	13
Cooma	2016	M	12
Cooma Region	2006	F	16
Cooma Region	2006	M	16
Cooma Region	2011	F	16
Cooma Region	2011	M	16
Cooma Region	2016	F	23
Cooma Region	2016	M	27
Jindabyne - Berridale	2006	F	226
Jindabyne - Berridale	2006	M	240
Jindabyne - Berridale	2011	F	200
Jindabyne - Berridale	2011	M	245
Jindabyne - Berridale	2016	F	303
Jindabyne - Berridale	2016	M	373
Batemans Bay	2006	F	15
Batemans Bay	2006	M	19
Batemans Bay	2011	F	25
Batemans Bay	2011	M	11
Batemans Bay	2016	F	6
Batemans Bay	2016	M	8
Batemans Bay - South	2006	F	14
Batemans Bay - South	2006	M	20
Batemans Bay - South	2011	F	15
Batemans Bay - South	2011	M	26
Batemans Bay - South	2016	F	11
Batemans Bay - South	2016	M	13
Bega - Tathra	2006	F	6
Bega - Tathra	2006	M	5
Bega - Tathra	2011	F	9
Bega - Tathra	2011	M	8
Bega - Tathra	2016	F	16
Bega - Tathra	2016	M	10
Bega-Eden Hinterland	2006	F	7
Bega-Eden Hinterland	2006	M	5
Bega-Eden Hinterland	2011	F	15
Bega-Eden Hinterland	2011	M	7
Bega-Eden Hinterland	2016	F	13
Bega-Eden Hinterland	2016	M	10
Broulee - Tomakin	2006	F	4
Broulee - Tomakin	2006	M	6
Broulee - Tomakin	2011	F	14
Broulee - Tomakin	2011	M	10
Broulee - Tomakin	2016	F	11
Broulee - Tomakin	2016	M	18
Deua - Wadbilliga	2006	F	0
Deua - Wadbilliga	2006	M	0
Deua - Wadbilliga	2011	F	0
Deua - Wadbilliga	2011	M	0
Deua - Wadbilliga	2016	F	0
Deua - Wadbilliga	2016	M	0
Eden	2006	F	16
Eden	2006	M	8
Eden	2011	F	17
Eden	2011	M	17
Eden	2016	F	7
Eden	2016	M	4
Eurobodalla Hinterland	2006	F	8
Eurobodalla Hinterland	2006	M	4
Eurobodalla Hinterland	2011	F	6
Eurobodalla Hinterland	2011	M	0
Eurobodalla Hinterland	2016	F	14
Eurobodalla Hinterland	2016	M	6
Merimbula - Tura Beach	2006	F	10
Merimbula - Tura Beach	2006	M	18
Merimbula - Tura Beach	2011	F	15
Merimbula - Tura Beach	2011	M	20
Merimbula - Tura Beach	2016	F	27
Merimbula - Tura Beach	2016	M	27
Moruya - Tuross Head	2006	F	11
Moruya - Tuross Head	2006	M	3
Moruya - Tuross Head	2011	F	10
Moruya - Tuross Head	2011	M	9
Moruya - Tuross Head	2016	F	16
Moruya - Tuross Head	2016	M	11
Narooma - Bermagui	2006	F	9
Narooma - Bermagui	2006	M	9
Narooma - Bermagui	2011	F	15
Narooma - Bermagui	2011	M	11
Narooma - Bermagui	2016	F	13
Narooma - Bermagui	2016	M	18
Goulburn	2006	F	39
Goulburn	2006	M	28
Goulburn	2011	F	40
Goulburn	2011	M	36
Goulburn	2016	F	61
Goulburn	2016	M	49
Goulburn Region	2006	F	11
Goulburn Region	2006	M	33
Goulburn Region	2011	F	15
Goulburn Region	2011	M	14
Goulburn Region	2016	F	14
Goulburn Region	2016	M	15
Yass	2006	F	8
Yass	2006	M	10
Yass	2011	F	3
Yass	2011	M	3
Yass	2016	F	10
Yass	2016	M	0
Yass Region	2006	F	22
Yass Region	2006	M	9
Yass Region	2011	F	9
Yass Region	2011	M	20
Yass Region	2016	F	17
Yass Region	2016	M	14
Young	2006	F	3
Young	2006	M	7
Young	2011	F	12
Young	2011	M	5
Young	2016	F	16
Young	2016	M	17
Young Region	2006	F	8
Young Region	2006	M	11
Young Region	2011	F	10
Young Region	2011	M	0
Young Region	2016	F	15
Young Region	2016	M	4
Avoca Beach - Copacabana	2006	F	13
Avoca Beach - Copacabana	2006	M	16
Avoca Beach - Copacabana	2011	F	22
Avoca Beach - Copacabana	2011	M	14
Avoca Beach - Copacabana	2016	F	19
Avoca Beach - Copacabana	2016	M	11
Box Head - MacMasters Beach	2006	F	31
Box Head - MacMasters Beach	2006	M	21
Box Head - MacMasters Beach	2011	F	24
Box Head - MacMasters Beach	2011	M	24
Box Head - MacMasters Beach	2016	F	26
Box Head - MacMasters Beach	2016	M	33
Calga - Kulnura	2006	F	33
Calga - Kulnura	2006	M	14
Calga - Kulnura	2011	F	26
Calga - Kulnura	2011	M	12
Calga - Kulnura	2016	F	37
Calga - Kulnura	2016	M	22
Erina - Green Point	2006	F	35
Erina - Green Point	2006	M	25
Erina - Green Point	2011	F	30
Erina - Green Point	2011	M	22
Erina - Green Point	2016	F	34
Erina - Green Point	2016	M	23
Gosford - Springfield	2006	F	34
Gosford - Springfield	2006	M	28
Gosford - Springfield	2011	F	30
Gosford - Springfield	2011	M	29
Gosford - Springfield	2016	F	69
Gosford - Springfield	2016	M	43
Kariong	2006	F	8
Kariong	2006	M	12
Kariong	2011	F	9
Kariong	2011	M	3
Kariong	2016	F	14
Kariong	2016	M	6
Kincumber - Picketts Valley	2006	F	10
Kincumber - Picketts Valley	2006	M	3
Kincumber - Picketts Valley	2011	F	10
Kincumber - Picketts Valley	2011	M	6
Kincumber - Picketts Valley	2016	F	13
Kincumber - Picketts Valley	2016	M	8
Narara	2006	F	23
Narara	2006	M	13
Narara	2011	F	13
Narara	2011	M	5
Narara	2016	F	19
Narara	2016	M	8
Niagara Park - Lisarow	2006	F	20
Niagara Park - Lisarow	2006	M	10
Niagara Park - Lisarow	2011	F	8
Niagara Park - Lisarow	2011	M	14
Niagara Park - Lisarow	2016	F	9
Niagara Park - Lisarow	2016	M	9
Point Clare - Koolewong	2006	F	14
Point Clare - Koolewong	2006	M	6
Point Clare - Koolewong	2011	F	17
Point Clare - Koolewong	2011	M	6
Point Clare - Koolewong	2016	F	8
Point Clare - Koolewong	2016	M	6
Saratoga - Davistown	2006	F	14
Saratoga - Davistown	2006	M	6
Saratoga - Davistown	2011	F	4
Saratoga - Davistown	2011	M	10
Saratoga - Davistown	2016	F	18
Saratoga - Davistown	2016	M	5
Terrigal - North Avoca	2006	F	61
Terrigal - North Avoca	2006	M	50
Terrigal - North Avoca	2011	F	41
Terrigal - North Avoca	2011	M	37
Terrigal - North Avoca	2016	F	52
Terrigal - North Avoca	2016	M	58
Umina - Booker Bay - Patonga	2006	F	65
Umina - Booker Bay - Patonga	2006	M	34
Umina - Booker Bay - Patonga	2011	F	32
Umina - Booker Bay - Patonga	2011	M	24
Umina - Booker Bay - Patonga	2016	F	44
Umina - Booker Bay - Patonga	2016	M	31
Wamberal - Forresters Beach	2006	F	17
Wamberal - Forresters Beach	2006	M	12
Wamberal - Forresters Beach	2011	F	8
Wamberal - Forresters Beach	2011	M	7
Wamberal - Forresters Beach	2016	F	27
Wamberal - Forresters Beach	2016	M	23
Woy Woy - Blackwall	2006	F	17
Woy Woy - Blackwall	2006	M	9
Woy Woy - Blackwall	2011	F	27
Woy Woy - Blackwall	2011	M	14
Woy Woy - Blackwall	2016	F	34
Woy Woy - Blackwall	2016	M	29
Wyoming	2006	F	33
Wyoming	2006	M	13
Wyoming	2011	F	14
Wyoming	2011	M	9
Wyoming	2016	F	29
Wyoming	2016	M	17
Bateau Bay - Killarney Vale	2006	F	20
Bateau Bay - Killarney Vale	2006	M	5
Bateau Bay - Killarney Vale	2011	F	11
Bateau Bay - Killarney Vale	2011	M	4
Bateau Bay - Killarney Vale	2016	F	30
Bateau Bay - Killarney Vale	2016	M	21
Blue Haven - San Remo	2006	F	4
Blue Haven - San Remo	2006	M	3
Blue Haven - San Remo	2011	F	12
Blue Haven - San Remo	2011	M	6
Blue Haven - San Remo	2016	F	8
Blue Haven - San Remo	2016	M	10
Budgewoi - Buff Point - Halekulani	2006	F	0
Budgewoi - Buff Point - Halekulani	2006	M	3
Budgewoi - Buff Point - Halekulani	2011	F	4
Budgewoi - Buff Point - Halekulani	2011	M	5
Budgewoi - Buff Point - Halekulani	2016	F	10
Budgewoi - Buff Point - Halekulani	2016	M	7
Chittaway Bay - Tumbi Umbi	2006	F	12
Chittaway Bay - Tumbi Umbi	2006	M	11
Chittaway Bay - Tumbi Umbi	2011	F	14
Chittaway Bay - Tumbi Umbi	2011	M	11
Chittaway Bay - Tumbi Umbi	2016	F	21
Chittaway Bay - Tumbi Umbi	2016	M	9
Gorokan - Kanwal - Charmhaven	2006	F	17
Gorokan - Kanwal - Charmhaven	2006	M	10
Gorokan - Kanwal - Charmhaven	2011	F	19
Gorokan - Kanwal - Charmhaven	2011	M	10
Gorokan - Kanwal - Charmhaven	2016	F	33
Gorokan - Kanwal - Charmhaven	2016	M	14
Jilliby - Yarramalong	2006	F	13
Jilliby - Yarramalong	2006	M	14
Jilliby - Yarramalong	2011	F	4
Jilliby - Yarramalong	2011	M	3
Jilliby - Yarramalong	2016	F	11
Jilliby - Yarramalong	2016	M	3
Lake Munmorah - Mannering Park	2006	F	15
Lake Munmorah - Mannering Park	2006	M	11
Lake Munmorah - Mannering Park	2011	F	8
Lake Munmorah - Mannering Park	2011	M	5
Lake Munmorah - Mannering Park	2016	F	12
Lake Munmorah - Mannering Park	2016	M	10
Ourimbah - Fountaindale	2006	F	3
Ourimbah - Fountaindale	2006	M	3
Ourimbah - Fountaindale	2011	F	5
Ourimbah - Fountaindale	2011	M	5
Ourimbah - Fountaindale	2016	F	10
Ourimbah - Fountaindale	2016	M	7
Summerland Point - Gwandalan	2006	F	13
Summerland Point - Gwandalan	2006	M	11
Summerland Point - Gwandalan	2011	F	0
Summerland Point - Gwandalan	2011	M	3
Summerland Point - Gwandalan	2016	F	5
Summerland Point - Gwandalan	2016	M	5
The Entrance	2006	F	9
The Entrance	2006	M	12
The Entrance	2011	F	24
The Entrance	2011	M	24
The Entrance	2016	F	34
The Entrance	2016	M	23
Toukley - Norah Head	2006	F	5
Toukley - Norah Head	2006	M	8
Toukley - Norah Head	2011	F	11
Toukley - Norah Head	2011	M	6
Toukley - Norah Head	2016	F	11
Toukley - Norah Head	2016	M	3
Tuggerah - Kangy Angy	2006	F	5
Tuggerah - Kangy Angy	2006	M	10
Tuggerah - Kangy Angy	2011	F	9
Tuggerah - Kangy Angy	2011	M	8
Tuggerah - Kangy Angy	2016	F	12
Tuggerah - Kangy Angy	2016	M	12
Warnervale - Wadalba	2006	F	22
Warnervale - Wadalba	2006	M	10
Warnervale - Wadalba	2011	F	13
Warnervale - Wadalba	2011	M	8
Warnervale - Wadalba	2016	F	23
Warnervale - Wadalba	2016	M	22
Wyong	2006	F	10
Wyong	2006	M	7
Wyong	2011	F	8
Wyong	2011	M	8
Wyong	2016	F	13
Wyong	2016	M	9
Bathurst	2006	F	63
Bathurst	2006	M	24
Bathurst	2011	F	64
Bathurst	2011	M	28
Bathurst	2016	F	37
Bathurst	2016	M	34
Bathurst - East	2006	F	26
Bathurst - East	2006	M	25
Bathurst - East	2011	F	19
Bathurst - East	2011	M	31
Bathurst - East	2016	F	7
Bathurst - East	2016	M	6
Bathurst Region	2006	F	4
Bathurst Region	2006	M	8
Bathurst Region	2011	F	18
Bathurst Region	2011	M	16
Bathurst Region	2016	F	12
Bathurst Region	2016	M	4
Oberon	2006	F	9
Oberon	2006	M	3
Oberon	2011	F	11
Oberon	2011	M	9
Oberon	2016	F	0
Oberon	2016	M	11
Condobolin	2006	F	10
Condobolin	2006	M	7
Condobolin	2011	F	7
Condobolin	2011	M	12
Condobolin	2016	F	6
Condobolin	2016	M	9
Cowra	2006	F	15
Cowra	2006	M	20
Cowra	2011	F	19
Cowra	2011	M	7
Cowra	2016	F	9
Cowra	2016	M	6
Cowra Region	2006	F	11
Cowra Region	2006	M	13
Cowra Region	2011	F	20
Cowra Region	2011	M	41
Cowra Region	2016	F	14
Cowra Region	2016	M	17
Forbes	2006	F	8
Forbes	2006	M	8
Forbes	2011	F	3
Forbes	2011	M	11
Forbes	2016	F	9
Forbes	2016	M	7
Grenfell	2006	F	3
Grenfell	2006	M	5
Grenfell	2011	F	5
Grenfell	2011	M	3
Grenfell	2016	F	0
Grenfell	2016	M	0
Parkes (NSW)	2006	F	5
Parkes (NSW)	2006	M	9
Parkes (NSW)	2011	F	4
Parkes (NSW)	2011	M	9
Parkes (NSW)	2016	F	16
Parkes (NSW)	2016	M	13
Parkes Region	2006	F	0
Parkes Region	2006	M	0
Parkes Region	2011	F	3
Parkes Region	2011	M	3
Parkes Region	2016	F	10
Parkes Region	2016	M	3
West Wyalong	2006	F	3
West Wyalong	2006	M	6
West Wyalong	2011	F	5
West Wyalong	2011	M	7
West Wyalong	2016	F	11
West Wyalong	2016	M	0
Lithgow	2006	F	18
Lithgow	2006	M	7
Lithgow	2011	F	21
Lithgow	2011	M	9
Lithgow	2016	F	14
