SA2_NAME16	Year	Sex	unemployment
Braidwood	2006	F	3
Braidwood	2006	M	4
Braidwood	2011	F	3.8
Braidwood	2011	M	4.5
Braidwood	2016	F	3.9
Braidwood	2016	M	4.3
Karabar	2006	F	3.3
Karabar	2006	M	3.3
Karabar	2011	F	3.1
Karabar	2011	M	3.7
Karabar	2016	F	4.7
Karabar	2016	M	4.6
Queanbeyan	2006	F	3.8
Queanbeyan	2006	M	4.1
Queanbeyan	2011	F	3.2
Queanbeyan	2011	M	3.9
Queanbeyan	2016	F	4.4
Queanbeyan	2016	M	5.9
Queanbeyan - East	2006	F	2.3
Queanbeyan - East	2006	M	3.1
Queanbeyan - East	2011	F	2.9
Queanbeyan - East	2011	M	2.9
Queanbeyan - East	2016	F	5.2
Queanbeyan - East	2016	M	4.7
Queanbeyan Region	2006	F	2.2
Queanbeyan Region	2006	M	2.2
Queanbeyan Region	2011	F	2
Queanbeyan Region	2011	M	2.4
Queanbeyan Region	2016	F	2.7
Queanbeyan Region	2016	M	3.1
Queanbeyan West - Jerrabomberra	2006	F	2
Queanbeyan West - Jerrabomberra	2006	M	2
Queanbeyan West - Jerrabomberra	2011	F	2.2
Queanbeyan West - Jerrabomberra	2011	M	2.2
Queanbeyan West - Jerrabomberra	2016	F	3.4
Queanbeyan West - Jerrabomberra	2016	M	3.5
Bombala	2006	F	4.6
Bombala	2006	M	5.5
Bombala	2011	F	3.3
Bombala	2011	M	3.9
Bombala	2016	F	4.3
Bombala	2016	M	4
Cooma	2006	F	5.5
Cooma	2006	M	5.4
Cooma	2011	F	4.3
Cooma	2011	M	6.2
Cooma	2016	F	4.1
Cooma	2016	M	5.1
Cooma Region	2006	F	3.1
Cooma Region	2006	M	4.5
Cooma Region	2011	F	4.2
Cooma Region	2011	M	3.2
Cooma Region	2016	F	3.1
Cooma Region	2016	M	4.1
Jindabyne - Berridale	2006	F	1.5
Jindabyne - Berridale	2006	M	2.3
Jindabyne - Berridale	2011	F	1.6
Jindabyne - Berridale	2011	M	2.4
Jindabyne - Berridale	2016	F	1.7
Jindabyne - Berridale	2016	M	2.1
Batemans Bay	2006	F	8.3
Batemans Bay	2006	M	11.3
Batemans Bay	2011	F	6.8
Batemans Bay	2011	M	8.5
Batemans Bay	2016	F	7.7
Batemans Bay	2016	M	9.1
Batemans Bay - South	2006	F	7.2
Batemans Bay - South	2006	M	9.7
Batemans Bay - South	2011	F	7.3
Batemans Bay - South	2011	M	9.2
Batemans Bay - South	2016	F	7
Batemans Bay - South	2016	M	10.1
Bega - Tathra	2006	F	7.2
Bega - Tathra	2006	M	7.6
Bega - Tathra	2011	F	4.2
Bega - Tathra	2011	M	4.7
Bega - Tathra	2016	F	4.4
Bega - Tathra	2016	M	5.7
Bega-Eden Hinterland	2006	F	5.2
Bega-Eden Hinterland	2006	M	7.9
Bega-Eden Hinterland	2011	F	5.1
Bega-Eden Hinterland	2011	M	7.4
Bega-Eden Hinterland	2016	F	5.5
Bega-Eden Hinterland	2016	M	6.3
Broulee - Tomakin	2006	F	6.5
Broulee - Tomakin	2006	M	12
Broulee - Tomakin	2011	F	5.2
Broulee - Tomakin	2011	M	8
Broulee - Tomakin	2016	F	4.5
Broulee - Tomakin	2016	M	5
Deua - Wadbilliga	2006	F	0
Deua - Wadbilliga	2006	M	0
Deua - Wadbilliga	2011	F	0
Deua - Wadbilliga	2011	M	0
Deua - Wadbilliga	2016	F	0
Deua - Wadbilliga	2016	M	0
Eden	2006	F	6.8
Eden	2006	M	8.9
Eden	2011	F	6.4
Eden	2011	M	9.8
Eden	2016	F	7.3
Eden	2016	M	6.9
Eurobodalla Hinterland	2006	F	6.3
Eurobodalla Hinterland	2006	M	12.1
Eurobodalla Hinterland	2011	F	4.8
Eurobodalla Hinterland	2011	M	8.5
Eurobodalla Hinterland	2016	F	4.7
Eurobodalla Hinterland	2016	M	8.6
Merimbula - Tura Beach	2006	F	5.7
Merimbula - Tura Beach	2006	M	6.4
Merimbula - Tura Beach	2011	F	5.5
Merimbula - Tura Beach	2011	M	5.8
Merimbula - Tura Beach	2016	F	4.1
Merimbula - Tura Beach	2016	M	5.1
Moruya - Tuross Head	2006	F	7.4
Moruya - Tuross Head	2006	M	10.6
Moruya - Tuross Head	2011	F	6.8
Moruya - Tuross Head	2011	M	9
Moruya - Tuross Head	2016	F	6.1
Moruya - Tuross Head	2016	M	7
Narooma - Bermagui	2006	F	7.5
Narooma - Bermagui	2006	M	10
Narooma - Bermagui	2011	F	5.5
Narooma - Bermagui	2011	M	8.3
Narooma - Bermagui	2016	F	4.9
Narooma - Bermagui	2016	M	6.6
Goulburn	2006	F	6.4
Goulburn	2006	M	6.9
Goulburn	2011	F	5.9
Goulburn	2011	M	6.3
Goulburn	2016	F	6.5
Goulburn	2016	M	7
Goulburn Region	2006	F	4.2
Goulburn Region	2006	M	3.4
Goulburn Region	2011	F	4.2
Goulburn Region	2011	M	3.6
Goulburn Region	2016	F	4.3
Goulburn Region	2016	M	4.3
Yass	2006	F	4
Yass	2006	M	3.1
Yass	2011	F	3.3
Yass	2011	M	2.9
Yass	2016	F	3.2
Yass	2016	M	3.9
Yass Region	2006	F	2.3
Yass Region	2006	M	2.5
Yass Region	2011	F	1.9
Yass Region	2011	M	2
Yass Region	2016	F	2.8
Yass Region	2016	M	2.8
Young	2006	F	6.7
Young	2006	M	5.8
Young	2011	F	6.5
Young	2011	M	6.5
Young	2016	F	5.9
Young	2016	M	6.4
Young Region	2006	F	5.5
Young Region	2006	M	4.8
Young Region	2011	F	5
Young Region	2011	M	5.6
Young Region	2016	F	4.7
Young Region	2016	M	4.8
Avoca Beach - Copacabana	2006	F	5.3
Avoca Beach - Copacabana	2006	M	5.3
Avoca Beach - Copacabana	2011	F	4.4
Avoca Beach - Copacabana	2011	M	4.6
Avoca Beach - Copacabana	2016	F	5.2
Avoca Beach - Copacabana	2016	M	5.7
Box Head - MacMasters Beach	2006	F	4
Box Head - MacMasters Beach	2006	M	6
Box Head - MacMasters Beach	2011	F	5.3
Box Head - MacMasters Beach	2011	M	5.2
Box Head - MacMasters Beach	2016	F	4.1
Box Head - MacMasters Beach	2016	M	4.9
Calga - Kulnura	2006	F	2.9
Calga - Kulnura	2006	M	4
Calga - Kulnura	2011	F	4.4
Calga - Kulnura	2011	M	4.3
Calga - Kulnura	2016	F	3.7
Calga - Kulnura	2016	M	3.8
