SA2_NAME16	Year	AustCitizen	persons
Braidwood	2006	0	191
Braidwood	2006	1	2151
Braidwood	2011	0	371
Braidwood	2011	1	2985
Braidwood	2016	0	579
Braidwood	2016	1	3293
Karabar	2006	0	888
Karabar	2006	1	8357
Karabar	2011	0	850
Karabar	2011	1	7752
Karabar	2016	0	846
Karabar	2016	1	7401
Queanbeyan	2006	0	1350
Queanbeyan	2006	1	7777
Queanbeyan	2011	0	1545
Queanbeyan	2011	1	8688
Queanbeyan	2016	0	2099
Queanbeyan	2016	1	8743
Queanbeyan - East	2006	0	605
Queanbeyan - East	2006	1	3397
Queanbeyan - East	2011	0	778
Queanbeyan - East	2011	1	3861
Queanbeyan - East	2016	0	860
Queanbeyan - East	2016	1	3926
Queanbeyan Region	2006	0	1113
Queanbeyan Region	2006	1	11537
Queanbeyan Region	2011	0	1195
Queanbeyan Region	2011	1	12916
Queanbeyan Region	2016	0	2072
Queanbeyan Region	2016	1	14874
Queanbeyan West - Jerrabomberra	2006	0	1039
Queanbeyan West - Jerrabomberra	2006	1	10662
Queanbeyan West - Jerrabomberra	2011	0	902
Queanbeyan West - Jerrabomberra	2011	1	11670
Queanbeyan West - Jerrabomberra	2016	0	1024
Queanbeyan West - Jerrabomberra	2016	1	11619
Bombala	2006	0	185
Bombala	2006	1	2353
Bombala	2011	0	157
Bombala	2011	1	2262
Bombala	2016	0	234
Bombala	2016	1	2156
Cooma	2006	0	804
Cooma	2006	1	5985
Cooma	2011	0	755
Cooma	2011	1	5922
Cooma	2016	0	990
Cooma	2016	1	5752
Cooma Region	2006	0	232
Cooma Region	2006	1	2525
Cooma Region	2011	0	262
Cooma Region	2011	1	2913
Cooma Region	2016	0	390
Cooma Region	2016	1	2890
Jindabyne - Berridale	2006	0	1550
Jindabyne - Berridale	2006	1	4856
Jindabyne - Berridale	2011	0	1257
Jindabyne - Berridale	2011	1	5407
Jindabyne - Berridale	2016	0	982
Jindabyne - Berridale	2016	1	5969
Batemans Bay	2006	0	685
Batemans Bay	2006	1	6855
Batemans Bay	2011	0	800
Batemans Bay	2011	1	6704
Batemans Bay	2016	0	863
Batemans Bay	2016	1	6829
Batemans Bay - South	2006	0	598
Batemans Bay - South	2006	1	7282
Batemans Bay - South	2011	0	913
Batemans Bay - South	2011	1	7310
Batemans Bay - South	2016	0	953
Batemans Bay - South	2016	1	7405
Bega - Tathra	2006	0	525
Bega - Tathra	2006	1	7042
Bega - Tathra	2011	0	620
Bega - Tathra	2011	1	7426
Bega - Tathra	2016	0	910
Bega - Tathra	2016	1	7495
Bega-Eden Hinterland	2006	0	764
Bega-Eden Hinterland	2006	1	8104
Bega-Eden Hinterland	2011	0	764
Bega-Eden Hinterland	2011	1	8003
Bega-Eden Hinterland	2016	0	875
Bega-Eden Hinterland	2016	1	7918
Broulee - Tomakin	2006	0	235
Broulee - Tomakin	2006	1	2281
Broulee - Tomakin	2011	0	304
Broulee - Tomakin	2011	1	2523
Broulee - Tomakin	2016	0	370
Broulee - Tomakin	2016	1	2915
Deua - Wadbilliga	2006	0	0
Deua - Wadbilliga	2006	1	0
Deua - Wadbilliga	2011	0	2
Deua - Wadbilliga	2011	1	55
