SA2_NAME16	Year	SameAddress5YearsAgo	persons
Braidwood	2006		274
Braidwood	2006	0	806
Braidwood	2006	1	1262
Braidwood	2011		424
Braidwood	2011	0	1096
Braidwood	2011	1	1836
Braidwood	2016		653
Braidwood	2016	0	1211
Braidwood	2016	1	2008
Karabar	2006		1175
Karabar	2006	0	3010
Karabar	2006	1	5060
Karabar	2011		1030
Karabar	2011	0	2571
Karabar	2011	1	5001
Karabar	2016		1042
Karabar	2016	0	2410
Karabar	2016	1	4795
Queanbeyan	2006		1286
Queanbeyan	2006	0	3797
Queanbeyan	2006	1	4044
Queanbeyan	2011		1422
Queanbeyan	2011	0	4333
Queanbeyan	2011	1	4478
Queanbeyan	2016		1613
Queanbeyan	2016	0	4682
Queanbeyan	2016	1	4547
Queanbeyan - East	2006		569
Queanbeyan - East	2006	0	1937
Queanbeyan - East	2006	1	1496
Queanbeyan - East	2011		593
Queanbeyan - East	2011	0	2175
Queanbeyan - East	2011	1	1871
Queanbeyan - East	2016		661
Queanbeyan - East	2016	0	2148
Queanbeyan - East	2016	1	1977
Queanbeyan Region	2006		1491
Queanbeyan Region	2006	0	4804
Queanbeyan Region	2006	1	6355
Queanbeyan Region	2011		1666
Queanbeyan Region	2011	0	4761
Queanbeyan Region	2011	1	7684
Queanbeyan Region	2016		2596
Queanbeyan Region	2016	0	5782
Queanbeyan Region	2016	1	8568
Queanbeyan West - Jerrabomberra	2006		1678
Queanbeyan West - Jerrabomberra	2006	0	5664
Queanbeyan West - Jerrabomberra	2006	1	4359
Queanbeyan West - Jerrabomberra	2011		1373
Queanbeyan West - Jerrabomberra	2011	0	4900
Queanbeyan West - Jerrabomberra	2011	1	6299
Queanbeyan West - Jerrabomberra	2016		1379
Queanbeyan West - Jerrabomberra	2016	0	4574
Queanbeyan West - Jerrabomberra	2016	1	6690
Bombala	2006		279
Bombala	2006	0	749
Bombala	2006	1	1510
Bombala	2011		227
Bombala	2011	0	615
Bombala	2011	1	1577
Bombala	2016		326
Bombala	2016	0	619
Bombala	2016	1	1445
Cooma	2006		901
Cooma	2006	0	2339
Cooma	2006	1	3549
Cooma	2011		873
Cooma	2011	0	2076
Cooma	2011	1	3728
Cooma	2016		1148
Cooma	2016	0	2009
Cooma	2016	1	3585
Cooma Region	2006		267
Cooma Region	2006	0	911
Cooma Region	2006	1	1579
Cooma Region	2011		294
Cooma Region	2011	0	864
Cooma Region	2011	1	2017
Cooma Region	2016		439
Cooma Region	2016	0	823
Cooma Region	2016	1	2018
Jindabyne - Berridale	2006		1634
Jindabyne - Berridale	2006	0	2243
Jindabyne - Berridale	2006	1	2529
Jindabyne - Berridale	2011		1354
Jindabyne - Berridale	2011	0	2344
Jindabyne - Berridale	2011	1	2966
Jindabyne - Berridale	2016		951
Jindabyne - Berridale	2016	0	2713
Jindabyne - Berridale	2016	1	3287
Batemans Bay	2006		818
Batemans Bay	2006	0	3319
Batemans Bay	2006	1	3403
Batemans Bay	2011		926
Batemans Bay	2011	0	2874
Batemans Bay	2011	1	3704
Batemans Bay	2016		1019
Batemans Bay	2016	0	2844
Batemans Bay	2016	1	3829
Batemans Bay - South	2006		760
Batemans Bay - South	2006	0	3471
Batemans Bay - South	2006	1	3649
Batemans Bay - South	2011		1058
Batemans Bay - South	2011	0	3194
Batemans Bay - South	2011	1	3971
Batemans Bay - South	2016		1054
Batemans Bay - South	2016	0	3219
Batemans Bay - South	2016	1	4085
Bega - Tathra	2006		767
Bega - Tathra	2006	0	2910
Bega - Tathra	2006	1	3890
Bega - Tathra	2011		916
Bega - Tathra	2011	0	2693
Bega - Tathra	2011	1	4437
Bega - Tathra	2016		1202
Bega - Tathra	2016	0	2686
Bega - Tathra	2016	1	4517
Bega-Eden Hinterland	2006		895
Bega-Eden Hinterland	2006	0	2804
Bega-Eden Hinterland	2006	1	5169
Bega-Eden Hinterland	2011		868
Bega-Eden Hinterland	2011	0	2490
Bega-Eden Hinterland	2011	1	5409
Bega-Eden Hinterland	2016		1071
Bega-Eden Hinterland	2016	0	2356
Bega-Eden Hinterland	2016	1	5366
Broulee - Tomakin	2006		265
Broulee - Tomakin	2006	0	1012
Broulee - Tomakin	2006	1	1239
Broulee - Tomakin	2011		316
Broulee - Tomakin	2011	0	1004
Broulee - Tomakin	2011	1	1507
Broulee - Tomakin	2016		419
Broulee - Tomakin	2016	0	1318
Broulee - Tomakin	2016	1	1548
Deua - Wadbilliga	2006		0
Deua - Wadbilliga	2006	0	0
Deua - Wadbilliga	2006	1	0
Deua - Wadbilliga	2011		10
Deua - Wadbilliga	2011	0	16
Deua - Wadbilliga	2011	1	31
Deua - Wadbilliga	2016		2
Deua - Wadbilliga	2016	0	4
Deua - Wadbilliga	2016	1	19
Eden	2006		321
Eden	2006	0	1008
Eden	2006	1	1680
Eden	2011		297
Eden	2011	0	1136
Eden	2011	1	1774
Eden	2016		460
Eden	2016	0	1030
Eden	2016	1	1726
Eurobodalla Hinterland	2006		269
Eurobodalla Hinterland	2006	0	829
Eurobodalla Hinterland	2006	1	1485
Eurobodalla Hinterland	2011		326
Eurobodalla Hinterland	2011	0	752
Eurobodalla Hinterland	2011	1	2133
Eurobodalla Hinterland	2016		394
Eurobodalla Hinterland	2016	0	911
Eurobodalla Hinterland	2016	1	1996
Merimbula - Tura Beach	2006		758
Merimbula - Tura Beach	2006	0	4262
Merimbula - Tura Beach	2006	1	4174
Merimbula - Tura Beach	2011		914
Merimbula - Tura Beach	2011	0	3902
Merimbula - Tura Beach	2011	1	4963
Merimbula - Tura Beach	2016		1251
Merimbula - Tura Beach	2016	0	4063
Merimbula - Tura Beach	2016	1	5304
Moruya - Tuross Head	2006		675
Moruya - Tuross Head	2006	0	2993
Moruya - Tuross Head	2006	1	4308
Moruya - Tuross Head	2011		631
Moruya - Tuross Head	2011	0	2394
Moruya - Tuross Head	2011	1	4591
Moruya - Tuross Head	2016		904
Moruya - Tuross Head	2016	0	2472
Moruya - Tuross Head	2016	1	4592
Narooma - Bermagui	2006		847
Narooma - Bermagui	2006	0	3343
Narooma - Bermagui	2006	1	4756
Narooma - Bermagui	2011		820
Narooma - Bermagui	2011	0	2956
Narooma - Bermagui	2011	1	4856
Narooma - Bermagui	2016		1192
