SA2_NAME16	Year	EduInstitutionType	Sex	students
Braidwood	2006		F	74
Braidwood	2006		M	90
Braidwood	2006	Infants/Primary	F	78
Braidwood	2006	Infants/Primary	M	91
Braidwood	2006	Pre-school	F	19
Braidwood	2006	Pre-school	M	22
Braidwood	2006	Secondary	F	64
Braidwood	2006	Secondary	M	71
Braidwood	2006	Technical or Further Educational Institution	F	24
Braidwood	2006	Technical or Further Educational Institution	M	13
Braidwood	2006	University or other tertiary	F	28
Braidwood	2006	University or other tertiary	M	13
Braidwood	2011		F	153
Braidwood	2011		M	147
Braidwood	2011	Infants/Primary	F	126
Braidwood	2011	Infants/Primary	M	128
Braidwood	2011	Pre-school	F	25
Braidwood	2011	Pre-school	M	28
Braidwood	2011	Secondary	F	89
Braidwood	2011	Secondary	M	110
Braidwood	2011	Technical or Further Educational Institution	F	16
Braidwood	2011	Technical or Further Educational Institution	M	28
Braidwood	2011	University or other tertiary	F	42
Braidwood	2011	University or other tertiary	M	15
Braidwood	2016		F	258
Braidwood	2016		M	248
Braidwood	2016	Infants/Primary	F	137
Braidwood	2016	Infants/Primary	M	144
Braidwood	2016	Pre-school	F	23
Braidwood	2016	Pre-school	M	37
Braidwood	2016	Secondary	F	95
Braidwood	2016	Secondary	M	85
Braidwood	2016	Technical or Further Educational Institution	F	32
Braidwood	2016	Technical or Further Educational Institution	M	25
Braidwood	2016	University or other tertiary	F	42
Braidwood	2016	University or other tertiary	M	28
Karabar	2006		F	378
Karabar	2006		M	378
Karabar	2006	Infants/Primary	F	425
Karabar	2006	Infants/Primary	M	462
Karabar	2006	Pre-school	F	50
Karabar	2006	Pre-school	M	69
Karabar	2006	Secondary	F	337
Karabar	2006	Secondary	M	316
Karabar	2006	Technical or Further Educational Institution	F	142
Karabar	2006	Technical or Further Educational Institution	M	125
Karabar	2006	University or other tertiary	F	136
Karabar	2006	University or other tertiary	M	91
Karabar	2011		F	299
Karabar	2011		M	307
Karabar	2011	Infants/Primary	F	377
Karabar	2011	Infants/Primary	M	389
Karabar	2011	Pre-school	F	67
Karabar	2011	Pre-school	M	61
Karabar	2011	Secondary	F	335
Karabar	2011	Secondary	M	316
Karabar	2011	Technical or Further Educational Institution	F	115
