SA2_NAME16	Year	Sex	adults
ACT - South West	2006	F	92
ACT - South West	2006	M	110
ACT - South West	2011	F	161
ACT - South West	2011	M	192
ACT - South West	2016	F	215
ACT - South West	2016	M	220
APY Lands	2006	F	829
APY Lands	2006	M	795
APY Lands	2011	F	937
APY Lands	2011	M	865
APY Lands	2016	F	903
APY Lands	2016	M	825
Abbotsford	2006	F	1934
Abbotsford	2006	M	1956
Abbotsford	2011	F	2162
Abbotsford	2011	M	2230
Abbotsford	2016	F	3760
Abbotsford	2016	M	3787
Aberfoyle Park	2006	F	4849
Aberfoyle Park	2006	M	4561
Aberfoyle Park	2011	F	4939
Aberfoyle Park	2011	M	4596
Aberfoyle Park	2016	F	4987
Aberfoyle Park	2016	M	4617
Acacia Gardens	2006	F	1195
Acacia Gardens	2006	M	1114
Acacia Gardens	2011	F	1412
Acacia Gardens	2011	M	1331
Acacia Gardens	2016	F	1480
Acacia Gardens	2016	M	1416
Acton	2006	F	910
Acton	2006	M	884
Acton	2011	F	948
Acton	2011	M	1006
Acton	2016	F	1085
Acton	2016	M	986
Acton - Upper Burnie	2006	F	1416
Acton - Upper Burnie	2006	M	1290
Acton - Upper Burnie	2011	F	1411
Acton - Upper Burnie	2011	M	1270
Acton - Upper Burnie	2016	F	1382
Acton - Upper Burnie	2016	M	1216
Adamstown - Kotara	2006	F	6068
Adamstown - Kotara	2006	M	5688
Adamstown - Kotara	2011	F	6300
Adamstown - Kotara	2011	M	5886
Adamstown - Kotara	2016	F	6433
Adamstown - Kotara	2016	M	6055
Adelaide	2006	F	4420
Adelaide	2006	M	5348
Adelaide	2011	F	5747
Adelaide	2011	M	6630
Adelaide	2016	F	6823
Adelaide	2016	M	7562
Adelaide Airport	2006	F	0
Adelaide Airport	2006	M	0
Adelaide Airport	2011	F	0
Adelaide Airport	2011	M	0
Adelaide Airport	2016	F	0
Adelaide Airport	2016	M	0
Adelaide Hills	2006	F	2588
Adelaide Hills	2006	M	2633
Adelaide Hills	2011	F	2770
Adelaide Hills	2011	M	2764
Adelaide Hills	2016	F	2809
Adelaide Hills	2016	M	2872
Agnes Water - Miriam Vale	2006	F	1890
Agnes Water - Miriam Vale	2006	M	2201
Agnes Water - Miriam Vale	2011	F	2067
Agnes Water - Miriam Vale	2011	M	2404
Agnes Water - Miriam Vale	2016	F	2334
Agnes Water - Miriam Vale	2016	M	2712
Ainslie	2006	F	2131
Ainslie	2006	M	1843
Ainslie	2011	F	2279
Ainslie	2011	M	1980
Ainslie	2016	F	2340
Ainslie	2016	M	1937
Airlie - Whitsundays	2006	F	3702
Airlie - Whitsundays	2006	M	4429
Airlie - Whitsundays	2011	F	4113
Airlie - Whitsundays	2011	M	4686
Airlie - Whitsundays	2016	F	5124
Airlie - Whitsundays	2016	M	5580
Airport West	2006	F	2938
Airport West	2006	M	2736
Airport West	2011	F	3074
Airport West	2011	M	2827
Airport West	2016	F	3340
Airport West	2016	M	3050
Aitkenvale	2006	F	1982
Aitkenvale	2006	M	1939
Aitkenvale	2011	F	2037
Aitkenvale	2011	M	2004
Aitkenvale	2016	F	1944
Aitkenvale	2016	M	1912
Alawa	2006	F	827
Alawa	2006	M	851
Alawa	2011	F	805
Alawa	2011	M	834
Alawa	2016	F	861
Alawa	2016	M	855
Albany	2006	F	5966
Albany	2006	M	5246
Albany	2011	F	6083
Albany	2011	M	5221
Albany	2016	F	6495
Albany	2016	M	5495
Albany Creek	2006	F	6268
Albany Creek	2006	M	5830
Albany Creek	2011	F	6399
Albany Creek	2011	M	6073
Albany Creek	2016	F	6553
Albany Creek	2016	M	6044
Albany Region	2006	F	1116
Albany Region	2006	M	1233
Albany Region	2011	F	1170
Albany Region	2011	M	1235
Albany Region	2016	F	1338
Albany Region	2016	M	1450
Albert Park	2006	F	5806
Albert Park	2006	M	5585
Albert Park	2011	F	6289
Albert Park	2011	M	6012
Albert Park	2016	F	6782
Albert Park	2016	M	6438
Albion	2006	F	1143
Albion	2006	M	949
Albion	2011	F	1141
Albion	2011	M	1068
Albion	2016	F	1307
Albion	2016	M	1129
Albion Park - Macquarie Pass	2006	F	4698
Albion Park - Macquarie Pass	2006	M	4539
Albion Park - Macquarie Pass	2011	F	5286
Albion Park - Macquarie Pass	2011	M	5038
Albion Park - Macquarie Pass	2016	F	5791
Albion Park - Macquarie Pass	2016	M	5379
Albion Park Rail	2006	F	2799
Albion Park Rail	2006	M	2538
Albion Park Rail	2011	F	2902
Albion Park Rail	2011	M	2640
Albion Park Rail	2016	F	2942
Albion Park Rail	2016	M	2705
Albury - East	2006	F	4386
Albury - East	2006	M	4168
Albury - East	2011	F	5254
Albury - East	2011	M	4730
Albury - East	2016	F	6236
Albury - East	2016	M	5593
Albury - North	2006	F	3896
Albury - North	2006	M	3628
Albury - North	2011	F	3874
Albury - North	2011	M	3515
Albury - North	2016	F	4142
Albury - North	2016	M	3858
Albury - South	2006	F	4547
Albury - South	2006	M	3947
Albury - South	2011	F	4668
Albury - South	2011	M	4180
Albury - South	2016	F	4555
Albury - South	2016	M	4132
Albury Region	2006	F	4192
Albury Region	2006	M	4188
Albury Region	2011	F	4255
Albury Region	2011	M	4260
Albury Region	2016	F	4542
Albury Region	2016	M	4492
Alderley	2006	F	2194
Alderley	2006	M	2005
Alderley	2011	F	2404
Alderley	2011	M	2288
Alderley	2016	F	2522
Alderley	2016	M	2382
Aldgate - Stirling	2006	F	6994
Aldgate - Stirling	2006	M	6778
Aldgate - Stirling	2011	F	7009
Aldgate - Stirling	2011	M	6860
Aldgate - Stirling	2016	F	7103
Aldgate - Stirling	2016	M	6851
Aldinga	2006	F	3918
Aldinga	2006	M	3733
Aldinga	2011	F	5582
Aldinga	2011	M	5241
Aldinga	2016	F	6195
Aldinga	2016	M	5717
Alexander Heights - Koondoola	2006	F	4479
Alexander Heights - Koondoola	2006	M	4332
Alexander Heights - Koondoola	2011	F	4548
Alexander Heights - Koondoola	2011	M	4577
Alexander Heights - Koondoola	2016	F	4693
Alexander Heights - Koondoola	2016	M	4821
Alexandra	2006	F	2590
Alexandra	2006	M	2575
Alexandra	2011	F	2609
Alexandra	2011	M	2566
Alexandra	2016	F	2740
Alexandra	2016	M	2773
Alexandra Hills	2006	F	6796
Alexandra Hills	2006	M	6391
Alexandra Hills	2011	F	6807
Alexandra Hills	2011	M	6429
Alexandra Hills	2016	F	6749
Alexandra Hills	2016	M	6313
Alfredton	2006	F	3154
Alfredton	2006	M	2900
Alfredton	2011	F	3278
Alfredton	2011	M	3090
Alfredton	2016	F	4624
Alfredton	2016	M	4303
Algester	2006	F	3032
Algester	2006	M	2875
Algester	2011	F	3451
Algester	2011	M	3241
Algester	2016	F	3414
Algester	2016	M	3343
Alkimos - Eglinton	2006	F	0
Alkimos - Eglinton	2006	M	0
Alkimos - Eglinton	2011	F	33
Alkimos - Eglinton	2011	M	32
Alkimos - Eglinton	2016	F	3042
Alkimos - Eglinton	2016	M	2855
Alligator	2006	F	1262
Alligator	2006	M	1627
Alligator	2011	F	1527
Alligator	2011	M	1891
Alligator	2016	F	1663
Alligator	2016	M	2029
Alphington - Fairfield	2006	F	3024
Alphington - Fairfield	2006	M	2841
Alphington - Fairfield	2011	F	3469
