SA2_NAME16	Year	Age	adults
Braidwood	2006	15-19	107
Braidwood	2006	20-24	54
Braidwood	2006	25-34	194
Braidwood	2006	35-44	321
Braidwood	2006	45-54	386
Braidwood	2006	55-64	422
Braidwood	2006	65-74	265
Braidwood	2006	75-84	129
Braidwood	2006	85+	51
Braidwood	2011	15-19	179
Braidwood	2011	20-24	76
Braidwood	2011	25-34	251
Braidwood	2011	35-44	477
Braidwood	2011	45-54	547
Braidwood	2011	55-64	549
Braidwood	2011	65-74	426
Braidwood	2011	75-84	160
Braidwood	2011	85+	59
Braidwood	2016	15-19	190
Braidwood	2016	20-24	110
Braidwood	2016	25-34	297
Braidwood	2016	35-44	442
Braidwood	2016	45-54	577
Braidwood	2016	55-64	696
Braidwood	2016	65-74	592
Braidwood	2016	75-84	243
Braidwood	2016	85+	77
Karabar	2006	15-19	715
Karabar	2006	20-24	676
Karabar	2006	25-34	1311
Karabar	2006	35-44	1440
Karabar	2006	45-54	1340
Karabar	2006	55-64	941
Karabar	2006	65-74	479
Karabar	2006	75-84	259
Karabar	2006	85+	48
Karabar	2011	15-19	617
Karabar	2011	20-24	546
Karabar	2011	25-34	1220
Karabar	2011	35-44	1282
Karabar	2011	45-54	1281
Karabar	2011	55-64	976
Karabar	2011	65-74	545
Karabar	2011	75-84	242
Karabar	2011	85+	61
Karabar	2016	15-19	582
Karabar	2016	20-24	534
Karabar	2016	25-34	1089
Karabar	2016	35-44	1110
Karabar	2016	45-54	1196
Karabar	2016	55-64	1050
Karabar	2016	65-74	664
Karabar	2016	75-84	313
Karabar	2016	85+	83
Queanbeyan	2006	15-19	495
Queanbeyan	2006	20-24	744
Queanbeyan	2006	25-34	1427
Queanbeyan	2006	35-44	1346
Queanbeyan	2006	45-54	1211
Queanbeyan	2006	55-64	963
Queanbeyan	2006	65-74	680
Queanbeyan	2006	75-84	580
Queanbeyan	2006	85+	222
Queanbeyan	2011	15-19	488
Queanbeyan	2011	20-24	791
Queanbeyan	2011	25-34	1892
Queanbeyan	2011	35-44	1548
Queanbeyan	2011	45-54	1311
Queanbeyan	2011	55-64	1119
Queanbeyan	2011	65-74	683
Queanbeyan	2011	75-84	560
Queanbeyan	2011	85+	278
Queanbeyan	2016	15-19	433
Queanbeyan	2016	20-24	762
Queanbeyan	2016	25-34	2239
Queanbeyan	2016	35-44	1556
Queanbeyan	2016	45-54	1386
Queanbeyan	2016	55-64	1127
Queanbeyan	2016	65-74	819
Queanbeyan	2016	75-84	525
Queanbeyan	2016	85+	314
Queanbeyan - East	2006	15-19	250
Queanbeyan - East	2006	20-24	401
Queanbeyan - East	2006	25-34	660
Queanbeyan - East	2006	35-44	591
Queanbeyan - East	2006	45-54	617
Queanbeyan - East	2006	55-64	459
Queanbeyan - East	2006	65-74	216
Queanbeyan - East	2006	75-84	137
Queanbeyan - East	2006	85+	34
Queanbeyan - East	2011	15-19	230
Queanbeyan - East	2011	20-24	414
Queanbeyan - East	2011	25-34	906
Queanbeyan - East	2011	35-44	691
Queanbeyan - East	2011	45-54	673
Queanbeyan - East	2011	55-64	505
Queanbeyan - East	2011	65-74	282
Queanbeyan - East	2011	75-84	145
Queanbeyan - East	2011	85+	56
Queanbeyan - East	2016	15-19	226
Queanbeyan - East	2016	20-24	359
Queanbeyan - East	2016	25-34	973
Queanbeyan - East	2016	35-44	637
Queanbeyan - East	2016	45-54	702
Queanbeyan - East	2016	55-64	569
Queanbeyan - East	2016	65-74	312
Queanbeyan - East	2016	75-84	160
Queanbeyan - East	2016	85+	51
Queanbeyan Region	2006	15-19	1016
Queanbeyan Region	2006	20-24	500
Queanbeyan Region	2006	25-34	1116
Queanbeyan Region	2006	35-44	2194
Queanbeyan Region	2006	45-54	2336
Queanbeyan Region	2006	55-64	1723
Queanbeyan Region	2006	65-74	633
Queanbeyan Region	2006	75-84	237
Queanbeyan Region	2006	85+	45
Queanbeyan Region	2011	15-19	1032
Queanbeyan Region	2011	20-24	678
Queanbeyan Region	2011	25-34	1149
Queanbeyan Region	2011	35-44	2232
Queanbeyan Region	2011	45-54	2576
Queanbeyan Region	2011	55-64	2102
Queanbeyan Region	2011	65-74	913
Queanbeyan Region	2011	75-84	267
Queanbeyan Region	2011	85+	56
Queanbeyan Region	2016	15-19	1143
Queanbeyan Region	2016	20-24	795
Queanbeyan Region	2016	25-34	1741
Queanbeyan Region	2016	35-44	2397
