SA2_NAME16	Year	Sex	persons
Braidwood	2006	F	1154
Braidwood	2006	M	1188
Braidwood	2011	F	1668
Braidwood	2011	M	1690
Braidwood	2016	F	1916
Braidwood	2016	M	1955
Karabar	2006	F	4669
Karabar	2006	M	4579
Karabar	2011	F	4362
Karabar	2011	M	4237
Karabar	2016	F	4172
Karabar	2016	M	4073
Queanbeyan	2006	F	4502
Queanbeyan	2006	M	4627
Queanbeyan	2011	F	5025
Queanbeyan	2011	M	5210
Queanbeyan	2016	F	5403
Queanbeyan	2016	M	5430
Queanbeyan - East	2006	F	1935
Queanbeyan - East	2006	M	2071
Queanbeyan - East	2011	F	2230
Queanbeyan - East	2011	M	2414
Queanbeyan - East	2016	F	2325
Queanbeyan - East	2016	M	2459
Queanbeyan Region	2006	F	6237
Queanbeyan Region	2006	M	6412
Queanbeyan Region	2011	F	6993
Queanbeyan Region	2011	M	7116
Queanbeyan Region	2016	F	8331
Queanbeyan Region	2016	M	8619
Queanbeyan West - Jerrabomberra	2006	F	5994
Queanbeyan West - Jerrabomberra	2006	M	5707
Queanbeyan West - Jerrabomberra	2011	F	6385
Queanbeyan West - Jerrabomberra	2011	M	6185
Queanbeyan West - Jerrabomberra	2016	F	6350
Queanbeyan West - Jerrabomberra	2016	M	6291
Bombala	2006	F	1286
Bombala	2006	M	1254
Bombala	2011	F	1196
Bombala	2011	M	1223
Bombala	2016	F	1188
Bombala	2016	M	1207
Cooma	2006	F	3399
Cooma	2006	M	3386
Cooma	2011	F	3364
Cooma	2011	M	3306
Cooma	2016	F	3346
Cooma	2016	M	3388
Cooma Region	2006	F	1353
Cooma Region	2006	M	1401
Cooma Region	2011	F	1532
Cooma Region	2011	M	1645
Cooma Region	2016	F	1596
Cooma Region	2016	M	1691
Jindabyne - Berridale	2006	F	2945
Jindabyne - Berridale	2006	M	3458
Jindabyne - Berridale	2011	F	3095
Jindabyne - Berridale	2011	M	3568
Jindabyne - Berridale	2016	F	3228
Jindabyne - Berridale	2016	M	3725
Batemans Bay	2006	F	3856
Batemans Bay	2006	M	3678
Batemans Bay	2011	F	3851
Batemans Bay	2011	M	3652
Batemans Bay	2016	F	3915
Batemans Bay	2016	M	3778
Batemans Bay - South	2006	F	4113
Batemans Bay - South	2006	M	3764
Batemans Bay - South	2011	F	4270
Batemans Bay - South	2011	M	3948
Batemans Bay - South	2016	F	4368
Batemans Bay - South	2016	M	3991
Bega - Tathra	2006	F	3944
Bega - Tathra	2006	M	3624
Bega - Tathra	2011	F	4149
Bega - Tathra	2011	M	3895
Bega - Tathra	2016	F	4321
Bega - Tathra	2016	M	4085
Bega-Eden Hinterland	2006	F	4382
Bega-Eden Hinterland	2006	M	4490
Bega-Eden Hinterland	2011	F	4336
Bega-Eden Hinterland	2011	M	4435
Bega-Eden Hinterland	2016	F	4360
Bega-Eden Hinterland	2016	M	4433
