SA2_NAME16	Year	Sex	employmentToPopulation
Braidwood	2006	F	50.2
Braidwood	2006	M	60.2
Braidwood	2011	F	53.7
Braidwood	2011	M	59.9
Braidwood	2016	F	47
Braidwood	2016	M	55.1
Karabar	2006	F	60.2
Karabar	2006	M	70.8
Karabar	2011	F	63.5
Karabar	2011	M	70.9
Karabar	2016	F	59.7
Karabar	2016	M	66.5
Queanbeyan	2006	F	52.5
Queanbeyan	2006	M	64.4
Queanbeyan	2011	F	58.2
Queanbeyan	2011	M	66.7
Queanbeyan	2016	F	57.6
Queanbeyan	2016	M	64.9
Queanbeyan - East	2006	F	62.3
Queanbeyan - East	2006	M	69.7
Queanbeyan - East	2011	F	64.9
Queanbeyan - East	2011	M	73.4
Queanbeyan - East	2016	F	63.4
Queanbeyan - East	2016	M	69.6
Queanbeyan Region	2006	F	66.8
Queanbeyan Region	2006	M	72.9
Queanbeyan Region	2011	F	68.1
Queanbeyan Region	2011	M	73.9
Queanbeyan Region	2016	F	64.7
Queanbeyan Region	2016	M	67
Queanbeyan West - Jerrabomberra	2006	F	71.8
Queanbeyan West - Jerrabomberra	2006	M	80.5
Queanbeyan West - Jerrabomberra	2011	F	74.5
Queanbeyan West - Jerrabomberra	2011	M	80.1
Queanbeyan West - Jerrabomberra	2016	F	70.8
Queanbeyan West - Jerrabomberra	2016	M	75.7
Bombala	2006	F	46
Bombala	2006	M	62.3
Bombala	2011	F	48.2
Bombala	2011	M	62.2
Bombala	2016	F	48.9
Bombala	2016	M	58.1
Cooma	2006	F	49.6
Cooma	2006	M	58.9
Cooma	2011	F	50.9
Cooma	2011	M	57.6
Cooma	2016	F	49.9
Cooma	2016	M	52.3
Cooma Region	2006	F	56.8
Cooma Region	2006	M	65.7
Cooma Region	2011	F	58.2
Cooma Region	2011	M	63.3
Cooma Region	2016	F	55.8
Cooma Region	2016	M	59.7
Jindabyne - Berridale	2006	F	60.7
Jindabyne - Berridale	2006	M	62
Jindabyne - Berridale	2011	F	63
Jindabyne - Berridale	2011	M	66.3
Jindabyne - Berridale	2016	F	68.4
Jindabyne - Berridale	2016	M	68.3
Batemans Bay	2006	F	41.2
Batemans Bay	2006	M	45.8
Batemans Bay	2011	F	38.6
Batemans Bay	2011	M	44.1
Batemans Bay	2016	F	37.3
Batemans Bay	2016	M	41.2
Batemans Bay - South	2006	F	39.3
Batemans Bay - South	2006	M	46
Batemans Bay - South	2011	F	38.1
Batemans Bay - South	2011	M	41.8
Batemans Bay - South	2016	F	39.1
Batemans Bay - South	2016	M	40.8
Bega - Tathra	2006	F	46
Bega - Tathra	2006	M	56.3
Bega - Tathra	2011	F	48.8
Bega - Tathra	2011	M	57.4
Bega - Tathra	2016	F	48.2
Bega - Tathra	2016	M	53.3
Bega-Eden Hinterland	2006	F	50.5
Bega-Eden Hinterland	2006	M	58.2
Bega-Eden Hinterland	2011	F	51.5
Bega-Eden Hinterland	2011	M	55.3
Bega-Eden Hinterland	2016	F	48.8
Bega-Eden Hinterland	2016	M	52.4
Broulee - Tomakin	2006	F	38.5
Broulee - Tomakin	2006	M	42.7
Broulee - Tomakin	2011	F	40.8
