SA2_NAME16	Year	SameAddress1YearAgo	persons
Braidwood	2006		147
Braidwood	2006	0	324
Braidwood	2006	1	1871
Braidwood	2011		252
Braidwood	2011	0	398
Braidwood	2011	1	2706
Braidwood	2016		511
Braidwood	2016	0	431
Braidwood	2016	1	2930
Karabar	2006		638
Karabar	2006	0	1225
Karabar	2006	1	7382
Karabar	2011		490
Karabar	2011	0	1051
Karabar	2011	1	7061
Karabar	2016		727
Karabar	2016	0	947
Karabar	2016	1	6573
Queanbeyan	2006		779
Queanbeyan	2006	0	1745
Queanbeyan	2006	1	6603
Queanbeyan	2011		778
Queanbeyan	2011	0	1816
Queanbeyan	2011	1	7639
Queanbeyan	2016		1173
Queanbeyan	2016	0	2023
Queanbeyan	2016	1	7646
Queanbeyan - East	2006		376
Queanbeyan - East	2006	0	874
Queanbeyan - East	2006	1	2752
Queanbeyan - East	2011		366
Queanbeyan - East	2011	0	898
Queanbeyan - East	2011	1	3375
Queanbeyan - East	2016		470
Queanbeyan - East	2016	0	886
Queanbeyan - East	2016	1	3430
Queanbeyan Region	2006		809
Queanbeyan Region	2006	0	1462
Queanbeyan Region	2006	1	10379
Queanbeyan Region	2011		874
Queanbeyan Region	2011	0	1713
Queanbeyan Region	2011	1	11524
Queanbeyan Region	2016		1969
Queanbeyan Region	2016	0	2188
Queanbeyan Region	2016	1	12789
Queanbeyan West - Jerrabomberra	2006		742
Queanbeyan West - Jerrabomberra	2006	0	2091
Queanbeyan West - Jerrabomberra	2006	1	8868
Queanbeyan West - Jerrabomberra	2011		548
Queanbeyan West - Jerrabomberra	2011	0	1877
Queanbeyan West - Jerrabomberra	2011	1	10147
Queanbeyan West - Jerrabomberra	2016		920
Queanbeyan West - Jerrabomberra	2016	0	1713
Queanbeyan West - Jerrabomberra	2016	1	10010
Bombala	2006		148
Bombala	2006	0	303
Bombala	2006	1	2087
Bombala	2011		90
Bombala	2011	0	235
Bombala	2011	1	2094
Bombala	2016		206
Bombala	2016	0	248
Bombala	2016	1	1936
Cooma	2006		571
Cooma	2006	0	954
Cooma	2006	1	5264
Cooma	2011		472
Cooma	2011	0	1007
Cooma	2011	1	5198
Cooma	2016		899
Cooma	2016	0	874
Cooma	2016	1	4969
Cooma Region	2006		138
Cooma Region	2006	0	283
Cooma Region	2006	1	2336
Cooma Region	2011		136
Cooma Region	2011	0	341
Cooma Region	2011	1	2698
Cooma Region	2016		343
Cooma Region	2016	0	291
Cooma Region	2016	1	2646
Jindabyne - Berridale	2006		1360
Jindabyne - Berridale	2006	0	982
Jindabyne - Berridale	2006	1	4064
Jindabyne - Berridale	2011		969
Jindabyne - Berridale	2011	0	1116
Jindabyne - Berridale	2011	1	4579
Jindabyne - Berridale	2016		728
Jindabyne - Berridale	2016	0	1214
Jindabyne - Berridale	2016	1	5009
Batemans Bay	2006		417
Batemans Bay	2006	0	1299
Batemans Bay	2006	1	5824
Batemans Bay	2011		493
Batemans Bay	2011	0	1325
Batemans Bay	2011	1	5686
Batemans Bay	2016		791
Batemans Bay	2016	0	1078
Batemans Bay	2016	1	5823
Batemans Bay - South	2006		381
Batemans Bay - South	2006	0	1374
Batemans Bay - South	2006	1	6125
Batemans Bay - South	2011		654
Batemans Bay - South	2011	0	1291
Batemans Bay - South	2011	1	6278
Batemans Bay - South	2016		896
Batemans Bay - South	2016	0	1238
Batemans Bay - South	2016	1	6224
Bega - Tathra	2006		358
Bega - Tathra	2006	0	1245
Bega - Tathra	2006	1	5964
Bega - Tathra	2011		452
Bega - Tathra	2011	0	1122
Bega - Tathra	2011	1	6472
Bega - Tathra	2016		883
Bega - Tathra	2016	0	1108
Bega - Tathra	2016	1	6414
Bega-Eden Hinterland	2006		485
Bega-Eden Hinterland	2006	0	933
Bega-Eden Hinterland	2006	1	7450
Bega-Eden Hinterland	2011		465
Bega-Eden Hinterland	2011	0	973
Bega-Eden Hinterland	2011	1	7329
Bega-Eden Hinterland	2016		809
Bega-Eden Hinterland	2016	0	836
Bega-Eden Hinterland	2016	1	7148
Broulee - Tomakin	2006		149
Broulee - Tomakin	2006	0	381
Broulee - Tomakin	2006	1	1986
Broulee - Tomakin	2011		189
Broulee - Tomakin	2011	0	420
Broulee - Tomakin	2011	1	2218
Broulee - Tomakin	2016		352
Broulee - Tomakin	2016	0	459
Broulee - Tomakin	2016	1	2474
Deua - Wadbilliga	2006		0
Deua - Wadbilliga	2006	0	0
Deua - Wadbilliga	2006	1	0
Deua - Wadbilliga	2011		5
Deua - Wadbilliga	2011	0	7
Deua - Wadbilliga	2011	1	45
Deua - Wadbilliga	2016		8
Deua - Wadbilliga	2016	0	0
Deua - Wadbilliga	2016	1	17
Eden	2006		180
Eden	2006	0	451
Eden	2006	1	2378
Eden	2011		121
Eden	2011	0	465
Eden	2011	1	2621
Eden	2016		348
Eden	2016	0	389
Eden	2016	1	2479
Eurobodalla Hinterland	2006		151
Eurobodalla Hinterland	2006	0	265
Eurobodalla Hinterland	2006	1	2167
Eurobodalla Hinterland	2011		181
Eurobodalla Hinterland	2011	0	269
Eurobodalla Hinterland	2011	1	2761
Eurobodalla Hinterland	2016		306
Eurobodalla Hinterland	2016	0	344
Eurobodalla Hinterland	2016	1	2651
Merimbula - Tura Beach	2006		362
Merimbula - Tura Beach	2006	0	1540
Merimbula - Tura Beach	2006	1	7292
Merimbula - Tura Beach	2011		467
Merimbula - Tura Beach	2011	0	1530
Merimbula - Tura Beach	2011	1	7782
Merimbula - Tura Beach	2016		959
Merimbula - Tura Beach	2016	0	1611
Merimbula - Tura Beach	2016	1	8048
Moruya - Tuross Head	2006		338
Moruya - Tuross Head	2006	0	1030
Moruya - Tuross Head	2006	1	6608
Moruya - Tuross Head	2011		310
Moruya - Tuross Head	2011	0	822
Moruya - Tuross Head	2011	1	6484
Moruya - Tuross Head	2016		733
Moruya - Tuross Head	2016	0	913
Moruya - Tuross Head	2016	1	6322
Narooma - Bermagui	2006		440
Narooma - Bermagui	2006	0	1192
Narooma - Bermagui	2006	1	7314
Narooma - Bermagui	2011		457
Narooma - Bermagui	2011	0	1214
Narooma - Bermagui	2011	1	6961
Narooma - Bermagui	2016		917
Narooma - Bermagui	2016	0	1102
Narooma - Bermagui	2016	1	6959
Goulburn	2006		1634
Goulburn	2006	0	3221
Goulburn	2006	1	15920
Goulburn	2011		1583
Goulburn	2011	0	3092
Goulburn	2011	1	16810
Goulburn	2016		2790
Goulburn	2016	0	3336
Goulburn	2016	1	16764
Goulburn Region	2006		771
Goulburn Region	2006	0	1056
Goulburn Region	2006	1	9473
Goulburn Region	2011		579
Goulburn Region	2011	0	1196
Goulburn Region	2011	1	9840
Goulburn Region	2016		1222
Goulburn Region	2016	0	1310
Goulburn Region	2016	1	10138
Yass	2006		185
Yass	2006	0	894
Yass	2006	1	4656
Yass	2011		397
Yass	2011	0	901
Yass	2011	1	5033
Yass	2016		571
Yass	2016	0	954
Yass	2016	1	4981
Yass Region	2006		530
Yass Region	2006	0	1100
Yass Region	2006	1	7416
Yass Region	2011		582
Yass Region	2011	0	1235
Yass Region	2011	1	8580
Yass Region	2016		939
Yass Region	2016	0	1236
Yass Region	2016	1	9330
Young	2006		475
Young	2006	0	1702
Young	2006	1	8009
Young	2011		700
Young	2011	0	1510
Young	2011	1	8070
Young	2016		960
Young	2016	0	1519
Young	2016	1	8122
Young Region	2006		265
Young Region	2006	0	783
Young Region	2006	1	6218
Young Region	2011		396
Young Region	2011	0	800
Young Region	2011	1	6198
Young Region	2016		617
Young Region	2016	0	770
Young Region	2016	1	5936
Avoca Beach - Copacabana	2006		446
Avoca Beach - Copacabana	2006	0	870
Avoca Beach - Copacabana	2006	1	5553
Avoca Beach - Copacabana	2011		374
Avoca Beach - Copacabana	2011	0	930
Avoca Beach - Copacabana	2011	1	5706
Avoca Beach - Copacabana	2016		570
Avoca Beach - Copacabana	2016	0	911
Avoca Beach - Copacabana	2016	1	5831
Box Head - MacMasters Beach	2006		657
Box Head - MacMasters Beach	2006	0	1125
Box Head - MacMasters Beach	2006	1	8537
Box Head - MacMasters Beach	2011		552
Box Head - MacMasters Beach	2011	0	1172
Box Head - MacMasters Beach	2011	1	8614
Box Head - MacMasters Beach	2016		796
Box Head - MacMasters Beach	2016	0	1198
Box Head - MacMasters Beach	2016	1	8695
Calga - Kulnura	2006		413
Calga - Kulnura	2006	0	354
Calga - Kulnura	2006	1	3166
Calga - Kulnura	2011		321
Calga - Kulnura	2011	0	433
Calga - Kulnura	2011	1	3668
Calga - Kulnura	2016		566
Calga - Kulnura	2016	0	433
Calga - Kulnura	2016	1	3706
Erina - Green Point	2006		757
Erina - Green Point	2006	0	1611
Erina - Green Point	2006	1	10768
Erina - Green Point	2011		589
Erina - Green Point	2011	0	1462
Erina - Green Point	2011	1	11540
Erina - Green Point	2016		1270
Erina - Green Point	2016	0	1678
Erina - Green Point	2016	1	11005
Gosford - Springfield	2006		1702
Gosford - Springfield	2006	0	3103
Gosford - Springfield	2006	1	11881
Gosford - Springfield	2011		1595
Gosford - Springfield	2011	0	3039
Gosford - Springfield	2011	1	13438
Gosford - Springfield	2016		1953
Gosford - Springfield	2016	0	3083
Gosford - Springfield	2016	1	13767
Kariong	2006		461
Kariong	2006	0	780
Kariong	2006	1	5343
Kariong	2011		293
Kariong	2011	0	635
Kariong	2011	1	5525
Kariong	2016		584
Kariong	2016	0	699
Kariong	2016	1	5102
Kincumber - Picketts Valley	2006		305
Kincumber - Picketts Valley	2006	0	811
Kincumber - Picketts Valley	2006	1	6026
Kincumber - Picketts Valley	2011		319
Kincumber - Picketts Valley	2011	0	804
Kincumber - Picketts Valley	2011	1	5987
Kincumber - Picketts Valley	2016		542
Kincumber - Picketts Valley	2016	0	901
Kincumber - Picketts Valley	2016	1	5870
Narara	2006		340
Narara	2006	0	738
Narara	2006	1	5957
Narara	2011		269
Narara	2011	0	670
Narara	2011	1	5553
Narara	2016		468
Narara	2016	0	781
Narara	2016	1	5393
Niagara Park - Lisarow	2006		293
Niagara Park - Lisarow	2006	0	831
Niagara Park - Lisarow	2006	1	5783
Niagara Park - Lisarow	2011		388
Niagara Park - Lisarow	2011	0	918
Niagara Park - Lisarow	2011	1	6746
Niagara Park - Lisarow	2016		576
Niagara Park - Lisarow	2016	0	785
Niagara Park - Lisarow	2016	1	6668
Point Clare - Koolewong	2006		451
Point Clare - Koolewong	2006	0	616
Point Clare - Koolewong	2006	1	5158
Point Clare - Koolewong	2011		465
Point Clare - Koolewong	2011	0	684
Point Clare - Koolewong	2011	1	5165
Point Clare - Koolewong	2016		415
Point Clare - Koolewong	2016	0	736
Point Clare - Koolewong	2016	1	5055
Saratoga - Davistown	2006		456
Saratoga - Davistown	2006	0	777
Saratoga - Davistown	2006	1	5218
Saratoga - Davistown	2011		284
Saratoga - Davistown	2011	0	849
Saratoga - Davistown	2011	1	5504
Saratoga - Davistown	2016		564
Saratoga - Davistown	2016	0	795
Saratoga - Davistown	2016	1	5625
Terrigal - North Avoca	2006		853
Terrigal - North Avoca	2006	0	2090
Terrigal - North Avoca	2006	1	9077
Terrigal - North Avoca	2011		822
Terrigal - North Avoca	2011	0	2059
Terrigal - North Avoca	2011	1	9685
Terrigal - North Avoca	2016		1076
Terrigal - North Avoca	2016	0	2115
Terrigal - North Avoca	2016	1	10156
Umina - Booker Bay - Patonga	2006		2456
Umina - Booker Bay - Patonga	2006	0	3133
