SA2_NAME16	Year	SpeaksEnglishOnly	persons
Braidwood	2006	0	67
Braidwood	2006	1	2171
Braidwood	2011	0	106
Braidwood	2011	1	3036
Braidwood	2016	0	130
Braidwood	2016	1	3300
Karabar	2006	0	1262
Karabar	2006	1	7501
Karabar	2011	0	1178
Karabar	2011	1	7040
Karabar	2016	0	1112
Karabar	2016	1	6649
Queanbeyan	2006	0	1443
Queanbeyan	2006	1	6942
Queanbeyan	2011	0	1906
Queanbeyan	2011	1	7696
Queanbeyan	2016	0	2300
Queanbeyan	2016	1	7719
Queanbeyan - East	2006	0	513
Queanbeyan - East	2006	1	3151
Queanbeyan - East	2011	0	816
Queanbeyan - East	2011	1	3542
Queanbeyan - East	2016	0	974
Queanbeyan - East	2016	1	3516
Queanbeyan Region	2006	0	564
Queanbeyan Region	2006	1	11407
Queanbeyan Region	2011	0	669
Queanbeyan Region	2011	1	12713
Queanbeyan Region	2016	0	985
Queanbeyan Region	2016	1	14364
Queanbeyan West - Jerrabomberra	2006	0	1189
Queanbeyan West - Jerrabomberra	2006	1	9988
Queanbeyan West - Jerrabomberra	2011	0	1359
Queanbeyan West - Jerrabomberra	2011	1	10854
Queanbeyan West - Jerrabomberra	2016	0	1353
Queanbeyan West - Jerrabomberra	2016	1	10783
Bombala	2006	0	53
Bombala	2006	1	2358
Bombala	2011	0	50
Bombala	2011	1	2299
Bombala	2016	0	68
Bombala	2016	1	2155
Cooma	2006	0	421
Cooma	2006	1	5882
Cooma	2011	0	464
Cooma	2011	1	5832
Cooma	2016	0	454
Cooma	2016	1	5569
Cooma Region	2006	0	130
Cooma Region	2006	1	2519
Cooma Region	2011	0	152
Cooma Region	2011	1	2910
Cooma Region	2016	0	117
Cooma Region	2016	1	2883
Jindabyne - Berridale	2006	0	255
Jindabyne - Berridale	2006	1	4903
Jindabyne - Berridale	2011	0	315
Jindabyne - Berridale	2011	1	5444
Jindabyne - Berridale	2016	0	397
Jindabyne - Berridale	2016	1	5950
Batemans Bay	2006	0	295
Batemans Bay	2006	1	6911
Batemans Bay	2011	0	299
Batemans Bay	2011	1	6741
Batemans Bay	2016	0	348
Batemans Bay	2016	1	6799
Batemans Bay - South	2006	0	375
Batemans Bay - South	2006	1	7255
Batemans Bay - South	2011	0	363
Batemans Bay - South	2011	1	7286
Batemans Bay - South	2016	0	409
Batemans Bay - South	2016	1	7315
Bega - Tathra	2006	0	148
Bega - Tathra	2006	1	7153
Bega - Tathra	2011	0	190
Bega - Tathra	2011	1	7508
Bega - Tathra	2016	0	264
Bega - Tathra	2016	1	7481
Bega-Eden Hinterland	2006	0	225
Bega-Eden Hinterland	2006	1	8256
Bega-Eden Hinterland	2011	0	230
Bega-Eden Hinterland	2011	1	8146
Bega-Eden Hinterland	2016	0	187
Bega-Eden Hinterland	2016	1	7988
Broulee - Tomakin	2006	0	87
Broulee - Tomakin	2006	1	2292
Broulee - Tomakin	2011	0	109
Broulee - Tomakin	2011	1	2556
Broulee - Tomakin	2016	0	94
Broulee - Tomakin	2016	1	2929
Deua - Wadbilliga	2006	0	0
