SA2_NAME16	Year	Sex	labourForceParticipation
Braidwood	2006	F	52.1
Braidwood	2006	M	61.8
Braidwood	2011	F	55.9
Braidwood	2011	M	62.6
Braidwood	2016	F	49.1
Braidwood	2016	M	57.4
Karabar	2006	F	62.3
Karabar	2006	M	73.4
Karabar	2011	F	65.4
Karabar	2011	M	73.7
Karabar	2016	F	62.8
Karabar	2016	M	69.9
Queanbeyan	2006	F	54.6
Queanbeyan	2006	M	67.1
Queanbeyan	2011	F	60.1
Queanbeyan	2011	M	69.3
Queanbeyan	2016	F	60.3
Queanbeyan	2016	M	68.8
Queanbeyan - East	2006	F	64
Queanbeyan - East	2006	M	72.3
Queanbeyan - East	2011	F	67.4
Queanbeyan - East	2011	M	75.6
Queanbeyan - East	2016	F	66.9
Queanbeyan - East	2016	M	72.9
Queanbeyan Region	2006	F	68.2
Queanbeyan Region	2006	M	74.5
Queanbeyan Region	2011	F	69.4
Queanbeyan Region	2011	M	75.8
Queanbeyan Region	2016	F	66.6
Queanbeyan Region	2016	M	69.2
Queanbeyan West - Jerrabomberra	2006	F	73.2
Queanbeyan West - Jerrabomberra	2006	M	82.1
Queanbeyan West - Jerrabomberra	2011	F	76.2
Queanbeyan West - Jerrabomberra	2011	M	81.9
Queanbeyan West - Jerrabomberra	2016	F	73.3
Queanbeyan West - Jerrabomberra	2016	M	78.6
Bombala	2006	F	48.4
Bombala	2006	M	66.6
Bombala	2011	F	50.9
Bombala	2011	M	64.6
Bombala	2016	F	50.7
Bombala	2016	M	61
Cooma	2006	F	52.6
Cooma	2006	M	62.4
Cooma	2011	F	53.3
Cooma	2011	M	61.6
Cooma	2016	F	52.2
Cooma	2016	M	55.1
Cooma Region	2006	F	59
Cooma Region	2006	M	68.8
Cooma Region	2011	F	60.1
Cooma Region	2011	M	65
Cooma Region	2016	F	57.5
Cooma Region	2016	M	62.2
Jindabyne - Berridale	2006	F	61.5
Jindabyne - Berridale	2006	M	63.6
Jindabyne - Berridale	2011	F	64.2
Jindabyne - Berridale	2011	M	67.6
Jindabyne - Berridale	2016	F	69.5
Jindabyne - Berridale	2016	M	69.7
Batemans Bay	2006	F	44.7
Batemans Bay	2006	M	51.7
Batemans Bay	2011	F	41.7
Batemans Bay	2011	M	48
Batemans Bay	2016	F	40.4
Batemans Bay	2016	M	45.3
Batemans Bay - South	2006	F	42.4
Batemans Bay - South	2006	M	51.2
Batemans Bay - South	2011	F	41.1
Batemans Bay - South	2011	M	45.9
Batemans Bay - South	2016	F	42
Batemans Bay - South	2016	M	45.5
Bega - Tathra	2006	F	49.5
Bega - Tathra	2006	M	60.8
Bega - Tathra	2011	F	51
Bega - Tathra	2011	M	60.1
Bega - Tathra	2016	F	50.4
Bega - Tathra	2016	M	56.6
Bega-Eden Hinterland	2006	F	53.6
Bega-Eden Hinterland	2006	M	63.2
Bega-Eden Hinterland	2011	F	54.4
