SA2_NAME16	Year	labourForceParticipation
Toukley - Norah Head	2011	44.8
Toukley - Norah Head	2016	45.5
Tuggerah - Kangy Angy	2006	61.1
Tuggerah - Kangy Angy	2011	61.3
Tuggerah - Kangy Angy	2016	61.6
Warnervale - Wadalba	2006	59.2
Warnervale - Wadalba	2011	60.9
Warnervale - Wadalba	2016	62.4
Wyong	2006	53.9
Wyong	2011	53.2
Wyong	2016	51.8
Bathurst	2006	58.7
Bathurst	2011	59.4
Bathurst	2016	57.2
Bathurst - East	2006	64
Bathurst - East	2011	63
Bathurst - East	2016	61.5
Bathurst Region	2006	63
Bathurst Region	2011	62.8
Bathurst Region	2016	57.5
Oberon	2006	61
Oberon	2011	59.5
Oberon	2016	53.2
Condobolin	2006	58.2
Condobolin	2011	58.7
Condobolin	2016	54.8
Cowra	2006	52.8
Cowra	2011	49.3
Cowra	2016	48.4
Cowra Region	2006	57.2
Cowra Region	2011	56.1
Cowra Region	2016	53.6
Forbes	2006	55.4
Forbes	2011	56.3
Forbes	2016	54.3
Grenfell	2006	53
Grenfell	2011	50.9
Grenfell	2016	49.7
Parkes (NSW)	2006	58.3
Parkes (NSW)	2011	56.3
Parkes (NSW)	2016	54.3
Parkes Region	2006	56.8
Parkes Region	2011	55.6
Parkes Region	2016	53.3
West Wyalong	2006	61.5
West Wyalong	2011	60.9
West Wyalong	2016	55.6
Lithgow	2006	51.5
Lithgow	2011	50.1
Lithgow	2016	46.4
Lithgow Region	2006	55.6
Lithgow Region	2011	57.6
Lithgow Region	2016	51.4
Mudgee	2006	58.6
Mudgee	2011	59.2
Mudgee	2016	58.4
Mudgee Region - East	2006	47.8
Mudgee Region - East	2011	48
Mudgee Region - East	2016	41.7
Mudgee Region - West	2006	54.9
Mudgee Region - West	2011	54.2
Mudgee Region - West	2016	52.1
Wollangambe - Wollemi	2006	0
Wollangambe - Wollemi	2011	0
Wollangambe - Wollemi	2016	0
Blayney	2006	60.1
Blayney	2011	60.3
Blayney	2016	59.5
Orange	2006	55.8
Orange	2011	56.1
Orange	2016	53.3
Orange - North	2006	64.4
Orange - North	2011	66.1
Orange - North	2016	65.8
Orange Region	2006	65.9
Orange Region	2011	66.5
Orange Region	2016	63.5
Grafton	2006	49.3
Grafton	2011	50.3
Grafton	2016	47.6
Grafton Region	2006	53.1
Grafton Region	2011	51.3
Grafton Region	2016	48.2
Maclean - Yamba - Iluka	2006	43.7
Maclean - Yamba - Iluka	2011	42.9
Maclean - Yamba - Iluka	2016	40.9
Bellingen	2006	54.4
Bellingen	2011	55.2
Bellingen	2016	53.3
Coffs Harbour - North	2006	53.9
Coffs Harbour - North	2011	53.6
Coffs Harbour - North	2016	51.9
Coffs Harbour - South	2006	49.3
Coffs Harbour - South	2011	51.9
Coffs Harbour - South	2016	49.4
Coramba - Nana Glen - Bucca	2006	62.7
Coramba - Nana Glen - Bucca	2011	63.8
