SA2_NAME16	Year	SameAddress1YearAgo	Sex	persons
Braidwood	2006		F	62
Braidwood	2006		M	78
Braidwood	2006	0	F	176
Braidwood	2006	0	M	152
Braidwood	2006	1	F	916
Braidwood	2006	1	M	958
Braidwood	2011		F	128
Braidwood	2011		M	125
Braidwood	2011	0	F	200
Braidwood	2011	0	M	193
Braidwood	2011	1	F	1340
Braidwood	2011	1	M	1372
Braidwood	2016		F	252
Braidwood	2016		M	259
Braidwood	2016	0	F	232
Braidwood	2016	0	M	202
Braidwood	2016	1	F	1432
Braidwood	2016	1	M	1494
Karabar	2006		F	292
Karabar	2006		M	344
Karabar	2006	0	F	624
Karabar	2006	0	M	607
Karabar	2006	1	F	3753
Karabar	2006	1	M	3628
Karabar	2011		F	237
Karabar	2011		M	255
Karabar	2011	0	F	534
Karabar	2011	0	M	517
Karabar	2011	1	F	3591
Karabar	2011	1	M	3465
Karabar	2016		F	387
Karabar	2016		M	337
Karabar	2016	0	F	467
Karabar	2016	0	M	483
Karabar	2016	1	F	3318
Karabar	2016	1	M	3253
Queanbeyan	2006		F	349
Queanbeyan	2006		M	437
Queanbeyan	2006	0	F	864
Queanbeyan	2006	0	M	879
Queanbeyan	2006	1	F	3289
Queanbeyan	2006	1	M	3311
Queanbeyan	2011		F	316
Queanbeyan	2011		M	466
Queanbeyan	2011	0	F	930
Queanbeyan	2011	0	M	887
Queanbeyan	2011	1	F	3779
Queanbeyan	2011	1	M	3857
Queanbeyan	2016		F	558
Queanbeyan	2016		M	602
Queanbeyan	2016	0	F	1035
Queanbeyan	2016	0	M	990
Queanbeyan	2016	1	F	3810
Queanbeyan	2016	1	M	3838
Queanbeyan - East	2006		F	162
Queanbeyan - East	2006		M	214
Queanbeyan - East	2006	0	F	438
Queanbeyan - East	2006	0	M	441
Queanbeyan - East	2006	1	F	1335
Queanbeyan - East	2006	1	M	1416
Queanbeyan - East	2011		F	156
Queanbeyan - East	2011		M	216
Queanbeyan - East	2011	0	F	416
Queanbeyan - East	2011	0	M	482
Queanbeyan - East	2011	1	F	1658
Queanbeyan - East	2011	1	M	1716
Queanbeyan - East	2016		F	234
Queanbeyan - East	2016		M	238
Queanbeyan - East	2016	0	F	414
Queanbeyan - East	2016	0	M	470
Queanbeyan - East	2016	1	F	1677
Queanbeyan - East	2016	1	M	1751
Queanbeyan Region	2006		F	376
Queanbeyan Region	2006		M	427
Queanbeyan Region	2006	0	F	753
Queanbeyan Region	2006	0	M	713
Queanbeyan Region	2006	1	F	5108
Queanbeyan Region	2006	1	M	5272
Queanbeyan Region	2011		F	404
Queanbeyan Region	2011		M	465
Queanbeyan Region	2011	0	F	881
Queanbeyan Region	2011	0	M	828
Queanbeyan Region	2011	1	F	5708
Queanbeyan Region	2011	1	M	5823
Queanbeyan Region	2016		F	935
Queanbeyan Region	2016		M	1042
Queanbeyan Region	2016	0	F	1109
Queanbeyan Region	2016	0	M	1077
Queanbeyan Region	2016	1	F	6287
Queanbeyan Region	2016	1	M	6500
Queanbeyan West - Jerrabomberra	2006		F	353
Queanbeyan West - Jerrabomberra	2006		M	388
Queanbeyan West - Jerrabomberra	2006	0	F	1077
Queanbeyan West - Jerrabomberra	2006	0	M	1012
Queanbeyan West - Jerrabomberra	2006	1	F	4564
Queanbeyan West - Jerrabomberra	2006	1	M	4307
Queanbeyan West - Jerrabomberra	2011		F	260
Queanbeyan West - Jerrabomberra	2011		M	286
Queanbeyan West - Jerrabomberra	2011	0	F	988
Queanbeyan West - Jerrabomberra	2011	0	M	892
Queanbeyan West - Jerrabomberra	2011	1	F	5137
Queanbeyan West - Jerrabomberra	2011	1	M	5007
Queanbeyan West - Jerrabomberra	2016		F	453
Queanbeyan West - Jerrabomberra	2016		M	459
Queanbeyan West - Jerrabomberra	2016	0	F	872
Queanbeyan West - Jerrabomberra	2016	0	M	845
Queanbeyan West - Jerrabomberra	2016	1	F	5025
Queanbeyan West - Jerrabomberra	2016	1	M	4987
Bombala	2006		F	79
Bombala	2006		M	75
Bombala	2006	0	F	164
Bombala	2006	0	M	140
Bombala	2006	1	F	1043
Bombala	2006	1	M	1039
Bombala	2011		F	38
Bombala	2011		M	48
Bombala	2011	0	F	131
Bombala	2011	0	M	108
Bombala	2011	1	F	1027
Bombala	2011	1	M	1067
Bombala	2016		F	115
Bombala	2016		M	106
Bombala	2016	0	F	123
Bombala	2016	0	M	117
Bombala	2016	1	F	950
Bombala	2016	1	M	984
Cooma	2006		F	213
Cooma	2006		M	348
Cooma	2006	0	F	486
Cooma	2006	0	M	471
Cooma	2006	1	F	2700
Cooma	2006	1	M	2567
Cooma	2011		F	167
Cooma	2011		M	293
Cooma	2011	0	F	520
Cooma	2011	0	M	483
Cooma	2011	1	F	2677
Cooma	2011	1	M	2530
Cooma	2016		F	361
Cooma	2016		M	528
Cooma	2016	0	F	459
Cooma	2016	0	M	422
Cooma	2016	1	F	2526
Cooma	2016	1	M	2438
Cooma Region	2006		F	53
Cooma Region	2006		M	77
Cooma Region	2006	0	F	138
Cooma Region	2006	0	M	144
Cooma Region	2006	1	F	1162
Cooma Region	2006	1	M	1180
Cooma Region	2011		F	45
Cooma Region	2011		M	97
Cooma Region	2011	0	F	169
Cooma Region	2011	0	M	170
Cooma Region	2011	1	F	1318
Cooma Region	2011	1	M	1378
Cooma Region	2016		F	168
Cooma Region	2016		M	180
Cooma Region	2016	0	F	144
Cooma Region	2016	0	M	148
Cooma Region	2016	1	F	1284
Cooma Region	2016	1	M	1363
Jindabyne - Berridale	2006		F	569
Jindabyne - Berridale	2006		M	791
Jindabyne - Berridale	2006	0	F	447
Jindabyne - Berridale	2006	0	M	533
Jindabyne - Berridale	2006	1	F	1929
Jindabyne - Berridale	2006	1	M	2134
Jindabyne - Berridale	2011		F	398
Jindabyne - Berridale	2011		M	568
Jindabyne - Berridale	2011	0	F	553
Jindabyne - Berridale	2011	0	M	560
Jindabyne - Berridale	2011	1	F	2144
Jindabyne - Berridale	2011	1	M	2440
Jindabyne - Berridale	2016		F	316
Jindabyne - Berridale	2016		M	415
Jindabyne - Berridale	2016	0	F	562
Jindabyne - Berridale	2016	0	M	652
Jindabyne - Berridale	2016	1	F	2350
Jindabyne - Berridale	2016	1	M	2658
Batemans Bay	2006		F	205
Batemans Bay	2006		M	202
Batemans Bay	2006	0	F	666
Batemans Bay	2006	0	M	633
Batemans Bay	2006	1	F	2985
Batemans Bay	2006	1	M	2843
Batemans Bay	2011		F	234
Batemans Bay	2011		M	263
Batemans Bay	2011	0	F	693
Batemans Bay	2011	0	M	630
Batemans Bay	2011	1	F	2924
Batemans Bay	2011	1	M	2759
