SA2_NAME16	Year	NonSchoolQualification	persons
Braidwood	2006		1546
Braidwood	2006	Certificate nfd	41
Braidwood	2006	Certificate I and II Level	36
Braidwood	2006	Certificate III and IV Level	292
Braidwood	2006	Advanced Diploma and Diploma	122
Braidwood	2006	Bachelor	215
Braidwood	2006	Graduate Diploma and Graduate Certificate	36
Braidwood	2006	Postgraduate	54
Braidwood	2011		2067
Braidwood	2011	Certificate nfd	65
Braidwood	2011	Certificate I and II Level	33
Braidwood	2011	Certificate III and IV Level	452
Braidwood	2011	Advanced Diploma and Diploma	210
Braidwood	2011	Bachelor	337
Braidwood	2011	Graduate Diploma and Graduate Certificate	73
Braidwood	2011	Postgraduate	119
Braidwood	2016		2249
Braidwood	2016	Certificate nfd	93
Braidwood	2016	Certificate I and II Level	38
Braidwood	2016	Certificate III and IV Level	558
Braidwood	2016	Advanced Diploma and Diploma	274
Braidwood	2016	Bachelor	413
Braidwood	2016	Graduate Diploma and Graduate Certificate	77
Braidwood	2016	Postgraduate	170
Karabar	2006		6723
Karabar	2006	Certificate nfd	127
Karabar	2006	Certificate I and II Level	115
Karabar	2006	Certificate III and IV Level	1106
Karabar	2006	Advanced Diploma and Diploma	433
Karabar	2006	Bachelor	518
Karabar	2006	Graduate Diploma and Graduate Certificate	98
Karabar	2006	Postgraduate	125
Karabar	2011		5873
Karabar	2011	Certificate nfd	111
Karabar	2011	Certificate I and II Level	92
Karabar	2011	Certificate III and IV Level	1176
Karabar	2011	Advanced Diploma and Diploma	505
Karabar	2011	Bachelor	566
Karabar	2011	Graduate Diploma and Graduate Certificate	103
Karabar	2011	Postgraduate	176
Karabar	2016		5309
Karabar	2016	Certificate nfd	138
Karabar	2016	Certificate I and II Level	85
Karabar	2016	Certificate III and IV Level	1254
Karabar	2016	Advanced Diploma and Diploma	553
Karabar	2016	Bachelor	584
Karabar	2016	Graduate Diploma and Graduate Certificate	127
Karabar	2016	Postgraduate	197
Queanbeyan	2006		6339
Queanbeyan	2006	Certificate nfd	135
Queanbeyan	2006	Certificate I and II Level	82
Queanbeyan	2006	Certificate III and IV Level	1080
Queanbeyan	2006	Advanced Diploma and Diploma	466
Queanbeyan	2006	Bachelor	718
Queanbeyan	2006	Graduate Diploma and Graduate Certificate	129
Queanbeyan	2006	Postgraduate	178
Queanbeyan	2011		6447
Queanbeyan	2011	Certificate nfd	146
Queanbeyan	2011	Certificate I and II Level	93
Queanbeyan	2011	Certificate III and IV Level	1380
Queanbeyan	2011	Advanced Diploma and Diploma	591
Queanbeyan	2011	Bachelor	1047
Queanbeyan	2011	Graduate Diploma and Graduate Certificate	163
Queanbeyan	2011	Postgraduate	366
Queanbeyan	2016		6303
Queanbeyan	2016	Certificate nfd	170
Queanbeyan	2016	Certificate I and II Level	121
Queanbeyan	2016	Certificate III and IV Level	1483
Queanbeyan	2016	Advanced Diploma and Diploma	805
Queanbeyan	2016	Bachelor	1281
Queanbeyan	2016	Graduate Diploma and Graduate Certificate	215
Queanbeyan	2016	Postgraduate	464
Queanbeyan - East	2006		2590
Queanbeyan - East	2006	Certificate nfd	50
Queanbeyan - East	2006	Certificate I and II Level	49
Queanbeyan - East	2006	Certificate III and IV Level	461
Queanbeyan - East	2006	Advanced Diploma and Diploma	263
Queanbeyan - East	2006	Bachelor	393
Queanbeyan - East	2006	Graduate Diploma and Graduate Certificate	78
Queanbeyan - East	2006	Postgraduate	118
Queanbeyan - East	2011		2711
Queanbeyan - East	2011	Certificate nfd	57
Queanbeyan - East	2011	Certificate I and II Level	36
Queanbeyan - East	2011	Certificate III and IV Level	604
Queanbeyan - East	2011	Advanced Diploma and Diploma	371
Queanbeyan - East	2011	Bachelor	572
Queanbeyan - East	2011	Graduate Diploma and Graduate Certificate	83
Queanbeyan - East	2011	Postgraduate	205
Queanbeyan - East	2016		2616
Queanbeyan - East	2016	Certificate nfd	60
Queanbeyan - East	2016	Certificate I and II Level	65
Queanbeyan - East	2016	Certificate III and IV Level	643
Queanbeyan - East	2016	Advanced Diploma and Diploma	384
Queanbeyan - East	2016	Bachelor	645
Queanbeyan - East	2016	Graduate Diploma and Graduate Certificate	89
Queanbeyan - East	2016	Postgraduate	284
Queanbeyan Region	2006		7678
Queanbeyan Region	2006	Certificate nfd	211
Queanbeyan Region	2006	Certificate I and II Level	90
Queanbeyan Region	2006	Certificate III and IV Level	1430
Queanbeyan Region	2006	Advanced Diploma and Diploma	878
Queanbeyan Region	2006	Bachelor	1479
Queanbeyan Region	2006	Graduate Diploma and Graduate Certificate	315
Queanbeyan Region	2006	Postgraduate	569
Queanbeyan Region	2011		8070
Queanbeyan Region	2011	Certificate nfd	198
Queanbeyan Region	2011	Certificate I and II Level	137
Queanbeyan Region	2011	Certificate III and IV Level	1783
Queanbeyan Region	2011	Advanced Diploma and Diploma	1113
Queanbeyan Region	2011	Bachelor	1675
Queanbeyan Region	2011	Graduate Diploma and Graduate Certificate	414
Queanbeyan Region	2011	Postgraduate	721
Queanbeyan Region	2016		9341
Queanbeyan Region	2016	Certificate nfd	262
Queanbeyan Region	2016	Certificate I and II Level	146
Queanbeyan Region	2016	Certificate III and IV Level	2261
Queanbeyan Region	2016	Advanced Diploma and Diploma	1464
Queanbeyan Region	2016	Bachelor	2081
Queanbeyan Region	2016	Graduate Diploma and Graduate Certificate	470
Queanbeyan Region	2016	Postgraduate	921
Queanbeyan West - Jerrabomberra	2006		7550
Queanbeyan West - Jerrabomberra	2006	Certificate nfd	171
Queanbeyan West - Jerrabomberra	2006	Certificate I and II Level	99
Queanbeyan West - Jerrabomberra	2006	Certificate III and IV Level	1247
Queanbeyan West - Jerrabomberra	2006	Advanced Diploma and Diploma	822
Queanbeyan West - Jerrabomberra	2006	Bachelor	1151
Queanbeyan West - Jerrabomberra	2006	Graduate Diploma and Graduate Certificate	248
Queanbeyan West - Jerrabomberra	2006	Postgraduate	413
Queanbeyan West - Jerrabomberra	2011		7532
Queanbeyan West - Jerrabomberra	2011	Certificate nfd	158
Queanbeyan West - Jerrabomberra	2011	Certificate I and II Level	128
Queanbeyan West - Jerrabomberra	2011	Certificate III and IV Level	1474
Queanbeyan West - Jerrabomberra	2011	Advanced Diploma and Diploma	1023
Queanbeyan West - Jerrabomberra	2011	Bachelor	1370
Queanbeyan West - Jerrabomberra	2011	Graduate Diploma and Graduate Certificate	287
Queanbeyan West - Jerrabomberra	2011	Postgraduate	600
Queanbeyan West - Jerrabomberra	2016		7157
Queanbeyan West - Jerrabomberra	2016	Certificate nfd	174
Queanbeyan West - Jerrabomberra	2016	Certificate I and II Level	98
Queanbeyan West - Jerrabomberra	2016	Certificate III and IV Level	1574
Queanbeyan West - Jerrabomberra	2016	Advanced Diploma and Diploma	1092
Queanbeyan West - Jerrabomberra	2016	Bachelor	1483
Queanbeyan West - Jerrabomberra	2016	Graduate Diploma and Graduate Certificate	328
Queanbeyan West - Jerrabomberra	2016	Postgraduate	737
Bombala	2006		1903
Bombala	2006	Certificate nfd	27
Bombala	2006	Certificate I and II Level	33
Bombala	2006	Certificate III and IV Level	296
Bombala	2006	Advanced Diploma and Diploma	110
Bombala	2006	Bachelor	130
Bombala	2006	Graduate Diploma and Graduate Certificate	22
Bombala	2006	Postgraduate	17
Bombala	2011		1731
Bombala	2011	Certificate nfd	32
Bombala	2011	Certificate I and II Level	36
Bombala	2011	Certificate III and IV Level	333
Bombala	2011	Advanced Diploma and Diploma	111
Bombala	2011	Bachelor	134
Bombala	2011	Graduate Diploma and Graduate Certificate	24
Bombala	2011	Postgraduate	18
Bombala	2016		1619
Bombala	2016	Certificate nfd	35
Bombala	2016	Certificate I and II Level	30
Bombala	2016	Certificate III and IV Level	376
Bombala	2016	Advanced Diploma and Diploma	131
Bombala	2016	Bachelor	162
Bombala	2016	Graduate Diploma and Graduate Certificate	16
Bombala	2016	Postgraduate	21
Cooma	2006		4759
Cooma	2006	Certificate nfd	108
Cooma	2006	Certificate I and II Level	98
Cooma	2006	Certificate III and IV Level	937
Cooma	2006	Advanced Diploma and Diploma	326
Cooma	2006	Bachelor	431
Cooma	2006	Graduate Diploma and Graduate Certificate	62
Cooma	2006	Postgraduate	68
Cooma	2011		4434
Cooma	2011	Certificate nfd	120
Cooma	2011	Certificate I and II Level	104
Cooma	2011	Certificate III and IV Level	1036
Cooma	2011	Advanced Diploma and Diploma	345
Cooma	2011	Bachelor	461
Cooma	2011	Graduate Diploma and Graduate Certificate	77
Cooma	2011	Postgraduate	100
Cooma	2016		4295
Cooma	2016	Certificate nfd	130
Cooma	2016	Certificate I and II Level	82
Cooma	2016	Certificate III and IV Level	1105
Cooma	2016	Advanced Diploma and Diploma	418
Cooma	2016	Bachelor	510
Cooma	2016	Graduate Diploma and Graduate Certificate	82
Cooma	2016	Postgraduate	120
Cooma Region	2006		1847
Cooma Region	2006	Certificate nfd	50
Cooma Region	2006	Certificate I and II Level	31
Cooma Region	2006	Certificate III and IV Level	400
Cooma Region	2006	Advanced Diploma and Diploma	141
Cooma Region	2006	Bachelor	225
Cooma Region	2006	Graduate Diploma and Graduate Certificate	27
Cooma Region	2006	Postgraduate	36
Cooma Region	2011		1973
Cooma Region	2011	Certificate nfd	54
Cooma Region	2011	Certificate I and II Level	42
Cooma Region	2011	Certificate III and IV Level	532
Cooma Region	2011	Advanced Diploma and Diploma	187
Cooma Region	2011	Bachelor	293
Cooma Region	2011	Graduate Diploma and Graduate Certificate	32
Cooma Region	2011	Postgraduate	62
Cooma Region	2016		1956
Cooma Region	2016	Certificate nfd	78
Cooma Region	2016	Certificate I and II Level	43
Cooma Region	2016	Certificate III and IV Level	545
Cooma Region	2016	Advanced Diploma and Diploma	234
Cooma Region	2016	Bachelor	316
Cooma Region	2016	Graduate Diploma and Graduate Certificate	34
Cooma Region	2016	Postgraduate	74
Jindabyne - Berridale	2006		4261
Jindabyne - Berridale	2006	Certificate nfd	71
Jindabyne - Berridale	2006	Certificate I and II Level	74
