SA2_NAME16	Year	AustCitizen	Sex	persons
Braidwood	2006	0		189
Braidwood	2006	1	F	1069
Braidwood	2006	1	M	1084
Braidwood	2011	0		372
Braidwood	2011	1	F	1473
Braidwood	2011	1	M	1511
Braidwood	2016	0		581
Braidwood	2016	1	F	1615
Braidwood	2016	1	M	1676
Karabar	2006	0		891
Karabar	2006	1	F	4234
Karabar	2006	1	M	4120
Karabar	2011	0		851
Karabar	2011	1	F	3932
Karabar	2011	1	M	3819
Karabar	2016	0		850
Karabar	2016	1	F	3729
Karabar	2016	1	M	3668
Queanbeyan	2006	0		1347
Queanbeyan	2006	1	F	3818
Queanbeyan	2006	1	M	3962
Queanbeyan	2011	0		1545
Queanbeyan	2011	1	F	4327
Queanbeyan	2011	1	M	4361
Queanbeyan	2016	0		2095
Queanbeyan	2016	1	F	4365
Queanbeyan	2016	1	M	4382
Queanbeyan - East	2006	0		602
Queanbeyan - East	2006	1	F	1674
Queanbeyan - East	2006	1	M	1726
Queanbeyan - East	2011	0		779
Queanbeyan - East	2011	1	F	1876
Queanbeyan - East	2011	1	M	1984
Queanbeyan - East	2016	0		854
Queanbeyan - East	2016	1	F	1914
Queanbeyan - East	2016	1	M	2018
Queanbeyan Region	2006	0		1113
Queanbeyan Region	2006	1	F	5702
Queanbeyan Region	2006	1	M	5835
Queanbeyan Region	2011	0		1197
Queanbeyan Region	2011	1	F	6430
Queanbeyan Region	2011	1	M	6484
Queanbeyan Region	2016	0		2069
Queanbeyan Region	2016	1	F	7358
Queanbeyan Region	2016	1	M	7519
Queanbeyan West - Jerrabomberra	2006	0		1042
Queanbeyan West - Jerrabomberra	2006	1	F	5487
Queanbeyan West - Jerrabomberra	2006	1	M	5172
Queanbeyan West - Jerrabomberra	2011	0		902
Queanbeyan West - Jerrabomberra	2011	1	F	5932
Queanbeyan West - Jerrabomberra	2011	1	M	5738
Queanbeyan West - Jerrabomberra	2016	0		1030
Queanbeyan West - Jerrabomberra	2016	1	F	5828
Queanbeyan West - Jerrabomberra	2016	1	M	5785
Bombala	2006	0		189
Bombala	2006	1	F	1189
Bombala	2006	1	M	1160
Bombala	2011	0		156
Bombala	2011	1	F	1119
Bombala	2011	1	M	1144
Bombala	2016	0		238
Bombala	2016	1	F	1061
Bombala	2016	1	M	1091
Cooma	2006	0		807
Cooma	2006	1	F	3050
Cooma	2006	1	M	2932
Cooma	2011	0		758
Cooma	2011	1	F	3000
Cooma	2011	1	M	2919
Cooma	2016	0		985
Cooma	2016	1	F	2926
Cooma	2016	1	M	2831
Cooma Region	2006	0		233
Cooma Region	2006	1	F	1237
Cooma Region	2006	1	M	1287
Cooma Region	2011	0		262
Cooma Region	2011	1	F	1419
Cooma Region	2011	1	M	1494
Cooma Region	2016	0		392
Cooma Region	2016	1	F	1394
Cooma Region	2016	1	M	1494
Jindabyne - Berridale	2006	0		1554
Jindabyne - Berridale	2006	1	F	2279
Jindabyne - Berridale	2006	1	M	2573
Jindabyne - Berridale	2011	0		1258
Jindabyne - Berridale	2011	1	F	2535
Jindabyne - Berridale	2011	1	M	2871
Jindabyne - Berridale	2016	0		975
Jindabyne - Berridale	2016	1	F	2779
Jindabyne - Berridale	2016	1	M	3197
Batemans Bay	2006	0		689
Batemans Bay	2006	1	F	3517
Batemans Bay	2006	1	M	3334
Batemans Bay	2011	0		799
Batemans Bay	2011	1	F	3450
Batemans Bay	2011	1	M	3255
Batemans Bay	2016	0		857
Batemans Bay	2016	1	F	3489
Batemans Bay	2016	1	M	3346
Batemans Bay - South	2006	0		600
Batemans Bay - South	2006	1	F	3811
Batemans Bay - South	2006	1	M	3469
Batemans Bay - South	2011	0		909
Batemans Bay - South	2011	1	F	3824
Batemans Bay - South	2011	1	M	3490
Batemans Bay - South	2016	0		956
Batemans Bay - South	2016	1	F	3884
Batemans Bay - South	2016	1	M	3518
Bega - Tathra	2006	0		523
Bega - Tathra	2006	1	F	3682
Bega - Tathra	2006	1	M	3362
Bega - Tathra	2011	0		621
Bega - Tathra	2011	1	F	3811
Bega - Tathra	2011	1	M	3614
Bega - Tathra	2016	0		906
Bega - Tathra	2016	1	F	3869
Bega - Tathra	2016	1	M	3630
Bega-Eden Hinterland	2006	0		767
Bega-Eden Hinterland	2006	1	F	4006
Bega-Eden Hinterland	2006	1	M	4095
Bega-Eden Hinterland	2011	0		769
Bega-Eden Hinterland	2011	1	F	3986
Bega-Eden Hinterland	2011	1	M	4012
Bega-Eden Hinterland	2016	0		870
Bega-Eden Hinterland	2016	1	F	3961
Bega-Eden Hinterland	2016	1	M	3962
Broulee - Tomakin	2006	0		231
Broulee - Tomakin	2006	1	F	1156
Broulee - Tomakin	2006	1	M	1129
Broulee - Tomakin	2011	0		302
Broulee - Tomakin	2011	1	F	1291
Broulee - Tomakin	2011	1	M	1234
Broulee - Tomakin	2016	0		367
Broulee - Tomakin	2016	1	F	1503
Broulee - Tomakin	2016	1	M	1415
Deua - Wadbilliga	2006	0		0
Deua - Wadbilliga	2006	1	F	0
Deua - Wadbilliga	2006	1	M	0
Deua - Wadbilliga	2011	0		7
Deua - Wadbilliga	2011	1	F	27
Deua - Wadbilliga	2011	1	M	23
Deua - Wadbilliga	2016	0		7
