SA2_MAINCODE_2016,C11_2500_2999_R650m,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R0_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650mo,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000m_R0_74,C11_4000m_R75_99,C11_4000m_R100_149,C11_4000m_R150_199,C11_4000m_R200_224,C11_4000m_R225_274,C11_4000m_R275_349,C11_4000m_R350_449,C11_4000m_R450_549,C11_4000m_R550_649,C11_4000m_R650m,C11_4000m_R_NS,C11_4000m_R_Tot,C11_PI_S_R0_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650m,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R0_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot,C16_N_inc_R0_74,C16_N_inc_R75_99,C16_Ne_Ni_inc_R100_149,C16_Ne_Ni_inc_R150_199,C16_Ne_Ni_inc_R200_224,C16_Ne_Ni_inc_R225_274,C16_Ne_Ni_inc_R275_349,C16_Ne_Ni_inc_R350_449,C16_Ne_Ni_inc_R450_549,C16_Ne_Ni_inc_R550_649,C16_Ne_Ni_inc_R650m,C16_Ne_Nil_inc_R_NS,C16_N_inc_R_Tot,C16_1_149_R0_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_149,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650m,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R0_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R150_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650m,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R0_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650m,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R0_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650m,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R0_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650m,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R0_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650m,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R0_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650m,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R0_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650m,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R0_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650m,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R0_74,C16_1500_1999_R75_99
101021007,0,0,6,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,4,8,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,51,12,28,36,40,59,26,5,3,0,4,6,266,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,10,4,0,3,8,0,8,3,0,0,0,0,0,24,0,0,0,3,0,4,7,4,0,0,0,0,23,0,0,0,0,0,9,7,3,0,0,0,0,26,6,0,0,0,3,3,4,3,0,0,0,0,19,0,0,0,0,0,3,6,3,0,0,0,3,26,3,0,0,3,0,9,3,4,0,0,0,0,28,3,0
101021008,0,3,50,0,0,0,0,0,3,4,22,4,0,0,0,34,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,3,7,3,12,14,7,0,0,7,52,3,3,10,3,0,0,3,3,3,0,0,12,41,36,73,94,102,66,77,152,214,65,13,7,44,943,0,0,3,0,0,0,0,4,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,10,4,0,8,9,3,3,0,0,0,0,0,0,36,0,0,19,10,3,7,0,0,0,0,0,0,46,3,0,24,24,3,3,9,4,0,0,0,3,74,3,0,7,14,9,7,7,9,0,0,0,0,49,0,0,8,19,14,10,5,12,3,0,0,5,80,3,0,3,6,13,9,16,16,4,0,3,3,75,0,0,0,8,8,17,17,26,4,0,0,0,79,3,0,0,9,4,9,10,37,5,0,0,0,84,3,0
101021009,0,0,89,0,0,0,0,0,3,11,19,19,0,3,4,62,3,0,0,0,3,3,4,4,0,0,0,0,15,0,3,3,5,3,5,17,23,17,0,0,4,74,0,8,3,6,8,4,3,0,3,0,0,6,39,71,68,86,182,160,279,384,323,110,15,17,58,1751,0,0,0,4,0,3,4,4,0,0,0,0,17,0,3,0,3,3,3,3,0,0,0,0,0,18,8,3,8,5,8,5,5,0,0,0,0,3,55,3,0,27,13,13,8,12,7,0,0,0,3,83,8,3,29,30,22,17,15,11,4,0,0,3,138,3,0,0,22,12,35,18,18,3,0,0,3,116,9,0,3,27,32,35,32,20,0,0,0,3,170,0,0,0,34,35,48,34,20,3,0,0,0,184,11,0,3,23,35,59,45,55,8,0,0,0,242,5,0,0,12,33,42,79,56,10,3,0,3,246,9,0
101021010,3,0,35,0,0,0,0,0,3,3,7,6,0,3,0,28,0,0,0,0,0,0,4,3,0,3,0,0,12,0,0,3,0,3,3,16,5,5,0,0,0,37,0,0,0,3,0,0,3,0,3,0,0,0,8,41,16,50,113,100,131,190,141,45,11,12,21,866,3,0,0,4,3,0,3,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,5,3,0,3,0,0,0,0,0,18,0,0,4,6,4,4,4,4,0,0,0,4,30,0,0,3,20,3,9,3,4,0,0,0,0,50,0,0,3,16,9,15,3,3,0,0,0,0,59,0,0,3,15,14,13,12,6,0,0,0,0,72,0,0,5,11,16,24,22,6,0,0,0,4,87,0,0,0,13,25,34,28,14,6,0,0,3,125,0,0,0,10,8,18,26,23,3,0,0,0,96,6,0
101021011,0,0,57,3,0,0,0,3,0,5,10,10,12,3,4,51,0,0,0,0,0,0,0,0,0,7,4,0,12,10,0,0,0,0,4,4,0,6,0,0,4,34,3,0,0,0,0,0,0,0,0,0,0,0,7,85,14,17,34,27,44,86,105,52,45,20,27,555,0,0,0,0,0,0,0,5,0,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,10,3,0,3,3,3,7,3,3,3,0,0,0,24,0,0,0,0,3,3,6,5,0,0,0,0,23,4,0,0,3,0,6,4,5,3,0,0,0,25,3,0,3,6,3,3,0,3,3,0,3,3,31,6,0,3,0,4,0,9,11,0,3,0,0,36,9,0,3,0,0,5,18,12,5,0,0,0,48,11,0
101021012,10,3,133,6,0,0,3,3,25,29,22,21,22,14,3,141,0,0,0,0,0,11,18,3,6,12,6,3,63,0,0,6,8,5,17,17,16,11,8,3,5,92,0,0,0,0,0,0,0,0,0,0,0,3,13,30,20,42,72,70,116,196,226,139,74,40,38,1047,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,0,0,16,0,0,5,0,0,6,0,3,0,0,0,0,18,0,0,3,5,0,3,0,3,0,0,0,0,17,0,0,0,8,7,5,3,0,0,0,0,3,20,3,0,0,0,6,3,4,13,3,0,0,0,37,0,0,3,0,3,7,16,8,5,0,0,0,47,0,0,0,3,4,10,14,19,5,0,0,0,60,0,0,0,3,0,8,10,29,16,3,0,0,80,4,0
101031013,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,6,62,20,59,46,10,3,0,0,0,0,0,14,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,13,8,0,5,3,0,0,0,0,0,0,0,0,16,3,0,3,3,6,0,0,0,0,0,0,0,16,3,0,4,4,3,3,0,0,0,0,0,0,18,3,0,5,10,5,3,0,0,0,0,3,0,22,3,0,0,3,0,5,0,0,0,0,0,0,20,6,3,3,5,3,0,0,0,0,0,0,0,14,4,0
101031014,0,3,25,0,0,0,0,0,3,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,7,3,5,3,0,0,0,0,42,4,0,3,4,6,3,0,0,0,0,0,8,28,55,61,165,167,109,138,62,16,3,3,12,25,811,0,0,0,0,0,5,0,0,0,0,0,3,12,0,0,0,3,0,0,0,0,0,0,0,0,10,6,5,7,12,4,4,0,0,0,0,0,0,43,8,0,21,16,13,10,0,0,0,0,0,0,71,5,0,33,20,20,20,10,0,0,0,0,0,109,0,0,9,17,6,18,8,3,0,0,0,0,65,9,5,3,18,15,23,12,0,0,0,0,3,85,0,0,12,19,7,22,10,0,0,0,0,0,68,0,3,0,8,13,25,22,3,0,0,3,3,77,3,0,3,5,6,21,14,5,0,0,0,0,60,4,0
101031015,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,3,52,6,23,30,8,14,12,12,7,0,4,19,188,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,3,0,0,0,0,0,0,0,0,14,3,0,0,5,3,0,0,0,0,0,0,0,13,3,0,3,3,0,3,0,0,0,0,0,0,19,0,0,0,3,0,0,3,0,0,0,0,0,10,6,0,0,3,0,3,0,3,0,0,0,0,18,5,0,3,0,5,0,0,0,0,0,0,0,15,10,0
101031016,18,0,52,0,0,3,0,4,0,3,9,3,0,25,0,49,0,0,0,0,0,3,0,0,0,0,34,5,46,9,0,0,11,0,3,8,3,3,0,8,0,48,0,0,0,3,0,0,0,0,0,0,7,5,25,69,6,50,88,64,83,84,75,35,32,173,50,823,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,3,0,0,0,0,0,0,0,0,10,0,0,3,10,3,0,3,0,0,0,4,3,31,5,0,3,8,6,4,3,3,0,0,7,0,38,9,0,4,16,5,11,3,0,0,0,13,0,70,7,0,5,9,10,17,8,9,6,3,7,3,80,6,3,0,7,7,11,6,4,0,0,6,0,61,3,0,0,4,8,13,11,10,0,3,10,5,70,6,0,5,4,6,12,17,21,0,7,11,7,89,12,0
