SA2_MAINCODE_2016,C06_0_74_CF_NC,C06_0_74_CF_Cu15DS_,C06_0_74_CF_CU15_NDS,C06_0_74_CF_NCU15_DS,C06_0_74_CF_NDCO,C06_0_74_CF_T,C06_75_99_CF_NC,C06_75_99_CF_Cu15DS_,C06_75_99_CF_CU15_NDS,C06_75_99_CF_NCU15_DS,C06_75_99_CF_NDCO,C06_75_99_CF_T,C06_100_149_CF_NC,C06_100_149_CF_Cu15DS_,C06_100_149_CF_CU15_NDS,C06_100_149_CF_NCU15_DS,C06_100_149_CF_NDCO,C06_100_149_Co_fam_To,C06_150_199_CF_NC,C06_150_199_CF_Cu15DS_,C06_150_199_CF_CU15_NDS,C06_150_199_CF_NCU15_DS,C06_150_199_CF_NDCO,C06_150_199_CF_T,C06_200_224_CF_NC,C06_200_224_CF_Cu15DS_,C06_200_224_CF_CU15_NDS,C06_200_224_CF_NCU15_DS,C06_200_224_CF_NDCO,C06_200_224_CF_T,C06_225_274_CF_NC,C06_225_274_CF_Cu15DS_,C06_225_274_CF_CU15_NDS,C06_225_274_CF_NCU15_DS,C06_225_274_CF_NDCO,C06_225_274_CF_T,C06_275_349_CF_NC,C06_275_349_CF_Cu15DS_,C06_275_349_CF_CU15_NDS,C06_275_349_CF_NCU15_DS,C06_275_349_CF_NDCO,C06_275_349_CF_T,C06_350_449_CF_NC,C06_350_449_CF_Cu15DS_,C06_350_449_CF_CU15_NDS,C06_350_449_CF_NCU15_DS,C06_350_449_CF_NDCO,C06_350_449_CF_T,C06_450_549_CF_NC,C06_450_549_CF_Cu15DS_,C06_450_549_CF_CU15_NDS,C06_450_549_CF_NCU15_DS,C06_450_549_CF_NDCO,C06_450_549_CF_T,C06_550_649_CF_NC,C06_550_649_CF_Cu15DS_,C06_550_649_CF_CU15_NDS,C06_550_649_CF_NCU15_DS,C06_550_649_CF_NDCO,C06_550_649_CF_T,C06_650_749_CF_NC,C06_650_749_CF_Cu15DS_,C06_650_749_CF_CU15_NDS,C06_650_749_CF_NCU15_DS,C06_650_749_CF_NDCO,C06_650_749_CF_T,C06_750_849_CF_NC,C06_750_849_CF_Cu15DS_,C06_750_849_CF_CU15_NDS,C06_750_849_CF_NCU15_DS,C06_750_849_CF_NDCO,C06_750_849_CF_T,C06_850_949_CF_NC,C06_850_949_CF_Cu15DS_,C06_850_949_CF_CU15_NDS,C06_850_949_CF_NCU15_DS,C06_850_949_CF_NDCO,C06_850_949_CF_T,C06_950over_CF_NC,C06_950ov_CF_Cu15DS_,C06_950ov_CF_CU15_NDS,C06_950ov_CF_NCU15_DS,C06_950ov_CF_NDCO,C06_950ov_CF_T,C06_Rns_CF_NC,C06_Rns_CF_Cu15DS_,C06_Rns_CF_CU15_NDS,C06_Rns_CF_NCU15_DS,C06_Rns_CF_NDCO,C06_Rns_CF_T,C06_Tot_CF_NC,C06_Tot_CF_Cu15DS_,C06_Tot_CF_CU15_NDS,C06_Tot_CF_NCU15_DS,C06_Tot_CF_NDCO,C06_Tota_Coup_fam_Tota,C11_0_74_CF_NC,C11_0_74_CF_Cu15DS_,C11_0_74_CF_CU15_NDS,C11_0_74_CF_NCU15_DS,C11_0_74_CF_NDCO,C11_0_74_Coup_fam_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_CF_T,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Co_fam_To,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_CF_T,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_CF_T,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_CF_T,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_CF_T,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_CF_T,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_CF_T,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_CF_T,C11_950over_CF_NC,C11_950ov_CF_Cu15DS_,C11_950ov_CF_CU15_NDS,C11_950ov_CF_NCU15_DS,C11_950ov_CF_NDCO,C11_950ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_T,C16_0_74_CF_NC,C16_0_74_CF_Cu15DS_,C16_0_74_CF_CU15_NDS,C16_0_74_CF_NCU15_DS,C16_0_74_CF_NDCO,C16_0_74_CF_T,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_
101021007,6,0,12,0,0,18,0,0,0,0,0,0,5,0,6,0,3,16,9,3,19,0,0,27,5,0,10,0,0,16,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,3,53,3,3,93,10,0,7,0,0,20,0,0,0,0,0,0,4,0,3,0,0,10,5,0,8,0,0,16,4,0,4,0,0,14,9,3,13,3,0,30,6,0,9,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11,49,5,3,125,10,3,9,0,0,23,0,0
101021008,3,0,7,0,0,11,5,0,6,0,0,10,25,3,21,4,3,59,19,3,33,3,7,68,13,0,19,3,9,42,34,4,35,7,3,79,34,3,43,5,0,86,3,3,5,0,0,15,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,147,15,171,20,32,390,3,0,0,0,0,6,0,0,0,0,0,4,4,0,7,0,3,19,9,0,3,0,0,12,8,3,8,0,0,21,12,3,17,0,0,33,32,3,23,0,11,68,54,3,60,7,5,130,9,3,19,0,3,36,3,0,4,0,3,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,15,134,27,145,14,29,353,4,0,0,0,0,6,0,0
101021009,7,0,4,0,0,16,7,0,3,0,0,9,26,0,9,0,0,37,80,4,44,0,0,122,32,0,29,0,5,66,43,3,28,3,4,79,42,0,43,3,6,94,3,0,7,3,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,248,10,172,13,21,452,13,0,6,0,0,16,0,0,0,0,0,3,11,0,0,0,0,14,25,0,11,0,0,37,18,0,16,0,0,38,57,0,28,4,4,94,87,0,64,3,3,152,79,5,63,0,14,165,18,9,26,0,6,63,4,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,6,0,0,13,309,23,231,16,33,607,6,0,3,3,0,11,3,0
101021010,3,0,0,0,0,5,0,0,0,0,0,0,21,0,11,0,0,33,33,0,24,0,0,59,12,0,14,0,3,35,22,0,14,0,0,40,29,0,8,3,3,42,7,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,3,82,6,7,223,6,0,5,0,0,10,0,0,0,0,0,0,7,0,3,3,0,9,14,0,7,0,0,25,8,0,10,0,0,19,27,0,24,0,0,51,49,0,32,0,0,78,38,3,29,0,0,73,11,0,14,0,3,31,3,0,4,0,0,9,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,10,172,8,127,5,4,319,3,0,3,0,0,5,0,0
101021011,31,0,12,0,0,51,3,0,3,0,0,5,9,0,6,3,0,18,8,0,10,0,0,25,10,0,14,0,0,30,12,0,10,0,4,27,16,4,20,0,3,41,16,3,20,0,0,44,4,0,12,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,10,122,16,126,7,9,275,21,4,21,0,0,47,7,0,0,0,0,5,6,0,3,0,0,6,10,0,0,0,0,12,5,0,8,0,0,16,8,0,12,0,3,20,22,4,16,4,0,37,27,3,35,0,3,65,16,8,18,0,0,38,6,3,18,3,0,34,3,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,130,20,141,16,9,310,24,0,21,3,0,43,0,0
101021012,3,0,4,0,0,13,0,0,0,0,0,0,21,0,28,5,0,51,37,13,127,6,11,187,13,3,18,4,3,35,25,0,22,3,0,54,27,3,51,3,3,96,46,6,57,4,6,115,7,0,18,0,0,31,0,3,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,18,181,30,340,33,23,609,9,0,8,0,0,15,0,0,0,0,0,0,4,0,3,0,0,15,12,0,21,0,0,30,23,0,15,0,0,44,29,3,54,7,3,93,33,16,75,3,4,123,52,3,46,3,5,114,24,3,50,8,7,87,10,3,32,0,3,56,8,0,19,0,4,30,6,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,17,206,40,329,27,31,637,4,0,3,0,0,8,4,0
101031013,21,5,15,0,0,39,0,0,0,0,0,0,8,3,18,0,0,30,6,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,38,7,48,0,0,93,14,0,13,0,0,24,0,0,3,0,0,0,5,0,7,0,0,17,5,0,10,0,0,22,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,30,3,42,0,0,86,7,0,5,0,0,22,0,0
101031014,13,0,10,0,0,16,4,0,3,0,0,7,34,0,17,0,6,57,38,8,43,0,10,94,10,6,11,0,0,25,9,0,15,3,0,23,4,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,108,15,111,9,10,246,10,0,5,0,0,12,3,0,0,0,0,4,13,0,0,0,0,16,33,0,13,0,3,49,20,0,22,3,0,46,17,5,33,0,0,63,11,0,22,3,0,34,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,0,0,3,117,9,102,10,12,252,5,0,6,3,0,15,0,0
101031015,8,0,10,0,0,27,0,0,0,0,0,0,4,0,3,0,0,16,3,0,4,0,0,12,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,30,0,27,3,0,59,12,0,13,0,0,26,0,0,0,0,0,0,5,0,0,0,0,7,5,0,6,0,0,14,4,0,4,0,0,4,3,0,4,0,0,7,0,3,3,0,0,8,4,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,37,13,37,0,3,83,15,3,9,0,0,26,0,0
101031016,5,0,19,0,3,28,0,0,0,0,0,0,17,0,8,0,0,32,15,0,20,3,0,41,7,0,7,0,0,14,15,0,10,0,0,30,15,0,12,0,0,27,7,0,12,0,0,15,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,86,7,90,7,6,203,9,0,15,5,0,26,0,0,0,0,0,3,3,0,8,0,0,12,19,0,13,0,0,24,9,0,12,0,0,27,15,0,17,0,0,35,19,5,21,0,0,44,13,0,16,3,0,37,0,0,3,0,0,3,3,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,8,0,7,0,0,11,105,7,120,6,5,243,17,3,6,0,0,29,0,0
