SA2_MAINCODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
309061246,0,0,0,0,0,0,4,4,10,7,10,15,16,59,74,69,148,82,40,12,8,10,51,598,38,18,10,17,73,104,283,222,619,511,427,277,277,171,328,3385
309061247,0,0,0,0,0,0,0,0,6,0,7,14,40,52,39,62,106,36,22,5,3,0,39,436,17,6,9,21,97,84,227,175,456,338,318,197,158,70,230,2398
309061248,0,0,0,0,0,0,3,4,11,5,23,26,73,122,124,142,232,111,70,20,14,3,98,1088,50,25,43,41,164,200,454,360,1012,809,720,412,306,192,539,5334
309061249,0,0,0,0,0,0,5,3,19,4,13,18,38,82,106,101,194,97,55,16,10,9,73,835,52,14,28,30,104,129,289,258,801,780,789,466,444,234,482,4909
309061250,0,0,0,0,0,0,3,4,7,0,8,6,14,24,24,18,50,36,22,16,8,3,45,272,35,12,15,13,48,58,122,92,305,272,271,204,220,193,239,2110
309071251,0,0,0,0,0,0,5,5,5,5,9,27,43,95,109,83,128,78,30,14,9,5,61,698,29,10,18,34,65,131,176,197,596,533,474,298,304,236,314,3409
309071252,0,0,0,0,0,0,3,3,8,10,14,14,19,65,53,67,148,78,49,17,25,11,71,632,47,28,28,27,94,127,322,247,716,624,569,441,510,349,505,4637
309071253,0,0,0,0,0,0,0,0,18,3,7,9,17,28,31,37,67,45,30,9,9,18,32,342,60,20,21,14,74,57,190,182,462,356,389,251,376,429,345,3227
309071254,0,0,0,0,0,0,0,0,0,0,3,4,8,17,18,18,14,13,3,3,3,0,18,125,12,5,5,7,30,29,93,64,158,143,131,105,75,62,121,1036
309071255,0,0,0,0,0,0,5,5,13,8,14,21,35,60,81,53,160,94,48,13,22,0,63,679,41,17,22,31,103,118,298,217,792,796,853,582,541,270,522,5203
309071256,0,0,0,0,0,0,3,3,16,9,10,21,41,76,79,65,174,91,42,25,4,4,61,725,41,20,19,33,92,123,276,227,699,709,635,441,349,237,430,4312
309071257,0,0,0,0,0,0,3,3,4,3,9,20,39,74,79,71,105,42,18,10,3,7,31,510,26,3,14,20,60,93,161,152,448,417,350,168,138,68,205,2327
309071258,0,0,0,0,0,0,10,11,25,11,20,32,74,179,122,155,290,150,82,32,22,0,120,1312,74,32,47,50,154,262,405,428,1325,1393,1199,822,714,409,846,8163
309081259,0,0,0,0,0,0,0,3,3,0,3,0,7,12,13,13,40,20,8,0,6,3,21,148,23,8,12,11,38,37,93,64,184,122,120,81,109,130,141,1171
309081260,0,0,0,0,0,0,0,0,13,6,10,6,26,42,52,61,87,45,29,14,4,3,27,407,26,8,13,19,44,53,141,124,316,319,240,157,102,50,153,1769
309081261,0,0,0,0,0,0,6,5,30,13,17,24,48,94,103,130,252,148,86,26,21,12,96,1104,78,35,45,49,144,171,483,410,1121,845,834,549,514,376,636,6276
309081262,0,0,0,0,0,0,3,3,27,7,26,26,45,68,91,94,216,110,58,24,18,4,81,896,64,20,40,29,106,124,282,263,739,554,509,303,272,147,393,3846
309091263,0,0,0,0,0,0,5,12,18,3,6,6,23,62,48,73,136,81,40,7,11,7,48,573,55,9,18,14,74,121,229,222,542,393,395,258,234,194,313,3069
309091264,0,0,0,0,0,0,0,4,5,0,9,7,22,22,41,39,61,41,20,6,0,0,46,321,30,8,12,11,53,44,122,125,281,237,202,128,123,72,167,1626
309091265,0,0,0,0,0,0,0,3,5,0,16,16,9,31,36,48,92,47,29,18,12,3,33,387,12,11,22,17,44,68,139,123,384,336,295,226,187,146,222,2225
309091540,4,0,0,0,0,0,3,8,20,12,31,26,47,95,77,82,133,57,32,9,5,0,70,696,66,24,46,45,128,174,310,273,670,352,293,174,123,66,300,3046
309091541,0,0,0,0,0,0,10,16,26,8,19,24,50,94,111,95,196,99,53,14,21,7,92,915,72,35,42,42,147,181,385,295,755,522,444,246,249,210,414,4025
309101267,0,0,0,0,0,0,0,3,24,0,9,7,11,31,35,47,89,44,21,9,10,3,42,374,60,11,24,11,58,61,129,119,347,280,246,188,227,283,266,2314
