SA2_MAINCODE_2016,C16_CFNC_1F1P_1000_1499,C16_CFNC_1F1P_1500_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000m,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_T,C16_CFNC_1E1A_N,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_299,C16_CFNC_1E1A_300_399,C16_CFNC_1E1A_400_499,C16_CFNC_1E1A_500_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_999,C16_CFNC_1E1A_1000_1499,C16_CFNC_1E1A_1500_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000m,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_T,C16_CFNC_1F1NW_N,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_299,C16_CFNC_1F1NW_300_399,C16_CFNC_1F1NW_400_499,C16_CFNC_1F1NW_500_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_999,C16_CFNC_1F1NW_1000_1499,C16_CFNC_1F1NW_1500_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000m,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_N,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_299,C16_CFNC_1P1NW_300_399,C16_CFNC_1P1NW_400_499,C16_CFNC_1P1NW_500_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_999,C16_CFNC_1P1NW_1000_1499,C16_CFNC_1P1NW_1500_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000_mr,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_N,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_299,C16_CFNC_1A1NW_300_399,C16_CFNC_1A1NW_400_499,C16_CFNC_1A1NW_500_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_999,C16_CFNC_1A1NW_1000_1499,C16_CFNC_1A1NW_1500_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000m,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_T,C16_CFNC_BA_N,C16_CFNC_BA_1_149,C16_CFNC_BA_150_299,C16_CFNC_BA_300_399,C16_CFNC_BA_400_499,C16_CFNC_BA_500_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_999,C16_CFNC_BA_1000_1499,C16_CFNC_BA_1500_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000m,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_N,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_299,C16_CFNC_BNW_300_399,C16_CFNC_BNW_400_499,C16_CFNC_BNW_500_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_999,C16_CFNC_BNW_1000_1499,C16_CFNC_BNW_1500_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000m,C16_CFNC_BNW_Ns,C16_CFNC_BNW_T,C16_CFNC_LFns_N,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_299,C16_CFNC_LFns_300_399,C16_CFNC_LFns_400_499,C16_CFNC_LFns_500_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_999,C16_CFNC_LFns_1000_1499,C16_CFNC_LFns_1500_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000mo,C16_CFNC_LFns_Ns,C16_CFNC_LFns_T,C16_CFNC_T_N,C16_CFNC_T_1_149,C16_CFNC_T_150_299,C16_CFNC_T_300_399,C16_CFNC_T_400_499,C16_CFNC_T_500_649,C16_CFNC_T_650_799,C16_CFNC_T_800_999,C16_CFNC_T_1000_1499,C16_CFNC_T_1500_1999,C16_CFNC_T_2000_2499,C16_CFNC_T_2500_2999,C16_CFNC_T_3000_3999,C16_CFNC_T_4000m,C16_CFNC_T_Ns,C16_CFNC_T_T,C16_CF_BFT_N,C16_CF_BFT_1_149,C16_CF_BFT_150_299,C16_CF_BFT_300_399,C16_CF_BFT_400_499,C16_CF_BFT_500_649,C16_CF_BFT_650_799,C16_CF_BFT_800_999,C16_CF_BFT_1000_1499,C16_CF_BFT_1500_1999,C16_CF_BFT_2000_2499,C16_CF_BFT_2500_2999,C16_CF_BFT_3000_3999,C16_CF_BFT_4000_mr,C16_CF_BFT_Ns,C16_CF_BFT_Tot,C16_CF_BPT_N,C16_CF_BPT_1_149,C16_CF_BPT_150_299,C16_CF_BPT_300_399,C16_CF_BPT_400_499,C16_CF_BPT_500_649,C16_CF_BPT_650_799,C16_CF_BPT_800_999,C16_CF_BPT_1000_1499,C16_CF_BPT_1500_1999,C16_CF_BPT_2000_2499,C16_CF_BPT_2500_2999,C16_CF_BPT_3000_3999,C16_CF_BPT_4000_mr,C16_CF_BPT_Ns,C16_CF_BPT_Tot,C16_CF_1F1P_N,C16_CF_1F1P_1_149,C16_CF_1F1P_150_299,C16_CF_1F1P_300_399,C16_CF_1F1P_400_499,C16_CF_1F1P_500_649,C16_CF_1F1P_650_799,C16_CF_1F1P_800_999,C16_CF_1F1P_1000_1499,C16_CF_1F1P_1500_1999,C16_CF_1F1P_2000_2499,C16_CF_1F1P_2500_2999,C16_CF_1F1P_3000_3999,C16_CF_1F1P_4000mo,C16_CF_1F1P_Ns,C16_CF_1F1P_T,C16_CF_1E1A_N,C16_CF_1E1A_1_149,C16_CF_1E1A_150_299,C16_CF_1E1A_300_399,C16_CF_1E1A_400_499,C16_CF_1E1A_500_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_999,C16_CF_1E1A_1000_1499,C16_CF_1E1A_1500_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000_mr,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot
101021007,14,9,8,3,7,8,3,72,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,3,9,5,0,7,0,0,36,0,0,0,0,3,3,3,9,8,5,0,0,0,0,4,41,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,23,7,42,16,38,13,9,3,0,0,8,167,0,0,0,0,0,0,0,0,4,0,0,0,0,0,44,49,9,3,4,3,39,17,67,41,90,45,58,23,26,27,60,511,0,0,0,0,0,0,3,0,7,13,18,16,14,8,13,91,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,20,0,0,0,0,0,0,0,3,12,18,10,16,10,10,5,89,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,17
101021008,27,26,19,9,10,9,0,106,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,9,0,0,0,0,0,0,7,7,22,12,9,6,9,0,0,76,0,0,0,0,0,0,4,3,8,8,6,0,3,0,0,39,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,26,7,56,25,39,10,10,5,0,0,9,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,3,3,3,3,27,10,73,44,116,94,119,66,75,42,52,723,0,0,0,0,0,0,0,0,9,18,45,56,115,85,19,349,0,0,0,0,0,0,0,0,4,5,7,6,5,3,3,32,0,0,0,0,0,0,0,0,20,46,44,39,53,29,13,251,0,0,0,0,0,0,0,0,3,6,5,20,9,6,4,52
101021009,44,42,23,17,10,9,0,156,0,0,0,0,0,0,0,0,6,3,3,5,10,3,3,34,0,0,0,0,0,0,10,17,37,27,9,7,7,0,6,112,0,0,0,3,0,4,4,6,16,5,4,0,0,0,0,51,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,14,0,3,0,24,9,77,36,49,15,12,11,0,5,18,267,0,0,0,0,0,0,3,0,5,0,0,0,0,0,66,74,14,0,4,3,32,15,98,67,186,155,139,104,93,60,99,1063,0,0,0,0,0,0,0,0,3,28,49,39,63,41,14,237,0,0,0,0,0,0,3,3,4,4,3,3,3,0,3,33,0,0,0,0,0,0,3,0,34,46,37,46,48,25,15,261,0,0,0,0,0,0,0,0,3,4,17,15,22,5,3,67
101021010,21,11,12,10,3,3,0,62,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,10,0,0,0,0,0,3,4,4,15,11,6,0,7,4,0,49,0,0,3,0,0,3,6,8,8,0,4,3,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,19,12,23,10,5,0,4,3,3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,3,0,3,0,8,10,31,25,82,63,80,39,52,44,30,483,0,0,0,0,0,0,0,0,4,5,24,23,36,40,13,145,0,0,0,0,0,0,0,4,3,5,0,0,3,3,0,15,0,0,0,0,0,0,0,3,16,19,19,20,21,20,7,127,0,0,0,0,0,0,0,0,6,0,8,10,4,9,0,38
101021011,28,39,42,27,41,38,7,227,0,0,0,0,0,0,0,0,7,3,12,12,9,14,0,57,0,0,0,0,0,0,0,8,22,42,37,21,40,37,7,203,0,4,3,0,0,5,4,9,22,19,17,10,8,16,3,120,0,0,0,0,0,0,3,0,4,3,7,0,3,4,4,26,0,0,0,0,0,0,0,0,0,3,4,0,3,3,0,18,14,3,8,5,30,14,57,41,116,67,46,15,13,11,12,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,112,18,8,13,8,32,22,80,71,239,222,239,173,280,250,147,1805,0,0,0,0,0,0,0,0,4,34,75,98,210,345,83,851,0,0,0,0,0,0,0,0,8,5,7,16,13,7,6,66,0,0,0,0,0,0,0,4,32,69,102,118,161,145,55,689,0,0,0,0,0,0,0,0,5,11,16,39,52,34,14,168
101021012,11,16,25,18,25,23,0,127,0,0,0,0,0,0,0,0,4,8,6,4,7,4,0,36,0,0,0,0,0,0,0,10,9,16,28,16,24,12,0,109,0,0,0,0,0,3,3,3,4,7,10,3,0,3,0,42,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,12,6,5,0,3,20,9,41,21,62,32,14,11,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,60,6,5,5,3,21,12,49,42,111,98,141,113,167,149,68,1000,0,0,0,0,0,0,0,0,7,27,54,90,213,328,51,765,0,0,0,0,0,0,0,5,3,6,3,4,9,6,3,38,0,0,0,0,0,0,0,3,14,50,77,96,137,156,35,578,0,0,0,0,0,0,0,0,0,3,5,24,30,26,10,106
101031013,11,12,3,3,3,0,0,35,0,0,0,0,0,0,0,0,7,3,0,0,3,0,0,9,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,22,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,0,16,3,40,8,13,0,3,0,5,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,3,6,3,3,16,5,46,16,69,32,26,24,18,4,26,291,0,0,0,0,0,0,0,0,9,3,14,7,7,6,12,57,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,18,23,14,11,8,3,8,83,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,14
101031014,18,15,23,10,7,0,3,97,0,0,0,0,0,0,0,0,6,3,4,3,4,0,0,18,0,0,0,0,0,0,9,4,6,14,5,7,0,3,3,55,0,0,0,0,0,3,5,6,16,10,0,0,0,0,0,51,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,3,4,33,11,99,29,39,12,9,4,8,3,13,274,0,0,0,0,0,0,3,0,0,0,0,0,0,0,57,68,3,6,9,4,34,19,125,65,137,94,81,49,30,23,81,759,0,0,0,0,0,0,0,0,9,27,33,18,24,16,26,152,0,0,0,0,0,0,0,7,11,0,0,0,0,0,3,28,0,0,0,0,0,0,0,3,18,50,33,19,19,14,13,167,0,0,0,0,0,0,0,0,5,3,3,5,8,3,3,32
101031015,19,13,11,3,0,0,0,70,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,11,0,0,0,0,3,0,6,3,8,3,6,4,0,3,3,38,0,0,0,0,0,3,6,3,5,0,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,3,15,3,42,23,36,16,0,0,0,0,8,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,3,7,0,4,31,15,61,48,95,50,43,30,21,23,41,478,0,0,0,0,0,0,0,0,14,9,12,19,24,17,11,105,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,10,0,0,0,0,0,0,3,5,9,34,15,10,14,5,9,103,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,15
101031016,36,17,19,12,3,5,4,103,0,0,0,0,0,0,0,3,3,7,5,0,0,0,0,19,0,0,0,0,0,5,3,4,11,3,6,3,3,6,0,42,0,0,0,0,0,3,8,6,9,3,0,0,0,0,4,39,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,8,6,46,23,37,12,3,3,0,3,3,158,0,0,0,0,0,0,3,0,0,0,0,0,0,0,55,60,4,3,4,0,20,13,71,47,152,103,87,57,35,26,73,697,0,0,0,0,0,0,0,4,16,25,74,24,49,24,28,243,0,0,0,0,0,0,0,3,8,7,5,0,4,0,5,42,0,0,0,0,0,0,0,0,35,48,47,29,24,11,17,209,0,0,0,0,0,0,0,3,3,6,3,4,7,6,9,41
