SA2_MAINCODE_2016,C06_N_inc_R0_74,C06_N_inc_R75_99,C06_Ne_Ni_inc_R100_149,C06_Ne_Ni_inc_R150_199,C06_Ne_Ni_inc_R200_224,C06_Ne_Ni_inc_R225_274,C06_Ne_Ni_inc_R275_349,C06_Ne_Ni_inc_R350_449,C06_Ne_Ni_inc_R450_549,C06_Ne_Ni_inc_R550_649,C06_Ne_Ni_inc_R650m,C06_Ne_Ni_inc_R_NS,C06_N_inc_R_Tot,C06_1_149_R0_74,C06_1_149_R75_99,C06_1_149_R100_149,C06_1_149_R150_199,C06_1_149_R200_224,C06_1_149_R225_274,C06_1_149_R275_349,C06_1_149_R350_449,C06_1_149_R450_549,C06_1_149_R550_649,C06_1_149_R650m,C06_1_149_R_NS,C06_1_149_R_Tot,C06_150_299_R0_74,C06_150_299_R75_99,C06_150_299_R100_149,C06_150_299_R150_199,C06_150_299_R200_224,C06_150_299_R225_274,C06_150_299_R275_349,C06_150_299_R350_449,C06_150_299_R450_549,C06_150_299_R550_649,C06_150_299_R650m,C06_150_299_R_NS,C06_150_299_R_Tot,C06_300_399_R0_74,C06_300_399_R75_99,C06_300_399_R100_149,C06_300_399_R150_199,C06_300_399_R200_224,C06_300_399_R225_274,C06_300_399_R275_349,C06_300_399_R350_449,C06_300_399_R450_549,C06_300_399_R550_649,C06_300_399_R650m,C06_300_399_R_NS,C06_300_399_R_Tot,C06_400_499_R0_74,C06_400_499_R75_99,C06_400_499_R100_149,C06_400_499_R150_199,C06_400_499_R200_224,C06_400_499_R225_274,C06_400_499_R275_349,C06_400_499_R350_449,C06_400_499_R450_549,C06_400_499_R550_649,C06_400_499_R650m,C06_400_499_R_NS,C06_400_499_R_Tot,C06_500_649_R0_74,C06_500_649_R75_99,C06_500_649_R100_149,C06_500_649_R150_199,C06_500_649_R200_224,C06_500_649_R225_274,C06_500_649_R275_349,C06_500_649_R350_449,C06_500_649_R450_549,C06_500_649_R550_649,C06_500_649_R650m,C06_500_649_R_NS,C06_500_649_R_Tot,C06_650_799_R0_74,C06_650_799_R75_99,C06_650_799_R100_149,C06_650_799_R150_199,C06_650_799_R200_224,C06_650_799_R225_274,C06_650_799_R275_349,C06_650_799_R350_449,C06_650_799_R450_549,C06_650_799_R550_649,C06_650_799_R650m,C06_650_799_R_NS,C06_650_799_R_Tot,C06_800_999_R0_74,C06_800_999_R75_99,C06_800_999_R100_149,C06_800_999_R150_199,C06_800_999_R200_224,C06_800_999_R225_274,C06_800_999_R275_349,C06_800_999_R350_449,C06_800_999_R450_549,C06_800_999_R550_649,C06_800_999_R650m,C06_800_999_R_NS,C06_800_999_R_Tot,C06_1000_1249_R0_74,C06_1000_1249_R75_99,C06_1000_1249_R100_149,C06_1000_1249_R150_199,C06_1000_1249_R200_224,C06_1000_1249_R225_274,C06_1000_1249_R275_349,C06_1000_1249_R350_449,C06_1000_1249_R450_549,C06_1000_1249_R550_649,C06_1000_1249_R650m,C06_1000_1249_R_NS,C06_1000_1249_R_Tot,C06_1250_1499_R0_74,C06_1250_1499_R75_99,C06_1250_1499_R100_149,C06_1250_1499_R150_199,C06_1250_1499_R200_224,C06_1250_1499_R225_274,C06_1250_1499_R275_349,C06_1250_1499_R350_449,C06_1250_1499_R450_549,C06_1250_1499_R550_649,C06_1250_1499_R650m,C06_1250_1499_R_NS,C06_1250_1499_R_Tot,C06_1500_1999_R0_74,C06_1500_1999_R75_99,C06_1500_1999_R100_149,C06_1500_1999_R150_199,C06_1500_1999_R200_224,C06_1500_1999_R225_274,C06_1500_1999_R275_349,C06_1500_1999_R350_449,C06_1500_1999_R450_549,C06_1500_1999_R550_649,C06_1500_1999_R650m,C06_1500_1999_R_NS,C06_1500_1999_R_Tot,C06_2000_2499_R0_74,C06_2000_2499_R75_99,C06_2000_2499_R100_149,C06_2000_2499_R150_199,C06_2000_2499_R200_224,C06_2000_2499_R225_274,C06_2000_2499_R275_349,C06_2000_2499_R350_449,C06_2000_2499_R450_549,C06_2000_2499_R550_649,C06_2000_2499_R650m,C06_2000_2499_R_NS,C06_2000_2499_R_Tot,C06_2500_2999_R0_74,C06_2500_2999_R75_99,C06_2500_2999_R100_149,C06_2500_2999_R150_199,C06_2500_2999_R200_224,C06_2500_2999_R225_274,C06_2500_2999_R275_349,C06_2500_2999_R350_449,C06_2500_2999_R450_549,C06_2500_2999_R550_649,C06_2500_2999_R650m,C06_2500_2999_R_NS,C06_2500_2999_R_Tot,C06_3000_3999_R0_74,C06_3000_3999_R75_99,C06_3000_3999_R100_149,C06_3000_3999_R150_199,C06_3000_3999_R200_224,C06_3000_3999_R225_274,C06_3000_3999_R275_349,C06_3000_3999_R350_449,C06_3000_3999_R450_549,C06_3000_3999_R550_649,C06_3000_3999_R650m,C06_3000_3999_R_NS,C06_3000_3999_R_Tot,C06_4000m_R0_74,C06_4000m_R75_99,C06_4000m_R100_149,C06_4000m_R150_199,C06_4000m_R200_224,C06_4000m_R225_274,C06_4000m_R275_349,C06_4000m_R350_449,C06_4000m_R450_549,C06_4000m_R550_649,C06_4000m_R650m,C06_4000m_R_NS,C06_4000m_R_Tot,C06_PI_S_R0_74,C06_PI_S_R75_99,C06_PI_S_R100_149,C06_PI_S_R150_199,C06_PI_S_R200_224
127021510,0,0,0,0,0,0,0,0,0,0,0,3,11,5,0,4,0,0,0,0,0,0,0,0,0,7,20,6,8,8,0,12,6,0,0,0,0,5,55,3,10,4,3,9,12,5,0,0,0,0,0,46,4,10,19,6,8,24,9,0,0,0,0,0,75,6,0,17,15,9,40,9,0,0,0,0,0,102,0,0,10,4,11,23,7,7,0,0,0,0,68,0,0,3,3,14,40,16,3,0,0,0,0,76,6,0,3,6,14,54,21,8,0,0,3,0,115,11,0,0,0,4,30,17,0,0,0,0,0,71,4,0,3,0,3,45,26,3,0,0,0,0,91,0,0,0,3,4,15,15,3,0,0,0,0,44,3,0,3,0,3,3,3,8,0,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,3,4,9
127021511,3,0,25,46,3,0,0,0,0,0,4,4,85,15,3,23,40,0,3,0,0,0,0,0,8,96,89,7,78,99,20,10,0,4,0,0,4,8,328,23,11,76,104,23,10,0,0,0,0,7,9,254,12,12,102,98,11,7,3,0,0,0,0,7,237,25,5,150,197,29,24,7,0,4,0,0,19,453,3,0,77,96,16,18,0,0,0,0,3,0,216,6,0,57,77,18,5,3,0,0,0,0,3,178,3,3,53,101,42,13,0,0,0,0,0,8,225,3,0,19,43,18,11,3,0,0,0,0,5,103,0,0,19,35,27,14,4,0,0,0,0,3,96,0,3,14,15,4,8,0,0,0,0,0,3,42,4,0,3,10,6,0,0,0,0,0,0,0,19,0,0,0,4,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,50,88,35
127021512,8,0,3,5,9,0,0,0,0,0,0,0,30,12,0,6,3,3,0,0,0,0,0,0,9,37,132,21,14,29,8,5,0,0,0,0,4,3,226,30,20,19,22,18,17,3,0,0,0,3,7,132,4,8,59,21,3,3,3,0,0,0,0,0,104,11,13,35,45,45,31,6,3,0,0,0,9,194,3,0,10,26,33,29,5,0,0,0,0,0,106,4,0,17,32,26,24,7,0,0,0,0,4,111,4,0,10,32,35,25,4,0,0,0,0,4,118,3,0,5,8,12,16,5,0,0,0,0,3,48,0,0,4,20,16,19,3,0,0,0,0,3,64,3,0,0,3,8,11,8,0,0,0,0,0,36,0,0,0,0,7,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,21,21,17
127021513,6,3,5,9,6,7,0,0,0,0,0,4,33,15,5,18,13,3,3,0,0,0,0,0,3,57,82,21,30,40,13,12,3,0,0,0,6,11,223,36,16,38,39,28,9,3,0,0,0,0,11,179,7,16,67,22,22,15,3,0,0,0,0,10,164,12,12,51,110,45,28,11,0,0,0,3,13,289,8,3,15,73,27,17,7,0,0,0,0,3,152,4,4,8,47,21,23,5,0,0,0,0,6,120,7,0,22,63,38,34,10,0,0,0,0,9,182,3,0,8,25,15,13,3,0,0,0,0,0,68,11,0,6,27,17,16,7,0,0,0,0,3,90,0,0,0,7,12,9,3,0,0,0,0,0,30,0,0,3,3,3,3,4,3,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,4,3,10,15,44,18
127021514,0,0,4,0,0,4,0,0,0,0,0,0,13,3,3,3,0,0,7,0,0,0,0,0,0,17,4,3,0,0,0,5,0,0,0,0,0,3,25,3,3,9,0,4,9,0,0,0,0,0,0,30,3,3,9,4,0,10,0,0,0,0,0,0,33,0,0,9,4,11,24,9,7,0,0,0,3,69,3,0,3,3,7,20,8,0,0,0,0,0,51,0,3,3,7,9,22,7,0,0,0,0,0,56,0,3,3,3,3,25,7,0,0,0,0,0,52,0,0,0,0,3,8,3,0,0,0,0,0,23,0,0,3,0,8,16,12,0,0,0,0,0,31,0,0,0,0,6,9,5,0,0,0,0,0,29,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,4,3,0
127021515,0,3,4,22,8,7,6,0,0,0,0,9,59,9,0,10,28,8,6,0,0,0,0,3,0,70,73,14,13,88,19,23,3,0,0,0,0,6,242,22,18,21,95,15,20,5,0,0,0,0,5,194,5,7,38,121,45,55,11,0,0,0,0,0,290,15,8,30,150,45,84,18,3,0,0,3,6,357,3,0,16,75,25,44,11,0,0,0,3,0,185,4,0,8,65,28,57,12,0,0,0,0,4,187,0,0,14,86,43,49,16,0,0,0,0,4,215,0,0,0,35,20,30,11,0,0,0,0,0,105,4,0,3,28,23,23,19,0,0,0,0,3,107,0,0,0,14,4,12,9,0,0,0,0,0,34,0,0,0,0,5,14,3,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,5,3,9,59,32
127021516,5,0,0,3,3,4,3,0,0,0,0,4,17,0,3,5,3,5,0,0,0,0,0,0,0,20,55,7,6,11,4,18,9,0,0,0,4,6,126,22,12,15,22,23,18,3,0,0,0,0,3,104,8,9,38,20,15,32,0,0,0,0,0,7,121,8,7,16,36,33,54,29,0,0,0,4,8,186,0,0,10,16,28,38,16,0,0,0,3,0,104,5,3,6,15,27,42,13,0,0,0,0,0,114,11,3,6,21,30,73,21,0,0,0,3,3,173,4,0,3,11,11,26,15,0,0,0,0,0,61,0,0,5,5,15,41,18,0,0,0,0,3,100,0,0,0,0,8,11,19,0,0,0,0,0,37,0,0,0,0,3,3,0,0,0,0,0,0,13,0,0,0,0,0,3,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,12,15,24
127021517,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,12,20,5,0,0,0,3,0,0,0,0,0,0,40,8,11,9,0,0,10,3,0,0,0,0,0,37,0,3,12,0,8,12,0,0,0,0,0,0,40,4,3,5,13,3,17,5,3,0,0,0,0,52,0,3,3,3,3,14,7,0,0,0,0,0,35,0,3,7,0,3,28,7,0,0,0,0,0,50,3,0,8,7,13,17,4,4,0,0,0,3,53,0,0,4,0,3,15,4,0,0,0,0,0,34,3,0,0,5,9,8,9,4,3,0,0,0,38,0,0,0,0,0,8,3,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5
127021518,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,12,3,7,0,3,0,0,0,3,35,3,0,3,5,0,0,0,0,0,0,0,0,17,0,0,0,6,0,0,0,0,0,0,0,0,10,3,0,0,3,4,3,3,0,0,0,0,0,21,0,0,0,0,4,4,4,0,0,0,0,0,16,5,0,0,5,3,5,0,3,0,0,0,0,23,0,0,3,0,0,3,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
127021519,0,0,0,4,5,6,0,0,0,0,0,4,25,8,0,8,5,0,6,0,0,0,0,0,0,40,74,11,11,10,10,11,0,0,0,0,7,10,142,27,5,13,21,12,25,4,0,0,0,3,4,112,7,11,36,8,8,18,0,0,0,0,0,6,92,6,0,32,38,26,63,11,0,0,0,0,8,189,5,0,10,29,33,38,12,0,0,0,0,0,124,6,0,9,24,34,40,9,0,0,0,0,0,116,6,3,4,20,47,69,19,4,0,0,4,3,172,8,0,0,11,13,29,13,0,0,0,0,3,80,0,0,0,10,16,33,17,0,0,0,0,0,82,3,0,4,10,6,28,7,0,0,0,0,3,57,3,0,0,0,3,9,3,4,0,0,0,3,24,0,0,0,0,0,3,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,9,10,22
