SA2_MAINCODE_2016,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_T,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPFH_2,C11_SDRTHT_0b_NPFH_3,C11_SDRTHT_0b_NPFH_4,C11_SDRTHT_0b_NPFH_5,C11_SDRTHT_0b_NPFH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPFH_2,C11_FUA_0b_NPFH_3,C11_FUA_0b_NPFH_4,C11_FUA_0b_NPFH_5,C11_FUA_0b_NPFH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPFH_2,C11_FUA_1b_NPFH_3,C11_FUA_1b_NPFH_4,C11_FUA_1b_NPFH_5,C11_FUA_1b_NPFH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPFH_2,C11_FUA_2b_NPFH_3,C11_FUA_2b_NPFH_4,C11_FUA_2b_NPFH_5,C11_FUA_2b_NPFH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPFH_2,C11_FUA_3b_NPFH_3,C11_FUA_3b_NPFH_4,C11_FUA_3b_NPFH_5,C11_FUA_3b_NPFH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPFH_2,C11_FUA_4mb_NPFH_3,C11_FUA_4mb_NPFH_4,C11_FUA_4mb_NPFH_5,C11_FUA_4mb_NPFH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPFH_2,C11_FUA_NB_NS_NPFH_3,C11_FUA_NB_NS_NPFH_4,C11_FUA_NB_NS_NPFH_5,C11_FUA_NB_NS_NPFH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPFH_2,C11_FUA_Tot_NPFH_3,C11_FUA_Tot_NPFH_4,C11_FUA_Tot_NPFH_5,C11_FUA_Tot_NPFH_6_mor,C11_FUA_T_T,C11_OD_0b_NPFH_2,C11_OD_0b_NPFH_3,C11_OD_0b_NPFH_4,C11_OD_0b_NPFH_5,C11_OD_0b_NPFH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_T_T,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_T,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_T_T,C16_SH_0b_NPFH_2,C16_SH_0b_NPFH_3,C16_SH_0b_NPFH_4,C16_SH_0b_NPFH_5,C16_SH_0b_NPFH_6_mor,C16_SH_0bTotal,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_T,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5
101021007,64,21,3,399,110,51,63,33,21,282,3,3,0,0,0,9,475,159,136,58,25,857,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,14,0,0,0,0,0,0,491,164,141,61,25,888,4,0,0,3,0,8,29,6,0,0,0,32,122,20,19,3,0,165,252,85,66,18,10,428,116,60,59,38,25,297,10,4,3,0,0,15,531,170,147,66
101021008,248,64,18,1025,224,203,257,149,73,905,15,3,7,3,0,32,724,485,514,222,91,2040,0,0,0,0,0,0,0,0,0,0,0,0,52,22,5,0,0,78,55,36,14,5,3,110,6,0,8,0,0,13,3,0,0,0,0,3,113,57,24,7,3,205,0,0,0,0,0,0,3,0,0,0,0,5,18,7,0,0,0,21,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,10,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,864,546,542,234,93,2282,0,0,0,0,0,0,0,3,0,0,0,0,30,12,3,0,0,46,377,221,216,75,12,905,267,191,229,131,68,883,14,8,7,0,0,34,695,433,453,204
101021009,150,58,15,795,170,129,121,94,36,551,6,3,0,0,0,15,674,368,298,152,55,1538,0,0,0,0,0,0,7,3,0,0,0,6,118,53,13,4,3,188,75,32,33,4,3,148,3,0,4,3,0,11,3,0,0,3,0,4,205,90,48,16,6,366,4,0,0,0,0,4,65,12,0,0,0,81,247,84,44,12,4,382,18,14,4,3,3,39,3,0,0,0,0,3,3,3,3,0,0,14,332,107,54,11,8,514,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,12,3,0,0,0,0,9,1230,567,397,176,68,2437,0,0,0,0,0,0,4,4,0,0,0,10,99,22,8,5,0,141,343,184,152,41,10,728,171,111,121,88,46,534,14,7,0,3,0,17,627,325,284,134
101021010,45,10,3,259,121,78,96,40,32,364,0,3,0,0,0,3,287,144,143,50,35,665,0,0,0,0,0,0,3,0,0,0,0,3,82,30,9,0,0,126,43,24,18,9,3,98,3,4,0,0,0,10,0,0,0,0,0,0,133,57,36,7,4,235,0,0,0,0,0,0,40,12,3,0,0,53,102,39,29,9,0,177,9,3,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,154,55,29,9,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,577,255,207,70,40,1150,0,0,0,0,0,0,3,0,0,0,0,7,21,0,4,0,0,25,112,56,48,10,0,226,116,78,106,41,26,371,7,3,0,0,0,10,258,138,155,57
101021011,236,55,28,1069,745,426,642,354,149,2312,4,4,3,0,0,11,1443,709,918,420,181,3666,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,8,4,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,11,20,3,3,3,0,29,22,5,0,0,0,30,0,0,0,0,0,6,0,0,0,0,0,0,54,14,8,7,0,77,0,0,0,0,0,3,1503,732,928,420,184,3776,4,3,0,0,0,8,31,6,4,6,0,46,141,41,38,13,0,226,606,267,189,54,18,1134,942,563,834,415,185,2939,18,10,3,3,3,42,1746,882,1069,493
101021012,172,49,9,790,533,427,771,364,124,2218,7,3,0,0,0,8,906,645,946,414,134,3046,0,0,0,0,0,0,0,0,0,0,0,0,83,11,7,0,0,103,108,52,18,3,0,184,9,13,11,0,3,37,0,0,0,0,0,0,196,79,38,6,3,322,0,0,0,0,0,0,3,3,0,0,0,3,11,3,0,0,0,19,11,6,7,0,0,20,0,4,3,0,0,3,0,0,0,0,0,0,28,14,12,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,1136,734,998,422,138,3422,0,0,0,0,0,0,3,0,0,0,0,4,13,3,0,0,0,16,332,193,143,52,9,734,551,420,754,362,118,2203,12,4,3,0,0,21,910,623,901,415
101031013,67,19,3,341,87,38,38,30,17,197,6,0,3,0,0,10,357,102,112,46,23,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,362,104,112,50,23,653,0,0,0,0,0,0,3,0,0,0,0,3,51,11,4,0,3,71,178,62,44,24,3,318,85,39,37,14,15,197,3,0,0,0,0,3,325,114,90,42
101031014,135,65,10,861,254,105,127,80,43,609,10,0,0,0,0,13,876,303,271,146,54,1652,0,0,0,0,0,0,3,0,0,0,0,3,18,3,3,0,0,25,3,3,5,0,0,15,0,4,0,0,0,7,0,0,0,0,0,0,30,9,12,0,0,49,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,3,3,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,16,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,5,927,316,279,144,54,1721,0,0,0,0,0,0,5,3,3,0,0,14,130,22,3,0,0,152,457,190,127,39,14,822,253,120,108,66,30,579,25,4,4,0,0,28,866,329,244,109
101031015,65,19,5,342,166,57,79,44,25,370,3,0,0,0,0,3,448,138,151,59,30,831,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,4,0,0,0,9,12,0,3,3,3,18,0,0,0,0,0,0,22,4,12,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,476,140,163,62,32,882,0,0,0,0,0,0,20,0,0,0,0,20,57,6,3,4,0,70,211,63,47,13,4,340,185,63,88,52,22,409,3,0,3,0,0,7,471,131,145,70
101031016,114,33,14,516,171,80,160,55,23,485,5,0,3,0,0,11,497,221,295,89,31,1133,0,0,0,0,0,0,0,3,0,0,0,3,13,8,5,0,0,32,28,9,11,9,0,57,14,3,6,0,0,26,0,0,0,0,0,0,60,27,25,7,0,116,0,3,0,0,0,3,3,0,0,0,0,6,18,12,11,0,0,38,25,6,7,0,0,36,12,4,4,3,0,26,0,0,0,0,0,0,59,24,16,3,0,103,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,12,3,4,0,0,18,7,5,5,0,0,20,632,288,339,101,37,1396,3,0,0,0,0,6,20,3,0,0,0,21,82,21,13,0,0,115,276,116,130,35,8,570,207,100,153,79,23,565,11,4,6,0,0,26,599,250,307,114
