SA2_MAINCODE_2016,C06_N_in_CF_1C,C06_N_in_CF_2C,C06_N_in_CF_3C,C06_N_in_Cou_fa_4mor_c,C06_N_in_CF_T,C06_1_149_CF_1C,C06_1_149_CF_2C,C06_1_149_CF_3C,C06_1_149_CF_4mC,C06_1_149_CF_T,C06_150_299_CF_1C,C06_150_299_CF_2C,C06_150_299_CF_3C,C06_150_299_CF_4mC,C06_150_299_CF_T,C06_300_399_CF_1C,C06_300_399_CF_2C,C06_300_399_CF_3C,C06_300_399_CF_4mC,C06_300_399_CF_T,C06_400_499_CF_1C,C06_400_499_CF_2C,C06_400_499_CF_3C,C06_400_499_CF_4mC,C06_400_499_CF_T,C06_500_649_CF_1C,C06_500_649_CF_2C,C06_500_649_CF_3C,C06_500_649_CF_4mC,C06_500_649_CF_T,C06_650_799_CF_1C,C06_650_799_CF_2C,C06_650_799_CF_3C,C06_650_799_CF_4mC,C06_650_799_CF_T,C06_800_999_CF_1C,C06_800_999_CF_2C,C06_800_999_CF_3C,C06_800_999_CF_4mC,C06_800_999_CF_T,C06_1000_1499_CF_1C,C06_1000_1499_CF_2C,C06_1000_1499_CF_3C,C06_1000_1499_CF_4mC,C06_1000_1499_CF_T,C06_1500_1999_CF_1C,C06_1500_1999_CF_2C,C06_1500_1999_CF_3C,C06_1500_1999_CF_4mC,C06_1500_1999_CF_T,C06_2000_2499_CF_1C,C06_2000_2499_CF_2C,C06_2000_2499_CF_3C,C06_2000_2499_CF_4mC,C06_2000_2499_CF_T,C06_2500_2999_CF_1C,C06_2500_2999_CF_2C,C06_2500_2999_CF_3C,C06_2500_2999_CF_4mC,C06_2500_2999_CF_T,C06_3000_3999_CF_1C,C06_3000_3999_CF_2C,C06_3000_3999_CF_3C,C06_3000_3999_CF_4mC,C06_3000_3999_CF_T,C06_4000m_CF_1C,C06_4000m_CF_2C,C06_4000m_CF_3C,C06_4000m_Cou_fa_4mo_ch,C06_4000m_CF_T,C06_Par_inc_st_CF_1C,C06_Par_inc_st_CF_2C,C06_Par_inc_st_CF_3C,C06_Par_inc_st_CF_4mC,C06_Par_inc_st_CF_T,C06_All_inc_ns_CF_1Ch,C06_All_inc_ns_CF_2C,C06_All_inc_ns_CF_3C,C06_All_inc_ns_CF_4mC,C06_All_inc_ns_CF_T,C06_Tot_CF_1C,C06_Tot_CF_2C,C06_Tot_CF_3C,C06_Tot_CF_4mC,C06_Tot_CF_T,C11_N_in_CF_1C,C11_N_in_CF_2C,C11_N_in_CF_3C,C11_N_in_Cou_fa_4mor_c,C11_N_in_CF_T,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_CF_T,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_CF_T,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_CF_T,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_CF_T,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_CF_T,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_CF_T,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_CF_T,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_CF_T,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_CF_T,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_CF_T,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_CF_T,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_CF_T,C11_4000m_CF_1C,C11_4000m_CF_2C,C11_4000m_CF_3C,C11_4000m_Cou_fa_4mo_ch,C11_4000m_CF_T,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_CF_T,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T,C16_N_in_CF_1C,C16_N_in_CF_2C,C16_N_in_CF_3C,C16_N_in_Cou_fa_4mor_c,C16_N_in_CF_T,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_CF_T,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_CF_T,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_CF_T,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_CF_T,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_CF_T
101021007,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,9,3,0,0,0,4,6,4,3,0,14,3,5,0,0,12,12,9,10,0,32,23,25,6,4,66,8,8,5,0,26,6,7,3,0,16,0,3,0,0,6,0,0,3,0,6,0,0,3,0,4,17,11,9,3,42,0,0,0,0,3,92,82,46,12,239,3,0,0,0,3,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,8,0,0,0,10,0,0,0,0,3,12,5,5,0,22,9,8,4,0,27,16,22,8,3,54,15,23,17,8,53,18,19,3,4,38,16,6,4,0,27,12,16,7,0,34,0,7,0,0,4,15,16,11,3,40,4,0,0,0,7,123,123,58,24,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,6,0,3,0,0,5
101021008,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,7,8,10,3,0,23,9,19,3,4,37,14,15,6,4,37,19,24,19,4,67,88,112,47,23,270,105,91,41,13,247,58,73,27,4,157,24,69,18,3,115,21,42,12,3,78,4,11,3,3,15,50,41,31,7,134,4,8,3,0,23,417,510,212,64,1205,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,4,0,0,11,11,3,9,0,23,3,11,3,0,20,42,48,33,6,125,60,61,33,6,166,73,88,32,6,199,54,78,17,5,155,70,82,27,12,186,30,36,12,0,77,34,54,19,3,107,8,11,0,0,13,393,468,184,41,1095,7,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,4,0,8,0,0,0,0,3
101021009,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,9,3,0,0,7,13,7,3,0,22,27,12,4,0,36,21,17,5,0,55,86,78,25,12,199,60,63,24,9,153,52,37,10,4,109,27,23,7,3,62,16,16,9,0,39,6,3,0,0,11,39,37,18,8,97,3,3,0,0,8,356,302,108,45,812,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,0,0,3,3,0,0,6,7,5,0,0,12,14,14,0,0,24,23,15,0,0,38,70,44,16,3,139,74,53,16,6,149,78,71,21,5,177,46,33,18,0,91,45,57,19,4,132,19,15,14,0,49,43,34,17,13,107,3,3,3,0,11,431,343,127,36,942,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,0,0,3,6,4,0,0,12
101021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,0,3,14,7,6,3,0,14,14,4,0,0,17,34,26,7,3,72,28,16,9,0,57,8,23,6,4,38,13,24,6,3,41,18,19,7,0,36,7,3,0,0,14,24,13,8,6,55,0,3,0,0,3,156,135,57,24,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,7,3,0,0,5,3,3,0,0,5,3,0,0,0,6,7,3,0,0,15,35,20,10,0,66,35,18,3,3,68,19,27,4,3,51,19,17,9,6,58,34,28,12,3,71,17,19,6,4,43,22,18,3,5,49,5,0,0,0,9,202,174,56,22,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9
101021011,4,0,0,0,8,0,3,0,0,4,3,5,0,0,4,7,0,0,0,6,6,4,0,0,11,8,15,10,3,31,9,17,4,4,33,25,23,9,0,61,79,141,53,23,300,84,100,43,18,245,83,109,40,10,245,76,110,46,26,249,89,115,49,7,262,28,41,19,10,95,89,115,64,28,301,7,5,3,0,14,581,804,346,133,1863,0,4,0,0,9,0,0,0,0,0,3,0,3,0,5,3,0,0,0,3,0,4,0,0,4,4,0,3,0,11,6,5,7,0,20,9,8,6,9,32,57,57,34,12,164,59,106,38,19,231,90,131,32,11,261,78,113,46,12,244,134,203,68,19,420,109,141,53,18,316,106,104,67,25,296,8,4,3,0,13,666,883,361,122,2033,0,0,3,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3
101021012,3,0,3,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,4,0,0,0,4,5,8,4,0,17,4,10,0,0,18,15,31,9,0,63,84,117,52,8,266,83,140,57,16,300,105,131,50,13,300,95,128,47,4,269,77,136,59,14,282,29,54,16,3,100,79,106,49,22,254,8,3,4,3,18,597,870,350,87,1900,5,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,6,3,0,0,8,10,8,0,0,22,3,8,3,0,15,50,57,20,6,130,61,96,37,5,202,72,125,37,10,247,62,136,66,21,282,151,234,81,15,474,89,172,84,23,369,71,109,36,12,226,3,8,0,0,7,584,951,365,92,1998,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3
101031013,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,7,0,0,11,0,6,3,0,11,5,10,3,0,15,17,5,7,0,28,26,31,16,0,76,7,14,5,4,35,7,5,3,3,12,6,3,0,0,6,0,5,0,0,7,0,0,0,0,0,19,22,4,8,48,3,3,0,0,4,90,110,45,18,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,7,0,5,12,3,5,0,3,13,8,10,4,4,24,24,15,13,0,55,9,27,5,3,48,8,16,0,3,27,3,6,3,0,15,0,0,0,0,4,0,3,0,0,0,5,16,6,0,28,3,0,0,0,3,74,101,42,15,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,3,0,12,17,12,9,3,41,15,8,8,3,34,23,17,4,4,51,65,80,39,6,193,40,52,27,3,115,14,23,17,3,57,12,22,3,0,39,8,14,3,3,24,8,0,0,0,4,28,38,9,6,88,0,4,0,0,5,237,275,118,41,676,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,10,6,3,5,23,10,7,3,0,26,16,24,13,0,48,46,32,24,14,114,34,42,22,8,101,28,49,10,4,91,12,22,12,0,54,15,19,8,0,48,5,4,0,0,9,34,50,16,12,110,5,6,0,0,11,227,257,116,44,635,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,3,0,0
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,5,4,10,3,6,24,7,3,0,4,14,3,7,8,0,23,26,23,25,9,80,13,20,12,3,50,12,5,0,0,19,10,7,0,0,18,0,4,3,0,12,4,0,0,0,4,17,18,11,0,44,0,3,0,0,3,100,113,65,23,300,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,4,3,0,7,0,4,5,4,16,3,7,3,3,20,21,27,5,3,60,13,24,16,6,56,6,17,4,0,37,13,14,6,3,31,9,21,0,3,28,4,0,0,0,3,19,21,12,0,53,0,0,3,0,5,100,149,62,24,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,6
101031016,0,0,0,0,5,3,0,0,0,3,0,0,0,0,5,4,0,0,0,4,4,6,4,0,8,16,12,3,4,34,6,10,3,0,13,14,16,3,0,35,74,53,17,7,151,40,50,15,6,111,16,32,4,0,57,13,21,4,0,36,9,6,5,0,23,0,0,0,0,7,25,51,13,9,100,3,3,0,0,7,225,264,75,27,597,3,3,0,0,3,0,0,0,0,0,3,0,3,0,3,0,6,0,0,9,0,0,0,0,4,5,5,4,0,14,7,9,0,0,16,11,17,3,4,35,46,72,14,6,134,34,41,11,0,92,35,51,10,0,104,21,27,6,0,62,19,31,6,0,58,10,10,6,0,24,24,34,15,9,89,3,5,0,0,12,230,314,89,27,657,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
