SA2_MAINCODE_2016,C06_CF_BPT_1000_1499,C06_CF_BPT_1500_1999,C06_CF_BPT_2000_2499,C06_CF_BPT_2500_2999,C06_CF_BPT_3000_3999,C06_CF_BPT_4000m,C06_CF_BPT_Ns,C06_CF_BPT_T,C06_CF_1F1P_N,C06_CF_1F1P_1_149,C06_CF_1F1P_150_299,C06_CF_1F1P_300_399,C06_CF_1F1P_400_499,C06_CF_1F1P_500_649,C06_CF_1F1P_650_799,C06_CF_1F1P_800_999,C06_CF_1F1P_1000_1499,C06_CF_1F1P_1500_1999,C06_CF_1F1P_2000_2499,C06_CF_1F1P_2500_2999,C06_CF_1F1P_3000_3999,C06_CF_1F1P_4000m,C06_CF_1F1P_Ns,C06_CF_1F1P_T,C06_CF_1E1A_N,C06_CF_1E1A_1_149,C06_CF_1E1A_150_299,C06_CF_1E1A_300_399,C06_CF_1E1A_400_499,C06_CF_1E1A_500_649,C06_CF_1E1A_650_799,C06_CF_1E1A_800_999,C06_CF_1E1A_1000_1499,C06_CF_1E1A_1500_1999,C06_CF_1E1A_2000_2499,C06_CF_1E1A_2500_2999,C06_CF_1E1A_3000_3999,C06_CF_1E1A_4000_mr,C06_CF_1E1A_Ns,C06_CF_1E1A_T,C06_CF_1F1NW_N,C06_CF_1F1NW_1_149,C06_CF_1F1NW_150_299,C06_CF_1F1NW_300_399,C06_CF_1F1NW_400_499,C06_CF_1F1NW_500_649,C06_CF_1F1NW_650_799,C06_CF_1F1NW_800_999,C06_CF_1F1NW_1000_1499,C06_CF_1F1NW_1500_1999,C06_CF_1F1NW_2000_2499,C06_CF_1F1NW_2500_2999,C06_CF_1F1NW_3000_3999,C06_CF_1F1NW_4000mo,C06_CF_1F1NW_Ns,C06_CF_1F1NW_Tot,C06_CF_1P1NW_N,C06_CF_1P1NW_1_149,C06_CF_1P1NW_150_299,C06_CF_1P1NW_300_399,C06_CF_1P1NW_400_499,C06_CF_1P1NW_500_649,C06_CF_1P1NW_650_799,C06_CF_1P1NW_800_999,C06_CF_1P1NW_1000_1499,C06_CF_1P1NW_1500_1999,C06_CF_1P1NW_2000_2499,C06_CF_1P1NW_2500_2999,C06_CF_1P1NW_3000_3999,C06_CF_1P1NW_4000_mr,C06_CF_1P1NW_Ns,C06_CF_1P1NW_T,C06_CF_1A1NW_N,C06_CF_1A1NW_1_149,C06_CF_1A1NW_150_299,C06_CF_1A1NW_300_399,C06_CF_1A1NW_400_499,C06_CF_1A1NW_500_649,C06_CF_1A1NW_650_799,C06_CF_1A1NW_800_999,C06_CF_1A1NW_1000_1499,C06_CF_1A1NW_1500_1999,C06_CF_1A1NW_2000_2499,C06_CF_1A1NW_2500_2999,C06_CF_1A1NW_3000_3999,C06_CF_1A1NW_4000m,C06_CF_1A1NW_Ns,C06_CF_1A1NW_T,C06_CF_BA_N,C06_CF_BA_1_149,C06_CF_BA_150_299,C06_CF_BA_300_399,C06_CF_BA_400_499,C06_CF_BA_500_649,C06_CF_BA_650_799,C06_CF_BA_800_999,C06_CF_BA_1000_1499,C06_CF_BA_1500_1999,C06_CF_BA_2000_2499,C06_CF_BA_2500_2999,C06_CF_BA_3000_3999,C06_CF_BA_4000_more,C06_CF_BA_Ns,C06_fc_BA_Tot,C06_CF_BNW_N,C06_CF_BNW_1_149,C06_CF_BNW_150_299,C06_CF_BNW_300_399,C06_CF_BNW_400_499,C06_CF_BNW_500_649,C06_CF_BNW_650_799,C06_CF_BNW_800_999,C06_CF_BNW_1000_1499,C06_CF_BNW_1500_1999,C06_CF_BNW_2000_2499,C06_CF_BNW_2500_2999,C06_CF_BNW_3000_3999,C06_CF_BNW_4000_more,C06_CF_BNW_Ns,C06_CF_BNW_Tot,C06_CF_LFns_N,C06_CF_LFns_1_149,C06_CF_LFns_150_299,C06_CF_LFns_300_399,C06_CF_LFns_400_499,C06_CF_LFns_500_649,C06_CF_LFns_650_799,C06_CF_LFns_800_999,C06_CF_LFns_1000_1499,C06_CF_LFns_1500_1999,C06_CF_LFns_2000_2499,C06_CF_LFns_2500_2999,C06_CF_LFns_3000_3999,C06_CF_LFns_4000_more,C06_CF_LFns_Ns,C06_CF_LFns_Tot,C06_CF_Tot_N,C06_CF_Tot_1_149,C06_CF_Tot_150_299,C06_CF_Tot_300_399,C06_CF_Tot_400_499,C06_CF_Tot_500_649,C06_CF_Tot_650_799,C06_CF_Tot_800_999,C06_CF_Tot_1000_1499,C06_CF_Tot_1500_1999,C06_CF_Tot_2000_2499,C06_CF_Tot_2500_2999,C06_CF_Tot_3000_3999,C06_CF_Tot_4000_more,C06_CF_TFI_Ns,C06_CF_T_T,C06_1PF_F_N,C06_1PF_F_1_149,C06_1PF_F_150_299,C06_1PF_F_300_399,C06_1PF_F_400_499,C06_1PF_F_500_649,C06_1PF_F_650_799,C06_1PF_F_800_999,C06_1PF_F_1000_1499,C06_1PF_F_1500_1999,C06_1PF_F_2000_2499,C06_1PF_F_2500_2999,C06_1PF_F_3000_3999,C06_1PF_F_4000_more,C06_1PF_F_Ns,C06_1PF_F_T,C06_1PF_P_N,C06_1PF_P_1_149,C06_1PF_P_150_299,C06_1PF_P_300_399,C06_1PF_P_400_499,C06_1PF_P_500_649,C06_1PF_P_650_799,C06_1PF_P_800_999,C06_1PF_P_1000_1499,C06_1PF_P_1500_1999,C06_1PF_P_2000_2499,C06_1PF_P_2500_2999,C06_1PF_P_3000_3999,C06_1PF_P_4000_more,C06_1PF_P_Ns,C06_1PF_P_T,C06_1PF_A_N,C06_1PF_A_1_149,C06_1PF_A_150_299,C06_1PF_A_300_399,C06_1PF_A_400_499,C06_1PF_A_500_649,C06_1PF_A_650_799,C06_1PF_A_800_999,C06_1PF_A_1000_1499,C06_1PF_A_1500_1999,C06_1PF_A_2000_2499,C06_1PF_A_2500_2999,C06_1PF_A_3000_3999,C06_1PF_A_4000_more,C06_1PF_A_Ns,C06_1PF_A_T
101021007,3,0,0,0,0,0,0,16,0,0,0,0,0,6,0,3,31,11,11,0,0,0,0,60,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,11,0,0,0,0,0,3,7,11,13,7,0,0,0,0,4,47,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,3,9,4,14,12,32,66,26,16,6,6,4,40,239,0,0,0,0,0,4,0,0,3,0,0,0,0,0,8,19,0,0,0,7,0,9,0,3,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021008,12,7,5,6,3,0,6,38,0,0,0,0,0,3,6,11,82,84,45,23,17,4,25,297,0,0,0,0,0,0,0,0,22,16,12,6,3,0,5,76,0,0,0,0,0,8,15,31,72,38,13,11,5,0,10,205,0,0,0,3,3,4,0,4,8,6,0,0,0,0,3,42,0,0,0,0,0,4,6,0,4,3,0,3,0,0,3,19,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,14,0,0,0,0,18,11,12,4,16,13,7,3,0,0,7,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,61,0,0,3,7,23,37,37,67,270,247,157,115,78,15,150,1205,0,0,0,3,0,22,24,14,46,10,5,7,3,0,12,148,0,0,3,18,0,30,14,5,16,4,0,0,0,0,8,96,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,20
101021009,7,3,3,0,0,0,3,21,0,0,0,0,0,5,6,8,67,53,44,17,11,0,10,220,0,0,0,0,0,0,0,0,11,10,9,3,5,0,3,48,3,0,0,0,0,8,18,30,58,22,3,5,6,0,9,158,0,0,0,0,0,0,3,7,13,3,0,0,0,0,3,34,0,0,0,0,0,0,0,0,7,4,0,0,0,0,3,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,3,7,3,6,13,11,3,3,3,0,7,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,47,3,4,0,4,7,22,36,55,199,153,109,62,39,11,106,812,0,0,0,3,0,18,24,22,53,31,6,6,3,0,25,183,0,0,3,8,0,30,14,4,7,4,0,0,0,0,9,81,0,0,4,0,0,0,4,0,7,0,0,0,0,0,3,20
101021010,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,30,18,14,10,14,3,8,101,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,21,0,0,0,0,0,3,4,6,15,15,3,7,3,3,3,60,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,3,4,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,0,0,0,0,3,14,14,17,72,57,38,41,36,14,54,370,0,0,0,0,0,0,9,6,27,11,0,4,5,0,4,67,0,0,0,8,0,7,7,0,8,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021011,12,7,9,4,5,3,7,53,0,0,5,0,5,3,11,16,119,101,98,69,90,19,57,583,0,0,0,0,0,0,0,0,5,11,18,8,26,3,12,86,0,0,0,0,0,7,11,26,87,30,14,58,22,9,33,295,0,0,0,0,0,3,3,0,10,5,3,3,3,0,7,49,0,0,0,0,0,0,0,4,4,8,0,4,0,0,3,26,0,0,0,0,0,0,0,0,4,0,5,3,5,4,4,26,3,0,0,3,3,10,3,0,9,7,0,3,0,0,13,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,106,8,4,4,6,11,31,33,61,300,245,245,249,262,95,319,1865,0,0,0,0,0,7,3,14,34,10,3,8,0,0,17,106,0,0,0,8,0,18,10,6,16,0,0,0,0,0,5,57,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11
101021012,11,9,7,0,0,0,3,39,4,0,0,0,0,3,4,11,91,136,93,64,109,17,47,582,0,0,0,0,0,0,3,3,17,15,29,21,17,6,14,127,0,0,0,0,0,6,7,29,80,51,15,71,15,3,16,285,0,0,0,0,0,3,0,6,3,3,0,0,0,0,3,27,0,0,0,0,0,0,0,3,4,4,3,4,0,0,3,24,0,0,0,0,0,0,0,0,0,0,4,9,6,0,0,22,0,0,0,0,4,3,0,3,5,8,0,0,0,0,3,35,0,0,0,0,0,0,0,0,3,0,0,0,0,0,143,147,6,0,3,3,4,17,18,63,266,300,300,269,282,100,269,1900,0,0,0,0,0,8,9,18,69,29,7,20,3,0,25,191,0,0,0,7,0,18,11,8,12,0,7,0,0,0,6,70,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,12
101031013,4,0,0,0,0,0,0,6,0,0,0,0,3,3,8,14,32,11,6,3,0,0,10,88,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,3,3,12,3,17,6,0,3,0,0,9,51,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,0,0,0,0,6,0,0,5,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,3,0,3,11,11,15,28,76,35,12,6,7,0,51,266,0,0,0,0,0,3,4,6,0,0,0,0,0,0,9,28,0,0,0,3,0,6,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101031014,11,4,0,0,0,0,0,23,0,0,0,0,0,6,3,15,69,45,17,21,13,0,14,203,0,0,0,0,0,0,0,0,14,9,3,0,0,0,0,28,0,0,0,0,0,14,10,17,34,27,0,12,0,0,9,118,0,0,0,0,3,10,3,3,6,0,0,0,0,0,3,37,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,15,11,3,3,3,0,0,0,0,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,0,0,0,0,12,41,34,51,193,115,57,39,24,4,96,676,0,0,0,0,0,6,13,8,18,9,0,3,0,0,10,58,0,0,3,21,3,20,19,4,11,0,0,0,0,3,15,91,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8
101031015,3,4,0,0,0,0,3,14,0,0,0,0,0,0,8,3,42,21,10,4,3,0,4,104,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,13,0,0,0,0,0,7,3,9,9,4,3,3,0,0,3,48,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0,0,8,5,24,14,23,80,50,19,18,12,4,44,300,0,0,0,0,0,7,0,0,8,0,0,0,0,0,3,20,0,0,0,0,0,4,3,3,8,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
101031016,4,3,3,0,0,0,3,29,0,0,0,0,3,9,0,17,58,43,26,12,6,0,17,182,0,0,0,0,0,0,0,0,6,4,0,3,0,0,6,20,0,0,0,0,3,8,11,14,26,9,3,7,4,0,10,85,0,0,0,0,0,7,0,4,4,0,0,0,0,0,3,19,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,5,3,5,4,8,34,13,35,151,111,57,36,23,7,105,597,0,0,0,3,3,4,3,10,16,3,0,4,0,0,8,59,0,0,0,4,0,9,3,8,8,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
