SA2_MAINCODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
101021007,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,103,10,104,0,20,22,261,3,0,15,0,0,23,39,0,0,0,0,0,0,0,3,4,10,0,0,0,21,10,4,13,0,0,0,23,4,0,11,0,0,0,13,25,4,12,0,3,0,44,45,0,23,0,0,0,71,31,0,7,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,14,123,9,92,0,12,23,271
101021008,0,0,0,3,0,0,0,0,0,4,10,24,5,0,4,3,46,338,334,165,27,60,16,942,0,7,13,0,0,10,28,0,4,0,0,0,0,4,3,88,0,0,0,0,89,23,71,6,14,3,3,122,19,30,3,8,0,0,63,21,26,11,8,12,0,76,52,19,16,7,14,0,113,159,36,54,4,6,0,260,57,5,23,0,0,0,79,9,0,3,0,0,0,12,5,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,11,3,0,0,34,360,302,144,37,36,12,898
101021009,0,0,0,4,0,0,0,0,0,7,18,15,19,0,11,4,58,1097,167,370,35,53,33,1751,0,13,25,3,3,13,56,0,8,0,0,0,0,16,11,65,12,10,3,0,94,136,20,39,15,3,3,221,192,3,32,5,8,0,245,283,15,57,3,12,3,377,295,4,96,0,10,0,410,410,10,84,0,8,0,509,98,0,31,0,0,0,126,14,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,6,15,12,11,5,3,0,43,1462,150,404,40,52,20,2122
101021010,0,0,0,7,0,3,0,0,0,5,8,0,3,0,3,0,21,581,63,145,17,47,16,866,0,0,7,0,0,3,16,3,5,0,0,0,0,6,6,12,3,0,0,0,23,82,18,19,7,3,0,126,96,8,13,0,3,0,120,129,3,28,0,15,3,173,151,0,22,0,19,0,197,122,3,29,0,10,0,159,46,0,13,0,3,0,66,5,0,8,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,0,3,4,28,666,61,141,11,48,5,936
101021011,0,0,0,0,0,0,0,0,0,8,0,0,14,0,9,0,23,213,3,234,4,71,31,554,0,0,14,0,19,27,58,0,0,0,0,3,0,0,0,0,7,0,10,0,21,3,0,13,0,3,0,18,4,0,11,0,5,0,24,11,0,32,0,15,0,51,44,0,28,0,6,0,70,67,0,50,0,3,0,122,64,0,35,0,4,0,102,61,0,14,0,3,0,79,24,0,9,0,0,0,34,7,0,3,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,4,7,0,10,3,3,0,24,287,3,225,6,67,28,615
101021012,0,0,0,0,0,0,0,0,0,0,7,6,8,0,9,0,38,435,131,182,4,285,9,1048,0,3,8,0,0,9,20,0,3,0,0,0,0,8,0,20,5,0,0,0,25,7,13,8,3,4,0,34,20,12,0,0,0,0,35,26,16,5,0,64,0,104,60,18,16,0,114,0,209,163,12,42,0,25,0,252,110,3,46,0,7,0,171,80,0,18,0,3,0,104,33,0,4,0,6,0,38,4,0,4,0,0,0,13,3,0,3,0,0,0,7,3,0,0,0,0,0,3,5,4,0,0,5,0,21,521,105,156,3,235,10,1034
101031013,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,14,31,11,102,3,34,25,216,0,0,18,0,11,15,47,0,0,4,0,6,0,13,3,0,14,0,3,0,24,6,3,27,3,3,0,45,8,0,24,0,0,0,33,6,0,9,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,10,30,11,113,10,33,18,205
101031014,0,0,0,6,0,3,0,0,0,7,11,0,9,3,8,0,25,424,96,193,27,54,26,811,3,3,18,0,6,13,47,3,3,4,3,0,0,21,52,20,13,6,4,0,95,86,15,27,7,6,3,137,52,10,33,6,11,0,107,145,17,41,3,3,0,218,106,3,27,0,7,0,134,34,0,8,0,0,0,42,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,6,15,0,0,0,25,492,78,193,26,37,21,844
101031015,0,0,0,0,0,0,0,0,0,3,4,0,13,0,0,0,19,44,0,96,0,25,15,188,0,0,20,0,16,8,42,0,0,5,0,3,0,7,3,0,13,0,0,0,16,5,0,12,0,0,0,24,8,0,3,0,0,0,11,6,0,9,0,0,0,17,6,0,8,0,0,0,11,3,0,7,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,8,0,6,0,19,40,0,91,0,32,13,175
101031016,3,0,12,78,0,18,0,22,3,114,16,0,17,4,9,0,50,431,12,230,10,111,29,822,0,0,31,0,17,37,84,0,0,0,0,3,0,0,5,0,20,3,8,0,35,42,3,30,3,15,0,89,33,3,28,0,12,0,75,56,3,33,0,6,0,104,62,5,38,0,14,0,118,93,0,28,0,17,0,145,24,0,3,0,3,0,31,19,0,6,0,6,0,31,17,0,14,0,4,0,31,12,0,7,0,7,0,23,19,0,8,0,11,0,35,83,0,37,0,52,0,174,15,0,17,0,17,0,51,488,7,285,7,192,42,1024
