SA2_MAINCODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
101021007,18,3,3,15,75,4,0,7,12,8,4,0,3,42,3,3,6,9,4,3,0,15,48,333,164,417,287,146,38,12,206,1614
101021008,17,6,5,12,120,4,7,14,15,7,6,0,3,52,0,9,8,12,13,3,5,9,55,956,386,887,575,223,71,60,228,3388
101021009,27,5,11,14,155,6,7,23,44,29,12,17,16,151,9,17,32,45,28,11,11,45,199,1638,633,928,562,247,84,73,460,4624
101021010,5,3,3,10,48,0,0,13,10,3,3,4,4,39,3,3,13,7,6,3,3,3,42,709,290,437,234,93,27,23,144,1955
101021011,16,7,6,9,123,4,8,8,19,3,3,4,7,55,0,5,3,14,10,0,3,6,44,1772,749,1814,1076,385,101,56,635,6599
101021012,16,4,3,3,95,3,3,16,9,5,0,0,0,39,0,3,16,11,3,0,5,5,42,1446,593,1456,854,234,57,41,254,4931
101031013,11,4,7,3,45,4,0,3,8,10,4,0,4,35,0,3,12,11,12,3,5,9,60,191,99,225,209,102,34,28,91,975
101031014,26,15,7,22,158,9,9,24,24,20,7,11,24,124,15,6,31,24,14,14,13,44,160,684,271,726,483,247,85,61,299,2859
101031015,3,3,4,9,58,3,0,3,11,7,3,0,7,32,0,3,7,9,0,3,3,3,27,297,112,388,233,89,45,26,140,1325
101031016,5,0,4,5,57,3,0,12,17,7,3,0,3,42,3,3,13,3,7,3,3,4,34,842,302,726,357,112,28,19,259,2645
101041017,29,14,9,30,208,14,7,33,29,22,7,10,20,147,9,12,48,45,24,11,5,43,189,629,316,924,644,281,110,68,325,3292
101041018,33,16,10,30,263,10,13,34,41,25,12,9,23,160,13,10,40,33,18,6,7,64,201,753,357,1098,727,318,97,46,363,3778
101041019,31,10,6,26,179,12,3,26,25,22,15,9,10,126,15,12,23,40,25,14,14,18,162,749,394,959,625,332,109,71,319,3564
101041020,20,7,8,11,112,5,7,15,14,8,3,5,4,62,0,3,9,9,13,5,5,8,55,795,412,985,634,309,99,80,320,3634
101041021,16,6,0,11,98,6,7,19,17,17,3,0,10,84,10,3,18,22,19,14,3,13,98,272,116,419,314,143,39,19,124,1444
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,10
101041023,14,4,7,8,80,3,0,6,10,8,7,0,12,48,3,7,9,10,9,3,3,35,84,268,147,364,259,143,45,31,159,1410
101041024,10,5,0,5,46,4,3,8,8,0,3,3,3,29,0,0,8,3,3,3,8,3,23,313,146,385,251,121,40,27,113,1391
101041025,45,19,11,35,334,16,17,51,64,34,17,9,36,251,16,26,55,64,38,11,11,48,277,973,531,1456,921,356,111,71,435,4848
101041026,29,13,9,20,211,11,5,28,38,29,14,11,10,140,12,14,29,26,16,9,7,10,118,695,363,1032,659,295,105,67,280,3501
101041027,33,15,3,39,228,20,9,49,41,28,12,8,17,194,12,19,55,47,38,12,14,56,253,773,392,1217,741,331,106,71,406,4035
101051539,64,37,15,58,449,36,15,64,89,43,20,25,53,348,36,30,72,76,55,30,31,123,445,2312,1015,2400,1665,785,287,187,802,9443
101051540,40,15,7,23,216,12,12,33,30,25,13,13,24,162,11,9,28,22,17,10,19,10,126,1062,502,1294,993,469,162,112,484,5082
