SA2_MAINCODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
101021007,10,6,0,6,11,8,12,3,0,53,0,0,0,0,0,0,3,0,0,3,244,138,123,201,282,355,326,153,57,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,3,3,0,0,0,15,0,0,5,3,8,6,0,0,0,21,312,111,123,169,194,221,171,55,5,1365,84,51,46,58,92,95,93,34,17,566,652,302,297,442,577,696,592,243,77,3872
101021008,14,38,20,20,36,34,25,4,4,195,0,0,0,0,0,0,3,0,0,3,934,664,585,657,827,785,528,246,66,5299,14,3,21,9,0,3,3,0,0,54,21,8,14,8,7,4,3,0,0,54,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,3,0,0,0,9,9,4,5,4,0,0,0,0,0,30,6,4,7,6,3,4,0,0,0,31,16,11,11,12,7,8,0,3,0,62,483,333,355,321,255,159,73,26,3,2024,141,85,88,90,94,78,51,29,11,665,1625,1120,1089,1110,1196,1050,664,313,83,8247
101021009,38,19,51,52,31,38,23,18,5,280,3,0,0,0,3,0,3,0,0,11,725,555,816,734,813,710,587,440,270,5658,73,19,162,68,4,5,0,0,0,331,63,23,113,42,12,4,0,3,0,261,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,38,14,93,20,6,3,0,0,0,178,0,9,16,12,4,4,0,0,0,38,42,21,108,35,9,4,0,0,0,223,592,441,727,493,385,267,126,39,26,3088,158,123,286,156,129,118,96,44,19,1133,1674,1188,2239,1556,1386,1127,819,525,314,10842
101021010,21,22,29,10,26,16,7,3,0,144,0,0,0,0,0,0,0,0,0,0,385,312,349,331,415,355,201,114,46,2511,35,14,70,26,8,0,0,0,0,153,52,14,86,24,5,3,0,0,0,186,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,28,9,50,17,4,3,0,0,0,117,0,0,3,4,5,0,0,0,0,16,26,10,50,18,8,3,0,0,0,126,215,191,311,174,174,142,85,30,5,1313,81,30,91,59,73,54,29,16,3,440,798,578,973,637,702,569,312,160,51,4786
101021011,93,41,45,54,53,49,38,10,0,378,3,0,0,0,3,3,3,0,0,13,1829,1020,876,1231,1621,1333,855,261,57,9085,12,0,17,8,10,3,0,0,0,51,9,3,7,7,10,0,0,0,0,38,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,4,6,13,3,4,0,0,3,43,13,4,4,6,9,11,0,0,0,54,21,11,9,17,13,14,0,5,3,99,1281,650,626,820,901,740,382,87,20,5503,405,242,201,294,362,318,191,52,12,2073,3574,1943,1741,2397,2934,2427,1436,408,86,16946
101021012,72,52,24,60,33,34,18,3,0,298,3,0,0,0,0,5,0,0,0,14,1747,1124,751,1128,1617,873,451,211,54,7946,25,6,18,19,15,6,0,0,0,93,25,13,19,17,13,12,3,0,0,99,3,0,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,17,3,17,14,0,4,0,0,0,53,3,3,3,6,4,3,6,0,0,29,14,8,24,18,9,11,6,0,0,84,924,480,525,574,539,298,92,20,12,3475,175,114,116,124,169,89,39,20,7,854,2919,1751,1461,1906,2381,1308,597,257,74,12643
101031013,5,0,3,5,4,3,3,0,0,24,0,0,0,0,0,0,0,0,0,0,248,146,131,153,239,283,256,121,69,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,3,3,0,0,0,9,128,62,77,67,50,72,42,14,7,518,26,16,12,18,45,34,43,11,16,208,408,227,220,231,337,391,340,145,89,2390
101031014,37,18,20,17,21,10,11,3,0,132,0,0,0,0,0,0,0,0,0,3,558,371,327,414,543,602,551,384,166,3920,0,0,0,0,3,7,0,0,0,5,10,8,4,4,10,7,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,3,7,0,3,0,0,0,14,4,0,8,6,0,3,0,0,0,24,400,299,277,202,231,187,124,69,16,1795,85,73,138,121,133,95,107,74,59,888,1061,759,760,751,943,907,784,523,241,6742
101031015,11,4,0,3,10,10,13,4,0,54,0,0,0,0,0,0,0,0,0,0,309,174,97,196,342,333,322,155,36,1958,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,4,0,0,14,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,0,15,3,0,4,0,6,3,0,0,0,18,168,99,82,110,117,158,93,28,4,864,71,39,35,40,75,61,50,33,6,412,560,309,218,350,540,560,477,212,48,3280
101031016,14,7,12,10,15,15,7,3,0,89,0,0,0,0,0,0,0,0,0,3,507,320,319,418,559,534,389,166,58,3274,0,4,0,0,0,0,0,0,0,5,3,4,6,0,3,0,0,0,0,18,3,0,0,5,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,3,0,0,0,23,0,3,3,9,5,3,0,0,0,29,592,392,460,431,370,268,128,44,11,2694,128,143,148,110,125,100,61,24,5,848,1245,866,956,987,1081,913,592,232,74,6951
101041017,30,5,23,9,16,23,34,9,0,142,0,0,0,0,0,0,0,0,0,6,568,322,309,416,530,794,915,514,216,4587,4,0,0,6,0,0,6,0,0,17,3,0,10,0,3,3,0,0,0,18,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,13,0,0,3,4,0,3,3,0,0,13,4,0,7,3,0,3,5,0,0,31,536,235,263,221,241,302,249,98,52,2207,116,75,63,66,91,128,132,86,23,772,1235,637,656,729,868,1251,1315,701,291,7692
101041018,24,15,14,16,22,18,28,11,3,154,0,0,0,0,3,0,0,0,0,5,602,364,279,430,599,877,1036,591,242,5024,3,3,3,0,0,4,0,0,0,14,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,3,3,4,3,7,5,10,0,3,32,5,3,4,3,7,5,10,0,3,38,439,258,210,249,263,347,356,139,50,2309,138,69,67,90,122,122,151,81,45,886,1191,711,576,788,1007,1370,1560,817,338,8358
101041019,32,22,4,16,24,21,9,3,0,126,7,0,0,0,5,3,10,0,0,22,582,364,316,407,618,815,678,443,201,4419,3,0,5,0,3,3,0,0,0,20,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,17,5,0,3,3,3,5,0,0,0,20,774,398,352,355,389,397,201,83,24,2972,178,92,70,98,128,125,96,59,21,871,1560,865,756,884,1165,1361,986,593,246,8405
101041020,51,27,18,15,45,48,24,11,0,246,0,0,0,0,0,5,0,0,0,13,602,339,235,370,728,887,626,271,72,4126,0,0,0,0,0,3,0,0,0,11,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,8,8,14,11,0,0,55,5,7,4,8,8,14,11,0,0,55,705,374,282,328,544,781,407,92,16,3519,138,77,65,79,175,219,145,46,14,958,1461,800,596,795,1477,1940,1214,407,100,8793
101041021,9,6,3,4,8,9,7,3,0,56,0,0,0,0,0,0,0,0,0,0,229,107,85,165,198,295,297,236,121,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,11,218,146,93,133,159,187,132,58,30,1159,36,29,26,27,52,59,64,40,15,359,495,291,214,329,410,552,497,342,158,3285
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,3,0,3,0,0,11,0,0,0,3,5,3,13,0,3,25
101041023,13,3,4,10,9,15,3,6,0,63,0,0,0,0,0,0,0,0,0,3,199,139,118,173,224,326,334,189,84,1786,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,5,0,0,0,0,10,244,124,121,109,116,141,114,41,14,1022,50,28,26,32,48,61,52,31,30,360,499,294,268,319,392,538,501,267,133,3216
101041024,4,10,4,7,11,6,7,0,0,55,0,0,0,0,0,0,0,0,0,4,192,143,89,137,293,363,328,110,30,1687,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,5,5,0,0,21,3,0,0,6,10,5,5,0,0,25,218,149,93,134,196,217,150,28,14,1184,57,43,26,37,61,53,55,27,3,363,479,338,210,312,558,652,544,163,47,3301
101041025,35,12,17,22,25,44,27,17,0,194,0,0,0,0,0,0,0,0,0,5,669,418,295,477,776,1043,1203,744,298,5923,0,9,3,0,3,0,3,0,0,15,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,5,4,3,3,0,38,4,0,11,3,5,4,3,3,0,39,641,379,355,362,418,597,463,200,75,3490,112,72,81,86,146,159,185,125,69,1033,1462,887,747,954,1360,1821,1874,1070,438,10618
101041026,18,10,12,12,12,27,18,8,0,128,0,0,0,0,0,0,0,0,3,9,483,311,224,357,583,913,924,496,170,4469,3,0,0,7,7,3,0,0,0,16,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,7,4,3,0,0,32,3,0,3,5,7,9,3,0,0,29,490,287,258,279,367,487,315,136,32,2645,93,73,55,82,82,154,115,75,13,731,1073,679,550,729,1066,1585,1370,706,215,7968
101041027,15,9,9,9,20,30,23,17,3,131,0,0,0,0,0,0,0,0,0,6,374,198,181,283,501,1032,1148,600,287,4605,4,0,3,5,0,3,0,0,0,21,0,3,0,0,0,0,0,0,0,8,0,0,3,0,0,8,3,0,0,12,8,0,4,3,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,3,0,0,0,7,3,5,8,3,0,24,8,0,10,8,7,5,4,3,0,47,630,290,260,318,388,609,464,153,55,3174,115,72,64,75,104,221,185,104,61,1004,1142,580,525,695,1026,1903,1832,859,410,8978
101051539,54,48,36,34,57,57,29,7,0,332,3,0,0,0,4,4,0,0,0,17,2414,1663,1528,1693,2090,2131,1830,1151,536,15029,17,7,60,12,3,0,4,0,0,110,19,4,28,20,7,6,3,0,0,87,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,24,0,4,3,0,0,0,41,3,4,11,14,15,9,3,0,0,61,12,4,36,15,17,14,3,0,0,102,1307,745,836,614,480,420,272,107,56,4835,347,316,474,373,330,265,224,132,71,2542,4147,2764,2997,2756,2959,2855,2346,1395,667,22890
101051540,30,15,14,16,23,40,25,12,0,177,6,0,0,4,4,3,3,0,0,18,1432,836,645,909,1338,1453,1308,671,193,8780,3,0,0,0,3,0,3,0,0,13,12,3,4,3,4,0,3,0,0,31,0,0,0,0,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,10,3,0,3,0,26,6,3,0,4,10,3,0,3,0,29,577,254,257,287,383,371,237,76,23,2456,212,131,94,148,219,221,176,83,17,1288,2244,1228,1008,1369,1964,2055,1743,833,224,12670
101061541,44,14,15,16,22,14,6,5,3,132,0,0,0,0,0,0,0,0,0,3,747,459,430,494,571,563,506,335,183,4292,0,0,3,0,0,0,0,0,0,5,6,4,3,0,6,0,0,0,0,32,0,3,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,6,0,0,0,0,11,4,3,0,3,7,0,0,0,0,19,462,187,201,208,188,143,93,39,18,1538,93,62,64,67,83,85,59,33,17,571,1319,722,717,782,868,800,661,413,227,6506
101061542,60,18,23,44,39,30,20,3,0,232,0,4,0,0,6,0,0,0,0,13,1328,713,463,942,1134,1007,763,299,80,6729,0,0,0,0,3,0,0,0,0,13,7,7,3,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,3,10,16,3,0,5,0,46,7,5,7,10,16,3,0,5,0,50,874,375,367,526,588,477,300,68,11,3579,195,125,76,154,167,183,94,53,16,1061,2419,1229,911,1646,1922,1687,1162,421,103,11505
101061543,30,22,24,21,16,28,17,3,4,165,0,0,0,0,0,0,0,0,0,3,1406,793,665,848,981,999,990,623,279,7581,0,0,11,4,3,0,0,0,0,20,112,26,34,27,10,11,10,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,8,0,12,6,8,4,0,4,0,0,30,4,11,11,8,4,0,4,0,0,40,543,301,239,237,182,151,93,50,15,1808,178,103,99,97,122,95,119,53,24,880,2255,1243,1065,1234,1301,1258,1213,719,321,10601
101061544,19,0,8,10,13,15,10,10,0,97,0,0,0,0,3,0,0,3,0,6,908,550,403,540,828,883,885,409,157,5565,0,0,7,0,0,0,0,0,0,10,13,0,8,3,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,14,0,0,3,0,3,3,3,0,0,18,241,120,117,107,138,158,123,36,7,1050,96,59,42,56,86,110,91,52,26,621,1260,732,578,723,1064,1167,1117,501,189,7323
102011028,50,22,23,24,29,21,13,11,4,192,0,0,0,0,0,3,0,0,0,8,788,490,265,476,679,615,455,216,66,4055,6,0,5,7,3,4,0,0,0,20,3,0,4,0,4,0,0,0,0,10,3,3,0,0,6,7,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,9,0,0,3,0,0,4,0,0,0,9,659,329,286,409,390,280,170,47,7,2585,116,68,54,88,87,73,44,17,12,547,1579,892,625,995,1188,990,677,283,85,7312
102011029,51,31,21,27,43,47,26,6,3,253,0,4,0,3,0,0,3,0,0,15,1036,659,410,674,938,1070,1102,530,189,6595,3,3,3,0,0,3,0,0,0,19,13,0,3,7,3,0,3,0,0,29,3,4,3,0,3,9,3,0,0,23,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,3,0,0,0,17,3,4,4,6,0,3,0,0,0,22,650,388,316,414,408,429,366,135,36,3127,136,75,50,85,114,114,110,61,25,768,1854,1131,797,1210,1477,1649,1596,725,249,10689
102011030,15,13,6,7,17,14,9,4,0,86,0,0,0,0,0,0,3,0,0,4,377,283,176,273,468,426,365,162,49,2573,0,0,3,3,0,0,0,0,0,4,8,3,3,3,8,0,0,0,0,35,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,9,6,0,3,4,0,0,0,0,16,12,6,0,8,4,0,0,0,0,25,253,176,182,173,228,224,133,49,12,1434,92,57,59,60,111,81,80,29,4,580,749,528,436,526,830,745,589,240,66,4705
102011031,79,41,24,42,54,53,24,15,5,346,16,3,6,3,0,5,3,3,0,35,1309,842,579,849,1165,1251,1313,1043,603,8953,6,4,3,11,6,8,4,0,0,42,11,7,0,10,5,0,0,0,0,37,0,3,0,3,4,7,14,10,0,36,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,12,4,3,0,0,5,6,5,0,0,21,10,7,0,4,5,5,4,0,0,41,754,447,440,402,434,395,278,166,117,3438,180,99,74,117,141,156,142,165,210,1270,2273,1423,1118,1412,1791,1847,1767,1394,922,13953
102011032,95,72,73,68,71,73,40,15,10,511,3,10,0,7,6,7,5,0,0,43,1554,985,1235,1229,1445,1484,1231,793,465,10427,59,19,80,55,16,18,6,3,0,253,26,21,30,25,7,6,3,0,0,117,4,3,3,0,4,3,8,3,0,30,0,0,0,0,0,0,0,0,0,0,13,4,28,5,0,0,0,0,0,55,3,13,14,10,15,10,4,0,0,77,17,17,44,23,20,10,3,0,0,126,1108,857,1125,813,691,566,301,139,69,5671,297,201,293,235,240,245,171,122,54,1859,3111,2125,2862,2440,2482,2370,1749,1065,597,18803
102011033,35,26,27,28,20,17,3,0,0,161,0,8,0,3,3,0,3,0,0,18,729,559,345,528,653,437,233,149,38,3671,13,6,10,9,0,5,3,3,0,45,11,9,6,4,3,0,0,0,0,31,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,0,3,3,3,0,0,0,0,14,3,0,3,3,3,3,0,0,0,20,571,334,272,293,234,172,69,26,9,1976,80,118,73,85,66,73,20,19,5,542,1416,1042,725,942,968,704,335,195,53,6385
102011034,47,23,16,22,20,15,12,10,3,170,0,0,0,0,0,0,0,0,0,5,712,406,342,461,575,608,695,594,375,4767,7,3,3,3,3,3,0,0,0,27,14,5,3,3,0,0,0,0,0,23,0,3,0,3,0,0,4,0,3,14,0,3,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,3,3,3,4,0,3,0,0,0,17,442,302,256,266,231,211,115,86,60,1966,66,34,35,40,39,38,63,72,49,433,1249,757,658,791,863,871,872,760,493,7313
102011035,55,34,31,30,34,37,13,3,0,226,5,0,0,0,0,0,0,0,0,16,740,455,385,534,606,642,446,176,63,4046,0,0,5,3,8,0,3,0,0,23,10,9,5,10,4,0,0,0,0,34,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,5,0,0,0,0,20,3,0,6,5,5,0,0,0,0,24,490,325,343,273,243,185,102,36,17,2024,76,75,44,49,75,63,34,23,12,441,1320,870,798,879,955,910,589,228,93,6642
