SA2_MAINCODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
309021230,0,3,0,5,52,66,20,7,13,3,173,0,0,0,5,0,4,16,45,10,4,11,3,95,0,0,0,0,0,0,3,16,3,3,4,0,38,0,0,0,0,0,0,3,9,12,3,3,0,29,0,0,0,0,0,0,0,0,3,4,7,0,21,4,0,0,6,0,5,14,27,15,0,4,4,80,3,0,3,3,0,5,5,4,0,0,3,4,35,38,8,74,42,43,162,334,363,117,40,59,38,1315
309021231,3,0,3,4,38,105,40,19,6,5,226,0,0,0,0,3,0,21,68,35,11,5,0,149,0,0,0,0,0,0,4,25,24,11,7,0,71,3,0,0,0,0,0,6,17,26,3,9,0,63,0,0,0,0,0,0,0,4,4,3,6,0,21,4,0,0,0,0,3,15,42,28,11,12,0,116,0,0,3,0,3,3,6,3,3,0,0,6,32,41,13,31,35,41,111,362,604,249,82,62,41,1665
309021232,0,5,3,0,9,29,22,12,0,0,81,0,0,0,0,0,0,7,20,28,3,7,0,65,0,0,0,0,0,0,0,10,11,5,4,0,32,0,0,0,0,0,0,3,3,8,3,3,0,25,0,0,0,0,0,0,0,0,0,8,3,0,8,3,0,0,3,3,0,3,13,13,4,6,3,53,0,0,0,0,0,0,3,3,3,0,0,5,20,20,11,57,41,24,35,89,228,142,61,26,26,760
309021233,0,0,0,0,7,56,45,14,3,0,133,0,0,0,0,0,0,0,24,26,19,10,0,82,0,0,0,0,0,0,0,6,18,13,4,0,49,0,0,0,0,0,0,0,5,14,3,8,0,32,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,7,20,17,11,6,7,65,3,0,0,0,0,0,0,3,0,3,4,0,18,26,5,22,23,12,18,48,295,200,97,43,23,818
309021234,3,0,0,9,60,116,52,14,13,3,277,3,0,0,0,0,3,36,90,56,19,12,0,218,6,0,0,3,0,0,20,25,17,21,14,0,105,0,0,0,0,0,0,7,12,26,16,14,0,80,0,0,0,0,0,0,3,3,7,16,16,0,42,7,0,3,3,3,4,28,47,33,20,12,3,165,0,0,4,0,0,3,9,4,0,0,0,14,50,75,34,121,80,68,211,658,652,308,139,100,60,2502
309031235,0,0,0,0,15,84,43,10,5,3,157,0,0,0,0,0,0,11,57,33,7,3,0,120,0,0,0,0,0,0,0,28,31,16,5,0,83,0,0,0,0,0,0,0,19,17,13,3,0,59,0,0,0,0,0,0,0,0,10,8,8,0,24,0,0,0,0,3,3,3,33,32,5,3,3,91,0,0,0,4,0,0,0,5,0,0,0,7,16,20,3,21,43,17,15,74,512,252,71,37,22,1096
309031236,0,0,0,8,47,102,49,17,3,3,226,7,0,0,0,0,0,19,83,54,15,12,3,190,0,0,0,0,0,0,3,33,26,4,0,3,75,3,0,0,0,0,0,8,17,19,5,19,0,64,0,0,0,0,0,0,3,8,8,4,0,0,24,0,0,0,0,0,4,14,40,26,4,5,3,100,0,3,6,0,0,0,4,5,4,3,3,4,37,39,11,59,45,26,101,400,694,291,79,57,45,1847
309031237,0,0,0,3,31,102,24,0,4,3,173,0,0,0,0,0,3,16,70,32,3,0,3,125,0,0,0,0,0,0,3,27,19,0,0,0,59,0,0,0,0,0,0,10,8,15,0,0,0,36,0,0,0,0,0,0,0,4,6,6,0,0,14,3,0,0,3,0,3,11,40,15,3,0,11,84,0,0,0,3,0,3,8,3,4,0,0,0,30,24,11,21,39,11,23,381,695,177,21,17,34,1452
309031238,3,9,4,8,125,197,37,9,9,9,404,0,0,0,4,0,3,50,120,58,15,4,0,257,3,0,0,0,0,3,6,46,26,5,3,0,104,4,0,0,0,0,0,14,25,19,3,3,4,79,0,0,0,0,0,3,5,9,10,4,8,0,40,0,0,9,4,0,10,37,77,18,6,10,8,187,3,5,11,3,0,3,21,4,0,0,0,14,81,80,64,235,178,97,278,1195,1205,313,78,46,107,3867
309031239,0,0,0,3,25,30,27,16,15,7,131,6,0,0,0,0,0,9,34,32,22,31,0,130,3,0,0,0,0,0,3,5,14,16,30,0,62,0,0,0,0,0,0,0,3,3,13,33,3,65,3,0,0,0,0,0,0,3,8,8,40,0,66,7,0,4,0,3,3,8,14,19,16,18,0,85,0,3,3,0,0,3,6,0,0,3,0,9,33,43,3,33,13,19,52,208,236,160,123,223,36,1153
309031240,0,0,0,4,13,36,24,13,17,0,117,4,0,0,0,0,0,16,33,22,6,14,0,91,0,0,0,0,0,0,3,6,18,10,0,0,41,0,0,0,0,0,0,4,9,7,11,13,0,59,0,0,0,0,0,0,0,0,11,0,24,0,41,3,0,0,0,0,0,12,29,14,9,12,4,83,0,0,3,0,0,3,7,4,3,0,0,3,32,39,3,25,16,18,35,221,348,179,70,94,30,1088
309041241,0,0,0,3,3,14,3,0,0,0,35,4,0,0,0,0,0,0,15,5,0,0,0,28,3,0,0,0,0,0,0,3,5,0,0,0,10,3,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,39,0,5,26,11,13,39,64,27,8,9,13,254
309041242,0,0,0,5,14,42,26,12,0,3,116,6,0,3,0,0,0,6,26,16,10,5,0,80,5,0,0,0,0,0,5,7,9,6,3,3,39,0,0,0,0,0,0,3,7,8,6,0,0,29,0,0,0,0,0,3,0,7,11,0,4,0,23,0,0,0,0,0,6,11,23,13,7,3,0,68,0,0,0,0,0,3,0,3,0,0,0,3,19,66,3,10,23,22,63,145,292,135,45,25,36,869
309051243,0,0,0,0,3,8,5,3,0,0,24,4,0,0,3,0,0,0,4,8,3,8,0,29,0,0,0,0,0,0,3,0,3,0,4,0,17,0,0,0,0,0,0,0,0,0,5,3,0,12,0,0,0,0,0,3,0,0,0,0,8,0,17,3,0,0,0,0,0,0,0,4,3,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,14,12,3,21,17,39,35,24,41,9,245
309051244,0,0,3,3,14,79,88,20,4,7,221,3,0,0,0,0,3,3,49,69,12,13,0,156,0,0,0,0,0,0,0,15,33,6,8,4,77,0,0,0,0,0,3,0,12,26,3,11,0,60,0,0,0,0,0,0,0,0,11,9,9,0,31,0,0,0,7,3,4,3,30,29,12,6,7,95,0,0,0,0,0,0,0,7,0,0,0,12,23,39,7,33,43,30,28,81,457,376,94,65,33,1287
309051245,0,0,0,0,4,44,4,16,9,0,81,0,0,0,0,0,0,3,25,16,7,8,0,57,0,0,0,0,0,3,0,9,3,3,11,0,34,0,0,0,0,0,0,0,12,7,3,12,0,34,0,0,0,0,0,0,3,0,3,7,10,0,20,0,0,0,0,0,0,3,16,11,19,16,3,57,0,0,0,0,0,0,0,0,4,0,0,0,11,5,0,4,8,3,14,65,272,83,71,80,10,613
309061246,0,0,0,3,31,84,44,20,9,0,188,3,0,0,3,0,5,19,51,32,18,6,0,136,0,0,0,0,0,0,3,21,25,9,4,0,71,0,0,0,0,0,0,3,20,21,14,10,0,68,0,0,0,0,0,0,0,3,5,17,6,0,35,0,0,4,0,0,0,10,20,28,6,7,0,73,0,0,0,0,0,0,5,6,3,3,0,5,30,29,3,15,79,28,88,234,473,239,108,60,21,1385
