SA2_MAINCODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
701031033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701031034,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,4,8,0,0,0,0,14,19,0,12,0,3,35,14,0,3,0,0,22,16,0,10,3,0,33,9,0,14,0,3,32,9,0,3,0,0,19,4,0,0,0,0,4,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,99,8,56,3,10,178
701031035,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,0,0,0,4,0,0,0,0,0,5,8,0,7,0,0,13,6,0,13,0,0,24,11,0,9,0,0,29,6,0,11,0,0,19,0,0,3,0,0,7,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,60,4,62,3,3,132
701041036,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,19,42,3,38,7,4,87,38,0,46,3,3,94,6,6,5,0,0,19,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,115,9,106,9,9,245
701041037,0,0,0,0,0,0,3,0,0,4,3,0,3,0,0,4,3,0,0,0,0,4,5,0,3,0,0,9,13,0,11,0,0,23,40,0,30,0,4,73,30,4,23,3,3,68,12,4,16,0,4,31,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,103,6,94,8,10,232
701041038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,33,4,52,0,0,91,4,0,8,0,0,16,12,0,9,0,0,21,58,10,55,3,5,130,52,0,58,0,4,120,20,0,33,3,4,63,3,4,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,8,193,18,241,19,17,492
701041039,0,0,0,3,3,0,3,0,0,11,4,0,3,0,0,9,0,0,3,0,0,4,0,0,3,0,0,7,11,0,12,0,0,22,28,5,31,0,3,75,20,0,16,0,0,47,13,0,3,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,8,80,3,16,203
701041040,3,0,0,3,10,0,5,0,0,14,3,0,11,0,0,12,0,0,0,0,3,3,0,0,3,0,0,3,3,3,0,0,0,6,20,3,24,0,0,50,18,4,20,4,0,46,3,3,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,61,13,72,5,8,155
701041041,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,4,0,0,0,0,0,3,19,0,31,0,0,59,4,0,12,0,0,17,12,0,11,0,0,30,62,6,65,0,5,145,42,3,68,0,4,124,14,0,24,0,0,45,5,0,7,0,0,14,0,0,0,0,0,5,0,0,0,0,0,3,7,4,22,3,0,31,179,28,266,9,17,496
701041042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,37,0,0,68,4,0,15,0,0,17,14,0,10,0,0,33,33,0,16,0,0,60,28,0,24,0,0,52,7,3,20,0,0,30,4,4,6,0,0,19,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,5,128,7,146,3,5,288
701041043,0,0,0,0,11,0,0,0,0,10,6,0,0,0,0,9,3,0,6,0,0,6,36,9,73,4,5,123,21,0,22,5,3,43,55,9,45,0,0,116,68,5,55,6,0,129,61,9,75,6,7,161,31,12,71,0,6,119,7,3,21,0,0,35,0,0,6,0,0,7,3,0,3,0,0,7,14,8,30,0,0,52,334,58,440,23,24,878
701041044,3,0,0,3,4,0,0,0,0,6,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,15,18,0,20,3,4,46,31,3,27,3,3,63,11,3,19,0,3,33,3,0,6,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,84,10,84,13,9,198
702011045,7,0,0,14,6,0,0,0,0,9,4,0,0,0,0,5,3,0,0,0,0,5,5,0,6,0,0,15,13,0,3,0,0,19,15,0,15,0,0,33,24,0,24,3,4,60,14,3,9,0,3,27,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,3,0,19,129,11,93,8,11,248
702011046,5,0,0,6,11,3,7,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,0,0,8,23,0,17,0,0,45,61,7,36,3,4,106,38,6,28,0,4,77,4,0,7,0,3,19,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,13,0,4,35,168,16,144,5,13,354
702011047,0,0,0,0,9,0,5,0,0,14,0,0,4,0,0,3,0,0,0,0,0,0,8,0,0,0,0,12,13,0,6,0,0,18,21,3,28,0,3,56,32,8,32,0,0,74,13,6,14,0,0,34,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,0,4,34,120,14,132,18,11,303
702011048,0,0,0,0,11,0,6,0,0,13,3,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,8,7,0,16,0,0,19,32,4,51,0,3,82,25,8,36,3,3,76,7,3,12,0,3,28,9,3,8,0,0,16,5,0,6,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,8,3,15,3,3,32,115,25,168,5,10,325
