SA2_MAINCODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
101021007,18,23,73,56,134,21,12,0,0,15,20,35,32,65,14,6,0,0,11,19,26,23,51,647,651,190,184,472,476,1306,1308,2616
101021008,11,67,75,106,187,31,17,0,0,17,32,48,47,92,10,4,0,0,15,45,26,47,74,1327,1338,349,364,1268,1391,2944,3094,6044
101021009,34,75,90,128,216,53,39,3,0,25,70,79,111,191,40,11,0,0,32,85,69,100,166,1516,1521,447,464,1920,1960,3885,3947,7837
101021010,10,28,37,45,77,16,5,0,0,11,24,28,29,61,4,4,0,0,4,32,12,34,47,739,760,237,219,797,793,1772,1770,3548
101021011,28,46,135,113,245,41,23,0,0,11,23,53,45,98,17,7,0,0,16,32,31,38,67,3356,3380,729,731,1679,1623,5767,5736,11505
101021012,19,39,71,90,157,30,16,0,0,9,22,38,41,73,19,7,0,0,3,27,20,39,63,2453,2493,422,433,1505,1661,4380,4582,8969
101031013,15,14,36,32,73,15,6,0,0,4,20,19,29,50,4,3,0,0,7,28,17,34,50,411,410,95,101,356,296,862,812,1674
101031014,20,64,103,129,230,72,32,3,0,29,61,104,96,198,20,8,0,3,31,108,54,121,173,1047,1063,238,247,975,1147,2256,2462,4714
101031015,23,16,63,45,111,22,12,0,4,9,19,29,33,62,12,3,0,0,11,16,17,15,36,641,660,144,147,391,335,1178,1145,2320
101031016,27,30,68,49,119,24,13,5,0,16,26,43,37,82,19,3,0,0,12,19,29,31,54,1005,1010,331,342,994,770,2331,2126,4458
101041017,50,82,175,171,345,67,39,3,3,29,67,104,118,222,30,14,0,0,28,99,61,113,183,1267,1282,307,300,1085,1213,2653,2794,5447
101041018,44,101,196,222,415,77,44,3,3,35,80,119,126,243,56,29,0,0,29,83,83,110,195,1511,1529,308,336,1026,1330,2846,3198,6043
101041019,23,71,140,153,291,65,39,3,0,32,61,98,105,198,37,25,0,0,25,82,64,106,171,1348,1370,385,404,1036,1277,2774,3056,5824
101041020,33,40,121,99,219,50,25,3,3,28,27,83,57,134,17,4,0,3,27,44,42,55,91,1571,1575,477,502,1130,1077,3179,3157,6338
101041021,11,40,72,73,148,33,22,0,0,13,39,49,58,109,21,13,3,0,22,46,48,57,106,596,612,102,104,406,482,1105,1204,2307
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,7,4,7,9,17
101041023,20,39,69,70,143,32,13,0,0,15,20,45,33,84,10,4,3,0,16,30,28,35,62,492,495,129,136,445,518,1069,1154,2222
101041024,16,17,46,42,87,15,11,0,0,10,10,27,22,46,12,3,0,0,4,20,11,24,37,576,587,190,191,460,452,1229,1234,2461
101041025,40,115,243,275,519,104,77,0,0,44,114,154,196,347,77,35,3,0,53,132,133,166,298,1950,1976,454,462,1237,1612,3647,4049,7695
101041026,44,74,189,185,379,78,53,3,0,46,71,122,126,251,52,21,3,0,32,75,89,99,186,1506,1527,319,333,1127,1202,2959,3062,6020
101041027,56,75,223,193,414,87,62,3,3,39,99,134,161,292,61,37,3,0,43,117,105,156,262,1621,1633,403,421,1144,1329,3171,3384,6560
101051539,81,208,305,374,678,116,87,4,6,76,173,203,265,467,93,46,4,0,68,230,164,280,442,3520,3551,836,884,3227,3815,7580,8251,15828
101051540,72,86,252,187,442,83,53,3,3,57,82,146,129,279,36,10,5,0,40,80,84,96,178,2495,2523,428,419,1665,1459,4587,4403,8996
101061541,24,55,83,103,184,35,29,0,0,18,51,53,83,139,35,17,0,0,21,67,53,79,137,1115,1105,266,284,745,986,2124,2379,4504
101061542,38,44,141,99,247,32,26,4,0,11,38,50,61,117,23,12,3,0,18,33,44,46,95,2375,2390,426,464,1228,1208,4030,4061,8085
101061543,34,105,162,202,367,67,52,0,0,36,101,110,154,259,34,13,3,0,26,112,66,125,195,1695,1729,349,348,1373,1719,3417,3796,7219
101061544,44,61,143,126,270,41,33,0,3,28,55,72,84,164,25,9,3,3,20,71,44,79,124,1350,1362,282,291,1011,997,2645,2653,5294
102011028,17,34,84,85,165,30,10,0,0,14,27,40,46,89,22,13,0,0,15,29,36,38,75,1383,1411,228,239,945,967,2562,2616,5178
102011029,40,89,213,204,419,82,52,0,0,26,84,110,135,247,51,20,4,0,51,103,108,125,231,2208,2213,385,389,1324,1592,3914,4197,8119
102011030,20,20,73,50,123,34,17,0,0,19,11,50,34,81,19,9,0,0,11,20,33,29,60,837,847,186,188,756,587,1778,1621,3402
102011031,58,187,254,336,598,140,116,3,4,46,216,190,337,523,128,69,5,7,72,251,205,325,528,2699,2725,335,351,1658,2467,4691,5539,10227
102011032,88,196,220,318,536,95,63,4,0,48,165,147,228,375,79,49,4,3,70,238,151,283,433,2777,2805,799,774,3058,3685,6634,7263,13897
102011033,11,22,51,56,107,32,13,0,0,3,18,38,32,68,9,6,0,0,14,21,21,32,51,1123,1133,239,242,817,891,2185,2274,4452
102011034,24,115,136,221,359,87,75,0,3,22,117,108,190,303,90,52,3,3,51,173,143,229,370,1362,1382,201,221,921,1431,2488,3031,5519
102011035,18,32,52,75,128,26,15,0,0,15,27,36,39,84,20,11,0,0,15,34,37,45,77,1207,1218,254,261,936,1078,2399,2558,4954
102011036,15,50,79,87,162,24,26,0,0,14,39,34,62,99,29,8,0,0,24,37,50,44,91,1500,1505,282,289,1056,1182,2839,2978,5814
102011037,36,69,122,137,255,53,33,0,0,22,53,77,87,170,24,13,0,0,29,75,58,89,143,1158,1161,245,244,852,1064,2253,2469,4728
102011038,26,52,133,116,253,46,47,0,4,26,62,73,112,182,43,23,0,3,26,80,75,101,176,1354,1382,241,277,818,1042,2416,2705,5120
