SA2_MAINCODE_2016,Med_age_persns_C2006,Med_age_persns_C2011,Med_age_persns_C2016,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Average_hh_size_C2006,Average_hh_size_C2011,Average_hh_size_C2016
101021007,47,46,49,999,1517,1582,376,516,594,148,200,250,926,1253,1432,0.8,0.8,0.8,687,913,1084,2.2,2.3,2.3
101021008,34,35,37,1343,1950,1928,552,743,812,179,277,300,1307,1825,2007,0.8,0.8,0.8,1145,1537,1689,2.7,2.7,2.6
101021009,38,37,36,1233,1755,1733,544,749,837,170,275,280,1206,1662,1844,0.8,0.9,0.9,921,1270,1398,2.1,2.1,2.1
101021010,35,35,35,1300,1900,1842,650,829,883,173,270,270,1427,1850,2001,0.8,0.9,0.9,1045,1402,1433,2.1,2.2,2.2
101021011,39,40,40,1647,2200,2405,704,936,1076,200,300,380,1827,2357,2672,0.8,0.8,0.8,1592,2162,2460,2.9,2.9,2.9
101021012,32,34,36,1733,2383,2167,832,1029,1118,240,330,370,1960,2586,2789,0.8,0.8,0.8,1817,2388,2472,3,3,2.9
101031013,43,46,48,800,999,910,383,463,577,85,100,150,949,1016,1397,0.7,0.7,0.7,736,807,1061,2.3,2.2,2.2
101031014,40,42,45,960,1242,1186,425,518,608,140,180,220,1074,1196,1413,0.7,0.7,0.7,772,892,1013,2.3,2.3,2.2
101031015,45,46,48,1000,1380,1560,417,532,634,100,150,160,1046,1222,1525,0.8,0.8,0.8,841,972,1251,2.4,2.4,2.4
101031016,37,37,39,1300,1600,1500,559,648,761,200,285,320,1237,1435,1765,0.8,0.8,0.8,1211,1353,1627,2.5,2.5,2.4
101041017,45,48,52,1105,1517,1452,343,420,503,180,230,265,747,932,1137,0.8,0.7,0.7,633,778,917,2.3,2.3,2.2
101041018,48,50,54,1192,1500,1517,358,441,521,190,250,280,823,933,1199,0.7,0.7,0.7,681,813,1006,2.3,2.3,2.2
101041019,42,44,46,1005,1300,1400,378,490,586,160,200,270,962,1123,1345,0.8,0.8,0.8,715,902,1062,2.4,2.4,2.3
101041020,43,46,50,921,1200,1278,358,422,496,120,160,200,893,990,1208,0.9,0.9,0.8,722,844,979,2.6,2.5,2.4
101041021,46,49,53,1083,1517,1517,347,469,596,180,222,270,782,1016,1366,0.8,0.7,0.7,635,825,1072,2.3,2.2,2.2
101041022,0,53,65,0,650,0,0,412,537,0,0,0,0,1083,1374,0,0.7,0.5,0,900,849,0,1.8,1.4
101041023,43,47,51,1000,1398,1394,339,414,486,150,190,230,810,975,1134,0.8,0.7,0.7,656,791,844,2.4,2.3,2.2
101041024,43,47,51,977,1300,1300,349,440,512,110,150,180,873,979,1234,0.8,0.8,0.8,727,840,1022,2.5,2.4,2.4
101041025,48,51,54,1192,1500,1500,391,481,565,180,227,270,948,1017,1273,0.8,0.7,0.7,727,865,1018,2.3,2.2,2.1
101041026,47,50,54,1071,1300,1353,346,420,502,155,200,250,765,954,1174,0.8,0.7,0.7,636,796,915,2.3,2.3,2.2
101041027,50,55,58,1040,1300,1300,322,390,492,160,200,230,684,891,1123,0.8,0.7,0.7,589,734,859,2.2,2.1,2.1
101051539,38,40,40,1115,1500,1517,407,518,627,150,185,260,1069,1280,1485,0.8,0.8,0.7,807,964,1164,2.4,2.4,2.4
101051540,43,46,47,1192,1600,1600,391,494,602,100,150,200,1033,1236,1505,0.8,0.7,0.8,827,985,1205,2.5,2.4,2.5
101061541,39,39,41,1209,1764,1763,433,629,728,150,240,300,1143,1583,1853,0.8,0.8,0.8,934,1274,1466,2.5,2.5,2.5
101061542,40,41,42,1560,2100,2024,594,795,921,125,200,250,1504,2001,2341,0.8,0.8,0.8,1310,1687,2050,2.7,2.7,2.8
101061543,37,39,40,997,1300,1300,373,441,535,145,185,225,953,1012,1234,0.8,0.8,0.7,704,818,970,2.5,2.5,2.4
101061544,43,45,48,800,953,1040,354,430,538,90,120,160,843,1007,1290,0.8,0.8,0.7,646,773,967,2.4,2.4,2.3
102011028,37,39,41,1600,2167,2167,525,651,761,250,340,430,1362,1719,2118,0.8,0.8,0.8,1170,1461,1864,2.7,2.8,2.8
102011029,43,46,47,1625,2000,2000,454,553,641,240,310,380,1211,1455,1731,0.8,0.8,0.8,1033,1146,1415,2.6,2.5,2.6
