SA4_NAME16	Year	IndustryOfEmployment	workers
Capital Region	2006		1983
Capital Region	2006	Accommodation and food services	7389
Capital Region	2006	Administrative and support services	2212
Capital Region	2006	Agriculture forestry and fishing	6883
Capital Region	2006	Arts and recreation services	1404
Capital Region	2006	Construction	7396
Capital Region	2006	Education and training	5970
Capital Region	2006	Electricity gas water and waste services	1226
Capital Region	2006	Financial and insurance services	1384
Capital Region	2006	Health care and social assistance	8581
Capital Region	2006	Information media and telecommunications	1136
Capital Region	2006	Manufacturing	5686
Capital Region	2006	Mining	221
Capital Region	2006	Other services	3137
Capital Region	2006	Professional scientific and technical services	4398
Capital Region	2006	Public administration and safety	10894
Capital Region	2006	Rental hiring and real estate services	1320
Capital Region	2006	Retail trade	10434
Capital Region	2006	Transport postal and warehousing	3671
Capital Region	2006	Wholesale trade	2300
Capital Region	2011		1999
Capital Region	2011	Accommodation and food services	7655
Capital Region	2011	Administrative and support services	2473
Capital Region	2011	Agriculture forestry and fishing	6148
Capital Region	2011	Arts and recreation services	1575
Capital Region	2011	Construction	8536
Capital Region	2011	Education and training	6769
Capital Region	2011	Electricity gas water and waste services	1441
Capital Region	2011	Financial and insurance services	1432
Capital Region	2011	Health care and social assistance	10227
Capital Region	2011	Information media and telecommunications	1100
Capital Region	2011	Manufacturing	5349
Capital Region	2011	Mining	363
Capital Region	2011	Other services	3449
Capital Region	2011	Professional scientific and technical services	5014
Capital Region	2011	Public administration and safety	13465
Capital Region	2011	Rental hiring and real estate services	1370
Capital Region	2011	Retail trade	10371
Capital Region	2011	Transport postal and warehousing	3677
Capital Region	2011	Wholesale trade	2260
Capital Region	2016		3697
Capital Region	2016	Accommodation and food services	7892
Capital Region	2016	Administrative and support services	2986
Capital Region	2016	Agriculture forestry and fishing	6334
Capital Region	2016	Arts and recreation services	1736
Capital Region	2016	Construction	9142
Capital Region	2016	Education and training	7346
Capital Region	2016	Electricity gas water and waste services	1299
Capital Region	2016	Financial and insurance services	1251
Capital Region	2016	Health care and social assistance	11315
Capital Region	2016	Information media and telecommunications	1072
Capital Region	2016	Manufacturing	4308
Capital Region	2016	Mining	497
Capital Region	2016	Other services	3593
Capital Region	2016	Professional scientific and technical services	4974
Capital Region	2016	Public administration and safety	13691
Capital Region	2016	Rental hiring and real estate services	1423
Capital Region	2016	Retail trade	9524
Capital Region	2016	Transport postal and warehousing	3548
Capital Region	2016	Wholesale trade	1690
Central Coast	2006		2869
Central Coast	2006	Accommodation and food services	8277
Central Coast	2006	Administrative and support services	3640
Central Coast	2006	Agriculture forestry and fishing	998
Central Coast	2006	Arts and recreation services	1689
Central Coast	2006	Construction	11729
Central Coast	2006	Education and training	8261
Central Coast	2006	Electricity gas water and waste services	1521
Central Coast	2006	Financial and insurance services	4207
Central Coast	2006	Health care and social assistance	15477
Central Coast	2006	Information media and telecommunications	2414
Central Coast	2006	Manufacturing	11723
Central Coast	2006	Mining	405
Central Coast	2006	Other services	4950
Central Coast	2006	Professional scientific and technical services	6229
Central Coast	2006	Public administration and safety	7513
Central Coast	2006	Rental hiring and real estate services	2284
Central Coast	2006	Retail trade	16529
Central Coast	2006	Transport postal and warehousing	5318
Central Coast	2006	Wholesale trade	4674
Central Coast	2011		3036
Central Coast	2011	Accommodation and food services	9485
Central Coast	2011	Administrative and support services	4514
Central Coast	2011	Agriculture forestry and fishing	909
Central Coast	2011	Arts and recreation services	1961
Central Coast	2011	Construction	12586
Central Coast	2011	Education and training	9418
Central Coast	2011	Electricity gas water and waste services	1860
Central Coast	2011	Financial and insurance services	4139
Central Coast	2011	Health care and social assistance	18619
Central Coast	2011	Information media and telecommunications	2600
Central Coast	2011	Manufacturing	11473
Central Coast	2011	Mining	716
Central Coast	2011	Other services	5384
Central Coast	2011	Professional scientific and technical services	7169
Central Coast	2011	Public administration and safety	8354
Central Coast	2011	Rental hiring and real estate services	2167
Central Coast	2011	Retail trade	16421
Central Coast	2011	Transport postal and warehousing	5685
Central Coast	2011	Wholesale trade	4530
Central Coast	2016		5841
Central Coast	2016	Accommodation and food services	10589
Central Coast	2016	Administrative and support services	4980
Central Coast	2016	Agriculture forestry and fishing	1113
Central Coast	2016	Arts and recreation services	2126
Central Coast	2016	Construction	15724
Central Coast	2016	Education and training	10708
Central Coast	2016	Electricity gas water and waste services	1550
Central Coast	2016	Financial and insurance services	4665
Central Coast	2016	Health care and social assistance	21413
Central Coast	2016	Information media and telecommunications	2684
Central Coast	2016	Manufacturing	8733
Central Coast	2016	Mining	762
Central Coast	2016	Other services	5868
Central Coast	2016	Professional scientific and technical services	7520
Central Coast	2016	Public administration and safety	8703
Central Coast	2016	Rental hiring and real estate services	2433
Central Coast	2016	Retail trade	15491
Central Coast	2016	Transport postal and warehousing	5260
Central Coast	2016	Wholesale trade	3437
Central West	2006		1755
Central West	2006	Accommodation and food services	5435
Central West	2006	Administrative and support services	1597
Central West	2006	Agriculture forestry and fishing	9794
Central West	2006	Arts and recreation services	656
Central West	2006	Construction	5087
Central West	2006	Education and training	6753
Central West	2006	Electricity gas water and waste services	1300
Central West	2006	Financial and insurance services	1323
Central West	2006	Health care and social assistance	8649
Central West	2006	Information media and telecommunications	895
Central West	2006	Manufacturing	7704
Central West	2006	Mining	2963
Central West	2006	Other services	2916
Central West	2006	Professional scientific and technical services	2689
Central West	2006	Public administration and safety	5517
Central West	2006	Rental hiring and real estate services	909
Central West	2006	Retail trade	9327
Central West	2006	Transport postal and warehousing	3518
Central West	2006	Wholesale trade	2269
Central West	2011		1856
Central West	2011	Accommodation and food services	5720
Central West	2011	Administrative and support services	2045
Central West	2011	Agriculture forestry and fishing	8578
Central West	2011	Arts and recreation services	681
Central West	2011	Construction	5582
Central West	2011	Education and training	7513
Central West	2011	Electricity gas water and waste services	1385
Central West	2011	Financial and insurance services	1211
Central West	2011	Health care and social assistance	10188
Central West	2011	Information media and telecommunications	770
Central West	2011	Manufacturing	7063
Central West	2011	Mining	5160
Central West	2011	Other services	3282
Central West	2011	Professional scientific and technical services	3075
Central West	2011	Public administration and safety	5688
Central West	2011	Rental hiring and real estate services	918
Central West	2011	Retail trade	8916
Central West	2011	Transport postal and warehousing	3713
Central West	2011	Wholesale trade	2327
Central West	2016		3225
Central West	2016	Accommodation and food services	5920
Central West	2016	Administrative and support services	2363
Central West	2016	Agriculture forestry and fishing	8318
Central West	2016	Arts and recreation services	821
Central West	2016	Construction	6195
Central West	2016	Education and training	7930
Central West	2016	Electricity gas water and waste services	1128
Central West	2016	Financial and insurance services	1207
Central West	2016	Health care and social assistance	11381
Central West	2016	Information media and telecommunications	753
Central West	2016	Manufacturing	5252
Central West	2016	Mining	4617
Central West	2016	Other services	3394
Central West	2016	Professional scientific and technical services	3041
Central West	2016	Public administration and safety	6108
Central West	2016	Rental hiring and real estate services	969
Central West	2016	Retail trade	8549
Central West	2016	Transport postal and warehousing	3279
Central West	2016	Wholesale trade	1824
Coffs Harbour - Grafton	2006		1063
Coffs Harbour - Grafton	2006	Accommodation and food services	4522
Coffs Harbour - Grafton	2006	Administrative and support services	1275
Coffs Harbour - Grafton	2006	Agriculture forestry and fishing	2644
Coffs Harbour - Grafton	2006	Arts and recreation services	679
Coffs Harbour - Grafton	2006	Construction	3777
Coffs Harbour - Grafton	2006	Education and training	3910
Coffs Harbour - Grafton	2006	Electricity gas water and waste services	422
Coffs Harbour - Grafton	2006	Financial and insurance services	996
Coffs Harbour - Grafton	2006	Health care and social assistance	5894
Coffs Harbour - Grafton	2006	Information media and telecommunications	687
Coffs Harbour - Grafton	2006	Manufacturing	3347
Coffs Harbour - Grafton	2006	Mining	80
Coffs Harbour - Grafton	2006	Other services	1837
Coffs Harbour - Grafton	2006	Professional scientific and technical services	1865
Coffs Harbour - Grafton	2006	Public administration and safety	3120
Coffs Harbour - Grafton	2006	Rental hiring and real estate services	861
Coffs Harbour - Grafton	2006	Retail trade	6883
Coffs Harbour - Grafton	2006	Transport postal and warehousing	1867
Coffs Harbour - Grafton	2006	Wholesale trade	1378
Coffs Harbour - Grafton	2011		1065
Coffs Harbour - Grafton	2011	Accommodation and food services	4774
Coffs Harbour - Grafton	2011	Administrative and support services	1464
Coffs Harbour - Grafton	2011	Agriculture forestry and fishing	2446
Coffs Harbour - Grafton	2011	Arts and recreation services	693
Coffs Harbour - Grafton	2011	Construction	4444
Coffs Harbour - Grafton	2011	Education and training	4357
Coffs Harbour - Grafton	2011	Electricity gas water and waste services	549
Coffs Harbour - Grafton	2011	Financial and insurance services	958
Coffs Harbour - Grafton	2011	Health care and social assistance	7475
Coffs Harbour - Grafton	2011	Information media and telecommunications	542
Coffs Harbour - Grafton	2011	Manufacturing	3176
Coffs Harbour - Grafton	2011	Mining	213
Coffs Harbour - Grafton	2011	Other services	1990
Coffs Harbour - Grafton	2011	Professional scientific and technical services	2085
Coffs Harbour - Grafton	2011	Public administration and safety	3462
Coffs Harbour - Grafton	2011	Rental hiring and real estate services	874
Coffs Harbour - Grafton	2011	Retail trade	6720
Coffs Harbour - Grafton	2011	Transport postal and warehousing	1904
Coffs Harbour - Grafton	2011	Wholesale trade	1350
Coffs Harbour - Grafton	2016		1970
Coffs Harbour - Grafton	2016	Accommodation and food services	4834
Coffs Harbour - Grafton	2016	Administrative and support services	1776
Coffs Harbour - Grafton	2016	Agriculture forestry and fishing	3041
Coffs Harbour - Grafton	2016	Arts and recreation services	725
Coffs Harbour - Grafton	2016	Construction	4924
Coffs Harbour - Grafton	2016	Education and training	4563
Coffs Harbour - Grafton	2016	Electricity gas water and waste services	451
Coffs Harbour - Grafton	2016	Financial and insurance services	761
Coffs Harbour - Grafton	2016	Health care and social assistance	8543
Coffs Harbour - Grafton	2016	Information media and telecommunications	500
Coffs Harbour - Grafton	2016	Manufacturing	2264
Coffs Harbour - Grafton	2016	Mining	226
Coffs Harbour - Grafton	2016	Other services	2041
Coffs Harbour - Grafton	2016	Professional scientific and technical services	2129
Coffs Harbour - Grafton	2016	Public administration and safety	3432
Coffs Harbour - Grafton	2016	Rental hiring and real estate services	853
Coffs Harbour - Grafton	2016	Retail trade	6172
Coffs Harbour - Grafton	2016	Transport postal and warehousing	1925
Coffs Harbour - Grafton	2016	Wholesale trade	929
Far West and Orana	2006		1338
Far West and Orana	2006	Accommodation and food services	3061
Far West and Orana	2006	Administrative and support services	988
