SA4_NAME16	Year	Age.min	Sex	persons
Capital Region	2006			7642
Capital Region	2006	0	F	1152
Capital Region	2006	0	M	1244
Capital Region	2006	1	F	1119
Capital Region	2006	1	M	1202
Capital Region	2006	2	F	1119
Capital Region	2006	2	M	1181
Capital Region	2006	3	F	1157
Capital Region	2006	3	M	1240
Capital Region	2006	4	F	1171
Capital Region	2006	4	M	1223
Capital Region	2006	5	F	1281
Capital Region	2006	5	M	1319
Capital Region	2006	6	F	1308
Capital Region	2006	6	M	1315
Capital Region	2006	7	F	1334
Capital Region	2006	7	M	1411
Capital Region	2006	8	F	1345
Capital Region	2006	8	M	1358
Capital Region	2006	9	F	1338
Capital Region	2006	9	M	1386
Capital Region	2006	10	F	1368
Capital Region	2006	10	M	1494
Capital Region	2006	11	F	1462
Capital Region	2006	11	M	1534
Capital Region	2006	12	F	1526
Capital Region	2006	12	M	1515
Capital Region	2006	13	F	1493
Capital Region	2006	13	M	1504
Capital Region	2006	14	F	1423
Capital Region	2006	14	M	1493
Capital Region	2006	15	F	1500
Capital Region	2006	15	M	1492
Capital Region	2006	16	F	1415
Capital Region	2006	16	M	1461
Capital Region	2006	17	F	1340
Capital Region	2006	17	M	1348
Capital Region	2006	18	F	1086
Capital Region	2006	18	M	1248
Capital Region	2006	19	F	937
Capital Region	2006	19	M	1104
Capital Region	2006	20	F	944
Capital Region	2006	20	M	1085
Capital Region	2006	21	F	859
Capital Region	2006	21	M	977
Capital Region	2006	22	F	890
Capital Region	2006	22	M	912
Capital Region	2006	23	F	890
Capital Region	2006	23	M	935
Capital Region	2006	24	F	870
Capital Region	2006	24	M	889
Capital Region	2006	25	F	866
Capital Region	2006	25	M	897
Capital Region	2006	26	F	848
Capital Region	2006	26	M	884
Capital Region	2006	27	F	888
Capital Region	2006	27	M	897
Capital Region	2006	28	F	917
Capital Region	2006	28	M	884
Capital Region	2006	29	F	989
Capital Region	2006	29	M	882
Capital Region	2006	30	F	935
Capital Region	2006	30	M	1021
Capital Region	2006	31	F	1092
Capital Region	2006	31	M	1076
Capital Region	2006	32	F	1102
Capital Region	2006	32	M	1073
Capital Region	2006	33	F	1271
Capital Region	2006	33	M	1144
Capital Region	2006	34	F	1346
Capital Region	2006	34	M	1207
Capital Region	2006	35	F	1359
Capital Region	2006	35	M	1327
Capital Region	2006	36	F	1444
Capital Region	2006	36	M	1267
Capital Region	2006	37	F	1434
Capital Region	2006	37	M	1245
Capital Region	2006	38	F	1368
Capital Region	2006	38	M	1316
Capital Region	2006	39	F	1432
Capital Region	2006	39	M	1330
Capital Region	2006	40	F	1383
Capital Region	2006	40	M	1322
Capital Region	2006	41	F	1406
Capital Region	2006	41	M	1386
Capital Region	2006	42	F	1475
Capital Region	2006	42	M	1478
Capital Region	2006	43	F	1569
Capital Region	2006	43	M	1504
Capital Region	2006	44	F	1595
Capital Region	2006	44	M	1580
Capital Region	2006	45	F	1596
Capital Region	2006	45	M	1618
Capital Region	2006	46	F	1550
Capital Region	2006	46	M	1501
Capital Region	2006	47	F	1536
Capital Region	2006	47	M	1580
Capital Region	2006	48	F	1529
Capital Region	2006	48	M	1522
Capital Region	2006	49	F	1502
Capital Region	2006	49	M	1543
Capital Region	2006	50	F	1439
Capital Region	2006	50	M	1496
Capital Region	2006	51	F	1441
Capital Region	2006	51	M	1491
Capital Region	2006	52	F	1427
Capital Region	2006	52	M	1447
Capital Region	2006	53	F	1489
Capital Region	2006	53	M	1505
Capital Region	2006	54	F	1386
Capital Region	2006	54	M	1376
Capital Region	2006	55	F	1376
Capital Region	2006	55	M	1428
Capital Region	2006	56	F	1362
Capital Region	2006	56	M	1486
Capital Region	2006	57	F	1358
Capital Region	2006	57	M	1409
Capital Region	2006	58	F	1412
Capital Region	2006	58	M	1431
Capital Region	2006	59	F	1502
Capital Region	2006	59	M	1609
Capital Region	2006	60	F	1200
Capital Region	2006	60	M	1306
Capital Region	2006	61	F	1249
Capital Region	2006	61	M	1271
Capital Region	2006	62	F	1193
Capital Region	2006	62	M	1191
Capital Region	2006	63	F	1123
Capital Region	2006	63	M	1101
Capital Region	2006	64	F	1112
Capital Region	2006	64	M	1150
Capital Region	2006	65	F	1027
Capital Region	2006	65	M	1085
Capital Region	2006	66	F	980
Capital Region	2006	66	M	1033
Capital Region	2006	67	F	926
Capital Region	2006	67	M	982
Capital Region	2006	68	F	900
Capital Region	2006	68	M	946
Capital Region	2006	69	F	841
Capital Region	2006	69	M	873
Capital Region	2006	70	F	812
Capital Region	2006	70	M	839
Capital Region	2006	71	F	817
Capital Region	2006	71	M	810
Capital Region	2006	72	F	729
Capital Region	2006	72	M	714
Capital Region	2006	73	F	686
Capital Region	2006	73	M	726
Capital Region	2006	74	F	717
Capital Region	2006	74	M	689
