SA4_NAME16	Year	Landlord	Rent.min	occupied_private_dwellings_being_rented
Capital Region	2006			36
Capital Region	2006		0	766
Capital Region	2006		3937	10
Capital Region	2006		5250	42
Capital Region	2006		7875	30
Capital Region	2006		10500	11
Capital Region	2006		11812	6
Capital Region	2006		14437	0
Capital Region	2006		18375	0
Capital Region	2006		23625	0
Capital Region	2006		28875	0
Capital Region	2006		34125	0
Capital Region	2006		39375	0
Capital Region	2006		44625	0
Capital Region	2006		49875	3
Capital Region	2006	(Other)		172
Capital Region	2006	(Other)	0	391
Capital Region	2006	(Other)	3937	88
Capital Region	2006	(Other)	5250	265
Capital Region	2006	(Other)	7875	367
Capital Region	2006	(Other)	10500	73
Capital Region	2006	(Other)	11812	53
Capital Region	2006	(Other)	14437	38
Capital Region	2006	(Other)	18375	25
Capital Region	2006	(Other)	23625	20
Capital Region	2006	(Other)	28875	14
Capital Region	2006	(Other)	34125	6
Capital Region	2006	(Other)	39375	3
Capital Region	2006	(Other)	44625	6
Capital Region	2006	(Other)	49875	19
Capital Region	2006	Co-op/church group etc		40
Capital Region	2006	Co-op/church group etc	0	191
Capital Region	2006	Co-op/church group etc	3937	110
Capital Region	2006	Co-op/church group etc	5250	115
Capital Region	2006	Co-op/church group etc	7875	39
Capital Region	2006	Co-op/church group etc	10500	7
Capital Region	2006	Co-op/church group etc	11812	3
Capital Region	2006	Co-op/church group etc	14437	3
Capital Region	2006	Co-op/church group etc	18375	0
Capital Region	2006	Co-op/church group etc	23625	0
Capital Region	2006	Co-op/church group etc	28875	0
Capital Region	2006	Co-op/church group etc	34125	0
Capital Region	2006	Co-op/church group etc	39375	0
Capital Region	2006	Co-op/church group etc	44625	0
Capital Region	2006	Co-op/church group etc	49875	6
Capital Region	2006	Person not in same household		221
Capital Region	2006	Person not in same household	0	686
Capital Region	2006	Person not in same household	3937	262
Capital Region	2006	Person not in same household	5250	1207
Capital Region	2006	Person not in same household	7875	1222
Capital Region	2006	Person not in same household	10500	558
Capital Region	2006	Person not in same household	11812	420
Capital Region	2006	Person not in same household	14437	233
Capital Region	2006	Person not in same household	18375	116
Capital Region	2006	Person not in same household	23625	39
Capital Region	2006	Person not in same household	28875	18
Capital Region	2006	Person not in same household	34125	10
Capital Region	2006	Person not in same household	39375	6
Capital Region	2006	Person not in same household	44625	3
Capital Region	2006	Person not in same household	49875	48
Capital Region	2006	Real estate agent		140
Capital Region	2006	Real estate agent	0	63
Capital Region	2006	Real estate agent	3937	225
Capital Region	2006	Real estate agent	5250	1739
Capital Region	2006	Real estate agent	7875	2901
Capital Region	2006	Real estate agent	10500	1135
