SA4_NAME16	Year	medianTotalFamilyIncomeWeekly
Capital Region	2006	1082
Central Coast	2006	1090
Central West	2006	1050
Coffs Harbour - Grafton	2006	845
Far West and Orana	2006	967
Hunter Valley exc Newcastle	2006	1111
Illawarra	2006	1158
Mid North Coast	2006	795
Murray	2006	1064
New England and North West	2006	999
Newcastle and Lake Macquarie	2006	1122
Richmond - Tweed	2006	928
Riverina	2006	1081
Southern Highlands and Shoalhaven	2006	975
Sydney - Baulkham Hills and Hawkesbury	2006	1816
Sydney - Blacktown	2006	1210
Sydney - City and Inner South	2006	1552
Sydney - Eastern Suburbs	2006	1879
Sydney - Inner South West	2006	1125
Sydney - Inner West	2006	1586
Sydney - North Sydney and Hornsby	2006	2210
Sydney - Northern Beaches	2006	1783
Sydney - Outer South West	2006	1247
Sydney - Outer West and Blue Mountains	2006	1299
Sydney - Parramatta	2006	1144
Sydney - Ryde	2006	1644
Sydney - South West	2006	1073
Sydney - Sutherland	2006	1652
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	1022
Bendigo	2006	1036
Geelong	2006	1117
Hume	2006	1060
Latrobe - Gippsland	2006	1010
Melbourne - Inner	2006	1559
Melbourne - Inner East	2006	1604
Melbourne - Inner South	2006	1539
Melbourne - North East	2006	1218
Melbourne - North West	2006	1127
Melbourne - Outer East	2006	1289
Melbourne - South East	2006	1155
Melbourne - West	2006	1155
Mornington Peninsula	2006	1131
North West	2006	1005
Shepparton	2006	1039
Warrnambool and South West	2006	1071
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Brisbane - East	2006	1265
Brisbane - North	2006	1275
Brisbane - South	2006	1335
Brisbane - West	2006	1675
Brisbane Inner City	2006	1783
Cairns	2006	1122
Darling Downs - Maranoa	2006	1014
Central Queensland	2006	1214
Gold Coast	2006	1155
Ipswich	2006	1109
Logan - Beaudesert	2006	1141
Mackay - Isaac - Whitsunday	2006	1308
