SA4_NAME16	Year	AustCitizen	Sex	persons
Capital Region	2006	0		18467
Capital Region	2006	1	F	90543
Capital Region	2006	1	M	88932
Capital Region	2011	0		19725
Capital Region	2011	1	F	94870
Capital Region	2011	1	M	93228
Capital Region	2016	0		25120
Capital Region	2016	1	F	97538
Capital Region	2016	1	M	96185
Central Coast	2006	0		33482
Central Coast	2006	1	F	136893
Central Coast	2006	1	M	127582
Central Coast	2011	0		32019
Central Coast	2011	1	F	145313
Central Coast	2011	1	M	134850
Central Coast	2016	0		35733
Central Coast	2016	1	F	150449
Central Coast	2016	1	M	141554
Central West	2006	0		15453
Central West	2006	1	F	88085
Central West	2006	1	M	86133
Central West	2011	0		17769
Central West	2011	1	F	90383
Central West	2011	1	M	88588
Central West	2016	0		24433
Central West	2016	1	F	91843
Central West	2016	1	M	89879
Coffs Harbour - Grafton	2006	0		10436
Coffs Harbour - Grafton	2006	1	F	58889
Coffs Harbour - Grafton	2006	1	M	56144
Coffs Harbour - Grafton	2011	0		11571
Coffs Harbour - Grafton	2011	1	F	61132
Coffs Harbour - Grafton	2011	1	M	57899
Coffs Harbour - Grafton	2016	0		15905
Coffs Harbour - Grafton	2016	1	F	61713
Coffs Harbour - Grafton	2016	1	M	58670
Far West and Orana	2006	0		10164
Far West and Orana	2006	1	F	52532
Far West and Orana	2006	1	M	51789
Far West and Orana	2011	0		10571
Far West and Orana	2011	1	F	52227
Far West and Orana	2011	1	M	50791
Far West and Orana	2016	0		14474
Far West and Orana	2016	1	F	50358
Far West and Orana	2016	1	M	48947
Hunter Valley exc Newcastle	2006	0		18904
Hunter Valley exc Newcastle	2006	1	F	104652
Hunter Valley exc Newcastle	2006	1	M	102197
Hunter Valley exc Newcastle	2011	0		21245
Hunter Valley exc Newcastle	2011	1	F	112211
Hunter Valley exc Newcastle	2011	1	M	109791
Hunter Valley exc Newcastle	2016	0		26971
Hunter Valley exc Newcastle	2016	1	F	119583
Hunter Valley exc Newcastle	2016	1	M	116862
Illawarra	2006	0		29698
Illawarra	2006	1	F	118660
Illawarra	2006	1	M	115179
Illawarra	2011	0		30485
Illawarra	2011	1	F	124817
Illawarra	2011	1	M	120681
Illawarra	2016	0		36186
Illawarra	2016	1	F	130970
Illawarra	2016	1	M	126338
Mid North Coast	2006	0		16175
Mid North Coast	2006	1	F	90601
Mid North Coast	2006	1	M	85953
Mid North Coast	2011	0		17060
Mid North Coast	2011	1	F	94782
Mid North Coast	2011	1	M	89268
Mid North Coast	2016	0		21741
Mid North Coast	2016	1	F	97932
Mid North Coast	2016	1	M	92528
Murray	2006	0		8421
Murray	2006	1	F	51114
Murray	2006	1	M	50086
Murray	2011	0		9531
Murray	2011	1	F	51180
Murray	2011	1	M	49606
Murray	2016	0		13426
Murray	2016	1	F	51999
Murray	2016	1	M	50378
New England and North West	2006	0		13273
New England and North West	2006	1	F	80810
New England and North West	2006	1	M	78313
New England and North West	2011	0		15363
New England and North West	2011	1	F	81837
New England and North West	2011	1	M	78993
New England and North West	2016	0		21891
New England and North West	2016	1	F	81317
New England and North West	2016	1	M	78347
Newcastle and Lake Macquarie	2006	0		28330
Newcastle and Lake Macquarie	2006	1	F	154597
Newcastle and Lake Macquarie	2006	1	M	147032
Newcastle and Lake Macquarie	2011	0		29277
Newcastle and Lake Macquarie	2011	1	F	160195
Newcastle and Lake Macquarie	2011	1	M	153133
Newcastle and Lake Macquarie	2016	0		33333
Newcastle and Lake Macquarie	2016	1	F	166226
Newcastle and Lake Macquarie	2016	1	M	159547
Richmond - Tweed	2006	0		21312
Richmond - Tweed	2006	1	F	101866
Richmond - Tweed	2006	1	M	96150
Richmond - Tweed	2011	0		22273
Richmond - Tweed	2011	1	F	105860
Richmond - Tweed	2011	1	M	99487
Richmond - Tweed	2016	0		29757
Richmond - Tweed	2016	1	F	108062
Richmond - Tweed	2016	1	M	101785
Riverina	2006	0		12421
Riverina	2006	1	F	68520
Riverina	2006	1	M	67260
Riverina	2011	0		14349
Riverina	2011	1	F	68687
Riverina	2011	1	M	67083
Riverina	2016	0		20168
Riverina	2016	1	F	68793
Riverina	2016	1	M	66973
Southern Highlands and Shoalhaven	2006	0		12636
Southern Highlands and Shoalhaven	2006	1	F	60469
Southern Highlands and Shoalhaven	2006	1	M	57577
Southern Highlands and Shoalhaven	2011	0		13177
Southern Highlands and Shoalhaven	2011	1	F	63717
Southern Highlands and Shoalhaven	2011	1	M	60112
Southern Highlands and Shoalhaven	2016	0		16588
Southern Highlands and Shoalhaven	2016	1	F	67123
Southern Highlands and Shoalhaven	2016	1	M	63652
Sydney - Baulkham Hills and Hawkesbury	2006	0		22067
Sydney - Baulkham Hills and Hawkesbury	2006	1	F	89894
Sydney - Baulkham Hills and Hawkesbury	2006	1	M	87568
Sydney - Baulkham Hills and Hawkesbury	2011	0		23325
Sydney - Baulkham Hills and Hawkesbury	2011	1	F	94514
Sydney - Baulkham Hills and Hawkesbury	2011	1	M	92572
Sydney - Baulkham Hills and Hawkesbury	2016	0		30412
