SA4_NAME16	Year	BornAust	Sex	persons
Capital Region	2006	0	F	11707
Capital Region	2006	0	M	11601
Capital Region	2006	1	F	81428
Capital Region	2006	1	M	80485
Capital Region	2011	0	F	13060
Capital Region	2011	0	M	12654
Capital Region	2011	1	F	85449
Capital Region	2011	1	M	84761
Capital Region	2016	0	F	13905
Capital Region	2016	0	M	13491
Capital Region	2016	1	F	86653
Capital Region	2016	1	M	86461
Central Coast	2006	0	F	20293
Central Coast	2006	0	M	19350
Central Coast	2006	1	F	122841
Central Coast	2006	1	M	114424
Central Coast	2011	0	F	22745
Central Coast	2011	0	M	21043
Central Coast	2011	1	F	130205
Central Coast	2011	1	M	121434
Central Coast	2016	0	F	25110
Central Coast	2016	0	M	22946
Central Coast	2016	1	F	132713
Central Coast	2016	1	M	125665
Central West	2006	0	F	6313
Central West	2006	0	M	6274
Central West	2006	1	F	83494
Central West	2006	1	M	82943
Central West	2011	0	F	7086
Central West	2011	0	M	7144
Central West	2011	1	F	85802
Central West	2011	1	M	85138
Central West	2016	0	F	7908
Central West	2016	0	M	7635
Central West	2016	1	F	85782
Central West	2016	1	M	85471
Coffs Harbour - Grafton	2006	0	F	6315
Coffs Harbour - Grafton	2006	0	M	5846
Coffs Harbour - Grafton	2006	1	F	54297
Coffs Harbour - Grafton	2006	1	M	52180
Coffs Harbour - Grafton	2011	0	F	7347
Coffs Harbour - Grafton	2011	0	M	6657
Coffs Harbour - Grafton	2011	1	F	56326
Coffs Harbour - Grafton	2011	1	M	53922
Coffs Harbour - Grafton	2016	0	F	8212
Coffs Harbour - Grafton	2016	0	M	7249
Coffs Harbour - Grafton	2016	1	F	55865
Coffs Harbour - Grafton	2016	1	M	53896
Far West and Orana	2006	0	F	2721
Far West and Orana	2006	0	M	2771
Far West and Orana	2006	1	F	50480
Far West and Orana	2006	1	M	49892
Far West and Orana	2011	0	F	2989
Far West and Orana	2011	0	M	2949
Far West and Orana	2011	1	F	50559
Far West and Orana	2011	1	M	49683
Far West and Orana	2016	0	F	3494
Far West and Orana	2016	0	M	3305
Far West and Orana	2016	1	F	47902
Far West and Orana	2016	1	M	47214
Hunter Valley exc Newcastle	2006	0	F	8821
Hunter Valley exc Newcastle	2006	0	M	8526
Hunter Valley exc Newcastle	2006	1	F	98316
Hunter Valley exc Newcastle	2006	1	M	96942
Hunter Valley exc Newcastle	2011	0	F	10204
Hunter Valley exc Newcastle	2011	0	M	9958
Hunter Valley exc Newcastle	2011	1	F	105904
Hunter Valley exc Newcastle	2011	1	M	104364
