SA4_NAME16	Year	overseas_visitors
Capital Region	2006	1088
Capital Region	2011	1136
Capital Region	2016	1541
Central Coast	2006	961
Central Coast	2011	820
Central Coast	2016	1177
Central West	2006	454
Central West	2011	637
Central West	2016	531
Coffs Harbour - Grafton	2006	614
Coffs Harbour - Grafton	2011	690
Coffs Harbour - Grafton	2016	911
Far West and Orana	2006	309
Far West and Orana	2011	386
Far West and Orana	2016	414
Hunter Valley exc Newcastle	2006	655
Hunter Valley exc Newcastle	2011	681
Hunter Valley exc Newcastle	2016	876
Illawarra	2006	1344
Illawarra	2011	1507
Illawarra	2016	1967
Mid North Coast	2006	670
Mid North Coast	2011	564
Mid North Coast	2016	793
Murray	2006	343
Murray	2011	328
Murray	2016	537
New England and North West	2006	553
New England and North West	2011	730
New England and North West	2016	959
Newcastle and Lake Macquarie	2006	1448
Newcastle and Lake Macquarie	2011	1523
Newcastle and Lake Macquarie	2016	1805
Richmond - Tweed	2006	2032
Richmond - Tweed	2011	2077
Richmond - Tweed	2016	1914
Riverina	2006	493
Riverina	2011	557
Riverina	2016	919
Southern Highlands and Shoalhaven	2006	438
Southern Highlands and Shoalhaven	2011	521
Southern Highlands and Shoalhaven	2016	570
Sydney - Baulkham Hills and Hawkesbury	2006	1258
Sydney - Baulkham Hills and Hawkesbury	2011	1436
Sydney - Baulkham Hills and Hawkesbury	2016	2611
Sydney - Blacktown	2006	1597
Sydney - Blacktown	2011	2031
Sydney - Blacktown	2016	3833
Sydney - City and Inner South	2006	14332
Sydney - City and Inner South	2011	16021
Sydney - City and Inner South	2016	25966
Sydney - Eastern Suburbs	2006	5329
Sydney - Eastern Suburbs	2011	4940
Sydney - Eastern Suburbs	2016	6379
Sydney - Inner South West	2006	3380
Sydney - Inner South West	2011	4146
Sydney - Inner South West	2016	7688
Sydney - Inner West	2006	2755
Sydney - Inner West	2011	2886
Sydney - Inner West	2016	4757
Sydney - North Sydney and Hornsby	2006	4795
Sydney - North Sydney and Hornsby	2011	5144
Sydney - North Sydney and Hornsby	2016	7787
Sydney - Northern Beaches	2006	2615
Sydney - Northern Beaches	2011	2244
Sydney - Northern Beaches	2016	2749
Sydney - Outer South West	2006	718
Sydney - Outer South West	2011	698
Sydney - Outer South West	2016	1520
Sydney - Outer West and Blue Mountains	2006	1278
Sydney - Outer West and Blue Mountains	2011	1084
Sydney - Outer West and Blue Mountains	2016	2017
Sydney - Parramatta	2006	3241
Sydney - Parramatta	2011	4199
Sydney - Parramatta	2016	7456
Sydney - Ryde	2006	2370
Sydney - Ryde	2011	2634
Sydney - Ryde	2016	4109
Sydney - South West	2006	1060
Sydney - South West	2011	1448
Sydney - South West	2016	2676
Sydney - Sutherland	2006	833
Sydney - Sutherland	2011	847
Sydney - Sutherland	2016	1127
Migratory - Offshore - Shipping (NSW)	2006	77
Migratory - Offshore - Shipping (NSW)	2011	165
Migratory - Offshore - Shipping (NSW)	2016	333
No usual address (NSW)	2006	0
No usual address (NSW)	2011	0
No usual address (NSW)	2016	0
Ballarat	2006	350
Ballarat	2011	427
Ballarat	2016	543
Bendigo	2006	322
Bendigo	2011	366
Bendigo	2016	547
Geelong	2006	913
Geelong	2011	1060
Geelong	2016	1336
Hume	2006	842
Hume	2011	1067
Hume	2016	1226
Latrobe - Gippsland	2006	677
Latrobe - Gippsland	2011	870
Latrobe - Gippsland	2016	1019
Melbourne - Inner	2006	13146
Melbourne - Inner	2011	15179
Melbourne - Inner	2016	23557
Melbourne - Inner East	2006	3207
Melbourne - Inner East	2011	4067
Melbourne - Inner East	2016	7159
Melbourne - Inner South	2006	2451
Melbourne - Inner South	2011	2833
Melbourne - Inner South	2016	4284
Melbourne - North East	2006	1829
Melbourne - North East	2011	2708
Melbourne - North East	2016	4622
Melbourne - North West	2006	971
Melbourne - North West	2011	1537
Melbourne - North West	2016	2646
Melbourne - Outer East	2006	1701
Melbourne - Outer East	2011	2174
Melbourne - Outer East	2016	4101
Melbourne - South East	2006	3586
Melbourne - South East	2011	5091
Melbourne - South East	2016	10036
Melbourne - West	2006	2031
Melbourne - West	2011	3940
Melbourne - West	2016	7745
Mornington Peninsula	2006	820
Mornington Peninsula	2011	938
Mornington Peninsula	2016	1225
North West	2006	762
North West	2011	869
North West	2016	1344
Shepparton	2006	235
Shepparton	2011	348
Shepparton	2016	600
Warrnambool and South West	2006	525
Warrnambool and South West	2011	611
Warrnambool and South West	2016	1100
Migratory - Offshore - Shipping (Vic.)	2006	78
Migratory - Offshore - Shipping (Vic.)	2011	73
Migratory - Offshore - Shipping (Vic.)	2016	34
No usual address (Vic.)	2006	0
No usual address (Vic.)	2011	0
No usual address (Vic.)	2016	0
Brisbane - East	2006	1283
Brisbane - East	2011	1326
Brisbane - East	2016	1456
Brisbane - North	2006	1343
Brisbane - North	2011	1487
Brisbane - North	2016	1944
Brisbane - South	2006	3726
Brisbane - South	2011	4218
Brisbane - South	2016	6435
Brisbane - West	2006	2750
Brisbane - West	2011	2439
Brisbane - West	2016	2912
Brisbane Inner City	2006	8821
Brisbane Inner City	2011	7656
Brisbane Inner City	2016	10150
Cairns	2006	15731
Cairns	2011	12225
Cairns	2016	14670
Darling Downs - Maranoa	2006	506
Darling Downs - Maranoa	2011	616
Darling Downs - Maranoa	2016	656
Central Queensland	2006	1847
Central Queensland	2011	1509
Central Queensland	2016	1831
Gold Coast	2006	14274
Gold Coast	2011	12611
Gold Coast	2016	17061
Ipswich	2006	1252
Ipswich	2011	1280
Ipswich	2016	1950
Logan - Beaudesert	2006	1553
Logan - Beaudesert	2011	1456
Logan - Beaudesert	2016	1995
Mackay - Isaac - Whitsunday	2006	3594
Mackay - Isaac - Whitsunday	2011	2521
Mackay - Isaac - Whitsunday	2016	4040
Moreton Bay - North	2006	1154
Moreton Bay - North	2011	1311
Moreton Bay - North	2016	2201
Moreton Bay - South	2006	713
Moreton Bay - South	2011	744
Moreton Bay - South	2016	1124
Queensland - Outback	2006	871
Queensland - Outback	2011	1166
Queensland - Outback	2016	1019
Sunshine Coast	2006	6702
Sunshine Coast	2011	6304
Sunshine Coast	2016	7191
Toowoomba	2006	946
Toowoomba	2011	872
Toowoomba	2016	1031
Townsville	2006	2368
Townsville	2011	2209
Townsville	2016	2395
Wide Bay	2006	3159
Wide Bay	2011	3075
Wide Bay	2016	3486
Migratory - Offshore - Shipping (Qld)	2006	320
Migratory - Offshore - Shipping (Qld)	2011	797
Migratory - Offshore - Shipping (Qld)	2016	388
No usual address (Qld)	2006	0
No usual address (Qld)	2011	0
No usual address (Qld)	2016	0
Adelaide - Central and Hills	2006	3551
Adelaide - Central and Hills	2011	3982
Adelaide - Central and Hills	2016	4919
Adelaide - North	2006	1283
Adelaide - North	2011	1566
Adelaide - North	2016	2722
Adelaide - South	2006	1822
Adelaide - South	2011	1970
Adelaide - South	2016	2447
Adelaide - West	2006	946
Adelaide - West	2011	1180
Adelaide - West	2016	1810
