SA4_NAME16	Year	medianAgeOfPersons
Capital Region	2006	41
Central Coast	2006	40
Central West	2006	38
Coffs Harbour - Grafton	2006	42
Far West and Orana	2006	38
Hunter Valley exc Newcastle	2006	37
Illawarra	2006	37
Mid North Coast	2006	45
Murray	2006	39
New England and North West	2006	38
Newcastle and Lake Macquarie	2006	39
Richmond - Tweed	2006	42
Riverina	2006	36
Southern Highlands and Shoalhaven	2006	43
Sydney - Baulkham Hills and Hawkesbury	2006	36
Sydney - Blacktown	2006	32
Sydney - City and Inner South	2006	33
Sydney - Eastern Suburbs	2006	35
Sydney - Inner South West	2006	36
Sydney - Inner West	2006	36
Sydney - North Sydney and Hornsby	2006	38
Sydney - Northern Beaches	2006	38
Sydney - Outer South West	2006	32
Sydney - Outer West and Blue Mountains	2006	34
Sydney - Parramatta	2006	34
Sydney - Ryde	2006	38
Sydney - South West	2006	33
Sydney - Sutherland	2006	37
Migratory - Offshore - Shipping (NSW)	2006	38
No usual address (NSW)	2006	35
Ballarat	2006	39
Bendigo	2006	39
Geelong	2006	38
Hume	2006	40
Latrobe - Gippsland	2006	41
Melbourne - Inner	2006	33
Melbourne - Inner East	2006	39
Melbourne - Inner South	2006	39
Melbourne - North East	2006	36
Melbourne - North West	2006	35
Melbourne - Outer East	2006	37
Melbourne - South East	2006	35
Melbourne - West	2006	34
Mornington Peninsula	2006	39
North West	2006	40
Shepparton	2006	39
Warrnambool and South West	2006	40
Migratory - Offshore - Shipping (Vic.)	2006	45
No usual address (Vic.)	2006	31
Brisbane - East	2006	37
Brisbane - North	2006	37
Brisbane - South	2006	34
Brisbane - West	2006	34
Brisbane Inner City	2006	33
Cairns	2006	36
Darling Downs - Maranoa	2006	38
Central Queensland	2006	35
Gold Coast	2006	37
Ipswich	2006	34
Logan - Beaudesert	2006	33
Mackay - Isaac - Whitsunday	2006	35
Moreton Bay - North	2006	38
Moreton Bay - South	2006	34
Queensland - Outback	2006	32
Sunshine Coast	2006	41
Toowoomba	2006	35
Townsville	2006	34
Wide Bay	2006	42
Migratory - Offshore - Shipping (Qld)	2006	45
No usual address (Qld)	2006	41
Adelaide - Central and Hills	2006	39
Adelaide - North	2006	36
Adelaide - South	2006	39
Adelaide - West	2006	40
Barossa - Yorke - Mid North	2006	43
South Australia - Outback	2006	37
South Australia - South East	2006	41
Migratory - Offshore - Shipping (SA)	2006	31
No usual address (SA)	2006	35
Bunbury	2006	37
Mandurah	2006	43
Perth - Inner	2006	37
Perth - North East	2006	36
Perth - North West	2006	36
Perth - South East	2006	35
Perth - South West	2006	36
Western Australia - Wheat Belt	2006	40
Western Australia - Outback (North)	2006	30
Western Australia - Outback (South)	2006	34
Migratory - Offshore - Shipping (WA)	2006	36
No usual address (WA)	2006	38
Hobart	2006	38
Launceston and North East	2006	39
South East	2006	42
West and North West	2006	40
Migratory - Offshore - Shipping (Tas.)	2006	40
No usual address (Tas.)	2006	33
Darwin	2006	32
Northern Territory - Outback	2006	28
Migratory - Offshore - Shipping (NT)	2006	26
No usual address (NT)	2006	45
Australian Capital Territory	2006	34
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	27
Other Territories	2006	36
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	25
Capital Region	2011	42
Central Coast	2011	41
Central West	2011	39
Coffs Harbour - Grafton	2011	44
Far West and Orana	2011	39
Hunter Valley exc Newcastle	2011	38
Illawarra	2011	38
Mid North Coast	2011	47
Murray	2011	41
New England and North West	2011	40
Newcastle and Lake Macquarie	2011	39
Richmond - Tweed	2011	44
Riverina	2011	38
Southern Highlands and Shoalhaven	2011	46
Sydney - Baulkham Hills and Hawkesbury	2011	38
Sydney - Blacktown	2011	32
Sydney - City and Inner South	2011	33
Sydney - Eastern Suburbs	2011	35
Sydney - Inner South West	2011	36
Sydney - Inner West	2011	36
Sydney - North Sydney and Hornsby	2011	38
Sydney - Northern Beaches	2011	39
Sydney - Outer South West	2011	34
Sydney - Outer West and Blue Mountains	2011	36
Sydney - Parramatta	2011	33
Sydney - Ryde	2011	38
Sydney - South West	2011	34
Sydney - Sutherland	2011	39
