SA4_NAME16	Year	Age5yr	ChildrenEverBorn	females
Capital Region	2006	15-19		694
Capital Region	2006	15-19	0	5408
Capital Region	2006	15-19	1	135
Capital Region	2006	15-19	2	19
Capital Region	2006	15-19	3	8
Capital Region	2006	15-19	4	0
Capital Region	2006	15-19	5	0
Capital Region	2006	15-19	6	0
Capital Region	2006	20-24		276
Capital Region	2006	20-24	0	3186
Capital Region	2006	20-24	1	605
Capital Region	2006	20-24	2	284
Capital Region	2006	20-24	3	70
Capital Region	2006	20-24	4	26
Capital Region	2006	20-24	5	0
Capital Region	2006	20-24	6	0
Capital Region	2006	25-29		248
Capital Region	2006	25-29	0	2072
Capital Region	2006	25-29	1	981
Capital Region	2006	25-29	2	765
Capital Region	2006	25-29	3	315
Capital Region	2006	25-29	4	87
Capital Region	2006	25-29	5	30
Capital Region	2006	25-29	6	10
Capital Region	2006	30-34		302
Capital Region	2006	30-34	0	1442
Capital Region	2006	30-34	1	1080
Capital Region	2006	30-34	2	1721
Capital Region	2006	30-34	3	832
Capital Region	2006	30-34	4	257
Capital Region	2006	30-34	5	81
Capital Region	2006	30-34	6	36
Capital Region	2006	35-39		308
Capital Region	2006	35-39	0	1133
Capital Region	2006	35-39	1	924
Capital Region	2006	35-39	2	2542
Capital Region	2006	35-39	3	1397
Capital Region	2006	35-39	4	497
Capital Region	2006	35-39	5	135
Capital Region	2006	35-39	6	100
Capital Region	2006	40-44		355
Capital Region	2006	40-44	0	1035
Capital Region	2006	40-44	1	880
Capital Region	2006	40-44	2	2566
Capital Region	2006	40-44	3	1657
Capital Region	2006	40-44	4	645
Capital Region	2006	40-44	5	175
Capital Region	2006	40-44	6	111
Capital Region	2006	45-49		362
Capital Region	2006	45-49	0	1055
Capital Region	2006	45-49	1	816
Capital Region	2006	45-49	2	2585
Capital Region	2006	45-49	3	1822
Capital Region	2006	45-49	4	761
Capital Region	2006	45-49	5	205
Capital Region	2006	45-49	6	118
Capital Region	2006	50-54		305
Capital Region	2006	50-54	0	946
Capital Region	2006	50-54	1	692
Capital Region	2006	50-54	2	2495
Capital Region	2006	50-54	3	1699
Capital Region	2006	50-54	4	737
Capital Region	2006	50-54	5	202
Capital Region	2006	50-54	6	114
Capital Region	2006	55-59		286
Capital Region	2006	55-59	0	774
Capital Region	2006	55-59	1	598
