SA4_NAME16	Year	Sex	persons
Capital Region	2006	F	99243
Capital Region	2006	M	98696
Capital Region	2011	F	104206
Capital Region	2011	M	103616
Capital Region	2016	F	109716
Capital Region	2016	M	109123
Central Coast	2006	F	154013
Central Coast	2006	M	143943
Central Coast	2011	F	161484
Central Coast	2011	M	150704
Central Coast	2016	F	168972
Central Coast	2016	M	158768
Central West	2006	F	95075
Central West	2006	M	94590
Central West	2011	F	98419
Central West	2011	M	98326
Central West	2016	F	103464
Central West	2016	M	102700
Coffs Harbour - Grafton	2006	F	63972
Coffs Harbour - Grafton	2006	M	61499
Coffs Harbour - Grafton	2011	F	66811
Coffs Harbour - Grafton	2011	M	63795
Coffs Harbour - Grafton	2016	F	69704
Coffs Harbour - Grafton	2016	M	66583
Far West and Orana	2006	F	57422
Far West and Orana	2006	M	57064
Far West and Orana	2011	F	57086
Far West and Orana	2011	M	56510
Far West and Orana	2016	F	57300
Far West and Orana	2016	M	56474
Hunter Valley exc Newcastle	2006	F	113697
Hunter Valley exc Newcastle	2006	M	112058
Hunter Valley exc Newcastle	2011	F	122349
Hunter Valley exc Newcastle	2011	M	120897
Hunter Valley exc Newcastle	2016	F	132782
Hunter Valley exc Newcastle	2016	M	130635
Illawarra	2006	F	133512
Illawarra	2006	M	130024
Illawarra	2011	F	139803
Illawarra	2011	M	136179
Illawarra	2016	F	149005
Illawarra	2016	M	144488
Mid North Coast	2006	F	98600
Mid North Coast	2006	M	94128
Mid North Coast	2011	F	103140
Mid North Coast	2011	M	97970
Mid North Coast	2016	F	108901
Mid North Coast	2016	M	103296
Murray	2006	F	55169
Murray	2006	M	54451
Murray	2011	F	55765
Murray	2011	M	54552
Murray	2016	F	58743
Murray	2016	M	57060
New England and North West	2006	F	87277
New England and North West	2006	M	85115
New England and North West	2011	F	89288
New England and North West	2011	M	86906
New England and North West	2016	F	92299
New England and North West	2016	M	89260
Newcastle and Lake Macquarie	2006	F	168608
Newcastle and Lake Macquarie	2006	M	161355
Newcastle and Lake Macquarie	2011	F	174679
Newcastle and Lake Macquarie	2011	M	167926
Newcastle and Lake Macquarie	2016	F	183073
Newcastle and Lake Macquarie	2016	M	176033
Richmond - Tweed	2006	F	112382
Richmond - Tweed	2006	M	106949
Richmond - Tweed	2011	F	117026
Richmond - Tweed	2011	M	110591
Richmond - Tweed	2016	F	123343
Richmond - Tweed	2016	M	116256
Riverina	2006	F	74135
Riverina	2006	M	74063
Riverina	2011	F	75251
Riverina	2011	M	74871
Riverina	2016	F	78206
Riverina	2016	M	77726
Southern Highlands and Shoalhaven	2006	F	66919
Southern Highlands and Shoalhaven	2006	M	63758
Southern Highlands and Shoalhaven	2011	F	70130
Southern Highlands and Shoalhaven	2011	M	66878
Southern Highlands and Shoalhaven	2016	F	75273
Southern Highlands and Shoalhaven	2016	M	72084
Sydney - Baulkham Hills and Hawkesbury	2006	F	101074
Sydney - Baulkham Hills and Hawkesbury	2006	M	98457
Sydney - Baulkham Hills and Hawkesbury	2011	F	106397
Sydney - Baulkham Hills and Hawkesbury	2011	M	104020
Sydney - Baulkham Hills and Hawkesbury	2016	F	115348
Sydney - Baulkham Hills and Hawkesbury	2016	M	112397
Sydney - Blacktown	2006	F	137979
Sydney - Blacktown	2006	M	135940
Sydney - Blacktown	2011	F	152784
Sydney - Blacktown	2011	M	150740
Sydney - Blacktown	2016	F	170700
Sydney - Blacktown	2016	M	168934
Sydney - City and Inner South	2006	F	117614
Sydney - City and Inner South	2006	M	127056
Sydney - City and Inner South	2011	F	127687
Sydney - City and Inner South	2011	M	136859
Sydney - City and Inner South	2016	F	154483
Sydney - City and Inner South	2016	M	161061
Sydney - Eastern Suburbs	2006	F	120690
Sydney - Eastern Suburbs	2006	M	114806
Sydney - Eastern Suburbs	2011	F	127945
Sydney - Eastern Suburbs	2011	M	121601
Sydney - Eastern Suburbs	2016	F	137524
Sydney - Eastern Suburbs	2016	M	129505
Sydney - Inner South West	2006	F	249325
Sydney - Inner South West	2006	M	241667
Sydney - Inner South West	2011	F	265287
Sydney - Inner South West	2011	M	258319
Sydney - Inner South West	2016	F	288670
Sydney - Inner South West	2016	M	282753
Sydney - Inner West	2006	F	125175
Sydney - Inner West	2006	M	117925
Sydney - Inner West	2011	F	135610
Sydney - Inner West	2011	M	127950
Sydney - Inner West	2016	F	150867
Sydney - Inner West	2016	M	142436
Sydney - North Sydney and Hornsby	2006	F	183298
Sydney - North Sydney and Hornsby	2006	M	169239
Sydney - North Sydney and Hornsby	2011	F	194545
Sydney - North Sydney and Hornsby	2011	M	180122
Sydney - North Sydney and Hornsby	2016	F	210572
Sydney - North Sydney and Hornsby	2016	M	194785
Sydney - Northern Beaches	2006	F	114744
Sydney - Northern Beaches	2006	M	110356
Sydney - Northern Beaches	2011	F	121213
Sydney - Northern Beaches	2011	M	116427
Sydney - Northern Beaches	2016	F	129370
Sydney - Northern Beaches	2016	M	123507
Sydney - Outer South West	2006	F	113458
Sydney - Outer South West	2006	M	110200
Sydney - Outer South West	2011	F	120155
Sydney - Outer South West	2011	M	115649
Sydney - Outer South West	2016	F	133338
Sydney - Outer South West	2016	M	128725
Sydney - Outer West and Blue Mountains	2006	F	141776
Sydney - Outer West and Blue Mountains	2006	M	137227
Sydney - Outer West and Blue Mountains	2011	F	146846
Sydney - Outer West and Blue Mountains	2011	M	141339
Sydney - Outer West and Blue Mountains	2016	F	156457
Sydney - Outer West and Blue Mountains	2016	M	150470
Sydney - Parramatta	2006	F	177028
Sydney - Parramatta	2006	M	178761
Sydney - Parramatta	2011	F	196409
Sydney - Parramatta	2011	M	198298
Sydney - Parramatta	2016	F	220818
Sydney - Parramatta	2016	M	227574
Sydney - Ryde	2006	F	79882
Sydney - Ryde	2006	M	75178
Sydney - Ryde	2011	F	83631
Sydney - Ryde	2011	M	79212
Sydney - Ryde	2016	F	93286
Sydney - Ryde	2016	M	88832
Sydney - South West	2006	F	170082
Sydney - South West	2006	M	167375
Sydney - South West	2011	F	182037
Sydney - South West	2011	M	178129
Sydney - South West	2016	F	205344
Sydney - South West	2016	M	200618
Sydney - Sutherland	2006	F	104312
Sydney - Sutherland	2006	M	100601
Sydney - Sutherland	2011	F	107421
Sydney - Sutherland	2011	M	102850
Sydney - Sutherland	2016	F	111465
Sydney - Sutherland	2016	M	106413
Migratory - Offshore - Shipping (NSW)	2006	F	7
Migratory - Offshore - Shipping (NSW)	2006	M	37
Migratory - Offshore - Shipping (NSW)	2011	F	55
Migratory - Offshore - Shipping (NSW)	2011	M	56
Migratory - Offshore - Shipping (NSW)	2016	F	239
Migratory - Offshore - Shipping (NSW)	2016	M	171
No usual address (NSW)	2006	F	4248
No usual address (NSW)	2006	M	5924
No usual address (NSW)	2011	F	5327
No usual address (NSW)	2011	M	7593
No usual address (NSW)	2016	F	4939
No usual address (NSW)	2016	M	7351
Ballarat	2006	F	69745
Ballarat	2006	M	66376
Ballarat	2011	F	74908
