SA4_NAME16	Year	medianTotalPersonalIncomeWeekly
Capital Region	2006	431
Central Coast	2006	407
Central West	2006	387
Coffs Harbour - Grafton	2006	349
Far West and Orana	2006	379
Hunter Valley exc Newcastle	2006	402
Illawarra	2006	395
Mid North Coast	2006	339
Murray	2006	416
New England and North West	2006	381
Newcastle and Lake Macquarie	2006	397
Richmond - Tweed	2006	370
Riverina	2006	423
Southern Highlands and Shoalhaven	2006	376
Sydney - Baulkham Hills and Hawkesbury	2006	602
Sydney - Blacktown	2006	474
Sydney - City and Inner South	2006	630
Sydney - Eastern Suburbs	2006	713
Sydney - Inner South West	2006	408
Sydney - Inner West	2006	594
Sydney - North Sydney and Hornsby	2006	766
Sydney - Northern Beaches	2006	655
Sydney - Outer South West	2006	490
Sydney - Outer West and Blue Mountains	2006	514
Sydney - Parramatta	2006	415
Sydney - Ryde	2006	556
Sydney - South West	2006	376
Sydney - Sutherland	2006	600
Migratory - Offshore - Shipping (NSW)	2006	1037
No usual address (NSW)	2006	344
Ballarat	2006	382
Bendigo	2006	393
Geelong	2006	416
Hume	2006	418
Latrobe - Gippsland	2006	377
Melbourne - Inner	2006	611
Melbourne - Inner East	2006	537
Melbourne - Inner South	2006	558
Melbourne - North East	2006	445
Melbourne - North West	2006	408
Melbourne - Outer East	2006	494
Melbourne - South East	2006	433
Melbourne - West	2006	437
Mornington Peninsula	2006	447
North West	2006	388
Shepparton	2006	405
Warrnambool and South West	2006	416
Migratory - Offshore - Shipping (Vic.)	2006	1321
No usual address (Vic.)	2006	373
Brisbane - East	2006	503
Brisbane - North	2006	527
Brisbane - South	2006	522
Brisbane - West	2006	585
Brisbane Inner City	2006	668
Cairns	2006	481
Darling Downs - Maranoa	2006	404
Central Queensland	2006	476
Gold Coast	2006	480
Ipswich	2006	448
Logan - Beaudesert	2006	471
Mackay - Isaac - Whitsunday	2006	521
Moreton Bay - North	2006	404
Moreton Bay - South	2006	554
Queensland - Outback	2006	447
Sunshine Coast	2006	428
Toowoomba	2006	441
Townsville	2006	499
Wide Bay	2006	349
Migratory - Offshore - Shipping (Qld)	2006	1060
No usual address (Qld)	2006	354
Adelaide - Central and Hills	2006	515
Adelaide - North	2006	423
Adelaide - South	2006	461
Adelaide - West	2006	402
Barossa - Yorke - Mid North	2006	372
South Australia - Outback	2006	399
South Australia - South East	2006	394
Migratory - Offshore - Shipping (SA)	2006	1733
No usual address (SA)	2006	344
Bunbury	2006	459
Mandurah	2006	383
Perth - Inner	2006	632
Perth - North East	2006	493
Perth - North West	2006	524
Perth - South East	2006	493
Perth - South West	2006	495
Western Australia - Wheat Belt	2006	429
Western Australia - Outback (North)	2006	656
Western Australia - Outback (South)	2006	508
Migratory - Offshore - Shipping (WA)	2006	1589
No usual address (WA)	2006	446
Hobart	2006	444
Launceston and North East	2006	387
South East	2006	351
West and North West	2006	369
Migratory - Offshore - Shipping (Tas.)	2006	1379
No usual address (Tas.)	2006	308
Darwin	2006	682
Northern Territory - Outback	2006	340
Migratory - Offshore - Shipping (NT)	2006	890
No usual address (NT)	2006	418
Australian Capital Territory	2006	723
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	444
Other Territories	2006	519
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	883
Capital Region	2011	551
Central Coast	2011	502
Central West	2011	496
Coffs Harbour - Grafton	2011	434
Far West and Orana	2011	480
Hunter Valley exc Newcastle	2011	527
Illawarra	2011	493
Mid North Coast	2011	405
Murray	2011	501
New England and North West	2011	479
Newcastle and Lake Macquarie	2011	536
Richmond - Tweed	2011	455
Riverina	2011	521
Southern Highlands and Shoalhaven	2011	463
Sydney - Baulkham Hills and Hawkesbury	2011	705
Sydney - Blacktown	2011	566
Sydney - City and Inner South	2011	797
Sydney - Eastern Suburbs	2011	869
Sydney - Inner South West	2011	484
Sydney - Inner West	2011	723
Sydney - North Sydney and Hornsby	2011	897
Sydney - Northern Beaches	2011	779
Sydney - Outer South West	2011	591
Sydney - Outer West and Blue Mountains	2011	613
Sydney - Parramatta	2011	501
Sydney - Ryde	2011	659
Sydney - South West	2011	426
Sydney - Sutherland	2011	718
Migratory - Offshore - Shipping (NSW)	2011	490
No usual address (NSW)	2011	349
Ballarat	2011	482
Bendigo	2011	500
Geelong	2011	528
Hume	2011	506
Latrobe - Gippsland	2011	473
Melbourne - Inner	2011	796
Melbourne - Inner East	2011	636
Melbourne - Inner South	2011	691
Melbourne - North East	2011	558
Melbourne - North West	2011	499
Melbourne - Outer East	2011	596
Melbourne - South East	2011	516
Melbourne - West	2011	551
Mornington Peninsula	2011	551
North West	2011	466
Shepparton	2011	480
Warrnambool and South West	2011	504
Migratory - Offshore - Shipping (Vic.)	2011	1949
No usual address (Vic.)	2011	352
Brisbane - East	2011	636
Brisbane - North	2011	675
Brisbane - South	2011	634
Brisbane - West	2011	718
Brisbane Inner City	2011	858
Cairns	2011	567
Darling Downs - Maranoa	2011	504
Central Queensland	2011	633
Gold Coast	2011	570
Ipswich	2011	557
Logan - Beaudesert	2011	571
Mackay - Isaac - Whitsunday	2011	709
Moreton Bay - North	2011	508
Moreton Bay - South	2011	694
Queensland - Outback	2011	588
Sunshine Coast	2011	519
Toowoomba	2011	557
Townsville	2011	633
Wide Bay	2011	407
Migratory - Offshore - Shipping (Qld)	2011	660
No usual address (Qld)	2011	379
Adelaide - Central and Hills	2011	626
Adelaide - North	2011	515
Adelaide - South	2011	569
Adelaide - West	2011	520
Barossa - Yorke - Mid North	2011	458
South Australia - Outback	2011	529
South Australia - South East	2011	468
Migratory - Offshore - Shipping (SA)	2011	1125
No usual address (SA)	2011	369
Bunbury	2011	570
Mandurah	2011	492
Perth - Inner	2011	867
Perth - North East	2011	653
Perth - North West	2011	685
Perth - South East	2011	647
Perth - South West	2011	666
Western Australia - Wheat Belt	2011	526
Western Australia - Outback (North)	2011	1197
Western Australia - Outback (South)	2011	677
Migratory - Offshore - Shipping (WA)	2011	3000
No usual address (WA)	2011	490
Hobart	2011	556
Launceston and North East	2011	470
South East	2011	428
West and North West	2011	456
Migratory - Offshore - Shipping (Tas.)	2011	1238
No usual address (Tas.)	2011	338
Darwin	2011	897
Northern Territory - Outback	2011	477
Migratory - Offshore - Shipping (NT)	2011	1298
No usual address (NT)	2011	493
Australian Capital Territory	2011	918
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	498
Other Territories	2011	817
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	1525
Capital Region	2016	655
Central Coast	2016	600
Central West	2016	594
Coffs Harbour - Grafton	2016	520
Far West and Orana	2016	590
Hunter Valley exc Newcastle	2016	599
Illawarra	2016	591
Mid North Coast	2016	491
Murray	2016	600
New England and North West	2016	579
Newcastle and Lake Macquarie	2016	628
Richmond - Tweed	2016	550
Riverina	2016	643
Southern Highlands and Shoalhaven	2016	552
Sydney - Baulkham Hills and Hawkesbury	2016	801
Sydney - Blacktown	2016	672
Sydney - City and Inner South	2016	904
Sydney - Eastern Suburbs	2016	1020
Sydney - Inner South West	2016	565
Sydney - Inner West	2016	828
Sydney - North Sydney and Hornsby	2016	1029
