SA4_NAME16	Year	Age	NonSchoolQualification	adults
Capital Region	2006	15-19		1624
Capital Region	2006	15-19	Certificate nfd	60
Capital Region	2006	15-19	Certificate I and II Level	156
Capital Region	2006	15-19	Certificate III and IV Level	390
Capital Region	2006	15-19	Advanced Diploma and Diploma	41
Capital Region	2006	15-19	Bachelor	10
Capital Region	2006	15-19	Graduate Diploma and Graduate Certificate	0
Capital Region	2006	15-19	Postgraduate	4
Capital Region	2006	20-24		951
Capital Region	2006	20-24	Certificate nfd	151
Capital Region	2006	20-24	Certificate I and II Level	330
Capital Region	2006	20-24	Certificate III and IV Level	1883
Capital Region	2006	20-24	Advanced Diploma and Diploma	405
Capital Region	2006	20-24	Bachelor	577
Capital Region	2006	20-24	Graduate Diploma and Graduate Certificate	21
Capital Region	2006	20-24	Postgraduate	3
Capital Region	2006	25-34		2248
Capital Region	2006	25-34	Certificate nfd	481
Capital Region	2006	25-34	Certificate I and II Level	447
Capital Region	2006	25-34	Certificate III and IV Level	4384
Capital Region	2006	25-34	Advanced Diploma and Diploma	1491
Capital Region	2006	25-34	Bachelor	2689
Capital Region	2006	25-34	Graduate Diploma and Graduate Certificate	284
Capital Region	2006	25-34	Postgraduate	326
Capital Region	2006	35-44		3064
Capital Region	2006	35-44	Certificate nfd	675
Capital Region	2006	35-44	Certificate I and II Level	487
Capital Region	2006	35-44	Certificate III and IV Level	5918
Capital Region	2006	35-44	Advanced Diploma and Diploma	2300
Capital Region	2006	35-44	Bachelor	3118
Capital Region	2006	35-44	Graduate Diploma and Graduate Certificate	570
Capital Region	2006	35-44	Postgraduate	787
Capital Region	2006	45-54		3443
Capital Region	2006	45-54	Certificate nfd	743
Capital Region	2006	45-54	Certificate I and II Level	345
Capital Region	2006	45-54	Certificate III and IV Level	5708
Capital Region	2006	45-54	Advanced Diploma and Diploma	2622
Capital Region	2006	45-54	Bachelor	3306
Capital Region	2006	45-54	Graduate Diploma and Graduate Certificate	828
Capital Region	2006	45-54	Postgraduate	831
Capital Region	2006	55-64		3231
Capital Region	2006	55-64	Certificate nfd	515
Capital Region	2006	55-64	Certificate I and II Level	226
Capital Region	2006	55-64	Certificate III and IV Level	4147
Capital Region	2006	55-64	Advanced Diploma and Diploma	2135
Capital Region	2006	55-64	Bachelor	2334
Capital Region	2006	55-64	Graduate Diploma and Graduate Certificate	513
Capital Region	2006	55-64	Postgraduate	735
Capital Region	2006	65-74		2877
Capital Region	2006	65-74	Certificate nfd	235
Capital Region	2006	65-74	Certificate I and II Level	75
Capital Region	2006	65-74	Certificate III and IV Level	2434
Capital Region	2006	65-74	Advanced Diploma and Diploma	1048
Capital Region	2006	65-74	Bachelor	1056
Capital Region	2006	65-74	Graduate Diploma and Graduate Certificate	143
Capital Region	2006	65-74	Postgraduate	270
Capital Region	2006	75-84		2574
Capital Region	2006	75-84	Certificate nfd	133
Capital Region	2006	75-84	Certificate I and II Level	26
Capital Region	2006	75-84	Certificate III and IV Level	1045
Capital Region	2006	75-84	Advanced Diploma and Diploma	470
Capital Region	2006	75-84	Bachelor	480
Capital Region	2006	75-84	Graduate Diploma and Graduate Certificate	33
Capital Region	2006	75-84	Postgraduate	90
Capital Region	2006	85+		856
Capital Region	2006	85+	Certificate nfd	21
Capital Region	2006	85+	Certificate I and II Level	8
Capital Region	2006	85+	Certificate III and IV Level	195
Capital Region	2006	85+	Advanced Diploma and Diploma	112
Capital Region	2006	85+	Bachelor	85
Capital Region	2006	85+	Graduate Diploma and Graduate Certificate	8
Capital Region	2006	85+	Postgraduate	6
Capital Region	2011	15-19		1419
Capital Region	2011	15-19	Certificate nfd	52
Capital Region	2011	15-19	Certificate I and II Level	197
Capital Region	2011	15-19	Certificate III and IV Level	470
Capital Region	2011	15-19	Advanced Diploma and Diploma	42
Capital Region	2011	15-19	Bachelor	3
Capital Region	2011	15-19	Graduate Diploma and Graduate Certificate	0
Capital Region	2011	15-19	Postgraduate	0
Capital Region	2011	20-24		930
Capital Region	2011	20-24	Certificate nfd	151
Capital Region	2011	20-24	Certificate I and II Level	301
Capital Region	2011	20-24	Certificate III and IV Level	2190
Capital Region	2011	20-24	Advanced Diploma and Diploma	449
Capital Region	2011	20-24	Bachelor	523
Capital Region	2011	20-24	Graduate Diploma and Graduate Certificate	20
Capital Region	2011	20-24	Postgraduate	13
Capital Region	2011	25-34		1957
Capital Region	2011	25-34	Certificate nfd	336
Capital Region	2011	25-34	Certificate I and II Level	463
Capital Region	2011	25-34	Certificate III and IV Level	4971
Capital Region	2011	25-34	Advanced Diploma and Diploma	1636
Capital Region	2011	25-34	Bachelor	3010
Capital Region	2011	25-34	Graduate Diploma and Graduate Certificate	363
Capital Region	2011	25-34	Postgraduate	528
Capital Region	2011	35-44		2596
Capital Region	2011	35-44	Certificate nfd	589
Capital Region	2011	35-44	Certificate I and II Level	503
