SA4_NAME16	Year	Rent.min	TotalHouseholdIncome.min	occupied_private_dwellings_being_rented
Capital Region	2006	18375	130000	62
Capital Region	2006	18375	156000	29
Capital Region	2006	18375	208000	8
Capital Region	2006	23625		9
Capital Region	2006	23625	-1	3
Capital Region	2006	23625	52	0
Capital Region	2006	23625	7800	3
Capital Region	2006	23625	15600	0
Capital Region	2006	23625	20800	3
Capital Region	2006	23625	26000	6
Capital Region	2006	23625	33800	6
Capital Region	2006	23625	41600	8
Capital Region	2006	23625	52000	15
Capital Region	2006	23625	65000	12
Capital Region	2006	23625	78000	14
Capital Region	2006	23625	104000	21
Capital Region	2006	23625	130000	29
Capital Region	2006	23625	156000	10
Capital Region	2006	23625	208000	9
Capital Region	2006	28875		8
Capital Region	2006	28875	-1	0
Capital Region	2006	28875	52	0
Capital Region	2006	28875	7800	0
Capital Region	2006	28875	15600	3
Capital Region	2006	28875	20800	0
Capital Region	2006	28875	26000	3
Capital Region	2006	28875	33800	0
Capital Region	2006	28875	41600	4
Capital Region	2006	28875	52000	10
Capital Region	2006	28875	65000	4
Capital Region	2006	28875	78000	3
Capital Region	2006	28875	104000	6
Capital Region	2006	28875	130000	3
Capital Region	2006	28875	156000	10
Capital Region	2006	28875	208000	0
Capital Region	2006	34125		30
Capital Region	2006	34125	-1	0
Capital Region	2006	34125	52	6
Capital Region	2006	34125	7800	29
Capital Region	2006	34125	15600	28
Capital Region	2006	34125	20800	7
Capital Region	2006	34125	26000	24
Capital Region	2006	34125	33800	12
Capital Region	2006	34125	41600	4
Capital Region	2006	34125	52000	16
Capital Region	2006	34125	65000	17
Capital Region	2006	34125	78000	13
Capital Region	2006	34125	104000	13
Capital Region	2006	34125	130000	14
Capital Region	2006	34125	156000	12
Capital Region	2006	34125	208000	15
Capital Region	2011			198
Capital Region	2011		-1	21
Capital Region	2011		52	20
Capital Region	2011		7800	68
Capital Region	2011		15600	85
Capital Region	2011		20800	62
Capital Region	2011		26000	36
Capital Region	2011		33800	65
Capital Region	2011		41600	42
Capital Region	2011		52000	57
Capital Region	2011		65000	41
Capital Region	2011		78000	47
Capital Region	2011		104000	38
Capital Region	2011		130000	18
Capital Region	2011		156000	17
Capital Region	2011		208000	9
Capital Region	2011	0		160
Capital Region	2011	0	-1	26
Capital Region	2011	0	52	57
Capital Region	2011	0	7800	176
Capital Region	2011	0	15600	313
Capital Region	2011	0	20800	174
Capital Region	2011	0	26000	101
Capital Region	2011	0	33800	152
Capital Region	2011	0	41600	157
Capital Region	2011	0	52000	139
Capital Region	2011	0	65000	113
Capital Region	2011	0	78000	154
Capital Region	2011	0	104000	84
Capital Region	2011	0	130000	63
Capital Region	2011	0	156000	27
Capital Region	2011	0	208000	11
Capital Region	2011	3937		75
Capital Region	2011	3937	-1	7
Capital Region	2011	3937	52	37
Capital Region	2011	3937	7800	181
Capital Region	2011	3937	15600	347
Capital Region	2011	3937	20800	97
Capital Region	2011	3937	26000	26
Capital Region	2011	3937	33800	53
Capital Region	2011	3937	41600	29
Capital Region	2011	3937	52000	22
Capital Region	2011	3937	65000	14
Capital Region	2011	3937	78000	18
Capital Region	2011	3937	104000	5
Capital Region	2011	3937	130000	13
Capital Region	2011	3937	156000	0
Capital Region	2011	3937	208000	0
Capital Region	2011	5250		204
Capital Region	2011	5250	-1	21
Capital Region	2011	5250	52	68
Capital Region	2011	5250	7800	242
Capital Region	2011	5250	15600	430
Capital Region	2011	5250	20800	348
Capital Region	2011	5250	26000	158
Capital Region	2011	5250	33800	277
Capital Region	2011	5250	41600	184
Capital Region	2011	5250	52000	111
Capital Region	2011	5250	65000	75
Capital Region	2011	5250	78000	94
Capital Region	2011	5250	104000	30
Capital Region	2011	5250	130000	22
Capital Region	2011	5250	156000	8
Capital Region	2011	5250	208000	7
Capital Region	2011	7875		246
Capital Region	2011	7875	-1	31
Capital Region	2011	7875	52	54
Capital Region	2011	7875	7800	253
Capital Region	2011	7875	15600	394
Capital Region	2011	7875	20800	580
Capital Region	2011	7875	26000	232
Capital Region	2011	7875	33800	492
Capital Region	2011	7875	41600	374
Capital Region	2011	7875	52000	302
Capital Region	2011	7875	65000	176
Capital Region	2011	7875	78000	196
Capital Region	2011	7875	104000	56
Capital Region	2011	7875	130000	58
Capital Region	2011	7875	156000	16
Capital Region	2011	7875	208000	10
Capital Region	2011	10500		190
Capital Region	2011	10500	-1	22
Capital Region	2011	10500	52	21
Capital Region	2011	10500	7800	97
Capital Region	2011	10500	15600	162
Capital Region	2011	10500	20800	298
Capital Region	2011	10500	26000	130
Capital Region	2011	10500	33800	303
Capital Region	2011	10500	41600	293
Capital Region	2011	10500	52000	279
Capital Region	2011	10500	65000	176
Capital Region	2011	10500	78000	174
Capital Region	2011	10500	104000	86
Capital Region	2011	10500	130000	38
Capital Region	2011	10500	156000	25
Capital Region	2011	10500	208000	6
Capital Region	2011	11812		263
Capital Region	2011	11812	-1	21
Capital Region	2011	11812	52	20
Capital Region	2011	11812	7800	72
Capital Region	2011	11812	15600	130
Capital Region	2011	11812	20800	336
Capital Region	2011	11812	26000	164
Capital Region	2011	11812	33800	454
Capital Region	2011	11812	41600	420
Capital Region	2011	11812	52000	390
Capital Region	2011	11812	65000	265
Capital Region	2011	11812	78000	357
Capital Region	2011	11812	104000	157
Capital Region	2011	11812	130000	98
Capital Region	2011	11812	156000	65
Capital Region	2011	11812	208000	21
Capital Region	2011	14437		250
Capital Region	2011	14437	-1	19
Capital Region	2011	14437	52	18
Capital Region	2011	14437	7800	43
Capital Region	2011	14437	15600	62
Capital Region	2011	14437	20800	171
Capital Region	2011	14437	26000	77
Capital Region	2011	14437	33800	280
Capital Region	2011	14437	41600	344
Capital Region	2011	14437	52000	387
Capital Region	2011	14437	65000	311
Capital Region	2011	14437	78000	408
Capital Region	2011	14437	104000	206
Capital Region	2011	14437	130000	157
Capital Region	2011	14437	156000	96
Capital Region	2011	14437	208000	31
Capital Region	2011	18375		129
Capital Region	2011	18375	-1	6
Capital Region	2011	18375	52	9
Capital Region	2011	18375	7800	13
Capital Region	2011	18375	15600	21
Capital Region	2011	18375	20800	41
Capital Region	2011	18375	26000	20
Capital Region	2011	18375	33800	92
Capital Region	2011	18375	41600	112
Capital Region	2011	18375	52000	201
Capital Region	2011	18375	65000	179
Capital Region	2011	18375	78000	336
Capital Region	2011	18375	104000	212
Capital Region	2011	18375	130000	158
Capital Region	2011	18375	156000	124
Capital Region	2011	18375	208000	23
Capital Region	2011	23625		65
Capital Region	2011	23625	-1	4
Capital Region	2011	23625	52	3
Capital Region	2011	23625	7800	5
Capital Region	2011	23625	15600	8
Capital Region	2011	23625	20800	10
Capital Region	2011	23625	26000	8
Capital Region	2011	23625	33800	19
Capital Region	2011	23625	41600	20
Capital Region	2011	23625	52000	25
Capital Region	2011	23625	65000	61
Capital Region	2011	23625	78000	90
Capital Region	2011	23625	104000	90
Capital Region	2011	23625	130000	83
Capital Region	2011	23625	156000	80
Capital Region	2011	23625	208000	17
Capital Region	2011	28875		20
Capital Region	2011	28875	-1	0
Capital Region	2011	28875	52	0
Capital Region	2011	28875	7800	3
