SA4_NAME16	Year	Rent.min	TotalHouseholdIncome.min	occupied_private_dwellings_being_rented
Richmond - Tweed	2011	10500	52000	157
Richmond - Tweed	2011	10500	65000	99
Richmond - Tweed	2011	10500	78000	70
Richmond - Tweed	2011	10500	104000	27
Richmond - Tweed	2011	10500	130000	11
Richmond - Tweed	2011	10500	156000	8
Richmond - Tweed	2011	10500	208000	3
Richmond - Tweed	2011	11812		239
Richmond - Tweed	2011	11812	-1	36
Richmond - Tweed	2011	11812	52	36
Richmond - Tweed	2011	11812	7800	181
Richmond - Tweed	2011	11812	15600	288
Richmond - Tweed	2011	11812	20800	548
Richmond - Tweed	2011	11812	26000	226
Richmond - Tweed	2011	11812	33800	583
Richmond - Tweed	2011	11812	41600	413
Richmond - Tweed	2011	11812	52000	387
Richmond - Tweed	2011	11812	65000	210
Richmond - Tweed	2011	11812	78000	216
Richmond - Tweed	2011	11812	104000	81
Richmond - Tweed	2011	11812	130000	34
Richmond - Tweed	2011	11812	156000	15
Richmond - Tweed	2011	11812	208000	3
Richmond - Tweed	2011	14437		505
Richmond - Tweed	2011	14437	-1	62
Richmond - Tweed	2011	14437	52	33
Richmond - Tweed	2011	14437	7800	140
Richmond - Tweed	2011	14437	15600	278
Richmond - Tweed	2011	14437	20800	589
Richmond - Tweed	2011	14437	26000	305
Richmond - Tweed	2011	14437	33800	805
Richmond - Tweed	2011	14437	41600	773
Richmond - Tweed	2011	14437	52000	750
Richmond - Tweed	2011	14437	65000	489
Richmond - Tweed	2011	14437	78000	518
Richmond - Tweed	2011	14437	104000	226
Richmond - Tweed	2011	14437	130000	96
Richmond - Tweed	2011	14437	156000	31
Richmond - Tweed	2011	14437	208000	13
Richmond - Tweed	2011	18375		514
Richmond - Tweed	2011	18375	-1	48
Richmond - Tweed	2011	18375	52	34
Richmond - Tweed	2011	18375	7800	82
Richmond - Tweed	2011	18375	15600	124
Richmond - Tweed	2011	18375	20800	269
Richmond - Tweed	2011	18375	26000	196
Richmond - Tweed	2011	18375	33800	520
Richmond - Tweed	2011	18375	41600	547
Richmond - Tweed	2011	18375	52000	585
Richmond - Tweed	2011	18375	65000	504
Richmond - Tweed	2011	18375	78000	635
Richmond - Tweed	2011	18375	104000	340
Richmond - Tweed	2011	18375	130000	195
Richmond - Tweed	2011	18375	156000	101
Richmond - Tweed	2011	18375	208000	21
Richmond - Tweed	2011	23625		170
Richmond - Tweed	2011	23625	-1	13
Richmond - Tweed	2011	23625	52	9
Richmond - Tweed	2011	23625	7800	18
Richmond - Tweed	2011	23625	15600	23
Richmond - Tweed	2011	23625	20800	50
Richmond - Tweed	2011	23625	26000	41
Richmond - Tweed	2011	23625	33800	83
Richmond - Tweed	2011	23625	41600	118
Richmond - Tweed	2011	23625	52000	120
Richmond - Tweed	2011	23625	65000	130
Richmond - Tweed	2011	23625	78000	195
Richmond - Tweed	2011	23625	104000	121
Richmond - Tweed	2011	23625	130000	114
Richmond - Tweed	2011	23625	156000	64
Richmond - Tweed	2011	23625	208000	16
Richmond - Tweed	2011	28875		75
Richmond - Tweed	2011	28875	-1	10
Richmond - Tweed	2011	28875	52	3
Richmond - Tweed	2011	28875	7800	5
Richmond - Tweed	2011	28875	15600	12
Richmond - Tweed	2011	28875	20800	9
Richmond - Tweed	2011	28875	26000	15
Richmond - Tweed	2011	28875	33800	25
Richmond - Tweed	2011	28875	41600	27
Richmond - Tweed	2011	28875	52000	31
Richmond - Tweed	2011	28875	65000	31
Richmond - Tweed	2011	28875	78000	59
Richmond - Tweed	2011	28875	104000	25
Richmond - Tweed	2011	28875	130000	41
Richmond - Tweed	2011	28875	156000	33
Richmond - Tweed	2011	28875	208000	8
Richmond - Tweed	2011	34125		66
Richmond - Tweed	2011	34125	-1	12
Richmond - Tweed	2011	34125	52	3
Richmond - Tweed	2011	34125	7800	15
Richmond - Tweed	2011	34125	15600	35
Richmond - Tweed	2011	34125	20800	26
Richmond - Tweed	2011	34125	26000	8
Richmond - Tweed	2011	34125	33800	23
Richmond - Tweed	2011	34125	41600	31
Richmond - Tweed	2011	34125	52000	28
Richmond - Tweed	2011	34125	65000	29
Richmond - Tweed	2011	34125	78000	40
Richmond - Tweed	2011	34125	104000	33
Richmond - Tweed	2011	34125	130000	42
Richmond - Tweed	2011	34125	156000	45
Richmond - Tweed	2011	34125	208000	25
Richmond - Tweed	2016			184
Richmond - Tweed	2016		-1	52
Richmond - Tweed	2016		52	20
Richmond - Tweed	2016		7800	46
Richmond - Tweed	2016		15600	61
Richmond - Tweed	2016		20800	74
Richmond - Tweed	2016		26000	71
Richmond - Tweed	2016		33800	74
Richmond - Tweed	2016		41600	66
Richmond - Tweed	2016		52000	48
Richmond - Tweed	2016		65000	42
Richmond - Tweed	2016		78000	48
Richmond - Tweed	2016		104000	36
Richmond - Tweed	2016		130000	13
Richmond - Tweed	2016		156000	29
Richmond - Tweed	2016		208000	11
Richmond - Tweed	2016	0		102
Richmond - Tweed	2016	0	-1	19
Richmond - Tweed	2016	0	52	21
Richmond - Tweed	2016	0	7800	106
Richmond - Tweed	2016	0	15600	67
Richmond - Tweed	2016	0	20800	177
Richmond - Tweed	2016	0	26000	85
Richmond - Tweed	2016	0	33800	114
Richmond - Tweed	2016	0	41600	118
Richmond - Tweed	2016	0	52000	85
Richmond - Tweed	2016	0	65000	75
Richmond - Tweed	2016	0	78000	87
Richmond - Tweed	2016	0	104000	67
Richmond - Tweed	2016	0	130000	27
Richmond - Tweed	2016	0	156000	21
Richmond - Tweed	2016	0	208000	11
Richmond - Tweed	2016	3937		9
Richmond - Tweed	2016	3937	-1	4
Richmond - Tweed	2016	3937	52	0
Richmond - Tweed	2016	3937	7800	34
Richmond - Tweed	2016	3937	15600	33
Richmond - Tweed	2016	3937	20800	33
Richmond - Tweed	2016	3937	26000	12
Richmond - Tweed	2016	3937	33800	20
Richmond - Tweed	2016	3937	41600	7
Richmond - Tweed	2016	3937	52000	16
Richmond - Tweed	2016	3937	65000	3
Richmond - Tweed	2016	3937	78000	0
Richmond - Tweed	2016	3937	104000	3
Richmond - Tweed	2016	3937	130000	0
Richmond - Tweed	2016	3937	156000	4
Richmond - Tweed	2016	3937	208000	0
Richmond - Tweed	2016	5250		151
Richmond - Tweed	2016	5250	-1	29
Richmond - Tweed	2016	5250	52	31
Richmond - Tweed	2016	5250	7800	145
Richmond - Tweed	2016	5250	15600	362
Richmond - Tweed	2016	5250	20800	426
Richmond - Tweed	2016	5250	26000	127
Richmond - Tweed	2016	5250	33800	115
Richmond - Tweed	2016	5250	41600	88
Richmond - Tweed	2016	5250	52000	67
Richmond - Tweed	2016	5250	65000	45
Richmond - Tweed	2016	5250	78000	35
Richmond - Tweed	2016	5250	104000	18
Richmond - Tweed	2016	5250	130000	7
Richmond - Tweed	2016	5250	156000	13
Richmond - Tweed	2016	5250	208000	0
Richmond - Tweed	2016	7875		171
Richmond - Tweed	2016	7875	-1	30
Richmond - Tweed	2016	7875	52	23
Richmond - Tweed	2016	7875	7800	135
Richmond - Tweed	2016	7875	15600	310
Richmond - Tweed	2016	7875	20800	476
Richmond - Tweed	2016	7875	26000	302
Richmond - Tweed	2016	7875	33800	255
Richmond - Tweed	2016	7875	41600	147
Richmond - Tweed	2016	7875	52000	113
Richmond - Tweed	2016	7875	65000	92
Richmond - Tweed	2016	7875	78000	56
Richmond - Tweed	2016	7875	104000	42
Richmond - Tweed	2016	7875	130000	16
Richmond - Tweed	2016	7875	156000	14
Richmond - Tweed	2016	7875	208000	4
Richmond - Tweed	2016	10500		122
Richmond - Tweed	2016	10500	-1	27
Richmond - Tweed	2016	10500	52	9
Richmond - Tweed	2016	10500	7800	73
Richmond - Tweed	2016	10500	15600	141
Richmond - Tweed	2016	10500	20800	292
Richmond - Tweed	2016	10500	26000	217
Richmond - Tweed	2016	10500	33800	209
Richmond - Tweed	2016	10500	41600	147
Richmond - Tweed	2016	10500	52000	136
Richmond - Tweed	2016	10500	65000	106
Richmond - Tweed	2016	10500	78000	89
Richmond - Tweed	2016	10500	104000	29
Richmond - Tweed	2016	10500	130000	13
Richmond - Tweed	2016	10500	156000	15
Richmond - Tweed	2016	10500	208000	3
Richmond - Tweed	2016	11812		229
Richmond - Tweed	2016	11812	-1	34
Richmond - Tweed	2016	11812	52	13
Richmond - Tweed	2016	11812	7800	92
Richmond - Tweed	2016	11812	15600	152
Richmond - Tweed	2016	11812	20800	412
Richmond - Tweed	2016	11812	26000	436
Richmond - Tweed	2016	11812	33800	425
Richmond - Tweed	2016	11812	41600	345
Richmond - Tweed	2016	11812	52000	319
Richmond - Tweed	2016	11812	65000	188
Richmond - Tweed	2016	11812	78000	210
Richmond - Tweed	2016	11812	104000	88
Richmond - Tweed	2016	11812	130000	31
Richmond - Tweed	2016	11812	156000	25
Richmond - Tweed	2016	11812	208000	12
Richmond - Tweed	2016	14437		422
Richmond - Tweed	2016	14437	-1	52
Richmond - Tweed	2016	14437	52	24
Richmond - Tweed	2016	14437	7800	93
Richmond - Tweed	2016	14437	15600	195
Richmond - Tweed	2016	14437	20800	395
Richmond - Tweed	2016	14437	26000	566
Richmond - Tweed	2016	14437	33800	689
Richmond - Tweed	2016	14437	41600	643
Richmond - Tweed	2016	14437	52000	758
Richmond - Tweed	2016	14437	65000	507
Richmond - Tweed	2016	14437	78000	593
Richmond - Tweed	2016	14437	104000	297
Richmond - Tweed	2016	14437	130000	87
Richmond - Tweed	2016	14437	156000	65
Richmond - Tweed	2016	14437	208000	20
Richmond - Tweed	2016	18375		514
Richmond - Tweed	2016	18375	-1	42
Richmond - Tweed	2016	18375	52	23
Richmond - Tweed	2016	18375	7800	51
Richmond - Tweed	2016	18375	15600	104
Richmond - Tweed	2016	18375	20800	218
Richmond - Tweed	2016	18375	26000	333
Richmond - Tweed	2016	18375	33800	489
Richmond - Tweed	2016	18375	41600	540
Richmond - Tweed	2016	18375	52000	747
Richmond - Tweed	2016	18375	65000	694
Richmond - Tweed	2016	18375	78000	801
Richmond - Tweed	2016	18375	104000	544
Richmond - Tweed	2016	18375	130000	212
Richmond - Tweed	2016	18375	156000	158
Richmond - Tweed	2016	18375	208000	45
Richmond - Tweed	2016	23625		318
Richmond - Tweed	2016	23625	-1	23
Richmond - Tweed	2016	23625	52	12
Richmond - Tweed	2016	23625	7800	17
Richmond - Tweed	2016	23625	15600	26
Richmond - Tweed	2016	23625	20800	70
Richmond - Tweed	2016	23625	26000	98
Richmond - Tweed	2016	23625	33800	163
Richmond - Tweed	2016	23625	41600	172
Richmond - Tweed	2016	23625	52000	266
Richmond - Tweed	2016	23625	65000	266
Richmond - Tweed	2016	23625	78000	451
Richmond - Tweed	2016	23625	104000	308
Richmond - Tweed	2016	23625	130000	149
Richmond - Tweed	2016	23625	156000	127
Richmond - Tweed	2016	23625	208000	64
Richmond - Tweed	2016	28875		142
Richmond - Tweed	2016	28875	-1	0
Richmond - Tweed	2016	28875	52	5
Richmond - Tweed	2016	28875	7800	5
Richmond - Tweed	2016	28875	15600	4
Richmond - Tweed	2016	28875	20800	21
Richmond - Tweed	2016	28875	26000	38
Richmond - Tweed	2016	28875	33800	36
Richmond - Tweed	2016	28875	41600	49
Richmond - Tweed	2016	28875	52000	82
Richmond - Tweed	2016	28875	65000	96
Richmond - Tweed	2016	28875	78000	150
Richmond - Tweed	2016	28875	104000	152
Richmond - Tweed	2016	28875	130000	72
Richmond - Tweed	2016	28875	156000	91
Richmond - Tweed	2016	28875	208000	44
Richmond - Tweed	2016	34125		145
Richmond - Tweed	2016	34125	-1	5
Richmond - Tweed	2016	34125	52	7
Richmond - Tweed	2016	34125	7800	8
Richmond - Tweed	2016	34125	15600	9
Richmond - Tweed	2016	34125	20800	22
Richmond - Tweed	2016	34125	26000	24
Richmond - Tweed	2016	34125	33800	27
Richmond - Tweed	2016	34125	41600	29
Richmond - Tweed	2016	34125	52000	60
Richmond - Tweed	2016	34125	65000	54
Richmond - Tweed	2016	34125	78000	102
Richmond - Tweed	2016	34125	104000	98
Richmond - Tweed	2016	34125	130000	70
Richmond - Tweed	2016	34125	156000	102
Richmond - Tweed	2016	34125	208000	104
Riverina	2006			132
Riverina	2006		-1	25
Riverina	2006		52	25
Riverina	2006		7800	61
Riverina	2006		15600	61
Riverina	2006		20800	19
Riverina	2006		26000	79
Riverina	2006		33800	28
Riverina	2006		41600	36
Riverina	2006		52000	54
Riverina	2006		65000	24
Riverina	2006		78000	29
Riverina	2006		104000	7
Riverina	2006		130000	4
Riverina	2006		156000	3
Riverina	2006		208000	3
Riverina	2006	0		225
Riverina	2006	0	-1	38
Riverina	2006	0	52	116
Riverina	2006	0	7800	605
Riverina	2006	0	15600	416
Riverina	2006	0	20800	112
Riverina	2006	0	26000	295
Riverina	2006	0	33800	188
Riverina	2006	0	41600	157
Riverina	2006	0	52000	256
Riverina	2006	0	65000	127
Riverina	2006	0	78000	134
Riverina	2006	0	104000	54
Riverina	2006	0	130000	60
Riverina	2006	0	156000	22
Riverina	2006	0	208000	0
Riverina	2006	3937		108
Riverina	2006	3937	-1	8
Riverina	2006	3937	52	47
Riverina	2006	3937	7800	242
Riverina	2006	3937	15600	224
Riverina	2006	3937	20800	64
Riverina	2006	3937	26000	169
Riverina	2006	3937	33800	84
Riverina	2006	3937	41600	48
Riverina	2006	3937	52000	71
Riverina	2006	3937	65000	31
Riverina	2006	3937	78000	29
Riverina	2006	3937	104000	4
Riverina	2006	3937	130000	13
Riverina	2006	3937	156000	0
Riverina	2006	3937	208000	0
Riverina	2006	5250		329
Riverina	2006	5250	-1	63
Riverina	2006	5250	52	101
Riverina	2006	5250	7800	442
Riverina	2006	5250	15600	591
Riverina	2006	5250	20800	265
Riverina	2006	5250	26000	824
Riverina	2006	5250	33800	415
Riverina	2006	5250	41600	343
Riverina	2006	5250	52000	444
Riverina	2006	5250	65000	163
Riverina	2006	5250	78000	126
Riverina	2006	5250	104000	49
Riverina	2006	5250	130000	29
Riverina	2006	5250	156000	4
Riverina	2006	5250	208000	0
Riverina	2006	7875		317
Riverina	2006	7875	-1	26
Riverina	2006	7875	52	53
Riverina	2006	7875	7800	154
Riverina	2006	7875	15600	273
Riverina	2006	7875	20800	99
Riverina	2006	7875	26000	560
Riverina	2006	7875	33800	331
Riverina	2006	7875	41600	356
Riverina	2006	7875	52000	529
Riverina	2006	7875	65000	251
Riverina	2006	7875	78000	243
Riverina	2006	7875	104000	92
Riverina	2006	7875	130000	51
Riverina	2006	7875	156000	19
Riverina	2006	7875	208000	0
Riverina	2006	10500		137
Riverina	2006	10500	-1	13
Riverina	2006	10500	52	11
Riverina	2006	10500	7800	35
Riverina	2006	10500	15600	69
Riverina	2006	10500	20800	37
Riverina	2006	10500	26000	197
Riverina	2006	10500	33800	120
Riverina	2006	10500	41600	172
Riverina	2006	10500	52000	250
Riverina	2006	10500	65000	121
Riverina	2006	10500	78000	106
Riverina	2006	10500	104000	50
Riverina	2006	10500	130000	38
Riverina	2006	10500	156000	8
Riverina	2006	10500	208000	3
Riverina	2006	11812		126
Riverina	2006	11812	-1	7
Riverina	2006	11812	52	10
Riverina	2006	11812	7800	32
Riverina	2006	11812	15600	31
Riverina	2006	11812	20800	23
Riverina	2006	11812	26000	108
Riverina	2006	11812	33800	79
Riverina	2006	11812	41600	116
Riverina	2006	11812	52000	226
Riverina	2006	11812	65000	110
Riverina	2006	11812	78000	130
Riverina	2006	11812	104000	73
Riverina	2006	11812	130000	40
Riverina	2006	11812	156000	3
Riverina	2006	11812	208000	8
Riverina	2006	14437		66
Riverina	2006	14437	-1	0
Riverina	2006	14437	52	3
Riverina	2006	14437	7800	7
Riverina	2006	14437	15600	14
Riverina	2006	14437	20800	3
Riverina	2006	14437	26000	22
Riverina	2006	14437	33800	26
Riverina	2006	14437	41600	29
Riverina	2006	14437	52000	69
Riverina	2006	14437	65000	52
Riverina	2006	14437	78000	68
Riverina	2006	14437	104000	38
Riverina	2006	14437	130000	29
Riverina	2006	14437	156000	23
Riverina	2006	14437	208000	4
Riverina	2006	18375		6
Riverina	2006	18375	-1	0
Riverina	2006	18375	52	3
Riverina	2006	18375	7800	4
Riverina	2006	18375	15600	0
Riverina	2006	18375	20800	0
Riverina	2006	18375	26000	6
Riverina	2006	18375	33800	3
Riverina	2006	18375	41600	6
Riverina	2006	18375	52000	7
Riverina	2006	18375	65000	10
Riverina	2006	18375	78000	13
Riverina	2006	18375	104000	9
Riverina	2006	18375	130000	15
Riverina	2006	18375	156000	8
Riverina	2006	18375	208000	3
Riverina	2006	23625		0
Riverina	2006	23625	-1	0
Riverina	2006	23625	52	0
Riverina	2006	23625	7800	0
Riverina	2006	23625	15600	0
Riverina	2006	23625	20800	0
Riverina	2006	23625	26000	0
Riverina	2006	23625	33800	3
Riverina	2006	23625	41600	4
Riverina	2006	23625	52000	4
Riverina	2006	23625	65000	0
Riverina	2006	23625	78000	4
Riverina	2006	23625	104000	0
Riverina	2006	23625	130000	0
Riverina	2006	23625	156000	0
Riverina	2006	23625	208000	4
Riverina	2006	28875		3
Riverina	2006	28875	-1	0
Riverina	2006	28875	52	0
Riverina	2006	28875	7800	3
Riverina	2006	28875	15600	0
Riverina	2006	28875	20800	0
Riverina	2006	28875	26000	0
Riverina	2006	28875	33800	3
Riverina	2006	28875	41600	0
Riverina	2006	28875	52000	4
Riverina	2006	28875	65000	0
Riverina	2006	28875	78000	0
Riverina	2006	28875	104000	0
Riverina	2006	28875	130000	0
Riverina	2006	28875	156000	0
Riverina	2006	28875	208000	0
Riverina	2006	34125		17
Riverina	2006	34125	-1	3
Riverina	2006	34125	52	3
Riverina	2006	34125	7800	13
Riverina	2006	34125	15600	18
Riverina	2006	34125	20800	5
Riverina	2006	34125	26000	15
Riverina	2006	34125	33800	13
Riverina	2006	34125	41600	3
Riverina	2006	34125	52000	12
Riverina	2006	34125	65000	5
Riverina	2006	34125	78000	5
Riverina	2006	34125	104000	0
Riverina	2006	34125	130000	3
Riverina	2006	34125	156000	3
Riverina	2006	34125	208000	0
Riverina	2011			178
Riverina	2011		-1	24
Riverina	2011		52	12
Riverina	2011		7800	57
Riverina	2011		15600	57
Riverina	2011		20800	43
Riverina	2011		26000	26
Riverina	2011		33800	63
Riverina	2011		41600	44
Riverina	2011		52000	40
Riverina	2011		65000	36
Riverina	2011		78000	33
Riverina	2011		104000	16
Riverina	2011		130000	25
Riverina	2011		156000	15
Riverina	2011		208000	8
Riverina	2011	0		153
Riverina	2011	0	-1	36
Riverina	2011	0	52	53
Riverina	2011	0	7800	169
Riverina	2011	0	15600	289
Riverina	2011	0	20800	142
Riverina	2011	0	26000	107
Riverina	2011	0	33800	184
Riverina	2011	0	41600	148
Riverina	2011	0	52000	163
Riverina	2011	0	65000	117
Riverina	2011	0	78000	160
Riverina	2011	0	104000	84
Riverina	2011	0	130000	69
Riverina	2011	0	156000	37
Riverina	2011	0	208000	4
Riverina	2011	3937		66
Riverina	2011	3937	-1	11
Riverina	2011	3937	52	26
Riverina	2011	3937	7800	177
Riverina	2011	3937	15600	283
Riverina	2011	3937	20800	85
Riverina	2011	3937	26000	38
Riverina	2011	3937	33800	61
Riverina	2011	3937	41600	33
Riverina	2011	3937	52000	24
Riverina	2011	3937	65000	17
Riverina	2011	3937	78000	29
Riverina	2011	3937	104000	3
Riverina	2011	3937	130000	3
Riverina	2011	3937	156000	4
Riverina	2011	3937	208000	0
Riverina	2011	5250		189
Riverina	2011	5250	-1	38
Riverina	2011	5250	52	51
Riverina	2011	5250	7800	245
Riverina	2011	5250	15600	409
Riverina	2011	5250	20800	334
Riverina	2011	5250	26000	215
Riverina	2011	5250	33800	277
Riverina	2011	5250	41600	209
Riverina	2011	5250	52000	157
Riverina	2011	5250	65000	114
Riverina	2011	5250	78000	102
Riverina	2011	5250	104000	40
Riverina	2011	5250	130000	31
Riverina	2011	5250	156000	18
Riverina	2011	5250	208000	8
Riverina	2011	7875		285
Riverina	2011	7875	-1	56
Riverina	2011	7875	52	37
Riverina	2011	7875	7800	214
Riverina	2011	7875	15600	327
Riverina	2011	7875	20800	457
Riverina	2011	7875	26000	214
Riverina	2011	7875	33800	557
Riverina	2011	7875	41600	369
Riverina	2011	7875	52000	316
Riverina	2011	7875	65000	234
Riverina	2011	7875	78000	220
Riverina	2011	7875	104000	94
Riverina	2011	7875	130000	56
Riverina	2011	7875	156000	33
Riverina	2011	7875	208000	6
Riverina	2011	10500		151
Riverina	2011	10500	-1	14
Riverina	2011	10500	52	26
Riverina	2011	10500	7800	47
Riverina	2011	10500	15600	111
Riverina	2011	10500	20800	191
Riverina	2011	10500	26000	86
Riverina	2011	10500	33800	234
Riverina	2011	10500	41600	197
Riverina	2011	10500	52000	211
Riverina	2011	10500	65000	160
Riverina	2011	10500	78000	191
Riverina	2011	10500	104000	94
Riverina	2011	10500	130000	45
Riverina	2011	10500	156000	28
Riverina	2011	10500	208000	10
Riverina	2011	11812		171
Riverina	2011	11812	-1	17
Riverina	2011	11812	52	16
Riverina	2011	11812	7800	69
Riverina	2011	11812	15600	79
Riverina	2011	11812	20800	167
Riverina	2011	11812	26000	79
Riverina	2011	11812	33800	243
Riverina	2011	11812	41600	259
Riverina	2011	11812	52000	257
Riverina	2011	11812	65000	221
Riverina	2011	11812	78000	274
Riverina	2011	11812	104000	157
Riverina	2011	11812	130000	69
Riverina	2011	11812	156000	19
Riverina	2011	11812	208000	12
Riverina	2011	14437		184
Riverina	2011	14437	-1	16
Riverina	2011	14437	52	5
Riverina	2011	14437	7800	27
Riverina	2011	14437	15600	35
Riverina	2011	14437	20800	83
Riverina	2011	14437	26000	56
Riverina	2011	14437	33800	139
Riverina	2011	14437	41600	163
Riverina	2011	14437	52000	240
Riverina	2011	14437	65000	197
Riverina	2011	14437	78000	274
Riverina	2011	14437	104000	149
Riverina	2011	14437	130000	92
Riverina	2011	14437	156000	56
Riverina	2011	14437	208000	11
Riverina	2011	18375		77
Riverina	2011	18375	-1	8
Riverina	2011	18375	52	3
Riverina	2011	18375	7800	11
Riverina	2011	18375	15600	10
Riverina	2011	18375	20800	12
Riverina	2011	18375	26000	14
Riverina	2011	18375	33800	37
Riverina	2011	18375	41600	40
Riverina	2011	18375	52000	79
Riverina	2011	18375	65000	81
Riverina	2011	18375	78000	142
Riverina	2011	18375	104000	90
Riverina	2011	18375	130000	92
Riverina	2011	18375	156000	49
Riverina	2011	18375	208000	20
Riverina	2011	23625		15
Riverina	2011	23625	-1	3
Riverina	2011	23625	52	0
Riverina	2011	23625	7800	3
Riverina	2011	23625	15600	0
Riverina	2011	23625	20800	7
Riverina	2011	23625	26000	0
Riverina	2011	23625	33800	6
Riverina	2011	23625	41600	11
Riverina	2011	23625	52000	12
Riverina	2011	23625	65000	12
Riverina	2011	23625	78000	18
Riverina	2011	23625	104000	17
Riverina	2011	23625	130000	23
Riverina	2011	23625	156000	14
Riverina	2011	23625	208000	5
Riverina	2011	28875		3
Riverina	2011	28875	-1	0
Riverina	2011	28875	52	0
Riverina	2011	28875	7800	0
Riverina	2011	28875	15600	3
Riverina	2011	28875	20800	0
Riverina	2011	28875	26000	0
Riverina	2011	28875	33800	0
Riverina	2011	28875	41600	3
Riverina	2011	28875	52000	0
Riverina	2011	28875	65000	7
Riverina	2011	28875	78000	0
Riverina	2011	28875	104000	4
Riverina	2011	28875	130000	7
Riverina	2011	28875	156000	0
Riverina	2011	28875	208000	3
Riverina	2011	34125		16
Riverina	2011	34125	-1	5
Riverina	2011	34125	52	3
Riverina	2011	34125	7800	10
Riverina	2011	34125	15600	9
Riverina	2011	34125	20800	11
Riverina	2011	34125	26000	0
Riverina	2011	34125	33800	11
Riverina	2011	34125	41600	13
Riverina	2011	34125	52000	11
Riverina	2011	34125	65000	8
Riverina	2011	34125	78000	3
Riverina	2011	34125	104000	3
Riverina	2011	34125	130000	10
Riverina	2011	34125	156000	0
Riverina	2011	34125	208000	3
Riverina	2016			149
Riverina	2016		-1	29
Riverina	2016		52	4
Riverina	2016		7800	23
Riverina	2016		15600	28
Riverina	2016		20800	22
Riverina	2016		26000	39
Riverina	2016		33800	36
Riverina	2016		41600	27
Riverina	2016		52000	45
Riverina	2016		65000	51
Riverina	2016		78000	59
Riverina	2016		104000	36
Riverina	2016		130000	25
Riverina	2016		156000	26
Riverina	2016		208000	8
Riverina	2016	0		97
Riverina	2016	0	-1	29
Riverina	2016	0	52	24
Riverina	2016	0	7800	90
Riverina	2016	0	15600	89
Riverina	2016	0	20800	149
Riverina	2016	0	26000	77
Riverina	2016	0	33800	95
Riverina	2016	0	41600	110
Riverina	2016	0	52000	126
Riverina	2016	0	65000	124
Riverina	2016	0	78000	147
Riverina	2016	0	104000	114
Riverina	2016	0	130000	55
Riverina	2016	0	156000	43
Riverina	2016	0	208000	29
Riverina	2016	3937		25
Riverina	2016	3937	-1	4
Riverina	2016	3937	52	4
Riverina	2016	3937	7800	47
Riverina	2016	3937	15600	40
Riverina	2016	3937	20800	64
Riverina	2016	3937	26000	27
Riverina	2016	3937	33800	21
Riverina	2016	3937	41600	17
Riverina	2016	3937	52000	20
Riverina	2016	3937	65000	11
Riverina	2016	3937	78000	7
Riverina	2016	3937	104000	9
Riverina	2016	3937	130000	11
Riverina	2016	3937	156000	11
Riverina	2016	3937	208000	0
Riverina	2016	5250		169
Riverina	2016	5250	-1	35
Riverina	2016	5250	52	29
Riverina	2016	5250	7800	144
Riverina	2016	5250	15600	292
Riverina	2016	5250	20800	352
Riverina	2016	5250	26000	135
Riverina	2016	5250	33800	150
Riverina	2016	5250	41600	136
Riverina	2016	5250	52000	107
Riverina	2016	5250	65000	61
Riverina	2016	5250	78000	88
Riverina	2016	5250	104000	36
Riverina	2016	5250	130000	19
Riverina	2016	5250	156000	20
Riverina	2016	5250	208000	12
Riverina	2016	7875		265
Riverina	2016	7875	-1	46
Riverina	2016	7875	52	38
Riverina	2016	7875	7800	146
Riverina	2016	7875	15600	262
Riverina	2016	7875	20800	380
Riverina	2016	7875	26000	345
Riverina	2016	7875	33800	389
Riverina	2016	7875	41600	331
Riverina	2016	7875	52000	266
Riverina	2016	7875	65000	209
Riverina	2016	7875	78000	201
Riverina	2016	7875	104000	140
Riverina	2016	7875	130000	41
Riverina	2016	7875	156000	34
Riverina	2016	7875	208000	20
Riverina	2016	10500		149
Riverina	2016	10500	-1	19
Riverina	2016	10500	52	12
Riverina	2016	10500	7800	62
Riverina	2016	10500	15600	81
Riverina	2016	10500	20800	145
Riverina	2016	10500	26000	149
Riverina	2016	10500	33800	221
Riverina	2016	10500	41600	195
Riverina	2016	10500	52000	209
Riverina	2016	10500	65000	149
Riverina	2016	10500	78000	163
Riverina	2016	10500	104000	90
Riverina	2016	10500	130000	29
Riverina	2016	10500	156000	18
Riverina	2016	10500	208000	9
Riverina	2016	11812		246
Riverina	2016	11812	-1	26
Riverina	2016	11812	52	11
Riverina	2016	11812	7800	51
Riverina	2016	11812	15600	76
Riverina	2016	11812	20800	171
Riverina	2016	11812	26000	237
Riverina	2016	11812	33800	276
Riverina	2016	11812	41600	309
Riverina	2016	11812	52000	316
Riverina	2016	11812	65000	306
Riverina	2016	11812	78000	408
Riverina	2016	11812	104000	219
Riverina	2016	11812	130000	109
Riverina	2016	11812	156000	61
Riverina	2016	11812	208000	17
Riverina	2016	14437		234
Riverina	2016	14437	-1	23
Riverina	2016	14437	52	7
Riverina	2016	14437	7800	44
Riverina	2016	14437	15600	46
Riverina	2016	14437	20800	90
Riverina	2016	14437	26000	178
Riverina	2016	14437	33800	255
Riverina	2016	14437	41600	295
Riverina	2016	14437	52000	375
Riverina	2016	14437	65000	372
Riverina	2016	14437	78000	520
Riverina	2016	14437	104000	353
Riverina	2016	14437	130000	153
Riverina	2016	14437	156000	110
Riverina	2016	14437	208000	43
Riverina	2016	18375		147
