SA4_NAME16	Year	EduInstitutionType	Sex	students
Capital Region	2006		F	7915
Capital Region	2006		M	8480
Capital Region	2006	Infants/Primary	F	8683
Capital Region	2006	Infants/Primary	M	9003
Capital Region	2006	Pre-school	F	1544
Capital Region	2006	Pre-school	M	1682
Capital Region	2006	Secondary	F	6983
Capital Region	2006	Secondary	M	6798
Capital Region	2006	Technical or Further Educational Institution	F	2494
Capital Region	2006	Technical or Further Educational Institution	M	2166
Capital Region	2006	University or other tertiary	F	2134
Capital Region	2006	University or other tertiary	M	1403
Capital Region	2011		F	7561
Capital Region	2011		M	8254
Capital Region	2011	Infants/Primary	F	8220
Capital Region	2011	Infants/Primary	M	8593
Capital Region	2011	Pre-school	F	1688
Capital Region	2011	Pre-school	M	1854
Capital Region	2011	Secondary	F	7046
Capital Region	2011	Secondary	M	7163
Capital Region	2011	Technical or Further Educational Institution	F	2744
Capital Region	2011	Technical or Further Educational Institution	M	2297
Capital Region	2011	University or other tertiary	F	2830
Capital Region	2011	University or other tertiary	M	1572
Capital Region	2016		F	10090
Capital Region	2016		M	10382
Capital Region	2016	Infants/Primary	F	8450
Capital Region	2016	Infants/Primary	M	8994
Capital Region	2016	Pre-school	F	1549
Capital Region	2016	Pre-school	M	1838
Capital Region	2016	Secondary	F	6589
Capital Region	2016	Secondary	M	6736
Capital Region	2016	Technical or Further Educational Institution	F	2179
Capital Region	2016	Technical or Further Educational Institution	M	1787
Capital Region	2016	University or other tertiary	F	3313
Capital Region	2016	University or other tertiary	M	1870
Central Coast	2006		F	14163
Central Coast	2006		M	12541
Central Coast	2006	Infants/Primary	F	12984
Central Coast	2006	Infants/Primary	M	13433
Central Coast	2006	Pre-school	F	2780
Central Coast	2006	Pre-school	M	3198
Central Coast	2006	Secondary	F	10228
Central Coast	2006	Secondary	M	10308
Central Coast	2006	Technical or Further Educational Institution	F	3105
Central Coast	2006	Technical or Further Educational Institution	M	3187
Central Coast	2006	University or other tertiary	F	3821
Central Coast	2006	University or other tertiary	M	2279
Central Coast	2011		F	12180
Central Coast	2011		M	10892
Central Coast	2011	Infants/Primary	F	12512
Central Coast	2011	Infants/Primary	M	13034
Central Coast	2011	Pre-school	F	3169
Central Coast	2011	Pre-school	M	3366
Central Coast	2011	Secondary	F	10623
Central Coast	2011	Secondary	M	10732
Central Coast	2011	Technical or Further Educational Institution	F	3705
Central Coast	2011	Technical or Further Educational Institution	M	3224
Central Coast	2011	University or other tertiary	F	5646
Central Coast	2011	University or other tertiary	M	3356
Central Coast	2016		F	12599
Central Coast	2016		M	10887
Central Coast	2016	Infants/Primary	F	13163
Central Coast	2016	Infants/Primary	M	14033
Central Coast	2016	Pre-school	F	3098
Central Coast	2016	Pre-school	M	3389
Central Coast	2016	Secondary	F	10259
Central Coast	2016	Secondary	M	10403
Central Coast	2016	Technical or Further Educational Institution	F	3455
Central Coast	2016	Technical or Further Educational Institution	M	2804
Central Coast	2016	University or other tertiary	F	6301
Central Coast	2016	University or other tertiary	M	3971
Central West	2006		F	6864
Central West	2006		M	7856
Central West	2006	Infants/Primary	F	8638
Central West	2006	Infants/Primary	M	9159
Central West	2006	Pre-school	F	1641
Central West	2006	Pre-school	M	1882
Central West	2006	Secondary	F	7002
Central West	2006	Secondary	M	7040
Central West	2006	Technical or Further Educational Institution	F	2537
Central West	2006	Technical or Further Educational Institution	M	2252
Central West	2006	University or other tertiary	F	2607
Central West	2006	University or other tertiary	M	1593
Central West	2011		F	7304
Central West	2011		M	8543
Central West	2011	Infants/Primary	F	8103
Central West	2011	Infants/Primary	M	8651
Central West	2011	Pre-school	F	1891
Central West	2011	Pre-school	M	2014
Central West	2011	Secondary	F	6884
Central West	2011	Secondary	M	6980
Central West	2011	Technical or Further Educational Institution	F	2746
Central West	2011	Technical or Further Educational Institution	M	2229
Central West	2011	University or other tertiary	F	3148
Central West	2011	University or other tertiary	M	1725
Central West	2016		F	10255
Central West	2016		M	11197
Central West	2016	Infants/Primary	F	8715
Central West	2016	Infants/Primary	M	9222
Central West	2016	Pre-school	F	1846
Central West	2016	Pre-school	M	1929
Central West	2016	Secondary	F	6479
Central West	2016	Secondary	M	6668
Central West	2016	Technical or Further Educational Institution	F	2526
Central West	2016	Technical or Further Educational Institution	M	1791
Central West	2016	University or other tertiary	F	3376
Central West	2016	University or other tertiary	M	1859
Coffs Harbour - Grafton	2006		F	4786
Coffs Harbour - Grafton	2006		M	4765
Coffs Harbour - Grafton	2006	Infants/Primary	F	5600
Coffs Harbour - Grafton	2006	Infants/Primary	M	5831
Coffs Harbour - Grafton	2006	Pre-school	F	1042
Coffs Harbour - Grafton	2006	Pre-school	M	1165
Coffs Harbour - Grafton	2006	Secondary	F	4805
Coffs Harbour - Grafton	2006	Secondary	M	4820
Coffs Harbour - Grafton	2006	Technical or Further Educational Institution	F	1666
Coffs Harbour - Grafton	2006	Technical or Further Educational Institution	M	1295
Coffs Harbour - Grafton	2006	University or other tertiary	F	1377
Coffs Harbour - Grafton	2006	University or other tertiary	M	744
Coffs Harbour - Grafton	2011		F	4625
Coffs Harbour - Grafton	2011		M	4500
Coffs Harbour - Grafton	2011	Infants/Primary	F	5097
Coffs Harbour - Grafton	2011	Infants/Primary	M	5400
Coffs Harbour - Grafton	2011	Pre-school	F	1136
Coffs Harbour - Grafton	2011	Pre-school	M	1225
Coffs Harbour - Grafton	2011	Secondary	F	4677
Coffs Harbour - Grafton	2011	Secondary	M	4600
Coffs Harbour - Grafton	2011	Technical or Further Educational Institution	F	2176
Coffs Harbour - Grafton	2011	Technical or Further Educational Institution	M	1551
Coffs Harbour - Grafton	2011	University or other tertiary	F	1783
Coffs Harbour - Grafton	2011	University or other tertiary	M	887
Coffs Harbour - Grafton	2016		F	6199
Coffs Harbour - Grafton	2016		M	5979
Coffs Harbour - Grafton	2016	Infants/Primary	F	5327
Coffs Harbour - Grafton	2016	Infants/Primary	M	5511
Coffs Harbour - Grafton	2016	Pre-school	F	1114
Coffs Harbour - Grafton	2016	Pre-school	M	1247
Coffs Harbour - Grafton	2016	Secondary	F	4087
Coffs Harbour - Grafton	2016	Secondary	M	4206
Coffs Harbour - Grafton	2016	Technical or Further Educational Institution	F	1819
Coffs Harbour - Grafton	2016	Technical or Further Educational Institution	M	1163
Coffs Harbour - Grafton	2016	University or other tertiary	F	1758
Coffs Harbour - Grafton	2016	University or other tertiary	M	847
Far West and Orana	2006		F	5228
Far West and Orana	2006		M	5370
Far West and Orana	2006	Infants/Primary	F	5486
Far West and Orana	2006	Infants/Primary	M	5713
Far West and Orana	2006	Pre-school	F	1017
Far West and Orana	2006	Pre-school	M	1142
Far West and Orana	2006	Secondary	F	3607
Far West and Orana	2006	Secondary	M	3577
Far West and Orana	2006	Technical or Further Educational Institution	F	1503
Far West and Orana	2006	Technical or Further Educational Institution	M	1129
Far West and Orana	2006	University or other tertiary	F	1042
Far West and Orana	2006	University or other tertiary	M	470
Far West and Orana	2011		F	4920
Far West and Orana	2011		M	5445
Far West and Orana	2011	Infants/Primary	F	4858
Far West and Orana	2011	Infants/Primary	M	5057
Far West and Orana	2011	Pre-school	F	1081
Far West and Orana	2011	Pre-school	M	1154
Far West and Orana	2011	Secondary	F	3504
Far West and Orana	2011	Secondary	M	3554
Far West and Orana	2011	Technical or Further Educational Institution	F	1682
Far West and Orana	2011	Technical or Further Educational Institution	M	1233
Far West and Orana	2011	University or other tertiary	F	1209
Far West and Orana	2011	University or other tertiary	M	470
Far West and Orana	2016		F	6294
Far West and Orana	2016		M	6767
Far West and Orana	2016	Infants/Primary	F	4666
Far West and Orana	2016	Infants/Primary	M	4900
Far West and Orana	2016	Pre-school	F	1125
Far West and Orana	2016	Pre-school	M	1174
Far West and Orana	2016	Secondary	F	3224
Far West and Orana	2016	Secondary	M	3221
Far West and Orana	2016	Technical or Further Educational Institution	F	1365
Far West and Orana	2016	Technical or Further Educational Institution	M	910
Far West and Orana	2016	University or other tertiary	F	1286
Far West and Orana	2016	University or other tertiary	M	548
Hunter Valley exc Newcastle	2006		F	8650
Hunter Valley exc Newcastle	2006		M	8783
Hunter Valley exc Newcastle	2006	Infants/Primary	F	10692
Hunter Valley exc Newcastle	2006	Infants/Primary	M	11030
Hunter Valley exc Newcastle	2006	Pre-school	F	2141
Hunter Valley exc Newcastle	2006	Pre-school	M	2471
Hunter Valley exc Newcastle	2006	Secondary	F	7768
