SA4_NAME16	Year	Age	Sex	persons
Capital Region	2006	0-4	F	5723
Capital Region	2006	0-4	M	6092
Capital Region	2006	5-14	F	13879
Capital Region	2006	5-14	M	14320
Capital Region	2006	15-19	F	6271
Capital Region	2006	15-19	M	6645
Capital Region	2006	20-24	F	4448
Capital Region	2006	20-24	M	4794
Capital Region	2006	25-34	F	10255
Capital Region	2006	25-34	M	9956
Capital Region	2006	35-44	F	14462
Capital Region	2006	35-44	M	13759
Capital Region	2006	45-54	F	14900
Capital Region	2006	45-54	M	15086
Capital Region	2006	55-64	F	12893
Capital Region	2006	55-64	M	13385
Capital Region	2006	65-74	F	8438
Capital Region	2006	65-74	M	8695
Capital Region	2006	75-84	F	5836
Capital Region	2006	75-84	M	4825
Capital Region	2006	85+	F	2141
Capital Region	2006	85+	M	1135
Capital Region	2011	0-4	F	6159
Capital Region	2011	0-4	M	6594
Capital Region	2011	5-14	F	13226
Capital Region	2011	5-14	M	13831
Capital Region	2011	15-19	F	6323
Capital Region	2011	15-19	M	6951
Capital Region	2011	20-24	F	4645
Capital Region	2011	20-24	M	4981
Capital Region	2011	25-34	F	10365
Capital Region	2011	25-34	M	9772
Capital Region	2011	35-44	F	14091
Capital Region	2011	35-44	M	13433
Capital Region	2011	45-54	F	15523
Capital Region	2011	45-54	M	15597
Capital Region	2011	55-64	F	14839
Capital Region	2011	55-64	M	15113
Capital Region	2011	65-74	F	10170
Capital Region	2011	65-74	M	10492
Capital Region	2011	75-84	F	6058
Capital Region	2011	75-84	M	5357
Capital Region	2011	85+	F	2804
Capital Region	2011	85+	M	1491
Capital Region	2016	0-4	F	5643
Capital Region	2016	0-4	M	6218
Capital Region	2016	5-14	F	13013
Capital Region	2016	5-14	M	13888
Capital Region	2016	15-19	F	6167
Capital Region	2016	15-19	M	6492
Capital Region	2016	20-24	F	5022
Capital Region	2016	20-24	M	5345
Capital Region	2016	25-34	F	11293
Capital Region	2016	25-34	M	11043
Capital Region	2016	35-44	F	12921
Capital Region	2016	35-44	M	12503
Capital Region	2016	45-54	F	16013
Capital Region	2016	45-54	M	15491
Capital Region	2016	55-64	F	16485
Capital Region	2016	55-64	M	16249
Capital Region	2016	65-74	F	13050
Capital Region	2016	65-74	M	13507
Capital Region	2016	75-84	F	6822
Capital Region	2016	75-84	M	6426
Capital Region	2016	85+	F	3295
Capital Region	2016	85+	M	1966
Central Coast	2006	0-4	F	8962
Central Coast	2006	0-4	M	9540
Central Coast	2006	5-14	F	20775
Central Coast	2006	5-14	M	21607
Central Coast	2006	15-19	F	9851
Central Coast	2006	15-19	M	10454
Central Coast	2006	20-24	F	7787
Central Coast	2006	20-24	M	7948
Central Coast	2006	25-34	F	16421
Central Coast	2006	25-34	M	15378
Central Coast	2006	35-44	F	21247
Central Coast	2006	35-44	M	19410
Central Coast	2006	45-54	F	20913
Central Coast	2006	45-54	M	19712
Central Coast	2006	55-64	F	17467
Central Coast	2006	55-64	M	16170
Central Coast	2006	65-74	F	13873
Central Coast	2006	65-74	M	12124
Central Coast	2006	75-84	F	12093
Central Coast	2006	75-84	M	9093
Central Coast	2006	85+	F	4627
Central Coast	2006	85+	M	2506
Central Coast	2011	0-4	F	9608
Central Coast	2011	0-4	M	10167
Central Coast	2011	5-14	F	20105
Central Coast	2011	5-14	M	20823
Central Coast	2011	15-19	F	10163
Central Coast	2011	15-19	M	10911
Central Coast	2011	20-24	F	8444
Central Coast	2011	20-24	M	8731
Central Coast	2011	25-34	F	16710
Central Coast	2011	25-34	M	15633
Central Coast	2011	35-44	F	21126
Central Coast	2011	35-44	M	19233
Central Coast	2011	45-54	F	22261
Central Coast	2011	45-54	M	20596
