SA4_NAME16	Year	BornAust	persons
Capital Region	2006	0	23305
Capital Region	2006	1	161912
Capital Region	2011	0	25713
Capital Region	2011	1	170206
Capital Region	2016	0	27399
Capital Region	2016	1	173116
Central Coast	2006	0	39642
Central Coast	2006	1	237263
Central Coast	2011	0	43785
Central Coast	2011	1	251642
Central Coast	2016	0	48054
Central Coast	2016	1	258376
Central West	2006	0	12587
Central West	2006	1	166437
Central West	2011	0	14235
Central West	2011	1	170938
Central West	2016	0	15540
Central West	2016	1	171249
Coffs Harbour - Grafton	2006	0	12165
Coffs Harbour - Grafton	2006	1	106477
Coffs Harbour - Grafton	2011	0	14001
Coffs Harbour - Grafton	2011	1	110250
Coffs Harbour - Grafton	2016	0	15466
Coffs Harbour - Grafton	2016	1	109764
Far West and Orana	2006	0	5491
Far West and Orana	2006	1	100370
Far West and Orana	2011	0	5939
Far West and Orana	2011	1	100243
Far West and Orana	2016	0	6794
Far West and Orana	2016	1	95120
Hunter Valley exc Newcastle	2006	0	17346
Hunter Valley exc Newcastle	2006	1	195253
Hunter Valley exc Newcastle	2011	0	20163
Hunter Valley exc Newcastle	2011	1	210268
Hunter Valley exc Newcastle	2016	0	22041
Hunter Valley exc Newcastle	2016	1	221858
Illawarra	2006	0	53101
Illawarra	2006	1	194196
Illawarra	2011	0	56005
Illawarra	2011	1	207308
Illawarra	2016	0	58274
Illawarra	2016	1	217899
Mid North Coast	2006	0	17231
Mid North Coast	2006	1	163874
Mid North Coast	2011	0	18995
Mid North Coast	2011	1	171041
Mid North Coast	2016	0	20535
Mid North Coast	2016	1	174009
Murray	2006	0	7744
Murray	2006	1	95529
Murray	2011	0	8824
Murray	2011	1	95416
Murray	2016	0	9808
Murray	2016	1	95312
New England and North West	2006	0	9411
New England and North West	2006	1	152888
New England and North West	2011	0	10764
New England and North West	2011	1	154939
New England and North West	2016	0	12739
New England and North West	2016	1	150908
Newcastle and Lake Macquarie	2006	0	33604
Newcastle and Lake Macquarie	2006	1	276834
Newcastle and Lake Macquarie	2011	0	37254
Newcastle and Lake Macquarie	2011	1	289376
Newcastle and Lake Macquarie	2016	0	41933
Newcastle and Lake Macquarie	2016	1	299889
Richmond - Tweed	2006	0	25140
Richmond - Tweed	2006	1	180316
Richmond - Tweed	2011	0	28382
Richmond - Tweed	2011	1	186830
Richmond - Tweed	2016	0	29781
Richmond - Tweed	2016	1	187965
Riverina	2006	0	11275
Riverina	2006	1	128577
Riverina	2011	0	13009
Riverina	2011	1	129052
Riverina	2016	0	15146
Riverina	2016	1	127192
Southern Highlands and Shoalhaven	2006	0	17351
Southern Highlands and Shoalhaven	2006	1	105327
Southern Highlands and Shoalhaven	2011	0	18472
Southern Highlands and Shoalhaven	2011	1	110624
Southern Highlands and Shoalhaven	2016	0	20364
Southern Highlands and Shoalhaven	2016	1	115498
Sydney - Baulkham Hills and Hawkesbury	2006	0	54231
Sydney - Baulkham Hills and Hawkesbury	2006	1	136597
Sydney - Baulkham Hills and Hawkesbury	2011	0	61502
Sydney - Baulkham Hills and Hawkesbury	2011	1	141816
Sydney - Baulkham Hills and Hawkesbury	2016	0	72960
Sydney - Baulkham Hills and Hawkesbury	2016	1	146200
Sydney - Blacktown	2006	0	93937
Sydney - Blacktown	2006	1	161709
Sydney - Blacktown	2011	0	114349
Sydney - Blacktown	2011	1	174950
Sydney - Blacktown	2016	0	137773
Sydney - Blacktown	2016	1	183227
Sydney - City and Inner South	2006	0	87505
Sydney - City and Inner South	2006	1	110489
Sydney - City and Inner South	2011	0	107836
Sydney - City and Inner South	2011	1	127538
Sydney - City and Inner South	2016	0	140171
Sydney - City and Inner South	2016	1	140749
Sydney - Eastern Suburbs	2006	0	80701
Sydney - Eastern Suburbs	2006	1	125552
Sydney - Eastern Suburbs	2011	0	91693
Sydney - Eastern Suburbs	2011	1	134767
