SA4_NAME16	Year	Sex	unemployment
Capital Region	2006	F	4.8
Capital Region	2006	M	5.5
Capital Region	2011	F	4.2
Capital Region	2011	M	4.9
Capital Region	2016	F	4.5
Capital Region	2016	M	5.2
Central Coast	2006	F	7
Central Coast	2006	M	7.2
Central Coast	2011	F	6.7
Central Coast	2011	M	7
Central Coast	2016	F	6.7
Central Coast	2016	M	6.8
Central West	2006	F	6.3
Central West	2006	M	6.4
Central West	2011	F	5.2
Central West	2011	M	5.2
Central West	2016	F	5.8
Central West	2016	M	6.5
Coffs Harbour - Grafton	2006	F	8.9
Coffs Harbour - Grafton	2006	M	9.8
Coffs Harbour - Grafton	2011	F	7.6
Coffs Harbour - Grafton	2011	M	9.3
Coffs Harbour - Grafton	2016	F	7.1
Coffs Harbour - Grafton	2016	M	8.7
Far West and Orana	2006	F	6.3
Far West and Orana	2006	M	7.5
Far West and Orana	2011	F	5.7
Far West and Orana	2011	M	6.8
Far West and Orana	2016	F	6.3
Far West and Orana	2016	M	7.6
Hunter Valley exc Newcastle	2006	F	7.1
Hunter Valley exc Newcastle	2006	M	6.1
Hunter Valley exc Newcastle	2011	F	5.8
Hunter Valley exc Newcastle	2011	M	4.9
Hunter Valley exc Newcastle	2016	F	7.3
Hunter Valley exc Newcastle	2016	M	7.2
Illawarra	2006	F	7.2
Illawarra	2006	M	7.3
Illawarra	2011	F	6.5
Illawarra	2011	M	6.9
Illawarra	2016	F	6.6
Illawarra	2016	M	7.1
Mid North Coast	2006	F	9.2
Mid North Coast	2006	M	10.8
Mid North Coast	2011	F	7.2
Mid North Coast	2011	M	9.1
Mid North Coast	2016	F	7.2
Mid North Coast	2016	M	8.9
Murray	2006	F	5.4
Murray	2006	M	4.9
Murray	2011	F	5.1
Murray	2011	M	5
Murray	2016	F	5.5
Murray	2016	M	5.9
New England and North West	2006	F	7
New England and North West	2006	M	7.3
New England and North West	2011	F	6
New England and North West	2011	M	6.3
New England and North West	2016	F	6.4
New England and North West	2016	M	6.5
Newcastle and Lake Macquarie	2006	F	6.5
Newcastle and Lake Macquarie	2006	M	7.4
Newcastle and Lake Macquarie	2011	F	5.3
Newcastle and Lake Macquarie	2011	M	5.8
Newcastle and Lake Macquarie	2016	F	6.3
Newcastle and Lake Macquarie	2016	M	8
Richmond - Tweed	2006	F	8
Richmond - Tweed	2006	M	8.2
Richmond - Tweed	2011	F	7.2
Richmond - Tweed	2011	M	8.6
Richmond - Tweed	2016	F	6.4
Richmond - Tweed	2016	M	7.6
Riverina	2006	F	5.7
Riverina	2006	M	5.1
Riverina	2011	F	5.2
Riverina	2011	M	4.6
Riverina	2016	F	5.2
Riverina	2016	M	5.3
Southern Highlands and Shoalhaven	2006	F	7.1
Southern Highlands and Shoalhaven	2006	M	7.8
Southern Highlands and Shoalhaven	2011	F	6
Southern Highlands and Shoalhaven	2011	M	6.8
Southern Highlands and Shoalhaven	2016	F	5.3
Southern Highlands and Shoalhaven	2016	M	5.9
Sydney - Baulkham Hills and Hawkesbury	2006	F	3.2
Sydney - Baulkham Hills and Hawkesbury	2006	M	3.2
Sydney - Baulkham Hills and Hawkesbury	2011	F	4
Sydney - Baulkham Hills and Hawkesbury	2011	M	4.1
Sydney - Baulkham Hills and Hawkesbury	2016	F	4.5
Sydney - Baulkham Hills and Hawkesbury	2016	M	4.4
Sydney - Blacktown	2006	F	7.2
Sydney - Blacktown	2006	M	6.5
Sydney - Blacktown	2011	F	7.8
Sydney - Blacktown	2011	M	6.6
Sydney - Blacktown	2016	F	8
Sydney - Blacktown	2016	M	6.7
Sydney - City and Inner South	2006	F	5
Sydney - City and Inner South	2006	M	5.5
Sydney - City and Inner South	2011	F	5.6
Sydney - City and Inner South	2011	M	5.7
Sydney - City and Inner South	2016	F	5.8
Sydney - City and Inner South	2016	M	5.6
Sydney - Eastern Suburbs	2006	F	3.6
Sydney - Eastern Suburbs	2006	M	4.1
Sydney - Eastern Suburbs	2011	F	4.5
Sydney - Eastern Suburbs	2011	M	4.8
Sydney - Eastern Suburbs	2016	F	4.6
Sydney - Eastern Suburbs	2016	M	4.6
Sydney - Inner South West	2006	F	6.5
Sydney - Inner South West	2006	M	6.6
Sydney - Inner South West	2011	F	7
Sydney - Inner South West	2011	M	6.8
Sydney - Inner South West	2016	F	7.6
